"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","530_30 Blue B-A","582_15 YG D-A","Time"
84630.2,60238,92073.6,29890.1,23082,84866.1,26968,653.25,0.216
112270,75983,96834.1,44405.6,33979,85646.1,88678.8,740.35,0.222
83594.9,58267,94023.6,55078.6,41775,86406.4,56181.9,618.41,0.229
54223.9,32630,108906,57469.4,37110,101491,70113,411.38,0.238
64224,42937,98027,33037.2,22964,94283.5,68631.5,318.92,0.244
81882.7,58087,92383.3,25167.1,18907,87234.8,20938.1,860.95,0.274
132744,96178,90451.9,104355,77826,87875.6,84453.9,710.87,0.296
95724,67711,92649.2,27448.9,22402,80300.4,31609.6,985.57,0.3
62691.8,39454,104136,40997.7,27198,98787.7,10550.1,354.43,0.303
70268.4,45525,101156,35633.7,27257,85676.6,37415.9,896.46,0.303
82708.6,56370,96157.3,60007.9,44674,88030.6,68552.9,369.17,0.31
65875.7,42946,100527,36004.2,26442,89235.7,36440.3,670.67,0.31
67998.2,47331,94152.5,43775.7,34323,83584.8,23299.2,393.96,0.313
119449,83649,93584.4,48119.9,36973,85294.3,34520,369.84,0.314
47041.9,31567,97663.4,55903.1,41099,89142.5,21960.6,478.38,0.324
60279.8,42295,93403.5,45574.5,33107,90215.7,22200.8,582.9,0.324
80852.4,54626,97000.4,40140.1,29590,88902.3,30449.7,424.11,0.33
100685,60122,109752,54895.7,38522,93392,18999.8,483.74,0.334
49095.4,37058,86823.7,39468.7,29446,87842.8,24288.7,738.34,0.335
59562.7,41794,93398.6,32701.2,23266,92113.1,12867.1,925.94,0.341
84990.2,61239,90953.8,32016,24215,86648.8,4868.64,486.42,0.364
64486.8,42764,98826.3,28377.6,19509,95328.1,42232.1,947.38,0.368
63326.2,33439,124111,59526.3,39074,99839.2,11738.3,483.07,0.38
63784.8,43203,96757.2,25320.2,17811,93166.4,13989.1,783.23,0.387
56119,38111,96502.6,47950.9,33071,95023.1,7534.8,428.13,0.388
75760.6,58758,84499.9,22209.7,18954,76793.1,30469.7,394.63,0.409
135932,90279,98676.5,60204.6,42487,92865.3,50465.9,599.65,0.412
80182.1,50102,104882,41622.2,27818,98057.1,54790.8,339.02,0.416
78683.8,50248,102623,34327.5,24869,90461.5,52277.2,851.57,0.421
95713.9,63995,98018.7,48627.8,31279,101885,42307.4,608.36,0.426
70125.1,52169,88092.9,23953.3,17940,87503.2,8658.12,690.77,0.429
78856.6,55023,93923.3,42520.6,32383,86052.2,32987.5,607.02,0.43
76438.1,57519,87092,20567.5,17215,78298.8,1210.95,405.35,0.44
111440,81299,89833.1,55768.6,44327,82452,12103.3,671.34,0.441
79131.6,51737,100237,47558.2,33412,93283.2,32431.4,897.13,0.447
85571.3,55481,101080,57212,40628,92287.3,47040.1,810.7,0.449
76708.1,44328,113408,80257.4,53861,97654.1,44930.7,339.69,0.453
83211.8,62367,87440,30243.4,24895,79615.6,23833.3,449.57,0.461
78480.7,51557,99759.7,64446.7,43497,97100.4,28251.4,728.96,0.465
75204,46931,105017,66807.2,47287,92589.4,5804.97,801.99,0.481
97627.7,67614,94627.3,49041.1,36954,86971.8,30133,380.56,0.482
78864.5,51590,100183,42764.1,29654,94509.7,50663.9,759.78,0.485
114443,62183,120614,27230.8,18071,98755,18698.3,802.66,0.487
75294,50593,97532.6,60673.1,40445,98313,42868.3,812.04,0.501
84505.7,63705,86934.5,28568.8,23700,78999.2,4785.84,400.66,0.511
80469.4,61291,86042.6,30610.5,25115,79876.1,5963.67,346.39,0.516
61529,39194,102882,26418,17102,101236,5203.29,440.19,0.516
75489.8,57286,86361.5,18012.4,14146,83448.6,31831.8,851.57,0.517
117697,74479,103565,74202.6,51307,94781.3,51345,764.47,0.518
99319,69689,93400.2,27230.8,19476,91630.8,34883.6,666.65,0.525
71595.4,47202,99404.1,37341.4,26426,92606,16097,584.24,0.528
97220.9,68835,92561.5,39314.1,29871,86253.9,51098.6,462.97,0.528
43662.2,30175,94828.5,48253.8,35979,87894.6,34454.5,359.12,0.529
69440.4,43543,104514,22248.4,15255,95579.7,9364.68,376.54,0.53
78859.4,51864,99647.8,51040.7,37429,89369.3,52600.1,496.47,0.542
58482.7,41262,92887.5,26631.9,19998,87276.2,46362.5,499.82,0.543
73422,40591,118543,42947.7,27915,100828,33560.9,684.07,0.547
72283,47180,100406,16045.3,11425,92038.7,15681.6,801.32,0.558
79269.8,53734,96680.5,15647.1,11698,87660.3,6646.77,931.3,0.562
95382.7,64869,96363.5,40136.6,29933,87876,11903.2,324.28,0.58
80580.2,57834,91311.5,15102,10775,91854,7890.15,632.48,0.582
95367.6,71796,87052.4,32483.1,25436,83693,11276,339.02,0.584
70479.4,51314,90013.2,28563.9,21226,88192.1,7441.65,797.3,0.585
81412.6,58010,91974.7,50985.5,37870,88233,30561.5,322.94,0.588
53570.9,39346,89229.4,35480.5,27218,85430.6,19084.7,522.6,0.592
108953,79255,90093.5,44860.4,35431,82977.3,4028.91,643.2,0.592
73134.7,51225,93566.8,14677.7,10724,89697.5,3979.92,765.81,0.598
62288.6,35314,115596,24043.1,15906,99062.3,6379.05,835.49,0.605
50395.7,30315,108947,56558.6,38143,97177.1,42929,420.09,0.612
65034,45107,94488,40672.1,29791,89472.8,23642.8,365.82,0.617
52072.6,35438,96298.5,36314.7,24746,96173.9,6057.51,400.66,0.618
68436,44834,100036,37166.2,26054,93487.4,44048.2,758.44,0.619
68495.8,49374,90917,47515.5,37562,82902.2,23992,485.75,0.631
92906.6,64078,95020.6,25637.6,20087,83645.6,18421.6,326.29,0.636
119742,80406,97597.7,42624.8,27570,101322,25794.3,648.56,0.637
51287,37475,89690.4,34760.8,26179,87019.6,27984.3,903.83,0.64
71798.4,51274,91769.3,55957.6,40846,89782.1,22949.4,586.25,0.656
75561.1,58763,84270.3,28786.8,23311,80930.5,27513.8,389.94,0.657
81411.8,57534,92734.9,32779.8,24142,88984.3,30531.1,376.54,0.662
112766,75756,97553.4,71378.4,53429,87552.8,38610.3,661.96,0.671
60954.5,42249,94551.7,34530.4,26644,84934,10418.3,340.36,0.673
63434.9,45085,92209.6,24956.6,19792,82637.2,12961,391.28,0.677
99217.4,68086,95501.5,31726.2,23134,89876.7,7932.24,412.72,0.677
70352.6,49602,92952.5,41101.2,31262,86162.4,39043.6,394.63,0.683
76585,47171,106402,60907,40355,98912.2,41053.6,704.84,0.689
56216.2,37148,99175.8,48723.7,34325,93027.1,35789.6,865.64,0.703
80745.8,60081,88077.1,23772.6,19321,80635.5,37810.6,671.34,0.716
41616.7,26899,101394,51080.7,34947,95791.5,38902.2,976.19,0.717
74767,51443,95249.7,18345.7,13375,89892,6045.09,604.34,0.722
72956.9,54543,87661.1,27804.2,23359,78007.6,25454.1,336.34,0.726
78753.6,59175,87219.2,32187.1,25855,81586.4,24294.2,722.93,0.732
60198.5,39038,101060,43760.5,28654,100087,37553.2,424.11,0.734
78631.2,51359,100336,55316.6,41215,87959,53042.4,707.52,0.75
71696.2,50160,93673.8,21716.4,15564,91442,36156.7,905.17,0.75
67718.2,40991,108267,49350.2,32783,98655.2,9805.59,412.05,0.751
71576.6,49830,94137,19244.8,13954,90384.6,7044.21,605.68,0.755
74156.4,51787,93844.3,51891.4,37787,89998.1,56636.6,327.63,0.756
45408.2,31026,95915.5,42592.3,32030,87147.4,30304.8,967.48,0.76
66888,47372,92535.1,25187.8,17985,91782.3,10886.8,958.1,0.761
77510.2,56013,90688,18283.6,13712,87385.9,18216,409.37,0.762
71568,52302,89676.9,13982.2,10174,90066.3,4666.47,636.5,0.768
66391.9,47515,91572.4,24647.5,19023,84912.9,15052.3,496.47,0.768
80497.4,43150,122259,71452.3,46558,100578,37275.2,450.91,0.769
58549,42143,91048.7,35675.8,29154,80196.4,16817.4,403.34,0.771
73193,53094,90345,26737.5,19058,91944,24170.7,982.89,0.774
52495.2,35399,97187.1,36505.1,24151,99060.1,35787.5,550.07,0.776
76899.6,46234,109004,27642.1,17738,102128,13563.3,719.58,0.777
78202.1,59783,85727.6,31028.6,26691,76186.4,2510.22,571.51,0.782
69299.3,47662,95287.6,58577.6,40638,94466.7,90480.4,367.83,0.796
72288.7,46876,101065,50632.9,34917,95033.3,43496.2,513.89,0.797
71878.3,46963,100305,41896.8,27459,99994.5,3946.11,326.96,0.8
82488.2,58882,91809.9,31199.7,24098,84849.6,32031.2,400.66,0.8
119781,64715,121300,31048.6,20955,97103.4,25198.1,834.15,0.821
99239.8,71806,90574.3,38704.9,29671,85489.6,7823.91,576.87,0.822
67831.9,46174,96275.7,38564.1,28826,87675.6,5863.62,580.89,0.828
71352,50487,92620.4,32637,25067,85327.3,82646.8,406.02,0.832
62545,40486,101244,36321.6,23378,101821,5942.97,756.43,0.833
100341,72199,91081.2,59553.2,44711,87291.3,12143.3,529.3,0.835
48585.6,31359,101537,60565.4,42411,93589.3,28548.8,633.82,0.84
64346.4,46499,90690.2,43703.9,33187,86304.3,16740.1,379.89,0.841
54918,34926,103049,39392.8,25406,101616,34299.2,622.43,0.846
104280,61734,110703,44049.6,28722,100510,21802.6,759.78,0.849
85165.2,62834,88827.5,29480.2,23102,83629.9,34700.1,529.3,0.851
97079,67219,94648.4,30702.2,20455,98367.2,47556.2,671.34,0.851
43498.8,27488,103708,44254.5,29000,100009,19061.2,362.47,0.863
81694.8,60099,89085.5,33682.4,27283,80907.8,840.42,615.73,0.868
88185.6,64510,89588.1,45552.4,33939,87961.4,4023.39,441.53,0.869
67718.9,45370,97818.5,20055.5,13918,94436,5217.78,471.01,0.87
107729,78639,89779.2,44609.2,34011,85957.7,28319.7,337.01,0.876
66627.4,42182,103516,18413.3,12518,96400.1,5085.99,787.92,0.883
61037.3,42322,94516.8,27147.4,18886,94203.6,13310.1,659.28,0.888
69081.1,41893,108068,42337.7,27933,99332.1,21073.3,670,0.892
81857.5,61167,87704.4,46423.9,36559,83219.9,22970.8,513.89,0.899
57962.9,36789,103255,56176.4,39129,94088.1,27500.6,953.41,0.9
59893.9,34455,113923,37544.3,24039,102355,20773.1,414.73,0.905
100003,70234,93313.7,64011.3,49875,84111.2,30644.3,325.62,0.909
85241.5,62007,90092.9,56323.3,39819,92699.6,4919.7,489.77,0.913
73587.6,51886,92946.8,28593.6,20750,90308.9,48464.2,415.4,0.921
100411,69823,94246.1,33005.5,23810,90846.1,3593.52,909.19,0.929
82222.6,60438,89158.1,43142.2,31930,88549,23362.7,381.9,0.939
48704.4,35195,90691.6,38195.6,26123,95823.2,9601.35,532.65,0.94
128809,78743,107205,64281.1,43791,96200.7,30466.9,675.36,0.956
66925.4,39862,110030,48983.1,32178,99762.5,44506.4,440.86,0.961
111112,72542,100381,86677.8,61495,92373.6,68843.4,783.23,0.965
72381.6,43810,108277,55762.4,37102,98497.2,66210.3,911.87,0.977
68644.8,50851,88468.4,30889.9,26043,77733,16271.6,927.28,0.991
142453,94886,98390,52271.6,35666,96048.7,39953.1,591.61,1.005
69904.1,50336,91013.1,28275.5,22948,80750.6,23235.8,903.83,1.007
107306,73847,95229.3,40837.6,30891,86638.1,40803.1,792.61,1.011
74812.3,46064,106437,23149.5,15544,97602,4696.83,350.41,1.013
65514.2,44444,96605.6,25194,17624,93685.4,3080.85,452.92,1.036
70476.5,50443,91563.7,21107.1,15147,91323.4,10233.4,543.37,1.039
67565.5,37491,118108,37953.4,25991,95699.2,37763.7,426.79,1.043
90447.8,65055,91116.6,27591,20671,87475.5,79244.4,718.24,1.045
124932,83554,97990.7,99781.6,74022,88342.5,5076.33,489.77,1.047
95193.4,67971,91783.2,28681.9,21943,85662.8,26442.9,727.62,1.051
87346.1,63018,90836.1,25093.9,19838,82899.2,34075,396.64,1.053
109945,77274,93244.6,47013.8,35383,87078.5,3388.59,325.62,1.055
65663.3,49643,86685.1,36770.1,27487,87669.3,22812.8,801.32,1.073
68190.5,51271,87163,16863.6,12855,85972.2,3171.24,885.07,1.074
64474.6,44490,94974.3,36386.5,26558,89789.3,9330.87,905.17,1.077
90931,62105,95954.5,63591.1,48708,85561,27823.6,529.3,1.102
83603.5,58782,93209.5,38229.4,28163,88960.9,6711.63,956.09,1.107
58466.9,42054,91113.5,40181.5,32210,81755.1,27486.2,380.56,1.11
60664.3,39218,101374,47165.6,32446,95267.4,42870.4,707.52,1.11
79791.8,57895,90322.8,32645.3,25175,84982.8,34613.9,565.48,1.116
76641.1,55111,91138.8,43766,34627,82832.8,21670.8,386.59,1.123
45830.2,28422,105676,44754.1,31662,92634.8,63312.3,985.57,1.125
66060.7,47583,90985.3,27922.9,20223,90488.9,5193.63,631.14,1.126
98141.8,74323,86538.7,46049.9,35591,84794.7,35650.9,424.78,1.134
91327.7,64082,93399.9,43939.9,33006,87246.1,25618.3,381.23,1.141
56431.4,38443,96201.9,33451.9,23423,93596.2,14850.9,809.36,1.143
90429.8,57623,102848,29226.3,19887,96313,25432.7,728.96,1.154
90995.8,55747,106974,44222.1,29495,98258.7,44039.9,883.06,1.179
55114.6,42276,85438.3,36959.9,28616,84645,18946,755.09,1.195
77308.6,53624,94481.8,45833.9,32357,92832.3,42330.1,490.44,1.237
119903,81871,95979.9,44718.9,33067,88629.1,21968.2,344.38,1.24
88040.2,64818,89015.4,80977.7,62842,84449.2,24115.5,341.7,1.246
59730.5,41150,95127.5,27148.7,20090,88562.5,28649.5,371.85,1.255
123859,83343,97395.7,36594.8,26290,91224,30185.4,890.43,1.302
60905.5,46291,86226.4,30075,22487,87650.5,8912.04,747.05,1.303
74152.8,56711,85692,20488.9,16107,83364.9,7718.34,326.96,1.304
47954.9,33707,93238,42989.8,30459,92497.4,13064.5,437.51,1.311
72837.4,47291,100938,43226.4,29686,95428.4,19767.1,341.7,1.32
55584,34414,105851,48889.9,31427,101952,49355,588.26,1.324
61506,45587,88421.2,29169.1,21991,86927.5,6156.18,743.7,1.332
74936.9,53538,91730.4,41887.1,30882,88890.5,57864.1,748.39,1.347
