"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","530_30 Blue B-A","Time"
90398.6,61652,96093.6,36480.3,24228,98678.1,2606.13,0.166
69762.5,50855,89901.7,19399.3,14855,85584.4,7175.31,0.198
81424.9,57597,92648.3,27333.7,19581,91483.5,5889.84,0.277
111714,75819,96562.9,36916.4,25142,96227.5,2473.65,0.292
95395.6,69642,89771.2,23770.5,18083,86148.5,9194.94,0.299
109680,76401,94082.5,29591.3,19665,98616.7,6610.2,0.324
85929.9,57302,98277.6,27712.5,18106,100307,3620.43,0.353
65334.2,44405,96424.8,38016.2,26913,92573.6,7128.39,0.357
82227.2,55285,97473.9,40704.5,28673,93035.6,9121.11,0.367
77031.4,57804,87335.4,40183.5,32508,81009.8,3769.47,0.389
81775.7,58491,91625.2,40576.8,31951,83228.8,4159.32,0.504
78269,52854,97049.1,34076.3,24838,89911.7,7055.94,0.525
67235.6,46529,94701.2,22378.1,16581,88448.8,3954.39,0.525
107437,63227,111361,59771.2,37803,103621,5603.49,0.535
80512.6,57898,91133.9,23277.2,18087,84341.9,7655.55,0.547
92319.2,53612,112852,29010.4,18232,104279,4685.1,0.562
101612,71263,93445.7,26266.2,19362,88905.3,5175.69,0.562
88446.1,69346,83586.7,16725.6,13294,82452.9,9920.82,0.566
107603,81171,86876.4,41723.6,32375,84460.2,2468.13,0.579
124243,94318,86329,31582.7,22926,90281.9,2272.86,0.609
156402,113350,90427.3,65374.1,45086,95026.2,5324.73,0.666
63027.4,43522,94907.5,31857.3,24866,83962,3732.21,0.669
82305.3,62530,86262,18554.8,14202,85622.2,10010.5,0.714
75137.2,54107,91008.4,23252.3,16470,92523.6,4312.5,0.715
99757.1,69105,94605.1,46901.4,34561,88936.3,2681.34,0.828
111152,78835,92401.2,36053.2,26323,89761.1,3921.27,0.832
102288,71223,94120.1,36630.7,26119,91911.3,4667.85,0.85
76552.2,56383,88979.4,37817.5,29487,84050.9,4753.41,0.866
102193,74065,90425,34497.9,25321,89287.8,2930.43,0.868
85242.6,65402,85417.2,32441,25203,84357.3,9289.47,0.893
124264,85038,95766.3,49129.4,33447,96264,8964.48,0.908
117176,78390,97962.3,47162.9,33962,91009.6,3570.06,0.915
106660,69861,100057,34498.6,25093,90100.9,5552.43,0.957
116906,75951,100875,42024.4,27522,100070,9952.56,0.969
110146,77123,93597.5,73977,56735,85452.6,4108.26,0.992
96181.6,70558,89335.8,35337,25223,91814.8,2448.81,1.012
89557.3,59018,99448.1,26285.6,17703,97308.4,3539.01,1.029
88300.6,67548,85670.4,29232.5,22952,83469.1,7454.07,1.07
72877.9,55720,85716.6,14441,12268,77144.3,6678.51,1.09
67614.7,40942,108231,29739,18503,105333,2463.99,1.107
66741.4,42047,104026,22458.8,15650,94048.6,3212.64,1.132
80357.1,54717,96245.8,61646.7,44477,90835.2,7087.68,1.164
77916.1,50603,100909,29684.5,19798,98262.6,5074.26,1.165
98283.2,69951,92080,40341.5,29074,90934.3,4843.8,1.221
69798.7,47970,95358.1,39258.9,27454,93715.8,2387.4,1.252
128799,85972,98182.8,51787.9,34000,99822.8,2588.88,1.267
76898,51443,97964.5,19331,13955,90783.2,3005.64,1.313
112022,81053,90576.5,34900.2,25933,88197.3,5018.37,1.334
105717,78277,88509.5,42340.5,33857,81957.2,5064.6,1.387
121404,86157,92346.6,34491,25485,88695.5,2378.43,1.438
76730.4,51400,97832.8,36839.8,26252,91967.6,3617.67,1.479
137269,83994,107104,49184.6,29639,108754,8643.63,1.516
111971,81910,89587.9,54732.2,36634,97912.5,2778.63,1.528
69115.7,51379,88159.8,27622.8,21535,84062.5,7759.74,1.559
92101.2,63890,94474,24306.6,17590,90560.5,8242.05,1.582
82879.7,55798,97344.1,22193.8,16138,90128.6,7826.67,1.61
101297,75006,88507.7,31557.8,24291,85141.6,2332.2,1.632
99241,59506,109297,17632.3,10594,109076,5925.72,1.675
99323.3,73134,89004.5,32234,23619,89440.3,3735.66,1.675
84565.3,57145,96982.6,43777.1,29993,95654.8,2697.9,1.679
88351.7,62286,92961.8,41340.7,29998,90316.1,4331.82,1.705
86057.7,62410,90368.2,32841.9,23978,89762.6,5025.96,1.737
125295,82195,99900.7,39879.9,24187,108057,4015.8,1.749
96975.3,62718,101333,36956.4,23347,103738,3188.49,1.793
124640,81063,100766,25628.7,18079,92903.4,4076.52,1.851
134938,90610,97597.6,35520.5,25082,92810.5,2960.79,1.856
104249,78370,87177.3,25909.5,20598,82435.4,5706.3,1.861
138435,97949,92624.5,37061.3,27309,88939.5,4259.37,1.876
108672,79442,89649.3,32777.8,25146,85426.1,2535.06,1.897
140219,92751,99075.7,33480.9,21666,101274,3790.86,1.902
92740.9,61946,98115.6,36033.2,24458,96552.1,2524.71,1.913
84419.7,55551,99593.7,34661.5,21922,103621,3405.84,1.916
78957,53882,96034.4,32364.4,22330,94986,3072.57,1.936
77250.8,60595,83550,18585.2,14863,81948.2,5623.5,2.007
95818,59115,106226,45518.6,28534,104546,4298.7,2.056
125722,72951,112943,79055.4,48111,107688,6691.62,2.087
86842.2,60387,94247,30885.8,22015,91943.2,3463.11,2.125
99640.7,67136,97266,35947.6,23868,98703.8,2535.06,2.167
88243.1,69287,83465.8,22405,17815,82421.2,2666.16,2.182
104964,74898,91844.1,25850.8,19094,88727.4,3646.65,2.186
93043.4,65962,92442.5,39924.8,29226,89526.8,2627.52,2.244
170031,122787,90751.8,57639.8,40071,94269.8,2293.56,2.247
125331,91318,89946.3,42654.4,30894,90483.6,3176.76,2.255
93836.4,68699,89516.1,51523.7,38838,86942.1,2998.74,2.288
109432,68494,104706,41264.8,25543,105874,7564.47,2.288
85965.4,67135,83917.9,26192.4,21906,78359.6,2277.69,2.343
73781.1,55542,87056.9,38424.7,28166,89405.8,9115.59,2.393
75378.6,49499,99800.2,38192.2,25862,96781.5,2895.93,2.395
76460.6,57369,87345.5,35819.3,27661,84865.1,4437.39,2.412
73732.8,55139,87635.8,31415,24731,83248.3,3320.28,2.487
125842,75943,108597,46112,27819,108631,3903.33,2.51
98470.6,69446,92926.4,30540.1,22654,88349.8,2605.44,2.527
87057.4,63883,89310,30417.3,22811,87388.8,2348.76,2.54
75300.5,51923,95042.5,39212,27055,94984.2,3572.82,2.55
97774.1,58370,109778,35061,22938,100172,2751.72,2.575
95033.5,65763,94705.5,51322.9,34443,97654,9160.44,2.678
79214,61063,85016.6,29581,23359,82992.4,3630.78,2.696
105977,72086,96347.9,27690.4,19046,95280.8,2543.34,2.782
83055.8,59271,91834.9,40086.2,29083,90330.8,4018.56,2.791
123068,84991,94896.8,52718.1,38050,90799.8,3443.1,2.806
104955,79075,86984.9,36113.9,26747,88487,3143.64,2.854
101685,72726,91631.8,38334.3,28974,86708,3318.9,2.912
127083,80261,103768,72909.5,51377,93002.7,3823.29,2.937
88825.3,61042,95364.7,31416.4,23402,87979.9,9257.04,2.941
66147.9,41085,105515,25887.4,16185,104823,3455.52,2.961
81581.1,56955,93872.4,30305.5,21782,91180.8,2293.56,3.017
121390,89115,89271.4,38004.5,27206,91548.3,3329.94,3.036
91295.3,56719,105487,28392.8,17682,105234,3044.28,3.047
86351.6,69099,81899,42746.9,35158,79682,3879.18,3.101
122518,85072,94383.1,46930.4,34452,89272.8,2664.09,3.114
124829,83738,97695.4,33108.3,23239,93368.2,7841.16,3.18
95282,71732,87051.8,30020.5,23636,83238.5,4155.18,3.185
63206.3,33662,123055,35401.8,22419,103488,9477.15,3.198
99523.5,65748,99202.6,27695.2,19728,92002.9,2713.77,3.198
112203,83439,88128.6,41555.2,30562,89109.5,7750.08,3.21
78084.4,61275,83514.3,26067.5,21750,78545.3,3276.81,3.215
107557,74682,94385.1,28830.3,20771,90964.4,6227.25,3.273
94834,55916,111150,28352.1,17976,103365,4676.13,3.289
116999,76730,99930.6,43870.9,30030,95741.7,3797.07,3.289
83780,56046,97966.1,37631.9,26634,92597.6,4106.19,3.293
111258,73314,99454.2,21049.8,13282,103864,7805.97,3.325
77229.5,48561,104226,25131.9,15889,103659,9768.33,3.354
95474.4,67857,92208.8,34773.9,25985,87702.3,3893.67,3.37
83461.9,63415,86253.4,25463.1,20667,80744.6,2366.01,3.378
88187,56939,101502,38551,25782,97993.9,3382.38,3.395
105044,76289,90238.4,29569.3,23541,82318.1,8250.33,3.399
145940,95151,100517,53194.9,35634,97832.9,7707.3,3.402
86287,64789,87281.9,48810.6,37041,86359.8,3142.95,3.421
85927.8,58403,96422.5,28725.4,20015,94056.8,3786.03,3.43
113418,80546,92282.4,37911.4,27806,89353.3,2385.33,3.444
120614,74141,106615,43471.4,26873,106015,6283.14,3.462
81444.1,57467,92879.8,41177.8,27846,96912.6,8209.62,3.473
60371.3,36493,108418,35475.7,23673,98210.3,2893.17,3.473
78695,54682,94315.4,43547.3,28103,101552,2524.71,3.479
71734.9,54435,86363.8,15654,12847,79855.4,2444.67,3.48
82751.2,54995,98612.3,37140.6,26575,91591.7,7017.99,3.505
122452,84942,94476.6,40755.5,29642,90107.1,2840.04,3.515
125709,92708,88864.7,36286.4,26832,88628,2447.43,3.522
134387,86639,101654,51549.9,33522,100781,6114.09,3.541
64848.6,52368,81154.8,32010.5,25408,82566.1,2697.21,3.544
112150,81166,90553.6,38816.6,29534,86134.2,2767.59,3.572
109011,74474,95928.3,38706.2,26323,96366.4,3052.56,3.584
86755.6,68419,83100,35477,28655,81138.5,3162.96,3.596
73231.5,50775,94521,35643.3,26331,88713.7,4338.03,3.616
95496.4,57549,108750,39254.8,24509,104966,6941.4,3.618
80195.2,58939,89171.4,33681.7,25750,85722.8,8497.35,3.634
91852,69507,86604.4,26425.6,21427,80824.6,5879.49,3.641
84720,61842,89780.6,24954.5,19502,83859.1,6806.85,3.657
90138,62120,95094.8,31660.7,22760,91164.9,3024.96,3.68
81939,62258,86253.2,25418.9,19866,83854.5,2331.51,3.687
83109,52283,104176,50264.4,33327,98842.7,2866.26,3.691
90921.2,57261,104061,35039.6,22509,102019,3421.71,3.703
136367,81803,109250,73514,45014,107029,2847.63,3.722
62751.9,42770,96154.1,30124,21730,90851.7,4083.42,3.729
81005.3,53355,99498.9,22176.6,14367,101160,9967.74,3.746
90046.5,54034,109214,30540.8,18986,105421,2686.17,3.787
92717.5,68310,88952.3,44222.1,33354,86890.3,2279.76,3.789
72352.5,52267,90720.7,36176.7,25823,91812.6,5305.41,3.795
75615.7,54607,90749.4,39686,29106,89358.4,4086.87,3.813
67025.4,45626,96273.6,22215.9,15751,92435,3224.37,3.816
83523,64674,84636.2,37353.1,30090,81355.1,5783.58,3.822
69783.1,53315,85778.9,28904.1,21727,87184.6,3282.33,3.822
99260.1,63467,102496,46342.5,30870,98383.5,3099.48,3.826
105101,71071,96916,52745,34843,99207.7,2537.82,3.832
90791.2,57222,103983,39504.6,24782,104470,2932.5,3.839
118214,79226,97787.2,27431.6,18286,98313.5,5273.67,3.844
102750,73103,92114,26970,19794,89295.1,5758.05,3.911
75072.6,47269,104084,34290.2,23637,95073.2,9402.63,3.915
87560,66174,86715.9,27806.3,21671,84090,5845.68,3.916
82693,57318,94549.1,24642.7,18242,88530.9,5938.14,3.931
74513.1,49455,98742.1,21930.3,15423,93186.9,5801.52,3.966
70067.8,46458,98841.1,28071.3,18919,97239.8,4926.6,3.974
148692,98270,99162.1,51744.5,34318,98814.8,4962.48,3.988
97879.9,61689,103984,49068.7,29725,108184,4151.73,3.993
77794.7,49368,103272,19542.9,12472,102691,7995.72,4.024
62078.1,43434,93667.5,32166.4,23703,88936.4,4990.08,4.037
66680.4,45910,95185.5,22905.9,16426,91389.4,9199.77,4.096
67174.5,44592,98725.1,24804.1,17056,95307.4,8613.96,4.097
71893.9,50051,94136.8,38914.6,29335,86937.4,5082.54,4.134
105679,72315,95771.9,37229.6,24598,99190.2,2366.01,4.135
102699,70191,95887.8,60001.7,40962,95998.1,8779.56,4.145
91706.4,58613,102538,33872.8,22709,97753.6,4362.18,4.15
81975.2,53173,101035,31509.5,20341,101520,5619.36,4.152
70490.2,47019,98250.6,19594.6,13963,91968.3,4454.64,4.174
93974.9,57458,107187,32250.6,22054,95836.4,10067.8,4.175
74892.9,47849,102577,31827.6,20109,103727,4755.48,4.175
120245,82637,95361.3,29454,21561,89527.4,6419.07,4.215
134260,97967,89814.8,29776.3,21874,89211.7,4416,4.222
83279.4,63538,85898.2,24644,19866,81298.3,2893.86,4.224
72048,55598,84926.4,36026.3,28206,83706.2,3324.42,4.231
81886.4,53847,99662.2,42756.5,25907,108160,6538.44,4.284
93302.5,70045,87296.4,24476.4,18848,85106.3,4808.61,4.289
69531.7,47420,96095.1,44776.2,33368,87942.1,3877.8,4.293
93353.6,70049,87339.2,29094.5,22597,84380.2,2668.23,4.303
93622,56834,107957,45182.6,28826,102723,6922.77,4.316
96381.8,65587,96306.9,36746.6,26635,90415.9,2400.51,4.325
90003.9,70468,83704.6,25200.9,20056,82347.6,7641.06,4.339
74499.6,49146,99344.9,31862.1,22419,93140.5,6471.51,4.37
112994,79116,93599.3,47063.5,31880,96748.9,6440.46,4.371
86322.5,61108,92577.6,26013.7,18932,90050.4,4508.46,4.394
69766.7,46283,98788.6,19645.7,13615,94564.8,6334.2,4.413
98455.7,71858,89793.7,33404.3,24398,89728,3065.67,4.414
143000,86721,108066,48215.1,29861,105818,4008.9,4.426
66937.4,40375,108652,30669.1,18871,106509,8467.68,4.448
115517,81043,93413.7,41262,28587,94593.6,4200.72,4.45
81304.2,53099,100348,33017.9,22159,97651.5,4318.02,4.484
87794.3,57291,100429,41538,27595,98649.6,3565.23,4.517
78335.7,55114,93148.9,41019.8,29418,91381.9,3079.47,4.519
96119.8,70258,89659.6,30185.4,21922,90239.6,3164.34,4.544
96214.2,69774,90370.3,25457.6,19370,86132.5,2415.69,4.557
82572.3,49208,109971,47978.5,31180,100844,4961.79,4.558
96180.1,59490,105955,77140.6,48182,104925,7333.32,4.58
98660.9,74306,87016.4,33612,25358,86867.8,4578.84,4.617
167288,107988,101524,71489.5,44388,105550,3116.04,4.627
71047.6,47858,97291.4,20553.7,14906,90366.9,7737.66,4.633
65378.2,49240,87015.2,31001.7,25560,79488.6,6945.54,4.653
76814.9,53810,93554,59421.4,42266,92136.5,6429.42,4.657
112125,83706,87786.4,33754.8,25395,87109.9,3371.34,4.671
64668.9,43852,96646.5,29186.3,22488,85056.6,3318.9,4.695
86127.3,59895,94238.9,25210.5,17939,92100.9,4478.79,4.699
69287.5,51044,88959,24291.4,17876,89056,2497.11,4.72
74776.5,53339,91875.6,31675.1,23691,87622.4,2485.38,4.765
85618.2,68838,81511.3,45662.1,37782,79204.7,6775.11,4.768
76800.7,56812,88594.1,34061.9,24933,89531,2292.87,4.785
101898,67147,99453.7,29732.1,22911,85047.5,4947.3,4.789
66571.7,47043,92741.6,36196,26571,89275.6,3651.48,4.801
60809.4,43058,92554.3,33009.6,25626,84418.8,5948.49,4.815
65356.2,43984,97380.5,27548.2,18572,97211,2655.12,4.825
85145.3,60706,91919.8,31828.3,23834,87517.9,3545.22,4.836
91314.5,71545,83645.1,26803.1,21613,81273.5,3086.37,4.845
75785.4,51702,96063.4,25492.7,18242,91584.9,5203.98,4.847
84211,56967,96878,43091.2,31043,90971.4,8251.71,4.848
75453.8,50577,97770.6,25010.4,16578,98871,3376.86,4.852
87462.8,64166,89330.2,44747.9,34734,84430.2,2562.66,4.867
75547.5,50838,97389.4,31937.3,23258,89992.5,5739.42,4.875
84250,58997,93588,38720.7,27329,92853.8,3190.56,4.881
87225.6,63639,89825.7,32005,24171,86776.6,2846.94,4.89
94865.2,54862,113322,60533.7,39015,101682,9608.94,4.891
94135.3,62839,98175.6,28437.7,20155,92467.9,9957.39,4.931
112403,82933,88824,38406.8,28909,87067.2,2355.66,4.934
90490.2,62821,94401,24349.4,16069,99306.9,7187.73,4.938
