FSC-A,FSC-H,FSC-W,SSC-A,SSC-H,SSC-W,530_30 Blue B-A,582_15 YG D-A,Time
69339.2,52664,86286.9,71995,56293,83816.2,31941.1,6132.06,0.213
91955.2,69015,87319.8,105863,78659,88201.2,20768.4,2656.5,0.214
65879.2,47198,91475.5,109759,79198,90825,17129.4,3201,0.219
64640.8,47865,88505.2,147322,109273,88355.6,49032.1,6428.4,0.235
55918.4,45776,80056.5,81199.6,67548,78780.9,1655.5,2716.56,0.237
70470.4,57878,79794.5,86745.1,68782,82651.4,4771.69,4274.82,0.242
46240.8,37009,81883.8,89458.6,73301,79982,4269.65,2141.04,0.248
54688,41536,86287.4,116967,88396,86718.2,15012.7,7221.72,0.25
62040,49701,81806.3,148568,124033,78499.9,776.16,1902.12,0.253
100369,72786,90371.4,103081,76214,88639.2,20399.6,2317.26,0.256
47008.8,35918,85772.3,135079,99370,89086.5,18259.8,7019.76,0.258
88420,68649,84410.5,136654,100045,89517.4,3790.71,3324.42,0.264
75021.6,54735,89825.8,115537,82187,92129.3,26977.7,6085.86,0.265
34364,27384,82240.7,81482.9,60760,87887.9,2353.89,2637.36,0.272
53531.2,40936,85700.1,101782,78325,85163.3,8198.96,4858.92,0.275
52518.4,38957,88349.9,78374.4,58265,88154.9,3782.24,2285.58,0.277
98576,68548,94244.6,190836,129092,96881.5,18482.3,3457.74,0.279
83197.6,58061,93908.8,106956,74189,94481.3,20892.4,5200.14,0.285
59165.6,43316,89516,102575,77168,87113.1,22524.8,2288.88,0.286
97774.4,65101,98427.7,126657,85273,97341.6,3219.37,2306.04,0.29
88681.6,63665,91287.8,101959,75381,88642.6,3973.2,4566.54,0.292
51911.2,39777,85528.1,70889.3,55313,83991.1,28259.8,5252.94,0.292
45432,35170,84658.3,96372.4,73806,85573.9,15839.7,1894.86,0.297
65988,45339,95383.4,150701,95103,103849,16168.5,2954.16,0.297
48494.4,35174,90354.5,83418.7,62450,87540.9,25090.4,6878.52,0.297
83433.6,60708,90068.9,101920,74964,89101.4,5632.55,5210.7,0.298
33234.4,26143,83312.9,100192,79035,83079.8,10505.9,6242.28,0.301
60050.4,46567,84511.8,108689,82503,86337,24673.9,5717.58,0.304
46615.2,34637,88199.7,70736.8,55552,83449.9,18194.3,6355.14,0.309
126602,80033,103669,172401,106665,105925,19391.7,3503.94,0.312
88421.6,66376,87302.6,133118,93377,93427.7,5872.79,4885.32,0.317
62939.2,47200,87389.5,93701.3,68032,90263.5,22260.7,5041.74,0.324
35986.4,29265,80587.9,75860.4,62781,79189.4,13171.6,3517.14,0.325
52094.4,41364,82537,81045.6,67880,78247,6268.57,6400.02,0.326
113780,83005,89834.2,121704,88445,90180.2,5355.35,2756.82,0.327
55226.4,43816,82602.6,70467.3,57740,79981.8,1073.38,2578.62,0.328
84952,59412,93708.6,103185,67984,99469.8,16077.6,2612.94,0.332
63767.2,48848,85552.1,104854,78580,87448.6,5731.88,2344.98,0.333
52299.2,39652,86439,108479,85748,82909.1,21687.8,1855.26,0.341
52323.2,38802,88373.1,119094,86394,90341,17412,6975.54,0.351
76948.8,58512,86186,89655.7,70168,83737.3,15994.4,4532.22,0.358
71657.6,49488,94894.8,141426,92640,100048,1904.21,3202.32,0.371
131799,92124,93760.5,143747,93921,100304,18338.3,3367.98,0.385
63980.8,47931,87480.9,81834.1,64315,83387.6,1232,2114.64,0.386
47207.2,37993,81430,82678.8,65108,83222.3,18152.8,4363.92,0.4
50221.6,36455,90284.5,141749,101831,91226,5004.23,3811.5,0.402
51738.4,40867,82969.8,96027.5,78899,79763.5,19838.3,6801.3,0.402
53056,41208,84378.7,82357.7,64657,83477.3,10442.7,6746.52,0.402
72006.4,53507,88194.3,120257,89363,88192.7,8490.02,3063.06,0.403
77895.2,59647,85585.9,80956.3,64079,82797,17837,4593.6,0.404
67691.2,46941,94506.1,63532.7,45753,91003.4,1591.59,2729.76,0.409
64176.8,46780,89907.9,138780,98780,92074.3,3897.74,3127.08,0.412
62567.2,48500,84544.4,87059.3,67508,84516.2,1392.16,2622.84,0.424
66092.8,44368,97625.7,136553,94448,94752.2,15637.9,2473.68,0.424
70816.8,52055,89156.7,113051,80951,91523.1,939.4,1874.4,0.426
69380,51967,87495.7,122681,94815,84796.9,1203.51,1900.14,0.427
54486.4,43075,82897.8,70536.6,58419,79129.9,8344.49,5671.38,0.43
73006.4,48605,98437.4,101997,70365,94996.7,17161,1855.26,0.435
64668.8,48521,87346.4,100697,75044,87938.6,21953.5,4336.2,0.44
70012.8,52607,87219.6,108608,84779,83956.1,17065.5,3211.56,0.443
53428.8,40645,86148.6,103128,78485,86113.6,15408.5,3730.32,0.455
40382.4,33671,78598.8,77428.9,65527,77439.5,4251.17,7078.5,0.468
53868,40724,86688.3,67480.5,53040,83378.6,14171.8,3344.22,0.489
66113.6,52192,83017,98985,75572,85839.8,1589.28,2203.74,0.491
60152,46600,84594.9,70029.2,55852,82171.3,22932.1,4175.82,0.493
62234.4,50763,80345.8,72942.1,55851,85590.8,21887.2,5242.38,0.496
50468,41141,80393.5,66061.4,56125,77138.5,1069.53,2475,0.504
53972.8,41764,84694,113339,91364,81299.1,729.96,1855.26,0.507
48532,39448,80627.5,75479.2,60965,81138.5,622.93,2222.22,0.507
61404,41477,97021.8,137734,90793,99418.7,3356.43,2364.12,0.512
62931.2,47152,87467.3,92090.5,68308,88353.3,2822.05,1908.06,0.522
71962.4,51162,92180.3,104888,72154,95267.5,33719.8,5352.6,0.524
40209.6,30999,85008.4,81780.2,61571,87046.6,13716,5080.68,0.525
45849.6,34817,86302.6,79504,61841,84254.4,11291.3,5767.74,0.529
37643.2,27786,88785.2,107289,77850,90318.2,1544.62,2467.74,0.537
83936,62361,88209.5,102720,76185,88362.3,1824.9,2558.82,0.542
77838.4,50541,100932,105875,76649,90524.6,3331.02,2537.04,0.554
83819.2,60523,90761.8,116975,83871,91403.4,27901.7,6540.6,0.554
56864.8,43153,86360,112127,89641,81975.1,1287.44,3415.5,0.555
68532,54104,83012.6,81701.6,64417,83120.9,813.12,3367.32,0.555
32220.8,25645,82340.5,94405.9,74969,82527.2,954.03,2147.64,0.572
64772,49077,86494.7,122551,90081,89158.6,943.25,1799.82,0.572
68446.4,52544,85370.4,95777.2,72432,86658.6,15297.6,2205.72,0.579
43860,33553,85667.7,73204.7,53157,90252.3,26337.8,6174.96,0.58
91604.8,68229,87989.2,88345.9,65573,88296.1,30088.5,4864.2,0.586
41140,31261,86246.5,122282,96169,83331.2,31387.5,6932.64,0.589
79895.2,59551,87924.8,82517,60315,89659.9,15132.8,6900.96,0.592
78916,58631,88210,113396,85687,86728.4,28383,4051.74,0.592
65996,51453,84059.5,91107.9,69776,85571.7,5718.02,2816.88,0.602
73780,53418,90517.2,151112,98894,100141,45699.5,5880.6,0.605
87905.6,62285,92493.9,92397.7,64729,93549.6,29903.7,4635.18,0.612
49083.2,37972,84712.9,81027.1,66248,80156.3,18825.7,4986.3,0.615
60576,46361,85630.4,138485,109828,82636.2,34502.9,6459.42,0.626
55022.4,41158,87612.3,88925,65486,88992.9,12812.8,3445.86,0.63
78862.4,57100,90513.6,122537,87672,91598.1,24192.6,5670.72,0.641
56652,41983,88434.5,111977,81935,89565.4,11786.4,5903.7,0.65
42801.6,32676,85844.2,92756.5,72236,84153.2,2543.31,4323,0.653
51198.4,42497,78954.7,82070.4,71957,74747,7020.86,2649.24,0.661
51677.6,36953,91650,97936.3,71069,90311.6,16489.5,3046.56,0.663
102848,72784,92606.2,177232,112124,103592,59683.5,3858.36,0.663
58352.8,42629,89709.1,83327.1,63793,85603.8,17395.8,3687.42,0.674
46129.6,34668,87202.9,88924.2,67297,86597.3,20828.5,5969.7,0.683
97496.8,70073,91184.2,132330,96836,89557.3,29142.2,3366,0.686
78708,55069,93668.1,128558,88585,95108.7,33898.5,6428.4,0.696
64272,49155,85690.8,110418,85171,84962.6,10850.8,5300.46,0.696
61896,47016,86277.4,102432,78513,85501.8,23124.6,3399,0.697
107574,71024,99262.2,162190,102332,103870,28536.2,3105.96,0.715
108181,77635,91321.4,103510,74055,91602.2,3244.78,1912.02,0.718
58064,47617,79914.4,70026.1,60245,76176.1,3203.97,2183.28,0.719
34544,26901,84155.8,123349,94117,85890.7,11948.1,2075.7,0.719
51100,39276,85265.6,73445.7,59429,80993.1,19513.3,3542.22,0.72
60001.6,44826,87722.9,84964.1,64222,86702.5,13084.6,4484.7,0.732
93566.4,67349,91047.6,105207,80133,86042.2,16089.9,5811.3,0.733
51464,36763,91742.9,111276,82011,88921.9,2525.6,3061.08,0.735
97885.6,71360,89896.7,123748,89824,90287.3,937.86,3145.56,0.738
64881.6,50785,83727.1,107484,83001,84867.5,13482.7,4839.78,0.738
41639.2,33416,81663.5,83758.3,69804,78637.1,9208.43,2100.78,0.74
62724,46283,88816.2,97657.6,68959,92810,19330.8,5374.38,0.745
57307.2,42157,89088,125976,91248,90478.2,8788.78,5338.74,0.75
37244.8,28924,84389.3,80250.9,64648,81353.3,11580,2294.82,0.755
47163.2,35090,88084.6,73309.4,44854,107112,9136.82,3676.86,0.768
93988.8,61221,100613,141415,93781,98823.6,39585.7,5203.44,0.771
76637.6,56136,89470.6,80899.3,60885,87079.2,27733.1,1978.68,0.775
64717.6,48646,87187.7,87730.7,64834,88680.6,23186.2,4592.94,0.777
46612,35445,86183.2,106631,83733,83457.9,6116.88,3392.4,0.786
100795,72060,91669.6,142327,103096,90474.2,3262.49,2569.38,0.788
87364.8,60883,94041.7,103044,70087,96352.7,2397.01,1900.8,0.79
37206.4,30979,78710.1,73888.4,62743,77177.6,7787.01,3142.26,0.79
66238.4,50596,85797.3,63555,48736,85463.4,2608.76,1860.54,0.796
69080,52144,86821.6,72474.7,53504,88772.8,1190.42,3121.14,0.798
45604,34937,85545.5,120156,90461,87049.2,9536.45,3404.94,0.814
57544,43914,85877,90833.8,68906,86391.4,12672.7,3514.5,0.819
58964.8,45128,85630.1,96005.1,74028,84992.1,3316.39,3937.56,0.822
63111.2,52199,79236.3,123405,106243,76122.3,2875.18,4142.82,0.823
57304,39801,94356.3,107016,71572,97991,35670.2,7114.8,0.837
93064,69195,88142.8,132709,94299,92230,3555.86,3387.12,0.838
65616,53097,80987.8,72277.6,59924,79046.5,5915.14,5002.8,0.838
54492.8,39941,89412.9,90665.2,67605,87890.4,16490.3,7053.42,0.85
69422.4,52537,86599.3,119516,85972,91106.6,1872.64,2715.24,0.855
35439.2,28837,80540.4,76052.1,65961,75562.1,1022.56,2333.76,0.856
58912.8,45159,85495.9,78874.9,60243,85805,857.78,2722.5,0.856
44591.2,33061,88392,94307.3,71421,86536.5,12387.8,2618.22,0.866
56108,43090,85335.2,103838,79474,85627.4,873.95,2423.52,0.87
77368,56566,89636.7,102226,73314,91380.6,4248.86,3606.24,0.871
52592.8,39636,86959.4,115677,88296,85859.1,27397.4,6176.94,0.877
91513.6,68940,86995,108977,79036,90362.5,21224.3,2291.52,0.878
108704,78049,91276.3,109475,77745,92282.9,2728.88,3259.74,0.893
44473.6,36196,80523.3,73986.2,59636,81305.9,15601.7,2731.08,0.912
97047.2,69220,91882.2,86956.1,62116,91743.8,3535.84,3590.4,0.915
50008.8,38828,84407.6,72436.2,56440,84110.2,7392.77,4555.98,0.918
47666.4,35958,86875.4,77913.2,58962,86600.2,19414.8,5716.26,0.935
108386,78734,90217.8,116179,78154,97422,888.58,3620.76,0.936
57816.8,45601,83092.1,83654.3,67013,81810.6,696.08,2834.7,0.94
42239.2,31262,88548,77413.5,59779,84868.8,1518.44,3884.76,0.95
60811.2,46515,85678.2,114649,86467,86896.1,29916.8,7244.82,0.955
73486.4,51535,93451.1,118231,86107,89985.7,3427.27,2997.06,0.963
54722.4,41762,85874.4,83756,66018,83144.5,2852.85,4037.22,0.969
47596.8,34965,89212.2,91594.6,69405,86488.6,1031.8,1882.98,0.972
55116.8,44578,81029.5,109058,86546,82583.1,5528.6,3546.18,0.973
46564,33813,90249.9,98951.9,73281,88493.8,1119.58,3820.74,0.985
77234.4,57677,87758.3,79630.3,59056,88367.9,1526.91,2016.96,0.987
90674.4,66126,89865.4,86963,65591,86890.1,1034.11,1963.5,0.992
62420.8,46376,88209.6,90057.7,66732,88443.6,14880.2,6202.02,0.996
