"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","530_30 Blue B-A","Time"
74175.1,57290,84851.5,69444.4,58243,78140,24167.2,0.209
69819.8,47474,96383.6,57042.3,42426,88114,16485.5,0.21
114263,77225,96968.1,82481.2,59780,90423,19889.2,0.214
126870,85824,96879.5,126768,88888,93464.6,29421.6,0.215
84364.6,55263,100047,84311.1,53682,102929,25504.5,0.218
52643.5,39836,86606.2,159963,123137,85135.8,10068.5,0.219
69293.5,44925,101084,55635.4,36368,100256,30735.4,0.219
86193.4,60065,94044.3,79910.3,58985,88785.3,26968,0.219
75564,47534,104181,58735.6,40947,94006.7,27247.4,0.219
84867.8,57521,96693.4,78051.4,55477,92203.6,19458.7,0.22
78535.4,55123,93371.2,71461.2,53351,87782.5,11187,0.222
84469.7,51693,107090,74752.5,49968,98042.4,22905.9,0.224
119542,82602,94844.3,113588,77939,95511.7,24279,0.224
98570.2,72337,89302.8,69945.3,55609,82431.5,12790.5,0.224
89802,51672,113897,96513.8,65109,97146.7,22752.8,0.225
121609,88593,89959.7,78826.3,58973,87598.7,28676.4,0.226
104250,77892,87713,44144.1,34376,84158.4,29635.5,0.227
86942.9,58973,96618.6,74659.4,51472,95059,29730,0.227
76014,51741,96280.6,81755.3,58496,91594.6,22312.5,0.228
91777.7,66645,90250.5,54145,41037,86469.4,27048,0.229
103509,70611,96069.2,81597.3,59695,89581.4,18768.7,0.229
94543.9,65864,94073.1,64983.5,47164,90296.8,18798.4,0.229
108372,71980,98669.6,129779,85116,99924.5,27384.7,0.23
88296.5,61117,94680.7,80205.6,58317,90134.2,25073.9,0.232
84674.2,66465,83490.7,58335.4,47517,80456.8,20430.2,0.234
86461.2,57813,98011.2,93393.6,65641,93244.2,14873,0.234
99588.2,68403,95414.2,69458.9,49471,92014.6,20457.8,0.234
88132.3,57900,99755.4,61404.5,40332,99777,19727.1,0.235
71946.7,48669,96881,53913.1,38096,92746,22534.7,0.237
119198,65032,120122,102517,69237,97036.8,21377.6,0.237
96372,64921,97284.9,71212.1,51988,89769.9,24469.5,0.239
86224.3,65061,86853.8,61920.6,50069,81048.7,20301.9,0.24
83699.3,56013,97929.3,48287.6,32064,98695.6,19044.7,0.241
102386,66608,100738,88610.5,56392,102979,21584.6,0.243
67915.4,42681,104283,60684.8,42057,94563.1,26814.8,0.244
67683.6,44496,99687.9,62972.9,44624,92483.6,23444.1,0.244
71724.2,53060,88588.8,75428,58532,84453.8,23079.1,0.244
78894,58765,87984.3,46147.2,35136,86074.2,18204.3,0.245
65324.9,47201,90700,81224.7,63629,83659.1,11694.8,0.245
99239.8,63454,102496,102688,66595,101055,22993.6,0.245
122405,77096,104051,65647.3,41761,103021,30253.7,0.246
86683,55416,102513,84865.9,56817,97889.2,14112.6,0.247
112154,78068,94150,88552.5,63820,90933.5,20229.4,0.248
67531.7,45236,97837,77210.3,50032,101136,29859.8,0.249
131508,86921,99153.4,72450.7,50276,94441.2,28769.6,0.249
87490.1,62385,91909.1,73300.8,53833,89236,19579.4,0.249
117871,90704,85165,71987,56824,83023.7,22017.2,0.25
74576.9,51678,94575.5,57008.5,39991,93423.7,26033.7,0.251
80036.6,48825,107430,64139.6,43252,97185.2,23675.3,0.251
142071,83775,111140,106900,70383,99537.9,11029.7,0.252
79151.8,60357,85943.5,89236.3,75693,77262,27940.9,0.256
66322.8,46160,94162.3,85395.8,59284,94401.5,12337.9,0.259
77235.8,49457,102346,83050.5,53953,100880,19306.9,0.259
98220.2,69026,93254.2,80179.4,56526,92959.6,28697.1,0.261
115163,80428,93839.7,68965.5,53333,84745.3,21485.2,0.261
89680.3,65981,89075.5,62114.5,48368,84161.8,25448.6,0.262
86984.6,56781,100397,78734.5,56144,91905.6,26057.8,0.262
