"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","530_30 Blue B-A","582_15 YG D-A","Time"
149357,69171,141509,105683,74326,93184.5,20482.2,193.62,0.222
86041.6,44419,126946,160824,114011,92445.1,1884.06,241.5,0.238
73678.1,40909,118032,75374.8,58209,84862.5,18382.1,174.3,0.303
60213.1,39188,100697,33443.3,29090,75343.4,18719.6,147,0.419
111207,62338,116912,74711.7,57574,85043.7,42672.4,207.9,0.441
81188.5,47796,111322,61985,50666,80177,8311.68,134.82,0.494
45335.7,28697,103534,60011.3,47924,82065.3,1341.36,2134.86,0.522
59548.2,36056,108236,57863.2,46053,82342.5,30113.6,378,0.525
94021.1,51477,119699,97750.8,71298,89851,44633.7,207.48,0.562
96519,53385,118488,105372,74426,92785.4,34796.5,249.48,0.582
192735,88866,142136,138697,94997,95683.4,25796.3,211.68,0.595
69657.6,39874,114488,101226,77607,85481.5,32477.2,237.72,0.597
106266,58642,118758,68053.5,53580,83239.2,41517.9,222.18,0.609
75553.3,43565,113657,90182.7,70983,83262.4,29503.4,192.36,0.666
88002.6,52061,110780,76968.9,62981,80091.4,32101.4,198.66,0.672
72782.1,40777,116974,111811,81667,89726.2,25550.1,190.26,0.692
98560.6,56540,114242,93576.1,71332,85972.6,55794.4,234.36,0.703
60540.8,39084,101515,43634.7,37374,76514.3,30321,197.82,0.738
123955,66411,122321,57768.7,44491,85094.2,31466.3,178.08,0.764
118542,65776,118110,74268.9,55589,87558.5,28223.1,211.26,0.77
97041.3,54087,117583,83538,61277,89344.2,28759.9,207.9,0.818
103743,59811,113673,167018,126393,86600.3,27935.3,282.24,0.827
102148,59645,112237,109198,90214,79326.7,7579.44,126,0.893
68926.7,41172,109715,66317.9,48590,89446.7,15417.5,148.26,0.893
135852,68749,129502,86468.6,61596,91999.6,31721.2,199.5,0.896
53530.9,31912,109934,48803.6,36671,87218.5,11141.3,130.62,0.902
118386,64044,121144,174948,131481,87202,13711.1,218.4,0.925
60961.3,38081,104912,49856,40290,81096.2,442.8,401.1,0.93
98359.7,58880,109479,61738.2,50503,80115.5,59472.9,268.8,0.938
109768,56145,128128,92422.6,63791,94950.8,15088.1,142.38,0.947
147039,76597,125806,100519,75334,87445.8,31308.1,346.08,0.951
81516.8,49896,107068,44683.4,37248,78618.2,18052.2,221.76,1.004
102933,56888,118581,107707,82290,85778.4,21226.3,819,1.006
81964.8,50148,107116,61925,50461,80424.9,29322,173.04,1.024
91475.8,54022,110973,57103.4,46121,81141.5,43403.6,212.52,1.042
125436,61772,133079,104440,70308,97351.7,30602.3,190.26,1.066
109718,61952,116066,103481,79506,85298.1,34371,193.2,1.1
85138.6,51227,108920,67977.4,55595,80132.5,13505.4,137.76,1.11
112839,60995,121240,106255,75667,92028.8,9230.76,174.72,1.164
