"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","530_30 Blue B-A","582_15 YG D-A","Time"
108257,60447,117372,191026,130389,96013.1,108926,58.28,0.427
103745,54329,125145,157163,108909,94572.8,109720,51.23,0.47
116561,66585,114724,123067,98939,81518.3,95150.2,60.63,0.515
135077,75652,117015,126548,95362,86968.2,109775,57.34,0.596
103364,52378,129331,116239,82039,92856,126815,85.54,0.608
114576,63800,117694,178669,128639,91023.9,96797.7,93.53,0.626
135693,64129,138670,166994,110718,98846.6,140518,52.64,0.738
144280,71373,132480,147987,98858,98105.3,98233,66.27,0.752
87673.9,54456,105513,72421.4,58332,81365.5,101503,15.04,0.811
105840,56021,123817,132447,98779,87873.2,128493,79.43,1.258
139751,68769,133181,190784,132888,94088.5,152788,69.56,1.417
90875.8,54944,108395,81052.7,61592,86242.9,112332,71.91,1.62
168836,82148,134694,165636,117423,92444.4,150250,63.45,1.752
177617,88632,131333,126358,89127,92912.2,105199,94.47,1.915
83022.5,48288,112677,87385.2,65271,87740,111210,20.21,2.081
125239,71781,114343,144498,107498,88093.3,149183,97.29,2.236
105914,59263,117125,168846,128706,85975,128443,73.79,2.27
190565,91932,135849,161451,106563,99292.2,94501.7,45.59,2.316
144911,68189,139273,119475,80300,97508.6,98355,52.17,2.413
155805,78724,129704,122239,82596,96990.9,131736,76.14,2.652
159323,78200,133522,128050,87071,96379.5,100559,78.96,2.703
121712,67428,118297,118407,86609,89597.1,94179.1,55.93,2.734
146162,69340,138144,127939,87128,96233.5,98606.5,38.07,3.21
85781.8,45921,122423,85883.3,64865,86771.7,96478.5,34.31,3.214
151319,70312,141040,144121,97038,97334.2,105698,85.07,3.299
71780.8,44006,106900,124240,91850,88647,119697,57.34,3.628
191380,102145,122789,147352,115262,83782,154932,70.03,3.882
188785,92259,134103,163738,115905,92582.4,132806,141.94,3.921
100126,56954,115213,75741.7,57966,85633.1,98257,47.94,3.922
