FSC-A,FSC-H,FSC-W,SSC-A,SSC-H,SSC-W,530_30 Blue B-A,582_15 YG D-A,Time
57534.1,41880,90032.4,42545.7,35841,77795.7,22145.2,21432.5,0.207
58774.3,45964,83801.1,55956.2,48037,76340,22445.1,23667.8,0.21
81665,55664,96148.3,70927.7,55096,84367.7,22369.1,20515.5,0.224
74519.1,54318,89909.1,56035.2,46958,78204.5,31093.2,29308.3,0.232
96571.8,59537,106302,78036.1,59009,86667.7,20153.7,19937.9,0.238
64295.4,44173,95390,57229.1,48384,77516.7,16325.1,14797,0.252
83444.3,58229,93915.5,62981.9,48785,84607.6,21269,17639.6,0.254
61568.5,40062,100718,60239.7,47267,83522.7,23130,19675.6,0.257
64206.8,50246,83745.2,59229.9,48926,79337.9,12162.5,15316.4,0.269
67036.5,45409,96749.7,57532.6,46837,80501.6,31407.8,19787,0.28
75465.6,47505,104109,55200.4,41597,86968.1,23208.6,27402.4,0.305
77461.1,52246,97165.1,58288.4,42894,89056.5,28871.6,24777.9,0.313
65691.9,47540,90559.2,44642.8,34940,83735.4,22757.7,19062.3,0.327
77813,55920,91193.7,67789.2,56420,78742.2,31170.7,19874.9,0.333
107183,67704,103751,81338.9,61176,87135.9,26787.2,29463.4,0.335
75328.9,52443,94135.6,60875.6,49254,80999.4,14142.3,17783.4,0.339
93586.9,61021,100511,83208.5,63353,86075.7,28628.8,28553,0.347
61839.3,41991,96513.6,51148.4,41291,81181.4,31089.6,32938.5,0.354
84768.2,56610,98134,57484.6,45198,83351.4,31120.7,20508.4,0.357
77434.1,55472,91482.5,54176.3,43580,81470.8,26716.3,30254.8,0.371
79434.3,57564,90435.1,53927.4,43388,81455.4,28610,31350.4,0.378
89111.5,60533,96476.5,74299.9,57785,84266.1,21424.6,21956.1,0.392
98090.8,67498,95239.6,67156.8,50771,86687,29336.2,29931,0.4
76841,54861,91792.9,58093.1,48297,78828.7,22388.5,24872.9,0.404
67791.2,52082,85303.3,49384.8,41802,77424.1,27058,23359.5,0.411
62754.6,43903,93676.7,55955.7,45970,79771.8,29009.3,31836.4,0.411
69639.9,49957,91356.9,46946,37121,82881.8,21018.6,24455.5,0.42
78972.1,58593,88330,50541,42765,77452.5,26635.8,21782.2,0.423
98882.6,67789,95596.2,81882,63120,85016.2,18112.1,16656.3,0.423
63501.4,48784,85307.2,51090.3,43992,76110.5,16174.1,18082.8,0.429
63142.6,44301,93409,63816.8,50352,83061.2,21980,17621.7,0.43
86349.7,54604,103637,91523.1,67105,89383.1,28989.4,29838.9,0.436
76831.4,52324,96231.7,54380.8,43564,81808.4,26828,22936.5,0.446
76006.8,55217,90211,51872.6,42409,80160.4,18015.8,17963.9,0.446
75541.4,51550,96036.5,60841.5,49107,81196.3,20828.9,21362,0.47
75886.5,52666,94430.8,58872.4,42019,91821.8,37656.4,29291.8,0.475
88097.7,59647,96795.6,64837.8,49010,86700.9,45041.7,31195.3,0.493
65438.6,43893,97705.4,66524.9,50501,86330.5,43681,22697.7,0.497
67622.2,47222,93847.9,67462.3,55854,79156.5,37361.6,25117.3,0.514
118671,75412,103130,112791,84164,87826.7,31995.4,30167.4,0.514
67023.8,46784,93888.3,54084,43756,81004.8,29496.4,28094.7,0.521
78504.1,55088,93393.2,64250.8,49580,84928.2,16397,21216.3,0.521
74640.4,53300,91775.5,56610,45704,81174.4,17376.7,16803.4,0.525
95958.6,63002,99818.2,73775.1,56467,85623.9,19788,15913.3,0.533
55999.8,40406,90828.2,46409,37370,81387.7,13672.6,21724.8,0.553
63205.1,43097,96113.7,52624.3,41220,83667.9,28227.5,32287.1,0.556
63638.2,41094,101489,64878.1,48890,86967.7,14693.6,16395.9,0.571
64651,44356,95521.9,59327.3,48388,80352,20228.1,22913.4,0.572
99583.8,66903,97549.1,108284,76539,92717.2,2647.41,15469.6,0.581
69448.5,49799,91395,43677.4,37375,76587.1,16685.2,14758.9,0.606
60070.2,43593,90307.2,44339.4,35501,81852,24999.7,24412.3,0.609
74989.7,49941,98406.6,61475.4,47901,84107.9,34599.9,31055.2,0.621
60835,47612,83736.9,44897.8,38300,76825.7,29741.7,30144.4,0.652
86068.3,65017,86755.3,66235.7,54228,80047.7,19483,16120.1,0.653
79489.9,54250,96026.8,76023.7,62179,80128.1,19362.7,15698.5,0.657
78710.3,55380,93144.8,70209.7,59144,77797.6,21611.2,30773.2,0.659
67108.6,44549,98723.4,56436.6,45421,81429.9,45691.9,27683.9,0.664
85087.8,59396,93883.7,59104.9,48952,79128.5,33662.6,28757.4,0.664
56852.6,37921,98254,46944,36905,83363.2,26108.9,22861.3,0.664
76315.2,49184,101687,70798.2,50956,91055.6,22810.3,22334.4,0.667
84017.2,58329,94398.2,67683.6,55860,79407.7,23275.9,32177.1,0.671
57112.3,38268,97807.8,45241.6,35128,84404.3,24118.4,28054.3,0.676
83292.1,58370,93517.8,49965.7,40166,81525.5,19582.5,17497.2,0.679
102899,67640,99698.7,94540.2,73196,84646.5,22052.9,25092.8,0.68
65673.4,44153,97478.5,57130.7,44532,84077,31018.7,31427.5,0.684
67636.5,48624,91161.2,54091.1,45736,77508.2,19630.4,22351.8,0.686
78362.6,55903,91865.8,73536.4,60130,80147.7,58720.4,17406.9,0.689
69417.8,46938,96922.9,67937.6,53203,83686.2,33213.2,29132.5,0.69
81489.1,54628,97760.6,63915.8,47160,88820.7,25030.8,30042.4,0.692
76844.7,52452,96013.4,58062,48012,79254.1,21795.9,17188.8,0.708
70919.8,48580,95673.2,64285,50264,83817.1,26510.8,26034.2,0.709
78513.1,52189,98592.4,82098.3,65325,82363.4,21970.8,26918.3,0.71
66640.6,44668,97773.8,69753.7,57269,79822.9,27083.5,22259.2,0.715
75084.6,50292,97843.4,69639.5,56060,81410.9,37664,26560.2,0.719
