"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","530_30 Blue C-A","582_15 YG D-A","Time"
93219.1,65554,93193.5,55499,44586,81576.8,20051.2,2690.28,0.211
89813.5,65002,90551.3,43604.4,36554,78176.3,12369.7,2771.9,0.216
89760.7,65249,90155.5,45786.9,37825,79330.9,41312.8,1629.22,0.224
120162,78978,99710.7,93399.1,65906,92874.8,27198.5,2446.48,0.225
59126.8,43714,88642.8,53333.9,44286,78925.4,756.9,2633.57,0.226
172808,110306,102670,120420,80966,97470.8,4420.76,1871.96,0.24
143420,92824,101258,110332,77212,93647.8,13304,2432.7,0.249
106969,73522,95349.8,69172,53038,85471.8,34806.4,3089.9,0.259
80516.7,55695,94743.6,75208,59426,82940.7,39473.6,2284.83,0.273
147839,106368,91087.5,87604.4,71168,80671.6,25161.6,3517.61,0.276
119106,77755,100389,78951.9,54950,94161.8,4967.7,1320.76,0.281
126390,81986,101031,103967,78330,86985.4,36441.4,3647.46,0.281
93142.5,67030,91066.5,62702.6,52158,78785.2,32342,1434.18,0.291
92784.8,63971,95054.7,75013.7,60495,81264.6,31351.3,1480.82,0.3
95925.1,67308,93399.7,62947.4,48412,85212.8,28769.2,3135.48,0.312
89329.7,60892,96142.5,73204.7,54536,87970.2,20322.6,1193.56,0.323
114790,73779,101965,51250.5,39231,85614.8,23154.8,3502.77,0.328
118481,73960,104986,103262,72620,93188.9,37093.9,1206.81,0.349
144830,96877,97975.8,78746,56537,91280,65588.1,2031.49,0.35
133245,90506,96483.4,69637.1,52979,86142.4,27902.1,1759.07,0.35
108410,71955,98739.2,70847,50859,91292.2,6103.34,1206.28,0.352
105190,68539,100581,80592.7,50150,105319,35681,3756.11,0.364
119797,80699,97287.3,64210.6,48726,86362.7,37821.2,1636.11,0.371
119739,83571,93898.4,55884.2,44247,82772.3,9516.64,1409.27,0.374
119280,83026,94153.2,60235.3,47926,82368.3,42827.8,1839.1,0.374
158975,95570,109015,113101,76398,97020.3,9438.34,3271.69,0.377
78445,56978,90227.3,52529.4,43066,79937,9951.64,2364.33,0.387
80708.1,55772,94837.7,59234.2,47388,81918.9,23859.5,1961.53,0.389
88585.2,63179,91890,84747.3,67446,82347.3,7131.1,1399.73,0.397
110262,73341,98528.1,87779.5,66857,86045.1,22901.9,2095.62,0.399
115889,80643,94179.1,64338.8,49967,84385.9,31309.6,1352.03,0.403
135143,78151,113328,169927,104203,106872,39334.4,1197.27,0.408
90630.5,65515,90659.6,67365.3,53382,82703,6634.62,1239.14,0.418
100682,70598,93463.2,58191.4,43926,86819.5,5030.92,1622.33,0.428
133313,84307,103631,158770,109963,94624,36298.1,2127.95,0.43
125207,86591,94762.6,66931.4,52434,83656,32979.4,1961.53,0.433
92456.1,66266,91437.6,83209.1,69738,78195.4,19066.3,2442.77,0.435
136542,90013,99412.6,116495,84989,89830.4,15876.9,1457.5,0.445
91852.2,67706,88908.3,55496.7,46906,77538.8,16419.2,1459.62,0.452
124834,81131,100838,77376.1,56918,89091.6,35602.7,1680.63,0.465
76806.8,50399,99875.3,72761.6,54866,86911.8,13530.2,2142.26,0.467
127051,82262,101218,134341,93454,94208.4,26334.3,3663.36,0.482
117509,82140,93755.5,124301,97484,83564.4,25729.4,1911.18,0.483
88267.1,58718,98516.2,61893.5,48407,83794.8,27557.5,1876.73,0.485
147487,93625,103238,99663.1,64809,100781,4134.24,2067.53,0.489
104434,68568,99816.5,70373.1,51820,88999.9,27036.1,1407.15,0.506
156580,100951,101649,141308,102575,90282.6,5680.52,1337.19,0.507
129593,79012,107490,156226,110052,93032.6,58973.2,2038.38,0.516
177533,113571,102445,85304.1,57159,97805.9,50948.9,2035.73,0.532
154328,96866,104413,152840,105322,95103.7,59186.7,1628.16,0.532
82269.7,57934,93065,62587.8,47562,86240.1,23455.2,2388.18,0.533
101647,74035,89977.9,50153.2,41383,79424.9,18930,1496.72,0.533
95920.4,64055,98138.2,107366,78647,89467,26420.2,2423.16,0.533
96527.6,70063,90290.7,54208,44594,79664.8,25868,1449.55,0.54
92815.8,64026,95004.8,60277.1,45507,86806.8,20566.2,2216.99,0.545
90909.1,59083,100838,122256,90310,88718.4,16351.9,3709.47,0.546
83566.6,56061,97690.3,71856.8,53517,87994.6,36515.1,2503.19,0.547
76573.2,56303,89130.3,43656.6,36994,77339,9152.4,1718.26,0.564
123416,83906,96395.9,79446.7,55530,93762.2,41156.2,1317.58,0.565
121134,83038,95602.8,82988.7,64867,83844.6,14812.6,1673.74,0.577
63323,40287,103009,55141.8,39423,91666.5,5624.26,3487.4,0.577
122071,82859,96550.1,73097.4,54182,88415.2,16593.2,2864.65,0.579
84495.2,59430,93176.4,66874.6,53174,82421.7,29598.6,2724.2,0.581
85258.1,60078,93003.7,69718.3,54963,83129.7,33211.4,3108.98,0.584
139263,95310,95758.2,74604.2,55891,87478.5,25931.8,1774.44,0.592
113343,82343,90208.7,54453.9,44879,79518,27947.9,1219.53,0.593
108109,69182,102412,127144,91795,90773.1,5444.46,1720.38,0.599
147466,96738,99902.4,86573.7,59854,94792.2,54802.5,2549.83,0.61
135489,88822,99968.4,102806,75918,88746.6,13000.1,1487.71,0.611
84909,62488,89050.6,42638.7,36380,76810.6,25103,1195.68,0.629
155765,100770,101302,97982.9,71082,90338,31063.1,2106.22,0.633
71119,49623,93925.2,75954.5,56823,87601,12654.4,1319.7,0.633
155569,98530,103475,143162,103482,90665.6,20900.9,2589.05,0.635
156942,101240,101594,118695,82504,94283.6,20202.6,2838.68,0.65
88949.5,58766,99196.7,118394,81822,94828.8,23416.3,2853.52,0.657
102268,70571,94971.8,69711.4,54447,83909.2,31889.6,3864.23,0.665
118058,77641,99651.2,97647.6,72265,88555.1,23824.7,3125.94,0.673
132824,85602,101689,93617.8,68734,89262,38948.7,2147.03,0.678
136800,88283,101552,140632,104470,88221.1,34948.5,3312.5,0.679
99277.2,68282,95284.7,59872.2,46211,84910.2,21763.9,2174.06,0.689
83435.9,58462,93531.8,68187.7,46842,95400.5,14823.1,1406.62,0.69
69616.8,48963,93180.7,79799.3,54563,95847.5,1636.18,3465.67,0.693
82868.9,57575,94327.4,81833.4,62939,85210,27505.9,1471.81,0.693
89441.2,61834,94796.1,49475.7,39111,82903.6,10383.7,1195.15,0.696
109846,70971,101434,121938,87702,91119.2,10489.9,2085.02,0.705
107730,77427,91185.6,62997.3,50087,82428.4,31752.7,1561.91,0.719
89785.1,62238,94542.8,60114.1,49326,79869.4,12004.3,3130.71,0.733
75867.7,52919,93956.1,59779.4,46355,84515.3,34690.4,1879.91,0.737
87867.8,55112,104487,87818.4,60888,94522.2,12236.3,3629.44,0.737
89871.5,63015,93467,77188.1,62575,80840.6,10780.5,2539.23,0.744
113199,70316,105503,121633,86120,92560.8,27112.7,2247.2,0.756
122689,86554,92896.6,62642.3,50727,80929.8,8084.62,1504.67,0.773
101567,72295,92071.1,64015.8,49115,85418.6,39466.1,1487.18,0.778
112971,70966,104327,143802,105882,89006.5,18756.6,1250.27,0.778
96551.4,69131,91530.5,56037.3,46150,79576.6,28565.6,1370.05,0.78
119383,81162,96398.7,72504.6,49767,95478.2,34833.6,1700.77,0.788
111976,76683,95698.9,80331.2,63158,83355.8,38015.5,2728.44,0.809
124476,83318,97909.9,58991.8,41518,93118.3,22376.4,1778.68,0.819
129318,87261,97122.6,77652.7,57529,88460.6,21422.9,3674.49,0.819
99007.3,66763,97187.7,94250.6,71803,86024.3,38075.8,1538.06,0.823
79166.3,55143,94087.1,51747.6,41319,82076.8,10059.5,3076.65,0.826
148810,95379,102249,126988,83039,100221,86670,2418.39,0.827
158858,101215,102859,91115.1,65234,91536.9,36000,2053.75,0.831
150887,99282,99600.1,94705.3,67510,91936.1,14951.2,2368.57,0.835
124465,85106,95844.3,55721.8,44686,81720.9,12887,2999.27,0.839
79846.1,57387,91184.4,106420,87526,79682.7,9097.88,1655.19,0.842
80433.5,57997,90889.1,50728.5,40861,81362.3,6233.84,2688.69,0.843
109792,73127,98395.3,99906.2,70799,92479.4,36735.5,2843.98,0.845
102414,75748,88606.6,84353.5,68996,80123.3,8491.2,2708.3,0.848
110396,72014,100466,119980,83731,93907.9,47388.3,3561.07,0.848
119339,79755,98063,87138,64207,88941.7,28464.1,1736.28,0.864
72735.3,49100,97083.1,105977,81400,85323.2,36259.9,1371.11,0.866
129353,83852,101098,160845,107720,97856.8,42617.2,2201.09,0.87
131042,91344,94018.1,75752.1,59920,82851.9,31060.7,2887.97,0.874
148311,98754,98423.6,115490,83070,91113.1,32655.2,3462.49,0.879
104579,73106,93750,54301.3,43942,80986.1,26347.1,1211.05,0.888
119890,79497,98835.6,53620.4,41709,84252,19867.3,3220.28,0.888
90768.5,61954,96016.5,98564,66078,97755.6,42554,1956.23,0.896
91757.8,62500,96215,65726.2,49504,87011.8,13166,3701.52,0.902
93430.9,62601,97811.4,140526,106653,86350.2,22154.3,1373.23,0.916
88268.4,63686,90832.5,55408.6,44110,82322.7,11004.9,1795.11,0.919
128086,77771,107936,120775,79867,99103.8,23374.6,2489.94,0.928
111687,68351,107087,148847,107986,90334,49869.6,2195.26,0.959
114732,79143,95006,64781.4,48203,88075.7,15565.5,3325.22,0.963
68426.8,45831,97846.9,79902.5,60703,86264.1,24323.5,2259.92,0.972
97441.1,68811,92803.5,55449.7,40166,90473.4,17810.1,2163.99,0.989
72827,52510,90893,64960,53059,80235.6,24141.3,2292.25,0.996
114014,76607,97536.8,76991.5,55714,90564.6,32691.1,1870.37,1.014
78710.9,54471,94699.9,113589,90091,82629.4,20604.5,1880.44,1.017
97156.6,69707,91343.2,51067.3,39734,84228.7,17003.9,1173.42,1.027
104880,68267,100684,97112.9,71318,89239.6,14449.5,2871.01,1.029
102911,69608,96891,81010.3,63371,83778,25778.7,2532.87,1.038
123915,84170,96482,70287.3,52042,88512.1,29090.5,2267.87,1.045
113372,71931,103292,153992,107531,93852.4,43235.5,1164.94,1.051
86869.2,62390,91249.6,50312.7,40930,80559.3,6757.58,3214.45,1.054
105431,76643,90152.1,73070.7,60975,78536.5,5894.54,1285.25,1.056
127462,83199,100402,90575.1,66482,89286.3,11922.5,1870.9,1.067
134539,89766,98223.7,112769,82506,89574.3,5450.26,1557.67,1.07
79100.3,52390,98948.7,126182,94814,87218.1,9438.34,1537,1.074
87907.4,61612,93506.1,54388.3,41324,86254.8,30553.2,2782.5,1.081
114552,77547,96809.1,118745,88550,87883.5,13192.7,1791.93,1.081
115932,79575,95478.4,60052.6,45591,86324.2,43633.4,1645.65,1.083
89123.8,64267,90883.6,41444.5,32758,82914.3,19019.9,3556.83,1.089
140926,84348,109496,99365,64936,100283,14730.3,2722.08,1.09
105983,75900,91511.6,48697.4,39016,81798,12542.5,1897.4,1.09
148241,95615,101606,118736,86162,90312.6,44348.5,3280.7,1.093
102716,76610,87868.2,46775.8,39090,78421.6,34466.5,1405.03,1.094
107446,74845,94082.2,60951.6,47481,84128.9,34447.4,1177.13,1.107
