"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","530_30 Blue C-A","582_15 YG D-A","Time"
143922,88434,106657,74527.1,54050,90364.6,6982.62,13.25,0.105
91606.7,63908,93940.3,46162.2,36292,83359.6,9903.5,6.36,0.109
93037.6,68370,89181.1,53857.1,44470,79369.8,6896.2,3.18,0.112
81570.7,59014,90585.6,51299.8,40878,82244.4,8409.42,-3.18,0.112
136425,92621,96530.7,98172.5,75037,85742.2,7864.22,9.01,0.114
120369,81573,96705.2,68525.3,51653,86943.1,7929.76,2.12,0.121
103044,73148,92320.8,62574.5,51148,80176.7,6185.12,16.43,0.122
97129.6,66434,95816.6,60429.6,47538,83308.4,4976.4,18.02,0.124
90709.1,64103,92736.9,52252.2,40107,85381.6,4033.9,10.6,0.126
82754.8,55128,98378.6,55240.4,42360,85463.5,5224.64,10.6,0.128
147460,96611,100029,71135.8,50167,92928.8,11185.9,16.96,0.142
131553,88786,97103.5,74177.9,52926,91851.4,5445.04,15.9,0.157
92196.7,68251,88529.2,49823.7,41030,79582,6841.68,-4.77,0.164
128262,87381,96197.2,62775.7,48037,85643.8,3981.12,9.54,0.168
110503,74287,97485.9,68819.9,51282,87948.6,5753.02,2.12,0.177
135020,89931,98394.1,76062.9,59359,83978.2,5099.94,31.27,0.178
125453,75133,109428,108722,66509,107132,11189.9,17.49,0.18
145137,95199,99914.1,77004.9,55442,91024.7,4733.38,15.37,0.191
107379,76614,91852.3,59736.5,47542,82346,3622.1,0,0.203
121085,77439,102473,92136.5,66434,90891.1,4566.92,28.09,0.204
136121,92111,96848.7,114163,81458,91848.5,6319.1,20.67,0.206
130351,84886,100637,56553.5,41038,90313.6,4014.18,3.71,0.209
110447,79119,91485.7,56458.4,45346,81596.1,3611.66,6.89,0.216
130710,82743,103528,70616.2,49907,92730.5,4006.64,7.95,0.223
106271,72119,96570.8,55152.2,39471,91572.4,9814.76,14.31,0.223
112335,78554,93718.5,80987.1,59383,89378.7,5139.96,3.18,0.234
99068.6,68478,94812.4,83575.7,61095,89650.8,4366.24,12.19,0.234
106735,72119,96992.4,46970.1,37575,81922.4,10678.4,2.65,0.235
108679,74718,95323.5,56210.1,42490,86697.7,3082.7,-4.77,0.235
