"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","530_30 Blue C-A","582_15 YG D-A","Time"
78604,59038,87255.5,38902.3,33427,76270.8,509.24,108.12,0.16
90037.9,66514,88714,34850.5,29742,76792.4,1973.16,29.15,0.171
135709,90514,98258.8,94592.2,72382,85645.5,330.6,94.34,0.208
92095.1,64726,93247.6,41102.3,32162,83753.5,1736.52,199.28,0.21
75784.5,55486,89511.1,35923.5,30010,78449.8,823.02,184.97,0.234
101079,69339,95535.2,51084.7,42086,79548.6,1165.8,184.97,0.247
109857,75035,95949.7,85888.7,62767,89677.8,5302.94,53,0.273
158436,109650,94694.4,62839.5,50982,80778.5,1060.24,146.28,0.342
106227,79203,87896.8,48198,40615,77771.9,339.3,97.52,0.347
127221,90872,91750.5,57178.1,46433,80701.8,1538.74,215.18,0.392
113222,76591,96880,79913,63211,82852.3,2094.38,175.96,0.422
114950,78446,96032.7,60614.1,44094,90089.4,473.86,76.85,0.427
99544.5,73142,89192.9,41512.3,35962,75650.8,551.58,44.52,0.482
93391.3,63690,96098.2,85037.9,66394,83938.9,1006.3,112.89,0.613
141680,95827,96894.5,82343.8,64855,83208.4,1213.36,192.92,0.641
110802,79198,91688.3,61064.1,49566,80738.8,1060.82,127.2,0.7
71676,53793,87322.9,42250.1,37097,74639.5,867.1,115.54,0.787
101434,75843,87649.3,39402.3,33331,77473.5,2945.24,159.53,0.792
77828.5,62269,81911.9,30930.8,28544,71016.1,2706.86,162.18,0.816
79978.1,57954,90441.5,61803.6,50374,80405.8,703.54,29.15,0.819
79122.1,59807,86701.4,35696.1,31439,74410.1,313.2,91.16,0.878
79111.6,59662,86900.5,33305.3,29082,75053.3,1269.62,52.47,0.887
90945.4,63934,93224.2,36748.2,29854,80670.3,632.2,112.36,0.888
94420.9,65218,94881.3,72983.7,58130,82282.1,404.84,21.73,0.943
133053,94300,92468.1,65359,53317,80337.8,534.18,36.57,0.947
147482,100005,96649.2,62873.2,47529,86693.5,742.98,138.33,0.993
116272,80653,94478.5,56802.3,44576,83511.2,897.84,43.46,1.046
102505,73759,91076.9,49086,40207,80008.4,783,130.38,1.048
124296,85447,95332.2,69706.7,54915,83188.6,755.16,210.94,1.049
100238,74619,88036.7,43237.8,36518,77595.6,5318.6,193.45,1.071
82033.4,61534,87368.6,31773,27470,75801.8,414.12,73.67,1.09
71532.8,55155,84996.3,34711.8,30631,74267.1,721.52,166.42,1.159
114593,83138,90331.5,39183.6,31862,80595.7,784.74,145.75,1.215
83872.8,58522,93925.2,44296.9,36410,79732,273.18,77.38,1.22
123988,90683,89605.5,30814.2,25359,79634.1,640.9,154.23,1.255
77244.4,59859,84570.2,30518.4,27347,73136.2,2683.66,119.25,1.287
92052.8,69150,87241.9,40057.7,35246,74482.8,624.08,92.75,1.31
109664,72822,98692.1,59956.9,44966,87384.6,740.66,145.75,1.328
77291.9,57752,87709.6,34682.8,30257,75122.3,313.2,75.26,1.343
133178,90283,96673.4,56572,43126,85969.1,1299.2,160.06,1.381
82368,61968,87110.6,33726.4,28616,77239.8,370.04,214.65,1.453
86490.4,62694,90411.1,39636.6,33134,78397.6,346.84,204.05,1.459
82139,61039,88190.5,38276.5,32747,76602.1,536.5,78.44,1.479
116893,83207,92067.7,51464,41071,82119.8,1979.54,142.57,1.494
131090,83594,102772,108349,73934,96041.6,8306.76,202.46,1.513
92312.9,69311,87285.1,36840.4,32191,75001.6,545.2,86.39,1.516
111777,81286,90119,61373.9,50022,80408.6,407.74,117.13,1.544
86970.2,62720,90875,52233.6,42472,80598.6,3641.82,155.82,1.573
100225,72727,90315.1,48413.8,40455,78429,1157.68,183.38,1.578
120191,83232,94636.8,54502,44120,80957.5,272.02,134.62,1.595
99064.7,70023,92716.7,50237.9,41763,78835.1,1199.44,169.07,1.63
79383.5,59367,87632.5,60581,50171,79134.1,1275.42,54.06,1.663
91953.2,66378,90786.8,38140.8,31459,79455.7,550.42,71.02,1.696
114243,81353,92031.7,46759.6,37076,82652.9,1028.34,135.15,1.778
89814.8,61950,95013.7,42078.4,33923,81291.5,1065.46,142.04,1.784
94540.4,69868,88678.6,40912.6,34689,77293.9,858.4,118.72,1.802
121771,74742,106773,48431.2,36390,87221.3,3694.02,180.73,1.896
94530.5,69944,88573,47561.7,41121,75800.8,664.68,51.41,1.905
87716.6,63966,89869.6,36650.2,31086,77266.5,988.9,67.84,1.907
140659,93016,99103.8,99505.4,70485,92518.8,2210.96,177.55,2.048
117299,80590,95388,60922.6,49975,79892.4,595.66,38.16,2.096
95274.3,70179,88971,41968.2,35807,76812.6,533.6,75.79,2.157
90356,66982,88405.4,43849.7,37466,76702.5,827.08,170.66,2.177
111770,76775,95408.4,91901,70203,85791.6,2366.98,201.93,2.211
130848,88079,97358.9,69160.9,51151,88610.8,1040.52,172.78,2.218
101173,72971,90864.3,41370.2,33647,80579,773.72,82.15,2.232
84393.5,59083,93610.9,59271.4,47531,81723.7,340.46,31.27,2.24
128066,89136,94158.6,59605.4,46620,83790.3,1498.14,108.65,2.246
127178,89622,92998.8,63041.4,48338,85470.6,1293.4,147.34,2.279
76351.4,58619,85360.9,63261.2,52790,78535.4,642.64,137.27,2.29
71556.5,50006,93779.3,72428.7,56374,84199.9,7800.42,215.71,2.292
94761.5,68310,90913.3,48007.8,40714,77276.5,910.6,46.64,2.297
82670.3,60446,89631.7,41648.6,35550,76778.8,272.02,9.01,2.311
95815.5,67228,93404,56754.2,46120,80647,362.5,187.09,2.325
97156,72438,87898.8,40585.5,34494,77109.4,426.88,7.95,2.342
81026.9,57794,91881.1,49302.9,40438,79902.9,893.2,63.07,2.344
143502,99042,94955.5,61046.2,48562,82383.8,1520.18,218.89,2.347
74411.7,52698,92539.5,52503.3,44442,77423.6,664.1,121.37,2.354
132600,87755,99026.5,81145.5,60598,87757.8,1973.74,144.16,2.39
98459.5,72106,89488.2,47753.7,40702,76890.3,426.3,78.44,2.435
92732,69079,87975.8,40372.1,34055,77692.7,1032.4,120.31,2.451
107962,77546,91241.4,55394.6,45043,80597.3,780.1,51.41,2.463
95619.5,63023,99432.2,69018.3,50335,89861.5,1034.72,123.49,2.474
105594,74148,93329.7,50207.7,41500,79287,1288.18,115.54,2.484
87178.1,63734,89642.9,41866.1,34622,79248.4,2829.82,178.08,2.525
103615,71965,94358.9,54056.6,41888,84574.4,495.32,133.56,2.554
164477,111550,96631,76625.5,59159,84885.3,766.76,77.38,2.562
102082,71923,93017,36516.8,30323,78922.4,707.02,215.18,2.581
98082.6,67586,95107.6,44979,35742,82472.8,1743.48,137.27,2.584
135962,91398,97490.1,75639.5,58702,84445.4,6500.64,133.56,2.614
171756,117450,95838.5,58450.7,42718,89672.3,787.06,177.55,2.619
135186,86504,102418,80515.6,58977,89470,371.2,180.73,2.667
101505,71224,93399.1,53593.7,42104,83420.1,1777.12,60.42,2.667
104262,73539,92915.7,67507.9,54483,81203.3,2210.96,186.03,2.672
96076.9,67010,93963.5,83978.8,64178,85755.8,1822.94,183.91,2.687
90286.7,67157,88107.4,50548.7,43421,76294,1306.16,100.7,2.744
98865.4,69406,93352.8,57070.3,45118,82897.2,2275.92,172.78,2.75
125118,87195,94039.2,66513.2,53142,82025.7,406.58,141.51,2.753
113812,82149,90796.1,48256,39661,79738.4,668.74,31.8,2.766
131826,92274,93627.4,60377.4,48118,82233.1,849.12,117.66,2.77
77158,56327,89772.6,35875.3,30079,78165,1455.22,146.81,2.834
128731,88951,94844.5,65428.6,52551,81595.6,528.96,137.27,2.848
67502.8,52773,83828.2,36251.2,32809,72411.7,537.08,86.92,2.941
98563.7,70382,91777.3,48555.9,39783,79987.9,415.86,29.15,2.945
101658,72115,92384.3,46958,37015,83140.3,5789.56,205.11,2.97
103158,74324,90960.7,55160.3,44471,81288.6,274.92,106,2.977
120841,84153,94107.9,60733.5,47773,83315.5,1643.14,177.02,2.98
79101.7,55819,92871.7,45970.2,36299,82996.9,1400.7,181.79,3.02
109670,73862,97307.8,48369.7,39566,80118.2,577.68,135.68,3.055
89078.2,67410,86601.8,46009.7,40418,74602.6,560.86,136.21,3.108
126081,87706,94210.8,106029,83459,83258.8,825.92,36.57,3.139
98456.2,72022,89589.6,57502.9,48858,77131.9,1175.66,79.5,3.19
107354,76236,92286.2,58041.8,47644,79838.5,607.84,69.43,3.195
103337,69663,97214.9,48992,36159,88795.1,2708.02,93.28,3.249
113952,79074,94442.4,78591.7,61990,83087.4,3965.46,212.53,3.256
108661,77631,91731.6,54106.5,43595,81337.8,493,151.58,3.27
93310.8,67838,90144.4,40568.1,32839,80960.8,392.66,104.41,3.273
80455.3,60510,87138,38322.9,33527,74910.7,729.06,174.9,3.274
134841,94204,93806.2,80294,60520,86948.9,2063.06,215.71,3.292
109560,75751,94785.9,55227,44019,82222.6,1502.2,184.97,3.297
122342,82893,96724.9,64491.4,51328,82343.1,543.46,122.43,3.301
128644,83098,101456,88602.5,67770,85681.8,9792.14,168.54,3.307
114291,78983,94832.6,71873,57107,82481.5,415.28,30.74,3.4
127433,90018,92775.7,70347,56226,81995.2,4973.5,223.66,3.45
112121,80511,91266.4,55173.1,46155,78340.9,485.46,182.85,3.515
101343,75515,87950.9,44804.4,38150,76967.3,471.54,-16.43,3.545
72316.9,56654,83654.4,27721.7,24922,72898.2,1316.02,198.22,3.58
128488,89625,93953.7,51724.4,40916,82848,952.36,38.69,3.587
86169.6,62699,90068.6,46305.5,39334,77151.4,2129.76,117.13,3.587
91369.7,67018,89349.2,55254.3,45386,79785.5,883.92,-1.59,3.601
94507.4,66244,93497.3,85363.8,66744,83818.8,2576.94,197.69,3.643
145792,98594,96908.8,91724.1,67934,88486.3,773.72,106,3.659
122408,81204,98789.5,88975.5,67480,86412.2,10869.8,223.66,3.676
82042.6,59839,89853.5,44840.4,36210,81156,390.92,116.6,3.689
94888.9,69482,89500,41464.8,35614,76302.5,307.4,74.73,3.703
146432,96533,99412.5,65145,48733,87606.8,1401.86,156.88,3.703
98578.9,69395,93097,46484.1,38183,79783.7,340.46,133.56,3.708
107608,74705,94400.4,54572.2,42305,84539.5,1009.2,173.31,3.79
94067.8,68971,89382.9,42429.3,35887,77483.4,850.86,94.34,3.822
100975,72611,91136,43858.4,37195,77276.7,288.84,78.97,3.822
100360,75934,86616.9,49690.9,42538,76556.1,1630.38,94.87,3.841
85314.9,62578,89347.6,51374.7,42590,79053.5,268.54,110.24,3.908
157323,104889,98297.4,93324.9,71076,86050.7,828.82,187.09,4.031
76209.5,55397,90157.8,47405.7,37913,81945,422.82,151.58,4.034
92293.7,68227,88653.5,42252.4,36839,75166.4,1425.06,212,4.044
89091.4,57088,102275,62283.9,47368,86172.9,814.9,205.64,4.045
107395,75386,93362.3,51548.1,42231,79994.7,1110.12,147.87,4.059
119179,81232,96150.6,70026.3,55212,83120.4,344.52,154.76,4.085
135805,89646,99280.6,76154.6,54334,91855.3,3969.52,168.01,4.149
84961.8,65270,85308.1,38702.8,33690,75287.3,831.72,75.26,4.163
129161,87438,96807.7,74322.4,59735,81540,774.3,190.8,4.175
164537,104438,103249,87628.1,61530,93333.3,2821.7,86.39,4.182
120038,81926,96023,77033.9,60838,82982.5,1059.08,148.4,4.212
104421,68882,99348.9,79215.8,65014,79851.9,513.88,107.59,4.214
141039,96786,95501,44311.4,35778,81167,982.52,199.28,4.223
71757.2,52410,89728.6,70945.6,58414,79595.5,3804.22,154.76,4.23
94459.9,65391,94669.3,78417.2,57186,89867.2,1065.46,190.8,4.234
74222.3,52108,93349,49087.7,41489,77538.9,1746.38,111.83,4.242
119886,85299,92109.3,49900.3,41107,79555,1921.54,97.52,4.242
138938,92716,98207.8,66648.4,49685,87911.2,1151.3,192.39,4.291
85194.1,61227,91189.9,51726.7,42854,79104.9,1940.68,139.39,4.31
94383.3,69415,89109,51631,44203,76548.9,2268.96,206.17,4.311
104091,72276,94384.4,68173.2,50756,88025,6395.66,172.78,4.327
96011.5,68975,91224.5,42661.9,36299,77023.9,561.44,168.01,4.337
105615,76274,90746.5,41491.5,34738,78276.9,1196.54,162.18,4.353
111052,76285,95404.4,78458.9,56605,90838,588.12,139.92,4.361
97504.4,71378,89524.1,50461.7,42630,77575.9,1586.88,139.92,4.425
81558.8,61828,86450.2,32195.2,28612,73743.4,271.44,42.93,4.463
105683,77927,88878.7,40970,34067,78815.6,339.88,25.97,4.464
122127,87134,91855.3,64030.8,53358,78644.7,937.28,93.28,4.528
98354.5,72062,89447.4,41077.9,34887,77165.8,549.84,202.46,4.538
92194.7,68836,87774.9,43201.3,37624,75250.9,1085.18,97.52,4.555
126917,88654,93821.1,64710.6,52163,81300.4,5163.74,216.24,4.562
85076.6,62819,88756.3,43241.9,37647,75275.6,1630.38,187.62,4.573
75884.2,56386,88198.2,40362.8,33890,78053,2140.78,108.12,4.573
125379,89458,91851.3,51299.8,40314,83395,926.84,175.43,4.581
91310.3,62691,95454.1,74593.2,60895,80278.2,2273.6,225.78,4.603
122168,81278,98506.4,64489.6,49207,85890,693.1,162.71,4.615
115578,81272,93199.5,78891.6,62097,83260.7,768.5,126.14,4.617
77024.6,54306,92952.7,49122.5,38762,83052.8,1211.62,145.22,4.628
81884.9,59910,89574.5,69783.3,55574,82292.4,2277.66,164.83,4.644
103220,70806,95537.5,87179.2,68230,83737,2282.88,125.61,4.644
128250,86583,97074.3,67517.2,50347,87886.2,1008.62,111.3,4.654
120109,80829,97384.5,69700.9,49264,92723.3,1382.14,136.74,4.66
98751.8,71771,90172.9,74456.9,60335,80875.3,3029.92,217.3,4.663
110170,71926,100382,59111.3,43986,88071.6,744.72,62.54,4.679
84363.8,61350,90120.1,81118.8,67858,78343,1211.04,94.34,4.695
85626.4,61186,91714,59231.3,50565,76768.2,481.98,69.43,4.721
114300,80727,92791.4,50974.5,40807,81864.9,796.92,216.24,4.723
110961,77823,93441.6,72846.3,54594,87446.5,556.8,32.33,4.726
92351.8,64780,93429.6,53112.3,40920,85062.8,1204.08,136.21,4.814
104473,74308,92140.4,58210.5,46504,82033.5,3250.32,193.98,4.834
103009,74009,91215.8,43409.5,36196,78596.7,954.1,123.49,4.841
75307.3,55920,88257.2,62465.4,51992,78737.8,853.76,106,4.869
87329.2,66397,86196.8,35201.9,30365,75975.4,962.8,66.25,4.878
112065,81811,89771.2,43490.7,36735,77588.3,545.2,15.9,4.89
76875.5,58066,86765.3,42537.2,38066,73233.8,451.82,162.18,4.916
125232,82242,99793.1,96793.3,68290,92889.8,2733.54,207.76,4.926
115877,80915,93852.9,51820.1,41671,81497.5,2732.96,109.71,5
88616.9,63775,91063.8,42661.9,35362,79064.8,1776.54,187.62,5.012
98308.3,70447,91455.1,42108.6,35643,77424.1,515.62,49.29,5.07
113627,74962,99339,70024,51370,89334.1,331.18,81.62,5.092
113758,81725,91223.2,64446.7,52992,79702.2,2949.88,200.34,5.104
93065.9,68319,89274.9,45593.2,38431,77749.7,652.5,89.04,5.107
106594,78983,88446.1,54739.8,47247,75929.2,417.02,37.63,5.107
101648,71260,93483,54427.8,44289,80538.7,984.84,147.87,5.144
127818,89365,93735.8,81624,63517,84218.5,2627.98,101.76,5.194
80166.2,58884,89222.5,39140.1,32700,78443.1,797.5,72.08,5.274
126159,81990,100841,52839.7,37298,92844.3,3466.66,157.94,5.277
81547.6,59314,90101.9,42529.7,35074,79467,657.14,213.59,5.317
88137.7,65947,87588.4,38930.2,33014,77280.2,899,70.49,5.322
164835,101218,106726,106590,74030,94359.7,356.7,186.03,5.331
138963,93952,96933.3,70524.5,55624,83091.7,3532.2,100.17,5.333
108091,74166,95513.3,49601.6,37398,86921.5,333.5,55.65,5.334
99778.8,68442,95542.3,80103.8,62458,84051.4,591.02,121.37,5.351
119484,84867,92268.3,82248.1,66551,80993.7,4153.96,219.42,5.376
123716,86594,93630.9,79250.6,65302,79534.6,617.7,211.47,5.401
98761.1,71151,90967.2,41674.7,33147,82396.5,7429.22,181.26,5.407
83329,59767,91372.3,56487.9,44851,82539.8,577.68,111.83,5.415
92085.2,63955,94361.6,39430.7,31563,81872.2,4183.54,198.75,5.418
108999,76614,93238.3,69235.2,55490,81769.6,747.04,107.06,5.433
95449.2,64971,96279.2,38193.6,31647,79092.9,894.36,170.66,5.44
120288,84146,93685,61401.7,49506,81283.5,1209.88,121.9,5.444
91928.8,62295,96711.5,79366,62903,82688.2,1162.9,211.47,5.447
77783,60328,84497.8,28438.6,24792,75175.4,1516.12,170.66,5.449
103566,75955,89359.4,52801.5,44951,76981.5,947.14,129.85,5.458
110753,73154,99219.8,82931.9,57474,94564.9,2911.02,226.84,5.469
115023,80982,93084.1,62348.3,50374,81114.4,1621.68,226.84,5.472
122883,85950,93697.4,62131.3,48026,84784.1,1008.04,171.72,5.472
84954.5,63342,87897.1,44048.1,38650,74689.2,473.86,55.12,5.476
121642,84855,93947.7,68394.2,54839,81735.3,1246.42,31.8,5.498
138900,93920,96922.6,76802.4,58764,85653.2,748.78,3.18,5.511
152849,95775,104590,107327,74027,95016.2,4910.86,200.34,5.523
136506,89916,99493.8,87544,66401,86403.6,411.22,174.9,5.571
113259,79348,93543.9,57729.7,44167,85660.7,328.28,122.43,5.584
109635,76699,93678.6,48360.4,38671,81956.7,555.64,199.81,5.606
176551,114615,100951,85037.3,63163,88232.1,738.34,38.16,5.611
155427,92131,110561,104366,70307,97284.1,4448.02,105.47,5.632
94497.5,68948,89821.1,42494.3,35992,77375.7,428.62,-15.9,5.635
104364,73533,93013.9,54983.4,41712,86387.4,832.88,202.99,5.676
116144,75594,100690,44883.3,36522,80539.7,3091.98,219.95,5.681
85768.3,63335,88748.9,48756.5,39139,81640,1460.44,202.99,5.689
110245,80710,89518.3,49343.5,41346,78212.5,1509.16,206.7,5.689
71784.9,53662,87669,37738.9,32958,75042.6,1101.42,108.65,5.696
120510,79914,98828.1,63262.9,46035,90061.9,1409.4,111.83,5.715
95135,65748,94828.3,62788.5,52844,77868.9,372.36,172.25,5.715
102362,68464,97984.3,89559.5,68908,85177,1365.9,168.54,5.754
121837,87195,91572.8,64929.3,52031,81782.1,1583.4,166.42,5.777
134837,93631,94377.5,73511.5,57883,83230.8,1873.4,195.04,5.782
118562,84629,91813.8,45725.5,38765,77303.3,338.72,26.5,5.786
120127,72755,108208,83695.2,52391,104694,693.68,199.81,5.809
91522.2,61180,98038.6,65179.2,47775,89410.5,1196.54,182.32,5.82
120072,86379,91098.9,47493.3,39003,79802.1,1458.12,172.78,5.836
