"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","530_30 Blue C-A","582_15 YG D-A","Time"
119296,81242,96233.5,53920.3,44522,79370.2,19303,0,0.213
120201,83478,94366.2,59810.2,45830,85527.4,21653.7,10.07,0.216
147162,93134,103554,53132.1,33130,105103,25529.9,7.95,0.222
123102,86211,93579.8,42224,33111,83573.2,21861.4,13.78,0.227
108036,72977,97020.3,50138.1,38173,86077.9,26144.7,14.84,0.229
85751.2,64202,87532.9,37223.2,31598,77203.1,20503,5.83,0.237
95654.5,69766,89854.8,40495.6,33470,79292.5,23780,13.78,0.238
153604,106089,94888.5,93857.9,72308,85067.7,22537.1,6.36,0.242
105104,78415,87841.9,45552,36843,81027.6,27870.2,3.71,0.253
142234,98847,94301.8,56897.4,43867,85003.1,24090.3,3.18,0.277
77159.3,59163,85470.8,38731.2,34443,73695.4,25068.8,4.77,0.301
142622,92286,101282,105489,75075,92085.8,27275.7,24.91,0.302
134851,93682,94336.2,57780.2,46030,82265.5,22653.6,11.66,0.314
72087.2,54375,86883.8,69383.1,55267,82274.9,19400.4,25.97,0.335
162956,104913,101794,118619,84089,92447.7,24437.1,12.19,0.34
121983,84050,95113.5,62546.6,49102,83480.4,18886.5,31.27,0.373
111511,79185,92290,48597,37817,84217.6,23713.9,15.37,0.374
101853,70451,94746.8,76220.7,60771,82197.1,25607.6,6.89,0.381
134915,92496,95590.7,68823.4,51736,87181.2,25481.1,-1.06,0.389
123834,87619,92623.4,65321.3,51391,83300.6,24350.1,12.72,0.396
115600,83003,91273.1,48523.4,38667,82241.4,25064.7,2.65,0.411
108272,77824,91176.7,55422.5,44248,82086.6,23017.9,-3.18,0.426
109202,75362,94963.5,54218.4,40834,87017.1,28762.2,10.6,0.429
144117,94530,99913.8,64627.1,45494,93098,19057.1,11.13,0.43
116352,77439,98467.8,55648.7,43963,82955.9,21678.1,-2.65,0.448
109914,78677,91555.5,61799,51149,79181.6,23188.4,2.12,0.465
100115,72045,91069.8,60092.6,48592,81046.9,24802,20.14,0.467
96507.8,71829,88052.7,39121,32985,77727.3,23343.3,13.25,0.469
100670,76314,86452.5,32858.2,28483,75602.7,23841.5,9.01,0.474
117414,76148,101051,45992.3,35928,83894.1,25651.1,21.2,0.481
84148.7,62439,88322.5,65386.9,55863,76709,22954.7,16.43,0.482
132585,87423,99391.2,80701.8,60539,87363.1,27896.8,5.83,0.484
111715,79154,92495,48409.7,37962,83572.5,22222.7,0,0.489
94905.4,70026,88820.1,46179,37475,80757.5,19030.4,1.59,0.505
119992,86323,91097.3,42740.8,34279,81713.6,22841,12.72,0.51
77314.4,51337,98698.3,66426.8,48468,89819,24992.8,-6.36,0.513
126418,90963,91080.5,59882.1,48991,80105.2,28304,5.3,0.519
172818,106273,106573,81247,54589,97539.8,28587,5.3,0.529
100811,72931,90589.1,69312.9,56915,79811.8,28555.1,9.01,0.534
101148,76882,86221.2,46469.6,39918,76292.2,24589.7,11.13,0.536
98050.9,73066,87946,45651.8,37363,80074.8,28272.1,5.83,0.569
107756,78411,90062.8,58979,46079,83883.1,28178.7,8.48,0.57
89981.8,66077,89245,52435.5,44573,77096.3,20722.2,11.66,0.572
125278,87950,93350.9,46031.1,35742,84402,27084.3,5.3,0.575
110218,80639,89575.1,41580.2,34690,78552.9,18952.7,8.48,0.58
125978,89658,92084.4,57418.8,44942,83730.2,27401.5,13.78,0.581
125857,89019,92656.5,60404.7,46543,85054.3,21478,-1.59,0.619
106744,80392,87018.7,71852.1,62209,75694.9,26213.1,5.3,0.629
69745.5,53227,85874.5,35454.2,31359,74094.5,19812.8,6.36,0.644
106940,78272,89539.1,47430.1,40636,76493.2,28102.7,10.6,0.66
99773.5,73436,89040.2,46235.3,39553,76608,24325.2,-2.12,0.663
79285.1,59817,86865.5,49917.1,43965,74408.5,26728.7,13.25,0.664
130490,89383,95675.8,76839.6,61027,82516.9,23608.3,-4.24,0.674
89076.9,64249,90861.2,47969.5,39028,80550.6,27152.7,5.3,0.693
110568,75967,95386.4,52905.3,39807,87100.3,20317.4,15.37,0.694
111906,79403,92362.9,51538.2,41723,80953.2,21056.9,6.89,0.698
100014,71597,91547.8,63348.2,52048,79764.6,28614.9,-1.06,0.7
157766,98158,105334,101861,68746,97105.1,22041.7,9.54,0.7
99188.8,72678,89441.6,44501.7,37458,77859.5,21846.3,5.3,0.72
76920.4,57067,88335.7,54679.5,44687,80190.6,28398.5,1.06,0.732
134912,87847,100648,41419,32515,83482.5,27286.1,6.36,0.736
135507,97719,90878.5,48372,37835,83787.7,23002.2,20.14,0.741
104722,81738,83964.3,38935.4,33399,76399.6,25503.2,9.54,0.746
86911.4,62918,90527.8,60448.2,50242,78849,25263.1,5.83,0.791
105591,77706,89053.6,39894.1,33559,77907.6,24247.5,6.36,0.797
98184.2,72779,88412.9,43027.3,35615,79175.5,26867.9,6.36,0.804
89137,63406,92131.3,41691,33315,82012.9,24426.1,10.6,0.806
110163,80387,89811.3,61382,50999,78878.6,27312.8,7.95,0.812
104436,75838,90249.6,51117.7,43082,77759.9,22817.2,11.13,0.818
78757.8,57046,90479.1,68355.3,52342,85585.8,23810.7,1.06,0.823
153567,106833,94205,65008.7,50425,84490.1,20570.9,5.3,0.838
96143.5,72709,86658.6,61328,52077,77177.9,23683.7,9.01,0.854
129517,87973,96484.5,59350.8,45741,85035.6,26159.7,11.66,0.855
142985,97245,96361.5,72242.5,56480,83825.8,26214.8,7.95,0.855
103957,76858,88642.7,48661.4,41911,76091.6,24454,1.59,0.859
90637.8,67651,87804.2,45435.5,38963,76422.7,27173,10.6,0.86
126202,88198,93775,56037.3,43942,83575.1,25192.9,10.07,0.864
88310,66355,87220,31323.5,25587,80228.8,25151.1,-1.06,0.873
89641.9,64285,91386.3,52727.2,41040,84199.1,24539.2,5.3,0.875
98698.4,73364,88167.2,55713.6,45226,80733.4,19084.3,14.84,0.881
91582.9,67787,88541.7,34136.5,29343,76242,19128.4,3.18,0.881
101735,76023,87701.2,48051.8,40755,77269.7,19248.5,17.49,0.953
108363,75631,93899.4,40702.7,32795,81338.3,25844.2,4.77,0.957
108173,78328,90507.2,58349.2,47553,80414.9,27333.1,11.13,0.966
133897,92618,94744.7,73636.2,54606,88375.3,20271,11.66,0.997
75888.1,57998,85751.3,39275.9,32519,79153.2,27606.8,0.53,0.998
121393,85887,92628.9,79673.4,62747,83214.8,22089.3,16.96,1
106275,71411,97531.3,46962.6,37067,83031.8,28281.4,7.42,1.002
120652,87451,90416.9,49747.2,39958,81591.5,25764.8,11.13,1.005
140193,88280,104074,75133.2,48533,101455,19084.3,11.13,1.011
136924,94942,94514.8,74374.6,60090,81115.2,28493.7,7.42,1.011
98779.6,71959,89962.6,40452.7,33671,78735.6,24268.9,10.6,1.014
110421,78997,91605.6,48105.2,38777,81301.3,23369.9,8.48,1.014
141115,100791,91755.1,57599.2,45047,83797.4,25594.2,5.3,1.035
127061,79418,104851,66019.1,47914,90299.8,26988.6,14.84,1.052
102439,70006,95897.7,81057.9,61706,86089,25004.4,20.14,1.065
106724,77040,90787.4,56632.4,45166,82173.7,24699.9,12.19,1.082
115899,75176,101037,49224,38853,83029.5,27891.6,0.53,1.1
137456,95227,94598.5,53612.3,40319,87143.4,28131.2,6.36,1.114
156301,95855,106863,83395.9,57890,94410.6,21982,-6.89,1.117
103263,70435,96080.7,62783.3,46563,88365.5,23160.6,13.78,1.142
126152,90666,91186.1,49461.2,40590,79859.4,24618.7,6.36,1.147
97821.9,70511,90920,52495.2,42703,80564.1,25336.1,-3.18,1.18
105040,71602,96141.5,51149.6,37894,88461,25926,6.36,1.192
124528,88218,92510.3,56422.4,45822,80697,21484.4,2.12,1.2
86757.7,62559,90886.2,82886.6,64895,83705.4,27021,10.07,1.201
92891.7,66366,91730,59267.3,45802,84802.9,27149.2,3.18,1.214
97940,71568,89685.3,41199.7,33836,79798.6,25830.3,8.48,1.247
166104,101682,107057,88981.3,59190,98521.3,21200.2,26.5,1.248
97850.3,72879,87991.3,46876.8,39307,78157,20640.5,3.71,1.252
119000,83760,93108.7,68366.9,52412,85486,21222.8,22.79,1.259
86325.4,63211,89500.6,42426.4,34527,80530,25964.9,11.66,1.264
101540,74568,89240.8,38785.2,32065,79271,24019.5,0.53,1.265
100060,69459,94408.6,61290.9,49795,80666,24254.4,14.84,1.28
168481,114662,96296.6,70380.1,52934,87135.5,27478.7,9.01,1.281
104481,74718,91641.1,55721.8,42858,85206.5,27499.5,8.48,1.285
137032,90598,99124.9,85663.1,65174,86138.9,23321.8,3.18,1.288
157826,105997,97580.8,68010.8,53408,83454.8,18877.3,2.65,1.29
104642,77080,88970.4,52593.2,44481,77488.1,27709.5,6.89,1.296
86681.8,62123,91444,56307,45974,80265.7,26148.1,10.07,1.307
90959.9,66410,89762.8,48629.5,39315,81062.8,21179.3,9.54,1.308
105351,71955,95953,50547.6,39059,84812.4,26716,2.12,1.31
134050,90521,97050.4,46998,35556,86625.6,28445.5,15.9,1.338
107921,75369,93840.7,56634.1,44116,84132.1,22842.7,2.65,1.344
109804,75714,95043.6,50167.7,40050,82092.1,22546.9,14.31,1.376
131232,90266,95278.9,56397.5,44862,82387.4,28536,12.19,1.396
93442.8,66783,91698,72006.4,58178,81113.4,24445.8,14.31,1.411
111603,80958,90343.1,56110.9,46766,78631.6,22304.5,-2.65,1.414
117150,86898,88351.2,45408.2,38102,78102.8,22203.6,13.25,1.446
103485,74242,91349.6,52999.8,43934,79059.4,19737.4,6.36,1.447
150591,99706,98982.3,68741,50791,88697,22791.7,10.6,1.447
110909,76157,95441.5,59475.5,49920,78080.7,19614.4,18.02,1.457
108321,80267,88441,59308.5,47183,82378,28580.1,-2.12,1.477
140680,91105,101197,47765.3,36877,84886.2,28824.8,6.89,1.481
122900,87875,91657.1,53575.8,43175,81323.5,27437.5,7.42,1.486
115492,82430,91822,50710,39838,83421.1,25551.9,-14.31,1.486
180215,111887,105558,89576.4,56523,103860,23246.4,16.43,1.503
113649,82935,89806.3,48942.7,40023,80141.7,23619.3,12.72,1.504
109998,76918,93720.6,43697.8,35570,80511,20838.8,-4.77,1.512
85051.6,65211,85475.5,45960.9,38982,77268.9,23603.1,6.89,1.513
104455,76409,89591,43602.1,36564,78150.8,24293.3,-7.95,1.514
140443,94492,97405.6,104087,80053,85211.9,25123.3,32.86,1.518
