FSC-A,FSC-H,FSC-W,SSC-A,SSC-H,SSC-W,530_30 Blue B-A,582_15 YG D-A,Time
123135.0,47818,168760,96155.4,40974,153796.0,11271.7,10239.0,0.207
147889.0,64473,150328,54015.0,26330,134445.0,4022.1,3626.0,0.21
181141.0,70385,168662,90619.3,42102,141058.0,7749.9,9428.58,0.227
129587.0,59484,142771,57376.5,32943,114143.0,34396.0,8181.04,0.227
135010.0,56919,155449,49522.0,26305,123379.0,585.33,562.52,0.235
151417.0,61733,160745,78465.8,37974,135417.0,3775.76,2218.72,0.237
163403.0,63286,169212,78378.6,35309,145476.0,5182.95,4774.56,0.238
95625.8,49414,126825,65171.1,34381,124227.0,612.58,896.7,0.241
148218.0,66632,145780,91864.1,46858,128482.0,6605.4,2233.42,0.253
153871.0,66151,152441,82487.9,38236,141383.0,625.66,456.68,0.256
97248.9,44242,144055,48373.1,26417,120005.0,2101.52,2432.36,0.256
160325.0,64006,164158,138068.0,71358,126803.0,7707.39,2325.54,0.257
120350.0,56242,140237,49976.5,26017,125889.0,1831.2,706.58,0.261
128314.0,55570,151327,56690.9,29971,123963.0,2270.47,1755.18,0.269
121710.0,54439,146520,56424.9,28976,127618.0,27901.8,4418.82,0.271
104834.0,43944,156344,57503.0,28451,132456.0,1135.78,1643.46,0.274
133610.0,58295,150206,53233.4,29167,119611.0,3606.81,2854.74,0.275
121960.0,49879,160243,56019.5,28567,128515.0,536.28,873.18,0.277
182701.0,63998,187092,79336.7,32362,160664.0,5731.22,4201.26,0.291
100584.0,47842,137784,65040.3,38554,110559.0,1594.67,1648.36,0.293
146979.0,54367,177174,149350.0,67634,144717.0,1020.24,1090.74,0.293
105302.0,52339,131853,73708.0,34123,141562.0,1084.55,645.82,0.295
147769.0,65786,147208,58686.7,29475,130487.0,6425.55,2929.22,0.307
106813.0,58342,119983,85981.4,47798,117889.0,911.24,1607.2,0.325
139392.0,61648,148183,54748.5,26009,137952.0,4042.81,1498.42,0.327
146353.0,60339,158958,135129.0,57050,155230.0,9719.53,7578.34,0.335
153265.0,62714,160162,63547.0,29108,143075.0,19892.5,6356.28,0.347
158296.0,66114,156912,113185.0,49791,148976.0,2280.28,2883.16,0.353
147478.0,51139,188997,109682.0,43553,165044.0,27282.7,5766.32,0.353
103358.0,44475,152303,53596.4,25059,140169.0,4928.98,4576.6,0.355
196371.0,69551,185035,124677.0,56333,145046.0,14766.2,6328.84,0.357
95262.2,39526,157949,62685.9,31769,129314.0,22051.8,12324.5,0.358
107542.0,48286,145961,64634.8,34230,123748.0,2837.27,3377.08,0.359
101830.0,45383,147049,57839.8,30100,125933.0,16405.6,10224.3,0.365
131468.0,53151,162102,63661.5,31397,132883.0,6703.5,6258.28,0.369
