FSC-A,FSC-H,FSC-W,SSC-A,SSC-H,SSC-W,530_30 Blue B-A,582_15 YG D-A,Time
166700.0,61310,178191,92533.4,41533,146011.0,1180.47,41.16,0.259
156641.0,54727,187579,99919.2,43574,150280.0,1180.47,39.2,0.264
126568.0,54542,152080,53629.1,27470,127945.0,1779.97,29.4,0.327
131500.0,54199,159006,71705.6,38295,122713.0,1423.54,25.48,0.343
122753.0,53536,150268,76479.9,35991,139262.0,1456.24,23.52,0.359
151496.0,54024,183778,85014.6,38571,144448.0,1049.67,25.48,0.374
110686.0,44243,163956,82520.6,38655,139906.0,1770.16,44.1,0.402
172307.0,56990,198146,143457.0,61386,153156.0,1757.08,26.46,0.41
124865.0,48523,168645,79205.9,42993,120737.0,1761.44,18.62,0.467
104509.0,49730,137725,40522.9,23471,113149.0,1064.93,7.84,0.469
107084.0,42926,163488,81806.7,42534,126047.0,1697.13,8.82,0.487
125639.0,45126,182464,98451.0,44074,146392.0,1070.38,37.24,0.525
122372.0,45119,177747,50290.4,24691,133483.0,2041.57,17.64,0.589
147337.0,55749,173202,129459.0,61210,138609.0,2093.89,55.86,0.604
168894.0,56526,195815,127830.0,53530,156500.0,1699.31,59.78,0.614
111213.0,57759,126187,82793.1,45377,119574.0,1018.06,32.34,0.617
148157.0,51999,186727,97420.9,43258,147593.0,1818.12,44.1,0.634
131919.0,64175,134717,79026.1,42858,120842.0,1082.37,34.3,0.663
121247.0,52291,151959,54999.2,28465,126627.0,1924.94,2583.28,0.738
147370.0,61203,157803,81315.1,42710,124773.0,1176.11,17.64,0.799
144653.0,60684,156219,64253.3,31669,132966.0,1350.51,23.52,0.8
129231.0,48504,174609,72927.5,32562,146778.0,1479.13,19.6,0.821
149903.0,65123,150854,57582.5,27619,136635.0,1625.19,55.86,0.836
180110.0,60947,193672,90089.6,39960,147751.0,1400.65,8.82,0.852
153073.0,60778,165056,56041.3,23963,153266.0,1899.87,37.24,0.857
164367.0,59930,179743,83673.9,38163,143690.0,1088.91,38.22,0.896
149413.0,54042,181192,87495.4,40962,139986.0,1643.72,49.98,0.935
136889.0,61007,147052,50293.7,26063,126465.0,1180.47,14.7,0.942
121949.0,55634,143655,41807.0,23885,114711.0,1086.73,16.66,0.975
137261.0,52927,169961,112992.0,54482,135917.0,1288.38,36.26,1.09
161765.0,68832,154019,62665.2,33165,123830.0,1443.16,24.5,1.095
147580.0,66011,146518,47267.9,24854,124638.0,1141.23,10.78,1.151
159649.0,56534,185070,112563.0,50419,146313.0,1853.0,52.92,1.165
120287.0,54419,144860,56992.8,27786,134423.0,1740.73,-1.96,1.173
143301.0,51618,181940,91705.0,41635,144349.0,1478.04,46.06,1.189
138740.0,47719,190541,131839.0,51282,168484.0,1662.25,61.74,1.237
138225.0,56706,159748,86825.0,41043,138639.0,1141.23,38.22,1.238
147508.0,65286,148073,69145.2,37486,120885.0,1444.25,10.78,1.318
133790.0,60755,144318,50034.3,26435,124042.0,1409.37,8.82,1.343
145850.0,49603,192699,136405.0,54002,165539.0,1593.58,23.52,1.365
92897.8,40879,148931,48911.6,27166,117996.0,1395.2,41.16,1.385
160690.0,61170,172159,81078.6,39374,134951.0,1619.74,15.68,1.39
128850.0,48796,173053,72981.0,37011,129229.0,1157.58,9.8,1.392
164261.0,54213,198569,104260.0,41927,162968.0,1560.88,73.5,1.395
119500.0,48235,162363,78365.6,38315,134041.0,2114.6,41.16,1.451
119550.0,52227,150014,42747.6,22087,126840.0,1524.91,4.9,1.475
96799.4,41961,151184,45726.6,23722,126327.0,1049.67,12.74,1.484
