FSC-A,FSC-H,FSC-W,SSC-A,SSC-H,SSC-W,530_30 Blue B-A,582_15 YG D-A,Time
246907,125913,128512.0,117189.0,82324,93291.1,963.0,1470.15,49.989
119362,82592,94712.8,54593.5,43132,82950.9,666.0,855.9,49.993
166539,100237,108885.0,97504.0,69241,92286.7,1605.0,579.6,49.997
113683,71668,103956.0,52815.5,40944,84537.8,5701.5,4074.75,50.0
166160,108046,100785.0,49049.5,39367,81654.9,3045.0,3589.2,50.011
157088,98844,104153.0,61465.0,46892,85903.1,26442.0,9189.0,50.014
143922,98248,96002.6,54347.0,40984,86904.3,2404.5,2266.2,50.014
136692,81533,109873.0,90565.0,66345,89460.7,1798.5,1042.65,50.015
186123,112489,108435.0,86459.0,62276,90984.9,1307.5,1674.0,50.019
116973,80701,94991.6,48864.5,41072,77970.0,30786.0,7402.95,50.022
158147,97935,105828.0,52360.0,37522,91452.1,3708.0,1560.15,50.03
138223,97985,92448.8,59339.5,46453,83716.3,2921.5,1768.95,50.036
156293,99839,102593.0,76606.5,58066,86461.7,2664.5,3136.05,50.04
164232,102133,105383.0,81896.0,61977,86598.8,6625.5,5391.9,50.044
120905,84627,93630.4,67998.0,53407,83440.7,556.5,486.0,50.051
150575,88528,111468.0,62385.5,42528,96136.6,772.0,4411.35,50.052
154867,101385,100107.0,62547.0,48180,85078.5,33934.0,4604.4,50.055
161807,95616,110904.0,92459.5,65452,92578.2,2563.5,2218.05,50.057
138259,92956,97475.5,53461.0,42261,82904.3,2279.0,839.7,50.065
135469,92031,96468.4,57182.0,44418,84368.5,912.5,586.35,50.065
150722,87797,112506.0,82172.0,63641,84618.8,26275.5,5186.25,50.079
160128,86226,121705.0,92782.0,65870,92311.5,6494.0,7097.85,50.08
157688,103632,99720.6,70852.5,53580,86662.7,10458.5,2174.85,50.086
135383,89241,99421.6,61795.0,49700,81484.9,15667.0,2889.0,50.094
134952,87585,100979.0,71769.0,53181,88442.4,51114.5,8521.2,50.112
112430,78604,93738.1,48200.0,38177,82741.8,27851.5,6146.55,50.116
138251,88204,102721.0,69488.0,54668,83302.2,22792.0,7837.65,50.123
133802,92204,95102.9,61035.0,48232,82932.3,29135.0,3888.0,50.125
204652,112598,119115.0,123889.0,87022,93300.4,1163.0,861.75,50.126
153162,85325,117640.0,86877.5,62105,91677.1,7064.0,6550.65,50.146
183817,114732,104998.0,89129.0,66721,87546.0,4376.0,3598.2,50.148
166559,97296,112190.0,83009.0,63804,85262.3,35017.0,5439.6,50.155
153577,96166,104661.0,96631.5,64826,97689.9,13919.0,6187.5,50.169
165705,98244,110537.0,111795.0,77756,94225.5,2257.5,1377.0,50.17
135793,83481,106603.0,80495.0,57741,91361.8,1218.0,1537.2,50.175
171592,102917,109267.0,105654.0,78109,88647.6,1407.0,1123.2,50.177
162522,96833,109994.0,96164.0,69421,90782.4,1383.5,1183.95,50.186
113695,81843,91041.5,59032.5,47215,81939.1,4366.5,3143.25,50.199
148306,99384,97796.0,50481.0,38289,86404.0,1902.5,582.3,50.202
244734,138224,116035.0,125104.0,82700,99138.9,11941.0,7574.4,50.204
151003,101276,97714.8,74570.0,55608,87883.4,7288.5,4665.6,50.207
167233,113388,96657.4,63184.0,50245,82412.7,2192.0,1726.65,50.209
127438,87635,95302.1,52268.0,43439,78856.2,667.0,625.05,50.212
166136,91452,119056.0,85974.0,60929,92474.7,2485.0,2644.65,50.213
146869,84472,113945.0,96990.0,70817,89757.2,6609.5,4917.15,50.214
161046,95481,110539.0,85739.0,62221,90307.0,3241.0,2511.45,50.217
138191,91400,99086.2,62248.0,49256,82822.1,18235.0,4771.35,50.225
142702,97090,96324.2,50676.0,40658,81683.9,2293.5,1368.45,50.226
204925,125065,107384.0,85771.0,62212,90353.8,1910.5,1986.3,50.229
202497,125065,106112.0,88356.0,63268,91523.4,64405.0,8887.95,50.229
158743,106304,97864.6,53839.5,43072,81919.2,2631.5,1668.6,50.234
164685,98617,109441.0,89292.5,64596,90591.9,4937.5,1017.0,50.238
167321,93686,117046.0,68843.0,48094,93809.9,28273.5,7731.45,50.258
153613,95415,105510.0,97420.0,69755,91527.7,48715.5,7215.3,50.258
137462,88493,101802.0,57039.0,42064,88867.2,1313.5,1594.35,50.259
130349,82432,103632.0,70009.5,55900,82077.7,25595.0,5225.85,50.265
118942,84797,91925.2,36616.0,31168,76991.3,9157.5,3021.75,50.267
163167,104593,102237.0,65809.5,51585,83607.5,1318.5,953.1,50.272
171733,110744,101628.0,59738.0,48753,80302.5,16838.5,8600.85,50.273
144786,95801,99046.2,68504.5,54436,82473.2,1794.5,1501.65,50.275
148401,96834,100436.0,82655.5,66058,82002.3,26550.5,8427.15,50.278
142405,99364,93923.9,46453.5,37796,80547.6,1380.0,799.65,50.29
133243,85656,101945.0,73859.0,57224,84587.3,1287.5,623.7,50.293
142442,89299,104537.0,72936.0,51259,93250.6,673.5,879.75,50.296
126915,79072,105189.0,48903.0,39788,80549.6,878.0,694.35,50.301
198802,123327,105643.0,93538.5,65746,93239.7,7852.5,3707.1,50.303
127633,85527,97800.4,56809.0,43371,85841.6,806.0,849.15,50.309
145997,90606,105600.0,106215.0,72119,96519.7,6063.0,6785.1,50.311
174251,115141,99180.2,131306.0,95997,89641.0,4554.5,3424.5,50.311
130450,86203,99174.9,47458.5,38566,80647.2,2502.0,1557.0,50.315
147855,90753,106772.0,71336.5,54537,85723.6,2752.5,1582.2,50.318
163391,95724,111863.0,101369.0,74805,88808.5,29287.0,9128.7,50.321
148106,88403,109796.0,93692.5,70559,87022.7,889.0,668.7,50.327
127047,84317,98748.1,59740.5,46928,83428.9,11287.0,4283.55,50.332
148771,82149,118685.0,93576.5,70493,86996.3,5806.0,5456.25,50.335
193293,112457,112644.0,93929.0,64212,95865.7,7072.5,4072.05,50.345
112591,84004,87837.9,49706.0,42204,77185.4,3414.5,1930.5,50.347
125472,83753,98181.0,62166.5,48580,83864.6,3920.5,1841.4,50.35
127603,88617,94367.9,46867.5,37492,81924.4,12547.0,8714.7,50.356
141420,87421,106017.0,71813.5,50416,93350.7,1554.0,870.3,50.358
126058,87412,94510.4,45122.5,37424,79017.4,810.0,573.3,50.371
147028,97884,98439.6,64418.5,45896,91984.7,1307.5,1648.8,50.374
128801,88668,95198.8,58426.5,48037,79710.2,2305.0,3173.4,50.379
118588,86861,89474.0,54085.0,45264,78307.6,13515.0,6666.75,50.381
139502,90098,101472.0,65431.0,49742,86206.5,4884.5,3151.35,50.387
138925,88092,103353.0,65639.0,50876,84553.0,9501.0,6982.65,50.39
180329,116700,101269.0,77523.5,62072,81849.8,940.0,779.4,50.395
144916,90853,104534.0,87028.5,64077,89010.1,21167.5,3482.55,50.399
153082,100597,99728.4,57481.0,46549,80927.1,26700.5,8992.35,50.4
143124,97201,96498.6,80966.5,64561,82189.3,6915.5,1609.2,50.418
168227,102985,107054.0,65041.5,48724,87483.8,5568.5,1526.85,50.418
137818,89193,101264.0,65047.5,49517,86090.7,27433.5,7091.1,50.421
133089,86675,100630.0,47373.5,38923,79764.4,10666.0,2527.65,50.422
119135,81134,96231.1,60934.5,47315,84400.4,513.0,554.4,50.426
136177,94463,94476.2,54119.0,45090,78659.2,1281.0,760.95,50.441
177499,111065,104737.0,69720.0,51508,88708.0,633.0,594.9,50.456
133718,92392,94849.2,55635.0,45852,79518.8,2169.0,1795.05,50.457
140586,97143,94844.3,56726.0,41855,88820.8,14791.5,5195.7,50.461
124413,87623,93052.2,66261.0,50203,86498.4,1610.0,4938.75,50.464
216684,131033,108374.0,118993.0,87060,89574.2,43751.0,7897.5,50.465
125168,77588,105725.0,75952.0,57352,86790.2,1573.5,1250.1,50.477
140520,92369,99699.5,62561.0,49005,83664.9,1740.0,919.8,50.486
134096,91476,96070.2,50436.5,41672,79319.6,395.5,385.2,50.493
184492,102831,117580.0,96827.5,72450,87587.1,1145.5,981.45,50.496
140937,91249,101223.0,58080.0,42669,89206.0,2413.0,1823.4,50.497
135204,88546,100069.0,73882.0,60382,80188.3,6146.0,2909.25,50.518
136692,94038,95261.9,47427.5,37886,82041.1,594.0,404.55,50.519
134639,82822,106538.0,86051.0,61386,91868.5,9533.5,5568.3,50.522
223116,126568,115528.0,111705.0,84572,86561.7,8289.0,3658.5,50.523
163642,108352,98977.6,60768.5,48916,81415.6,1673.5,1984.95,50.535
124540,89106,91597.3,44692.5,36378,80514.8,8277.0,2865.6,50.535
