FSC-A,FSC-H,FSC-W,SSC-A,SSC-H,SSC-W,530_30 Blue B-A,582_15 YG D-A,Time
135073,90272,98061.1,50759.0,39796,83589.9,20681.5,17.55,0.209
165203,100740,107472.0,83603.0,67092,81664.1,29389.5,61.2,0.212
138987,98089,92861.3,53913.0,42228,83670.6,31418.5,21.6,0.219
208256,117120,116532.0,71522.0,48352,96940.5,22014.5,69.3,0.22
132755,90028,96638.9,67499.0,49733,88947.3,24927.0,50.4,0.224
153649,105291,95635.3,53037.0,42822,81169.3,26045.5,29.7,0.225
187054,111247,110194.0,101561.0,73650,90372.0,15429.5,37.8,0.225
161250,103456,102147.0,57200.5,39068,95953.0,17827.0,35.55,0.227
158404,96493,107584.0,113572.0,75648,98390.6,28224.0,54.45,0.234
158352,104963,98870.8,65698.5,49803,86453.0,15450.0,31.05,0.238
181675,108824,109409.0,72197.0,50561,93580.1,15176.0,54.0,0.239
154004,98402,102567.0,59564.0,47966,81382.4,27004.0,36.0,0.239
128278,87052,96572.5,52230.0,41169,83143.8,15371.5,25.65,0.24
192297,106468,118368.0,112809.0,75600,97791.7,15158.5,53.1,0.241
138667,88944,102173.0,62351.0,43304,94361.6,17705.5,30.15,0.251
163542,104638,102428.0,71249.0,52979,88136.3,15901.5,20.25,0.251
149743,98621,99507.5,80314.5,58560,89882.0,11435.0,21.15,0.254
182792,109464,109437.0,154968.0,95477,106371.0,30972.0,105.75,0.254
163489,106458,100644.0,75707.0,58023,85509.8,30874.0,52.2,0.255
154829,107348,94523.1,52322.0,41416,82793.5,29211.0,54.9,0.255
179558,107936,109023.0,59426.0,41492,93862.5,22242.5,63.0,0.259
215283,123768,113994.0,106947.0,65189,107516.0,31670.0,45.45,0.26
163320,104713,102216.0,73209.0,49876,96195.1,19267.0,24.75,0.264
183732,112048,107463.0,73442.0,57044,84375.1,22678.5,45.45,0.272
192854,127152,99399.8,87073.5,70632,80791.3,17062.0,114.3,0.273
154458,97754,103552.0,125459.0,86451,95106.8,28707.0,60.75,0.275
141073,86382,107029.0,71466.5,50739,92308.2,24453.5,79.2,0.276
193188,122116,103678.0,69163.0,48620,93226.4,19524.0,50.85,0.276
197320,114352,113086.0,98564.5,70148,92084.2,14360.0,67.5,0.279
138026,94057,96172.0,48555.5,38148,83415.5,20219.5,60.3,0.279
152478,85260,117204.0,69090.0,45697,99084.9,29887.5,76.5,0.284
202465,108021,122835.0,84732.0,59125,93919.6,11273.5,57.6,0.285
196791,123696,104263.0,77106.5,54320,93027.5,20548.5,31.5,0.294
144197,97233,97190.4,61063.5,44701,89525.0,13081.0,23.4,0.295
169746,98245,113232.0,90575.0,64401,92171.3,11515.0,77.4,0.296
181607,120904,98440.0,61414.0,44508,90429.3,29034.5,45.45,0.297
149665,98596,99481.4,49344.0,38244,84557.3,32240.5,21.15,0.299
163954,103529,103786.0,71132.5,55044,84691.2,26052.5,52.65,0.303
175741,116684,98705.5,68066.0,53809,82900.1,10357.5,43.2,0.304
150844,104284,94796.1,47973.0,38668,81306.5,23817.5,18.0,0.307
200933,111737,117851.0,97477.0,61769,103422.0,22760.5,62.1,0.307
150913,101021,97902.6,65190.0,48477,88130.3,10619.0,45.9,0.308
155080,106361,95554.9,57227.0,45353,82694.2,20240.5,27.45,0.314
158574,108899,95430.8,76109.5,56447,88364.5,14471.5,52.2,0.315
188126,127695,96550.5,75501.5,57250,86429.1,23839.5,29.25,0.316
153006,103988,96428.3,66114.0,52064,83221.6,11889.0,51.75,0.329
245304,143076,112361.0,167261.0,105500,103902.0,23778.5,99.45,0.331
151437,99432,99812.4,69130.5,51281,88347.3,27548.5,38.7,0.332
195828,116917,109768.0,105152.0,72717,94768.0,16968.0,47.25,0.333
189780,123356,100826.0,69143.5,48789,92877.2,30649.5,44.55,0.336
196046,120757,106396.0,74820.5,55145,88919.0,23404.0,34.2,0.336
146859,85163,113014.0,61320.0,45222,88865.3,10761.0,22.95,0.337
149547,100207,97804.4,79410.0,62155,83729.6,29612.0,49.95,0.341
165115,100304,107882.0,145164.0,86864,109521.0,32281.5,91.35,0.343
159152,93275,111822.0,65613.0,46879,91725.8,17805.5,13.05,0.345
151618,93721,106022.0,71785.0,50372,93395.2,32338.5,52.65,0.346
147252,90329,106835.0,56745.0,41373,89885.7,13878.0,38.25,0.346
162086,97212,109271.0,69940.5,46721,98106.2,28320.5,34.65,0.349
143190,90473,103723.0,76371.5,47908,104473.0,29698.0,50.4,0.354
149242,101829,96050.5,74777.0,55721,87948.6,11762.0,30.6,0.36
165853,113275,95955.6,69144.0,55078,82272.8,20910.0,42.3,0.36
205519,117725,114410.0,69002.5,48633,92985.2,19636.5,50.85,0.361
136508,92448,96770.1,46545.5,37784,80732.7,28456.0,29.25,0.364
162075,112048,94796.1,49958.0,37932,86313.6,29052.0,14.4,0.365
156253,104353,98130.6,69392.0,53485,85027.1,26299.0,38.7,0.371
193335,109105,116130.0,139752.0,94197,97230.1,26839.0,83.7,0.371
185621,117748,103312.0,92528.0,64456,94078.4,18756.5,39.6,0.372
162401,107953,98590.1,69332.5,52697,86224.6,19186.5,55.8,0.379
206705,125200,108200.0,76769.0,56708,88720.0,30474.5,21.6,0.38
216795,118013,120392.0,160889.0,105984,99486.9,29380.5,85.95,0.381
151717,92955,106965.0,89250.0,63990,91406.3,13363.5,51.75,0.383
120989,86939,91203.5,56968.5,37062,100736.0,11156.0,24.75,0.385
140993,89272,103505.0,59539.5,42293,92260.7,32787.0,48.15,0.392
151326,102597,96662.6,59089.5,44333,87350.0,26170.5,23.4,0.395
170392,107921,103472.0,74909.0,55561,88357.6,11644.0,42.3,0.398
130329,91557,93288.8,75033.5,54901,89568.4,10584.5,26.55,0.399
213324,132060,105864.0,82410.0,54933,98316.5,23367.5,60.75,0.403
138813,95549,95210.3,58167.5,47273,80639.4,19638.5,49.95,0.406
202529,132812,99937.9,63338.5,48805,85051.8,22691.5,6.75,0.415
214641,128025,109875.0,88611.5,61661,94180.2,30711.0,76.95,0.415
196090,131007,98093.5,80991.5,63890,83078.1,18094.0,20.25,0.415
168127,102841,107140.0,89182.5,63133,92577.0,26197.0,55.8,0.419
167043,110952,98667.3,60214.5,46369,85104.6,21057.5,44.55,0.42
141165,95092,97289.0,71728.5,55612,84528.5,28006.5,26.55,0.423
110112,76516,94310.9,45320.5,37632,78925.5,23651.5,50.4,0.427
214975,119335,118059.0,98922.0,65567,98875.2,20738.5,65.7,0.427
132354,81173,106858.0,46744.0,33573,91246.4,11478.0,19.8,0.428
132251,77289,112140.0,95561.5,69001,90762.7,11352.0,59.4,0.428
161902,100813,105249.0,68714.5,52841,85223.1,13808.0,38.7,0.428
172536,110816,102037.0,86188.0,67304,83923.9,29820.0,52.2,0.43
186886,119130,102810.0,95548.0,62567,100082.0,12242.0,45.9,0.433
173996,113722,100271.0,63085.5,48903,84542.3,12618.5,35.1,0.434
144210,93529,101048.0,64438.5,53124,79494.0,28009.0,58.05,0.434
216006,121960,116072.0,111383.0,79905,91353.4,30918.0,61.2,0.435
181773,120501,98859.7,64557.0,45093,93824.0,16747.5,33.75,0.44
150483,96519,102178.0,65194.0,51083,83639.5,24013.5,44.1,0.443
126567,83442,99407.0,47156.0,37742,81882.7,23226.0,25.65,0.447
210968,136337,101410.0,78001.0,57621,88715.5,32188.5,67.05,0.448
125744,87057,94659.7,62565.5,55137,74365.5,19549.0,27.9,0.453
185607,111714,108884.0,61046.5,43194,92622.7,32697.0,62.1,0.458
127151,93913,88730.4,36216.5,31113,76285.9,20493.5,8.1,0.458
151954,103189,96507.2,78228.5,59065,86799.0,32279.5,42.3,0.464
144033,98308,96018.2,63248.5,46704,88751.6,22094.5,31.95,0.466
175703,111909,102895.0,76580.0,56313,89122.4,11633.5,32.85,0.467
