sample	num_reads	num_unique_UMIs	num_reads_dropped	frac_reads_dropped	num_genos_seen
Omi32_d_2_1	32039	26873	5166	0.1612409875464278	1212
Omi32_d_2_2	4024896	3601885	423011	0.1050986162126922	6775
Omi32_d_2_3	10119460	8920619	1198841	0.1184688708686036	7876
Omi32_d_2_4	9684369	8815897	868472	0.0896777064153586	7710
Omi32_d_3_1	30468	8442	22026	0.7229224103977944	1078
Omi32_d_3_2	1488013	1250890	237123	0.1593554626202862	7093
Omi32_d_3_3	10346333	9165624	1180709	0.1141185964147877	7916
Omi32_d_3_4	12093049	7692531	4400518	0.3638882137995141	7819
Omi32_d_4_1	111701	78484	33217	0.2973742401589959	2071
Omi32_d_4_2	4197047	2063849	2133198	0.5082616420545207	5548
Omi32_d_4_3	12410546	10378937	2031609	0.1637002110946609	7815
Omi32_d_4_4	8377438	6976804	1400634	0.1671912104870248	7150
Omi32_d_5_1	507721	389529	118192	0.2327892681216652	3323
Omi32_d_5_2	4474715	3366130	1108585	0.2477442697467883	6531
Omi32_d_5_3	9116630	7102684	2013946	0.2209090420473354	7628
Omi32_d_5_4	9666619	4470495	5196124	0.537532719557893	7775
Omi32_d_6_1	4479673	3540527	939146	0.2096461058653165	7327
Omi32_d_6_2	8196275	6414230	1782045	0.2174213285913418	7359
Omi32_d_6_3	9497585	7480403	2017182	0.2123889388723554	7470
Omi32_d_6_4	4	4	0	0.0	4
Omi32_d_7_1	15263871	12688937	2574934	0.1686946908814939	7831
Omi32_d_7_2	9546221	6728215	2818006	0.2951959733595105	7264
Omi32_d_7_3	4	4	0	0.0	4
Omi32_d_7_4	4	4	0	0.0	4
Omi32_d_8_1	24379780	21555850	2823930	0.1158308237400009	8136
Omi32_d_8_2	3459925	3127227	332698	0.0961575756699928	7088
Omi32_d_8_3	4	4	0	0.0	4
Omi32_d_8_4	4	4	0	0.0	4
Omi32_i_2_1	113216	101812	11404	0.1007278123233465	3422
Omi32_i_2_2	4162661	3582878	579783	0.1392818199704467	7055
Omi32_i_2_3	12141387	10755413	1385974	0.1141528558475238	8007
Omi32_i_2_4	8473549	7786517	687032	0.0810796043074749	7944
Omi32_i_3_1	100554	85535	15019	0.1493625315750741	4509
Omi32_i_3_2	2868675	2536837	331838	0.1156764011259553	6882
Omi32_i_3_3	9646050	8612478	1033572	0.10714976596638	8025
Omi32_i_3_4	8107647	7214759	892888	0.1101291163761816	7550
Omi32_i_4_1	129163	112870	16293	0.1261429356704319	2953
Omi32_i_4_2	4613978	4063234	550744	0.1193642449097069	7098
Omi32_i_4_3	8916276	8070942	845334	0.094807966913541	8055
Omi32_i_4_4	10533289	9658037	875252	0.0830938940344274	7515
Omi32_i_5_1	1003067	883559	119508	0.1191425896774592	5908
Omi32_i_5_2	5269958	4577655	692303	0.131367840123204	7841
Omi32_i_5_3	7772614	7174029	598585	0.0770120579768916	7889
Omi32_i_5_4	7092423	6354179	738244	0.1040891103082825	7202
Omi32_i_6_1	9119048	8079302	1039746	0.1140191388399315	7868
Omi32_i_6_2	7048079	6279590	768489	0.1090352420851128	7620
Omi32_i_6_3	9164722	8156163	1008559	0.1100479643572385	7242
Omi32_i_6_4	9	9	0	0.0	9
Omi32_i_7_1	26610907	22466865	4144042	0.1557271986257364	8169
Omi32_i_7_2	958624	859318	99306	0.1035922321994859	6587
Omi32_i_7_3	9	9	0	0.0	9
Omi32_i_7_4	9	9	0	0.0	9
Omi32_i_8_1	23686795	20206624	3480171	0.1469245206031461	8150
Omi32_i_8_2	1153854	1041533	112321	0.0973442047260745	5697
Omi32_i_8_3	9	9	0	0.0	9
Omi32_i_8_4	9	9	0	0.0	9
