sample_name	sample_id	construct	replicate	concentration	bin	mean_log10_PEs	std_log10_PEs	mean_log10_FITCs	std_log10_FITCs
Omi32_a_2_1	52	Omi32	a	2	1	2.131133672964372	0.10424876361676894	2.5228963032546288	0.23485233227157973
Omi32_a_2_2	53	Omi32	a	2	2	3.198784729817236	0.3989751243327559	3.5226177329946857	0.5508735306640518
Omi32_a_2_3	54	Omi32	a	2	3	4.1639714631582825	0.1559832775666874	4.441676879845227	0.1944849033248965
Omi32_a_2_4	55	Omi32	a	2	4	4.554833736410265	0.1252820337840684	4.674449070482371	0.14556003769177817
Omi32_a_3_1	56	Omi32	a	3	1	2.125910336210829	0.10676820125558514	2.622934458606443	0.2647492156025913
Omi32_a_3_2	57	Omi32	a	3	2	2.984646069291808	0.3161143084351323	3.486319822209749	0.5215087215010608
Omi32_a_3_3	58	Omi32	a	3	3	3.8054364831751415	0.18996134479186158	4.378356410308515	0.28224257824986115
Omi32_a_3_4	59	Omi32	a	3	4	4.37770447337501	0.1626438392578245	4.581517320670047	0.17283500350986244
Omi32_a_4_1	60	Omi32	a	4	1	2.104141943840838	0.10524706163496703	2.8982697145636838	0.3620001439635422
Omi32_a_4_2	61	Omi32	a	4	2	2.7210345200838075	0.2191343679998121	3.712622372890719	0.5157023935916001
Omi32_a_4_3	62	Omi32	a	4	3	3.3249502233955464	0.14988846452063778	4.373295573272729	0.3020387553830037
Omi32_a_4_4	63	Omi32	a	4	4	3.9273511983447094	0.2244179592607838	4.545939570289317	0.2171589657114892
Omi32_a_5_1	64	Omi32	a	5	1	2.0898041655207726	0.10286117839593904	3.345493608988122	0.5346504898464766
Omi32_a_5_2	65	Omi32	a	5	2	2.503576987809504	0.11227790516305089	4.12461255779419	0.46207594244819034
Omi32_a_5_3	66	Omi32	a	5	3	2.8996413794991915	0.12412315357785395	4.4446347991245005	0.2633614981083374
Omi32_a_5_4	67	Omi32	a	5	4	3.4284548567460846	0.20361955485571506	4.534129026163631	0.24612948481963418
Omi32_a_6_1	68	Omi32	a	6	1	2.076523464860229	0.09918523883491595	3.8823905571559743	0.6384136011659646
Omi32_a_6_2	69	Omi32	a	6	2	2.4120700586431885	0.06917256437509806	4.341900032509016	0.42307366894051535
Omi32_a_6_3	70	Omi32	a	6	3	2.8253170425918865	0.25108795366356124	4.519184802697787	0.3360694050571184
Omi32_a_6_4	11	Omi32	a	6	4	2.076523464860229	0.09918523883491595	3.8823905571559743	0.6384136011659646
Omi32_a_7_1	71	Omi32	a	7	1	2.052993738626774	0.08398218784831467	4.087300852859439	0.6179608694136184
Omi32_a_7_2	72	Omi32	a	7	2	2.5178126794414055	0.33593423355311114	4.465518687314265	0.4629933923436632
