sample	reads_with_incorrect_barcode	reads_with_no_err_in_barcode	reads_with_one_sub_in_barcode	reads_with_two_or_more_subs_in_barcode	reads_with_indels_in_barcode	total_accepted	fraction_accepted
Omi32_a_2_1	410040	38711	0	0	0	38711	0.0862638746208922
Omi32_a_2_2	6322006	3061973	0	0	0	3061973	0.3262979382200237
Omi32_a_2_3	2482437	11626761	0	0	0	11626761	0.8240554140639319
Omi32_a_2_4	1462218	8591878	0	0	0	8591878	0.8545649454709802
Omi32_a_3_1	456888	34978	0	0	0	34978	0.0711128640727352
Omi32_a_3_2	6405993	3180429	0	0	0	3180429	0.3317639261029819
Omi32_a_3_3	2799049	10298551	0	0	0	10298551	0.7862929849743464
Omi32_a_3_4	1354201	7948533	0	0	0	7948533	0.854429783760344
Omi32_a_4_1	2298511	289741	0	0	0	289741	0.1119446638117154
Omi32_a_4_2	4527747	3224927	0	0	0	3224927	0.4159760877343739
Omi32_a_4_3	3244476	9842066	0	0	0	9842066	0.752075376367569
Omi32_a_4_4	1409815	7204801	0	0	0	7204801	0.8363461586680127
Omi32_a_5_1	2635407	1561258	0	0	0	1561258	0.372023499612192
Omi32_a_5_2	2699918	4693889	0	0	0	4693889	0.6348406172895776
Omi32_a_5_3	1815345	7450806	0	0	0	7450806	0.8040885584532348
Omi32_a_5_4	1548166	8224725	0	0	0	8224725	0.8415856679461584
Omi32_a_6_1	4278422	7075267	0	0	0	7075267	0.623168998199616
Omi32_a_6_2	2160813	5463587	0	0	0	5463587	0.7165923875977126
Omi32_a_6_3	1971763	8747190	0	0	0	8747190	0.8160489182105752
Omi32_a_6_4	0	0	0	0	0	0	
Omi32_a_7_1	7705546	14184861	0	0	0	14184861	0.6479943931604378
Omi32_a_7_2	529571	1790683	0	0	0	1790683	0.7717616260978324
Omi32_a_7_3	0	0	0	0	0	0	
Omi32_a_7_4	0	0	0	0	0	0	
Omi32_a_8_1	13806823	27612133	0	0	0	27612133	0.6666544902773504
Omi32_a_8_2	74448	182743	0	0	0	182743	0.7105341944313759
Omi32_a_8_3	0	0	0	0	0	0	
Omi32_a_8_4	0	0	0	0	0	0	
Omi32_a_F_1	3312782	261833	0	0	0	261833	0.0732478882341175
Omi32_a_F_2	4128030	420381	0	0	0	420381	0.0924237057732909
Omi32_a_F_3	4212512	2368323	0	0	0	2368323	0.3598818387028394
Omi32_a_F_4	1742772	6398083	0	0	0	6398083	0.7859227317032424
Omi32_a_F_5	2645476	13685869	0	0	0	13685869	0.8380123621171435
Omi32_a_F_6	255168	1483900	0	0	0	1483900	0.853273132505457
Omi32_a_10_1	285	528	0	0	0	528	0.6494464944649446
Omi32_b_2_1	288149	54375	0	0	0	54375	0.1587480001401361
Omi32_b_2_2	6517055	3240540	0	0	0	3240540	0.3321043761295688
Omi32_b_2_3	3245143	14077793	0	0	0	14077793	0.8126678410634317
Omi32_b_2_4	1839349	11515549	0	0	0	11515549	0.8622715800599899
Omi32_b_3_1	853848	53943	0	0	0	53943	0.0594222679008714
Omi32_b_3_2	9217901	4933911	0	0	0	4933911	0.3486416439110412
Omi32_b_3_3	4572511	16433234	0	0	0	16433234	0.7823209317260588
Omi32_b_3_4	1546754	8900389	0	0	0	8900389	0.8519447852872312
Omi32_b_4_1	1201	2198	0	0	0	2198	0.6466607825831127
Omi32_b_4_2	7404017	6144098	0	0	0	6144098	0.4535020554519946
Omi32_b_4_3	3973722	13864529	0	0	0	13864529	0.7772358960528137
Omi32_b_4_4	2024402	11427477	0	0	0	11427477	0.8495078642916726
Omi32_b_5_1	5987713	2846599	0	0	0	2846599	0.3222207909342572
Omi32_b_5_2	2847360	5086921	0	0	0	5086921	0.6411319437766321
Omi32_b_5_3	2463619	9742198	0	0	0	9742198	0.7981602542459878
Omi32_b_5_4	1417470	7722119	0	0	0	7722119	0.8449087809090758
Omi32_b_6_1	12202871	16832311	0	0	0	16832311	0.5797212154550986
Omi32_b_6_2	1208833	3602580	0	0	0	3602580	0.7487571738281457
Omi32_b_6_3	881054	4298584	0	0	0	4298584	0.8299004679477601
Omi32_b_6_4	0	0	0	0	0	0	
Omi32_b_7_1	13939282	27202238	0	0	0	27202238	0.6611869955217989
Omi32_b_7_2	1102820	3447662	0	0	0	3447662	0.7576476513916548
Omi32_b_7_3	0	0	0	0	0	0	
Omi32_b_7_4	0	0	0	0	0	0	
Omi32_b_8_1	13547465	23814368	0	0	0	23814368	0.6373982775416827
Omi32_b_8_2	431331	1050389	0	0	0	1050389	0.7088984423507815
Omi32_b_8_3	0	0	0	0	0	0	
Omi32_b_8_4	0	0	0	0	0	0	
Omi32_b_F_1	3009919	365551	0	0	0	365551	0.1082963261412484
Omi32_b_F_2	3854964	547496	0	0	0	547496	0.1243613797740354
Omi32_b_F_3	4032625	3143255	0	0	0	3143255	0.4380305969442075
Omi32_b_F_4	1409913	5831279	0	0	0	5831279	0.8052926921423986
Omi32_b_F_5	1274161	6703881	0	0	0	6703881	0.84029151513617
Omi32_b_F_6	1480362	8226385	0	0	0	8226385	0.8474914407473482
Omi32_b_10_1	7738932	19143350	0	0	0	19143350	0.7121177435754896
