sample_name	sample_id	construct	replicate	concentration	bin	mean_log10_PEs	std_log10_PEs	mean_log10_FITCs	std_log10_FITCs
Omi32_e_2_1	72	Omi32	e	2	1	2.1090110815005363	0.1727240298370463	3.0253432025682416	0.3464472491856149
Omi32_e_2_2	73	Omi32	e	2	2	3.534003775329342	0.4056010063090597	3.6861888345120506	0.5156381052242526
Omi32_e_2_3	74	Omi32	e	2	3	4.295940306724441	0.09695092937405661	4.4176311454984925	0.18116447680053854
Omi32_e_2_4	75	Omi32	e	2	4	4.6290361915208775	0.14012730298156592	4.666373704619018	0.15790845321407082
Omi32_e_3_1	76	Omi32	e	3	1	2.1239201605091145	0.18035927244339184	3.058856168689698	0.3538419644434282
Omi32_e_3_2	77	Omi32	e	3	2	3.3858053274959166	0.3578914472324959	3.706311885757618	0.5412995365794238
Omi32_e_3_3	78	Omi32	e	3	3	4.137879602419129	0.13344061175568686	4.398266254022058	0.23437187618598374
Omi32_e_3_4	79	Omi32	e	3	4	4.572060350084087	0.1572041369949964	4.583582187439529	0.17857683801811552
Omi32_e_4_1	80	Omi32	e	4	1	2.1511585163633757	0.18961168158716826	3.1581242316287077	0.4352986029408568
Omi32_e_4_2	81	Omi32	e	4	2	3.1991303259041546	0.3034827143034157	3.9171422752782292	0.5451333931328013
Omi32_e_4_3	82	Omi32	e	4	3	3.8489481155861145	0.12930267579238536	4.469889496116851	0.2582862633821894
Omi32_e_4_4	83	Omi32	e	4	4	4.31025009041011	0.16941579080830643	4.6527465741558585	0.19435785497009295
Omi32_e_5_1	84	Omi32	e	5	1	2.153836225417267	0.18832820061869993	3.4597211800544954	0.5399699769119568
Omi32_e_5_2	85	Omi32	e	5	2	2.8831449886907965	0.1728810761478847	4.006605642228856	0.508654696520778
Omi32_e_5_3	86	Omi32	e	5	3	3.3449116682158144	0.11351614638845677	4.3948818273151735	0.29142025783821046
Omi32_e_5_4	87	Omi32	e	5	4	3.7731420127073343	0.1640468365144094	4.518080132805801	0.3013102230223585
Omi32_e_6_1	88	Omi32	e	6	1	2.1520671063289663	0.18629154565590644	4.045847769028287	0.5543062057705525
Omi32_e_6_2	89	Omi32	e	6	2	2.714847660093103	0.10529088391480676	4.336784406991542	0.41616134604899
Omi32_e_6_3	90	Omi32	e	6	3	3.0892333450518956	0.13289627248441785	4.532426705230843	0.3541212431607126
Omi32_e_6_4	91	Omi32	e	6	4	3.555053357079196	0.16337677390133354	4.074913729852541	0.7069996354634336
Omi32_e_7_1	92	Omi32	e	7	1	2.201281929205377	0.1832645635746452	4.100067628089857	0.5692228899774323
Omi32_e_7_2	93	Omi32	e	7	2	2.676298952560586	0.12158427028297504	4.411135229843182	0.4571229545907989
Omi32_e_7_3	94	Omi32	e	7	3	3.6453149666070273	0.23683055540534803	3.760753931182897	0.6129461271206966
Omi32_e_7_4	149	Omi32	e	7	4	3.6453149666070273	0.23683055540534803	3.760753931182897	0.6129461271206966
Omi32_e_8_1	95	Omi32	e	8	1	2.1339480304093925	0.17167478233253244	4.299033826043909	0.5265777840373705
Omi32_e_8_2	96	Omi32	e	8	2	2.6484013047377792	0.1011721998524497	4.513893926714318	0.4625715940133595
Omi32_e_8_3	97	Omi32	e	8	3	3.4892505012456048	0.2401114216006102	3.733401552751171	0.6149863353150579
Omi32_e_8_4	150	Omi32	e	8	4	3.4892505012456048	0.2401114216006102	3.733401552751171	0.6149863353150579
Omi32_e_F_1	98	Omi32	e	F	1	2.0011177168308993	0.02811847988558965	2.71492492598657	0.26482505434047116
Omi32_e_F_2	99	Omi32	e	F	2	2.001874706575646	0.05233685974590124	3.1759198600596723	0.09336990361651357
Omi32_e_F_3	100	Omi32	e	F	3	2.00295582503947	0.06371136192973496	3.4939185674063773	0.09715288402831034
Omi32_e_F_4	101	Omi32	e	F	4	2.0024995243034525	0.0637593902271644	3.82502892949229	0.0944811602285562
Omi32_e_F_5	102	Omi32	e	F	5	2.00274858897172	0.056385318645449434	4.206492123816257	0.09519178645728725
Omi32_e_F_6	103	Omi32	e	F	6	2.002785817303454	0.059299215817622396	4.5071086452325435	0.08959525867397004
Omi32_e_F_7	104	Omi32	e	F	7	2.0087678514949765	0.07556015569678197	4.774903549224313	0.08436652767600096
Omi32_e_F_8	105	Omi32	e	F	8	2.069533671693134	0.10334486665949728	5.071017622705597	0.0697105854903843
Omi32_f_2_1	110	Omi32	f	2	1	2.3088412458723058	0.19423398939744344	2.605393929184438	0.2477889679593878
Omi32_f_2_2	111	Omi32	f	2	2	3.4503793796627353	0.36289992613258826	3.5137265867230534	0.4789176012879322
Omi32_f_2_3	112	Omi32	f	2	3	4.346956229453193	0.13268989097392206	4.464184082861537	0.19206835793479735
Omi32_f_2_4	113	Omi32	f	2	4	4.662789637629732	0.10324266956878272	4.7014297024859095	0.13594305234208456
Omi32_f_3_1	114	Omi32	f	3	1	2.382547454012221	0.14409124082906835	2.5892529687769534	0.22738602675862254
Omi32_f_3_2	115	Omi32	f	3	2	3.3667683142212823	0.38341800104476403	3.5881004653197937	0.5693115677648362
Omi32_f_3_3	116	Omi32	f	3	3	4.232132975167266	0.12919177146594762	4.451568703454774	0.19431019591988521
Omi32_f_3_4	117	Omi32	f	3	4	4.5885356944686375	0.12210576874061008	4.6527739612877745	0.14442492029794957
Omi32_f_4_1	118	Omi32	f	4	1	2.3279559731284696	0.21555122078399128	2.870077918106017	0.3967600526233817
Omi32_f_4_2	119	Omi32	f	4	2	3.328928134395992	0.32235376824758777	3.7763586515077106	0.5542594155383823
Omi32_f_4_3	120	Omi32	f	4	3	4.014736091881408	0.1423924110905516	4.4457668653805555	0.25544100767155226
Omi32_f_4_4	121	Omi32	f	4	4	4.479899137902382	0.15698662862980492	4.615253655632024	0.1714489387854699
Omi32_f_5_1	122	Omi32	f	5	1	2.8083195600636484	0.3837267867108326	3.971876063299235	0.7516867932316625
Omi32_f_5_2	123	Omi32	f	5	2	2.9926688882476267	0.23834685944061543	3.8437771633270206	0.5912132391644795
Omi32_f_5_3	124	Omi32	f	5	3	3.4344066650326557	0.15884244934041705	4.367849930265229	0.3220136813065911
Omi32_f_5_4	125	Omi32	f	5	4	3.8911983054558483	0.1655786598511036	4.586916039222157	0.17962825906449378
Omi32_f_6_1	126	Omi32	f	6	1	2.717108398644757	0.3505375270206608	4.199181043184777	0.5761927869256871
Omi32_f_6_2	127	Omi32	f	6	2	2.967959592645726	0.25611514512688255	3.8670146791510898	0.6198614326540943
Omi32_f_6_3	128	Omi32	f	6	3	3.4335976787091265	0.12478952034008779	4.4792864665201035	0.3408620833799686
Omi32_f_6_4	129	Omi32	f	6	4	3.850084370974612	0.1900199095207807	3.8962378305966885	0.5375530665219634
Omi32_f_7_1	130	Omi32	f	7	1	2.5638987174737555	0.34605818856081044	4.272742593092508	0.5047283063547119
Omi32_f_7_2	131	Omi32	f	7	2	2.8198123363839684	0.1595090912813467	3.4438075617865667	0.4477440958003841
Omi32_f_7_3	132	Omi32	f	7	3	3.8120075618865554	0.21734111220736083	3.9143924433569466	0.5590347498268713
Omi32_f_7_4	151	Omi32	f	7	4	3.8120075618865554	0.21734111220736083	3.9143924433569466	0.5590347498268713
Omi32_f_8_1	133	Omi32	f	8	1	2.552613907052631	0.3458842084499493	4.296403672917876	0.4770155608008072
Omi32_f_8_2	134	Omi32	f	8	2	2.871843152706616	0.17241924868759118	3.5846305146286244	0.47003671652090506
Omi32_f_8_3	135	Omi32	f	8	3	3.768258373603063	0.19334530412747458	3.694944588392297	0.6103249604262103
Omi32_f_8_4	152	Omi32	f	8	4	3.768258373603063	0.19334530412747458	3.694944588392297	0.6103249604262103
Omi32_f_F_1	136	Omi32	f	F	1	2.0006159474291256	0.009641102254640502	2.0	0.0
Omi32_f_F_2	137	Omi32	f	F	2	2.0	0.0	2.302091931446776	0.14471832683406483
Omi32_f_F_3	138	Omi32	f	F	3	2.000394812556228	0.006246345259692	2.8059541809418516	0.13227108479399502
Omi32_f_F_4	139	Omi32	f	F	4	2.000647898395894	0.018186896894518363	3.2991576755850813	0.1421617685460149
Omi32_f_F_5	140	Omi32	f	F	5	2.0009552557858297	0.013848892054330144	3.775334412369998	0.13905195012991348
Omi32_f_F_6	141	Omi32	f	F	6	2.0015360764646917	0.018660952452522347	4.312751010829839	0.15334057163790227
Omi32_f_F_7	142	Omi32	f	F	7	2.003552147133725	0.025103563987155863	4.712998591340484	0.11723895053096038
Omi32_f_F_8	143	Omi32	f	F	8	2.031594541741601	0.05572321639222888	5.061701256785489	0.06243407490573171
