sample	num_reads	num_unique_UMIs	num_reads_dropped	frac_reads_dropped	num_genos_seen
Omi32_e_2_1	101380	66885	34495	0.340254488064707	3620
Omi32_e_2_2	5534729	4638083	896646	0.1620035958400131	7299
Omi32_e_2_3	12800111	11621863	1178248	0.0920498267554086	7668
Omi32_e_2_4	15774855	13864654	1910201	0.1210915092404969	8041
Omi32_e_3_1	83384	50271	33113	0.3971145543509546	2558
Omi32_e_3_2	5389458	4401933	987525	0.183232710970194	7110
Omi32_e_3_3	8517967	7495919	1022048	0.1199873162222863	7862
Omi32_e_3_4	14343153	12465440	1877713	0.1309135446020829	7476
Omi32_e_4_1	336989	225896	111093	0.3296635795233672	6701
Omi32_e_4_2	7113545	5296778	1816767	0.2553954462929524	7135
Omi32_e_4_3	8826523	7514622	1311901	0.1486316865655932	7478
Omi32_e_4_4	10077831	7097014	2980817	0.2957796176578075	6524
Omi32_e_5_1	1129779	866647	263132	0.2329057275803497	6902
Omi32_e_5_2	7207372	5195256	2012116	0.2791747116702177	6641
Omi32_e_5_3	8510156	6955335	1554821	0.1827018212122081	7670
Omi32_e_5_4	10351024	8434385	1916639	0.1851641924509111	7631
Omi32_e_6_1	7875061	7046542	828519	0.1052079469606648	7757
Omi32_e_6_2	7937829	5435981	2501848	0.3151803849642011	7393
Omi32_e_6_3	4386871	3642494	744377	0.1696829015487348	6443
Omi32_e_6_4	141128	94957	46171	0.327156907204807	4489
Omi32_e_7_1	12147871	10244333	1903538	0.156697251724191	7927
Omi32_e_7_2	7538061	6111120	1426941	0.1892981497496504	7512
Omi32_e_7_3	981754	789214	192540	0.1961183758864237	4205
Omi32_e_7_4	4	4	0	0.0	4
Omi32_e_8_1	24424797	21374783	3050014	0.1248736683461483	8120
Omi32_e_8_2	3347611	3063565	284046	0.0848503604510799	7124
Omi32_e_8_3	1005811	738146	267665	0.2661185849031279	5300
Omi32_e_8_4	4	4	0	0.0	4
Omi32_e_F_1	281359	235578	45781	0.1627138282407884	4255
Omi32_e_F_2	253362	221286	32076	0.1266014635186018	2941
Omi32_e_F_3	324287	270621	53666	0.1654892117167817	4416
Omi32_e_F_4	794850	743097	51753	0.0651103981883374	4673
Omi32_e_F_5	4214757	3810590	404167	0.0958933101006772	7454
Omi32_e_F_6	15339044	13579448	1759596	0.1147135375581424	7996
Omi32_e_F_7	5789507	5373266	416241	0.0718957589998595	7504
Omi32_e_F_8	444912	369777	75135	0.1688760923508469	3354
Omi32_f_2_1	8313	6888	1425	0.171418260555756	1169
Omi32_f_2_2	2243634	2093571	150063	0.0668839035243716	6607
Omi32_f_2_3	17327016	16087523	1239493	0.071535283397903	8101
Omi32_f_2_4	9489235	8645388	843847	0.0889267680692911	7525
Omi32_f_3_1	18952	14878	4074	0.2149641198818066	1402
Omi32_f_3_2	4435920	3635623	800297	0.1804128568594564	6114
Omi32_f_3_3	17095309	14686471	2408838	0.1409063737894413	8076
Omi32_f_3_4	7799491	7166086	633405	0.0812110687735904	7582
Omi32_f_4_1	38538	32769	5769	0.1496964035497431	1078
Omi32_f_4_2	6102294	5350394	751900	0.1232159578020986	7036
Omi32_f_4_3	10667433	9576546	1090887	0.1022633092703746	7783
Omi32_f_4_4	14611821	12620170	1991651	0.1363040924194185	6957
Omi32_f_5_1	4722482	3111632	1610850	0.3411024118249683	4951
Omi32_f_5_2	6053878	4719554	1334324	0.2204081416903346	6305
Omi32_f_5_3	6928590	5977792	950798	0.1372282094913972	7495
Omi32_f_5_4	9483393	8077814	1405579	0.1482147792462043	6614
Omi32_f_6_1	19523391	13451201	6072190	0.3110212769902523	7943
Omi32_f_6_2	5217743	3739532	1478211	0.2833046779038369	6446
Omi32_f_6_3	1042374	618803	423571	0.406352230581346	5267
Omi32_f_6_4	102870	53057	49813	0.4842325264897443	1732
Omi32_f_7_1	28530579	24658548	3872031	0.1357151216594658	8034
Omi32_f_7_2	2586399	2277099	309300	0.1195871170689441	6106
Omi32_f_7_3	1037880	684732	353148	0.3402589894785524	5735
Omi32_f_7_4	4	4	0	0.0	4
Omi32_f_8_1	27591372	25001154	2590218	0.0938778252853826	8169
Omi32_f_8_2	1569619	1386787	182832	0.1164817704168973	5617
Omi32_f_8_3	768947	698916	70031	0.0910738971606625	3650
Omi32_f_8_4	4	4	0	0.0	4
Omi32_f_F_1	39547	36000	3547	0.0896907477179052	2246
Omi32_f_F_2	74126	66435	7691	0.1037557672071877	1036
Omi32_f_F_3	462605	446370	16235	0.0350947352492947	6206
Omi32_f_F_4	293097	277320	15777	0.0538285959938177	4165
Omi32_f_F_5	633190	573473	59717	0.0943113441463067	6729
Omi32_f_F_6	7601837	7119304	482533	0.0634758414314855	8082
Omi32_f_F_7	17517704	16542865	974839	0.0556487882201914	8106
Omi32_f_F_8	442258	426478	15780	0.035680530369151	4700
