sample	reads_with_corrected_index_err	reads_with_no_index_err	reads_thrown_out	fraction_of_index_accepted
Omi32_e_2_1	16523	553626	269277	0.6792129383650256
Omi32_e_2_2	362604	12446497	367262	0.9721272099136916
Omi32_e_2_3	542680	15153328	3749795	0.8071668729751094
Omi32_e_2_4	503481	18285526	510979	0.9735243849399684
Omi32_e_3_1	17998	526619	292181	0.6508344905222049
Omi32_e_3_2	326944	12759347	351382	0.9738509785139138
Omi32_e_3_3	337727	10456774	340585	0.969413348042395
Omi32_e_3_4	446549	16480995	454770	0.9738372002714945
Omi32_e_4_1	46024	1603089	329629	0.833414866617275
Omi32_e_4_2	322133	12585720	357752	0.973031610695479
Omi32_e_4_3	425714	10612146	2371869	0.8231232711712518
Omi32_e_4_4	412240	11476290	111124	0.99073939965269
Omi32_e_5_1	124788	3768365	303563	0.9276665373592112
Omi32_e_5_2	249900	11630066	437940	0.9644468792017084
Omi32_e_5_3	279590	10637842	625484	0.9458123060065584
Omi32_e_5_4	501664	11857273	370318	0.970908116775098
Omi32_e_6_1	508986	13000820	158280	0.9884197392378128
Omi32_e_6_2	362560	9841204	390269	0.9631614324780752
Omi32_e_6_3	190536	5076155	384956	0.931886050208019
Omi32_e_6_4	8501	204332	353055	0.3761044588328432
Omi32_e_7_1	410894	17687928	383936	0.9792273425859928
Omi32_e_7_2	286171	9838469	252477	0.9756698319966904
Omi32_e_7_3	44020	1285119	179342	0.8811108658312568
Omi32_e_7_4	0	6	149829	4.004404845329863e-05
Omi32_e_8_1	1089400	34331421	276873	0.9922439527886592
Omi32_e_8_2	109766	4464679	260426	0.9461358948356636
Omi32_e_8_3	37682	1324899	360619	0.7907271355617456
Omi32_e_8_4	0	6	149829	4.004404845329863e-05
Omi32_e_F_1	71540	1847740	226331	0.8945144296892586
Omi32_e_F_2	70560	2047150	132178	0.9412512978423816
Omi32_e_F_3	78247	3195157	415166	0.88744527011823
Omi32_e_F_4	60030	2275884	188490	0.9253328706498642
Omi32_e_F_5	145957	5493289	310763	0.9477710033715916
Omi32_e_F_6	614977	17948691	202656	0.9892010816822728
Omi32_e_F_7	209271	6561237	9781887	0.4090349463023326
Omi32_e_F_8	16072	501595	132133	0.7966558941212681
Omi32_f_2_1	6926	223980	276802	0.4548007910058537
Omi32_f_2_2	381375	10768214	264484	0.97682825403342
Omi32_f_2_3	638635	20258101	197635	0.9906309128629625
Omi32_f_2_4	299971	10717490	244032	0.9783304043256076
Omi32_f_3_1	9772	306646	224958	0.584469943255704
Omi32_f_3_2	419625	13485044	185254	0.9868520218314892
Omi32_f_3_3	550922	20339033	404634	0.9809982714388148
Omi32_f_3_4	257344	8909685	351861	0.9630355009880354
Omi32_f_4_1	12568	401038	184158	0.6919218955975937
Omi32_f_4_2	396906	14041077	444540	0.9701300646402496
Omi32_f_4_3	446012	12889227	403624	0.9706217319439024
Omi32_f_4_4	480367	16593840	493183	0.9719262223927402
Omi32_f_5_1	177184	7815650	377625	0.9548859865390894
Omi32_f_5_2	495456	12547336	268695	0.9798148020578016
Omi32_f_5_3	207598	9371836	644737	0.9369399240290484
Omi32_f_5_4	375869	10661625	443938	0.9613342656212222
Omi32_f_6_1	863564	28795135	895427	0.9706937452571872
Omi32_f_6_2	305446	9430968	252425	0.9747292953665586
Omi32_f_6_3	41337	1238877	1262553	0.5034727916478388
Omi32_f_6_4	4633	152379	433714	0.2657949709340709
Omi32_f_7_1	864631	37644419	406371	0.989557584382808
Omi32_f_7_2	219277	5409868	530932	0.91381081762452
Omi32_f_7_3	54198	1561102	452389	0.7812103270849726
Omi32_f_7_4	0	6	149829	4.004404845329863e-05
Omi32_f_8_1	1033110	38274674	477325	0.9880024207046912
Omi32_f_8_2	131244	4553028	246258	0.9500544566202822
Omi32_f_8_3	41895	1104435	267905	0.8105654293664065
Omi32_f_8_4	0	6	149829	4.004404845329863e-05
Omi32_f_F_1	4147	128733	392336	0.2530006702004508
Omi32_f_F_2	5887	222944	426503	0.3491822490516286
Omi32_f_F_3	25073	796480	289129	0.7396833657158395
Omi32_f_F_4	63839	2253186	217665	0.9141255932678158
Omi32_f_F_5	135090	3935122	276276	0.9364369578381444
Omi32_f_F_6	309831	12014369	210947	0.9831715575413676
Omi32_f_F_7	598004	20061814	166841	0.9919890655529532
Omi32_f_F_8	15757	497501	261158	0.662767814714572
