sample	num_reads	num_unique_UMIs	num_reads_dropped	frac_reads_dropped	num_genos_seen
Omi32_g_1_1	3491692	3180272	311420	0.0891888517085699	7115
Omi32_g_1_2	5788649	5118448	670201	0.1157784830277323	7808
Omi32_g_1_3	6982887	6226624	756263	0.108302339705626	7942
Omi32_g_1_4	9164973	8129444	1035529	0.1129876760138846	7980
Omi32_g_2_1	4326728	3887544	439184	0.1015048785132784	7681
Omi32_g_2_2	5764828	5296306	468522	0.0812725028396337	8123
Omi32_g_2_3	7406030	6211888	1194142	0.1612391524203925	8152
Omi32_g_2_4	7959342	7353867	605475	0.0760709867725246	8086
Omi32_g_3_1	4749452	3426895	1322557	0.2784651787195659	7712
Omi32_g_3_2	5162680	4389522	773158	0.1497590398785127	8079
Omi32_g_3_3	7514554	6594104	920450	0.1224889727321142	8137
Omi32_g_3_4	6683442	5731992	951450	0.1423592813403632	8046
Omi32_g_4_1	4976649	1851389	3125260	0.6279848146815257	6469
Omi32_g_4_2	5217353	3866731	1350622	0.2588711172121188	7166
Omi32_g_4_3	7524310	6136596	1387714	0.1844307318544823	7741
Omi32_g_4_4	7034599	5789663	1244936	0.1769732716818684	7642
Omi32_g_5_1	12003493	9375965	2627528	0.218896949412975	8001
Omi32_g_5_2	4782509	4131605	650904	0.1361009461769962	8075
Omi32_g_5_3	4793069	4107660	685409	0.1430000277484008	8053
Omi32_g_5_4	5377203	4653086	724117	0.1346642483090186	7931
Omi32_g_6_1	17230932	12607398	4623534	0.2683275634771236	8151
Omi32_g_6_2	3284384	2980565	303819	0.0925041042703898	8050
Omi32_g_6_3	3549682	3189478	360204	0.1014750053666779	7933
Omi32_g_6_4	9	9	0	0.0	9
Omi32_g_7_1	21390196	17876904	3513292	0.1642477703336612	8179
Omi32_g_7_2	4222020	3586483	635537	0.150529130605729	7847
Omi32_g_7_3	9	9	0	0.0	9
Omi32_g_7_4	9	9	0	0.0	9
Omi32_g_8_1	21552274	11816262	9736012	0.4517394313008455	8175
Omi32_g_8_2	3224807	2930304	294503	0.0913242249846269	7836
Omi32_g_8_3	9	9	0	0.0	9
Omi32_g_8_4	9	9	0	0.0	9
Omi32_g_9_1	19757069	8641108	11115961	0.5626320887981917	8172
Omi32_g_9_2	3874238	3516402	357836	0.0923629369181759	8143
Omi32_g_9_3	9	9	0	0.0	9
Omi32_g_9_4	9	9	0	0.0	9
Omi32_g_F_1	2078125	997431	1080694	0.5200332030075188	6965
Omi32_g_F_2	8009049	5952518	2056531	0.25677592932694	7910
Omi32_g_F_3	27599936	1362615	26237321	0.9506297768226708	8173
Omi32_g_F_4	27400852	7244493	20156359	0.7356106664128546	8095
Omi32_h_1_1	11456	9187	2269	0.1980621508379888	3245
Omi32_h_1_2	481177	224617	256560	0.5331925673920408	7871
Omi32_h_1_3	3367688	1784337	1583351	0.4701596466180953	7997
Omi32_h_1_4	919221	374780	544441	0.5922852067130755	7666
Omi32_h_2_1	875864	417606	458258	0.5232067992291041	7173
Omi32_h_2_2	1366115	410330	955785	0.6996372926144578	7918
Omi32_h_2_3	3449347	1512227	1937120	0.5615903531885891	7930
Omi32_h_2_4	4388948	1090105	3298843	0.7516249907722762	7895
Omi32_h_3_1	1051394	278530	772864	0.7350850394809177	6772
Omi32_h_3_2	2020743	805039	1215704	0.6016123772295636	8048
Omi32_h_3_3	2128420	332156	1796264	0.8439424549665949	7538
Omi32_h_3_4	4675056	721471	3953585	0.8456765009873679	7422
Omi32_h_4_1	1801386	635487	1165899	0.6472233047220307	7564
Omi32_h_4_2	1159904	360600	799304	0.6891122023891633	7690
Omi32_h_4_3	2408168	1141755	1266413	0.5258823304686384	7931
Omi32_h_4_4	6869332	1595319	5274013	0.7677621346587994	8038
Omi32_h_5_1	5229016	1616713	3612303	0.6908188844708067	7870
Omi32_h_5_2	1643924	465937	1177987	0.7165702307405939	7396
Omi32_h_5_3	1553450	677570	875880	0.5638288969712575	7127
Omi32_h_5_4	3246398	822641	2423757	0.7465988458593186	8112
Omi32_h_6_1	10297301	1955668	8341633	0.8100795538559085	8011
Omi32_h_6_2	1942220	887786	1054434	0.5429014220840069	7426
Omi32_h_6_3	9	9	0	0.0	9
Omi32_h_6_4	9	9	0	0.0	9
Omi32_h_7_1	12309048	4444605	7864443	0.638915617194766	8111
Omi32_h_7_2	44641	36629	8012	0.1794762662126744	4200
Omi32_h_7_3	9	9	0	0.0	9
Omi32_h_7_4	9	9	0	0.0	9
Omi32_h_8_1	21819548	11406673	10412875	0.4772268884763332	8148
Omi32_h_8_2	155908	103144	52764	0.3384303563640095	5225
Omi32_h_8_3	9	9	0	0.0	9
Omi32_h_8_4	9	9	0	0.0	9
Omi32_h_9_1	13521275	3742602	9778673	0.7232064283878554	8067
Omi32_h_9_2	106609	81876	24733	0.2319972985395229	7605
Omi32_h_9_3	9	9	0	0.0	9
Omi32_h_9_4	9	9	0	0.0	9
Omi32_h_F_1	2580947	1730650	850297	0.3294515540226126	7907
Omi32_h_F_2	7554525	4706645	2847880	0.3769767126324951	8129
Omi32_h_F_3	42210056	22523387	19686669	0.4663976044002405	8192
Omi32_h_F_4	11435439	3168785	8266654	0.7228978266597373	8171
