"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","530_30 Blue B-A","586_15 YG D-A","Time"
112227,81337,90425.3,67723,46180,96108.6,23150,6418.96,0.206
92048.2,71520,84346.6,66166.1,48023,90295.5,11010.2,2479.88,0.208
148366,101284,96000.8,54810.9,41896,85738.2,35580.9,6826.32,0.21
84352.6,63290,87346.1,41479.9,35229,77164.5,15482.4,2446.44,0.211
112409,86716,84953.4,33126.2,27324,79452.4,32874.4,4491.6,0.211
85125.8,58968,94607.3,70826.1,54629,84967,7366.59,1144.56,0.213
110839,84657,85804.7,51815.6,38829,87454.9,34492.1,5798.8,0.214
96743.6,73616,86125.1,63882.3,49260,84989.6,21514.6,3558.32,0.214
82324.9,63497,84968.5,33980.9,27252,81717.7,6869.17,1441.72,0.214
89035.8,68885,84707.1,51431.4,40697,82822,7905.59,2441.12,0.215
82984.5,64349,84515.2,62393.1,44992,90882.7,15576.3,3655.6,0.216
106821,80467,87000.1,33103.1,26768,81046.1,19290.8,3116,0.216
108187,81096,87429.3,36698.2,29288,82117.4,5285.28,1400.68,0.222
99052.9,76508,84847.7,39169.9,32129,79897.9,11758.7,4556.2,0.222
94529.5,74093,83612.3,64835.5,47773,88942.8,13441.1,2644.8,0.224
112012,87077,84302.3,39749.7,33117,78661.6,14807.1,3187.44,0.225
104766,79267,86618.1,42295.3,31631,87631.3,22551,4644.36,0.227
109850,90093,79907.7,61358.2,46800,85922.5,14893.3,5351.16,0.227
108501,74920,94911.3,71626.2,53128,88354.4,22224.5,3163.88,0.229
139802,101708,90082,85848.8,63544,88540.1,38763.3,5972.08,0.23
147426,104988,92026.8,43953.9,36945,77969,35456.2,5427.92,0.231
104573,80473,85162.8,49311.6,39572,81665.9,39253.8,6083.04,0.236
137841,94553,95539.4,74131,56489,86003.4,37506.7,6523.84,0.236
79279.2,64996,79937.8,36854.5,33024,73137.6,21521.5,2308.12,0.238
122265,89644,89384,47689.9,37505,83333.1,29176.1,5380.8,0.238
111068,83829,86831.4,58416.8,46865,81690.1,6140.75,1521.52,0.241
83655,69321,79087.3,40974,32761,81965.5,14893.3,1814.88,0.241
158486,127841,81245.5,96595,72137,87755.9,26901.5,7391.76,0.242
148847,106492,91601.7,88647.8,61388,94637.8,52861.3,8470.2,0.244
85108.1,65552,85087.3,37358.1,31768,77068.1,11719.4,2096.08,0.244
115712,81029,93587.1,47626.8,38133,81852.2,9533.37,1999.56,0.245
148119,104835,92594.3,98938.1,69167,93744.2,20346.5,5104.16,0.248
79929.9,60886,86034.3,33137.7,27146,80001.2,17566,289.56,0.248
150348,101347,97222.5,70409.6,49911,92451.8,57117.8,8113.76,0.249
76986.9,63821,79055.7,30646.8,26336,76263.2,23280.2,3297.64,0.25
113769,80002,93197,66621.2,46834,93224.7,20476.6,6259.36,0.252
110890,84840,85658.5,50594.4,40108,82670.6,12316.9,3296.12,0.257
114807,85570,87928,52603.3,41122,83833.7,26672,6282.92,0.258
125495,90355,91023.4,55517.8,38255,95109.5,45227.5,4138.96,0.263
81568.7,60700,88067.3,44877.9,34872,84340.4,12146.8,4128.32,0.265
93274.9,72754,84021,46019.8,38034,79296.3,10788.5,1749.52,0.266
101975,72402,92304.4,64829.4,56342,75408.4,18650.9,4379.12,0.267
156256,111115,92160.2,99658.8,79174,82492.2,39745.1,6062.52,0.27
131977,99122,87258.7,90808.4,62110,95817.4,23172.4,4771.28,0.271
81946.8,60557,88684.5,37679.9,32237,76601.2,9049.04,2988.32,0.271
95250.3,73938,84426.5,37087.1,27402,88699.3,23313.3,3461.8,0.271
95001.4,66920,93036.7,49604.9,40184,80900.6,22162.9,3926.92,0.272
98647.6,72858,88733.8,28550.1,22627,82691.3,28437.6,6051.12,0.272
148434,110515,88022.5,76328.6,59931,83467.1,27895.6,6299.64,0.276
121255,86814,91535.5,72115.1,53031,89120.3,25925.9,4626.12,0.277
110217,89839,80401.5,81205,62143,85638.8,34260.4,5449.96,0.277
78117.7,62753,81582.1,27872.5,23757,76888.9,25343.8,5003.08,0.28
104317,84080,81309.5,23353.3,20444,74862.3,8178.17,1203.84,0.28
85774.5,65553,85752.3,50050.8,40801,80393.3,9756.67,1956.24,0.282
96694,76133,83235.1,32664.2,23789,89986.1,9876.79,4524.28,0.282
96205,70204,89808.2,41083.3,33857,79523.8,15142,2264.04,0.282
99093.7,80886,80288.4,28485.4,26350,70847,6652.03,1099.72,0.283
93753.6,72888,84297,38939.7,32197,79260.5,20801.5,4568.36,0.285
91257.4,66217,90318.8,35825.8,29261,80239.2,8604.75,1320.12,0.289
134646,95973,91944.3,46993.1,34237,89953.6,38562.4,7153.12,0.291
104824,80186,85672.7,35410.8,28995,80037.2,13470.4,2082.4,0.292
106411,79914,87265.8,41496.8,35015,77667.8,21422.9,3987.72,0.294
153949,111204,90726.7,84690.8,61980,89549.8,21663.2,6983.64,0.294
105430,80649,85673.2,53298.6,42020,83126.6,28086.5,5024.36,0.298
92722.8,70063,86731.6,30091.6,22258,88601.1,20549,2661.52,0.3
129785,96161,88451.4,59661.9,45261,86387.9,15129.7,4901.24,0.3
114581,88518,84832,42584.8,35441,78746.1,12121.3,3518.8,0.307
127457,92930,89885.2,57173.3,42597,87961.8,39028.2,6127.88,0.309
96698.7,75121,84360.5,35477.8,30969,75077.3,19146,3115.24,0.312
99382.7,76328,85331,51316.6,40821,82386.2,24742.4,4827.52,0.312
125518,94201,87323.2,45789.6,37284,80486.7,14542.2,3622.16,0.313
