"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","530_30 Blue B-A","586_15 YG D-A","Time"
79143.8,62400,83121.3,26601.2,24344,71612.5,11136.5,9391.32,0.198
82341.2,66240,81466.1,27556,22108,81685.8,18362.2,11004,0.201
98287.9,75704,85086.6,37418.1,31969,76706.7,15491.6,9185.36,0.202
89847,69261,85014.9,27161.8,23776,74868.5,14084.8,10711.4,0.204
129960,92575,92001.4,78274.4,59842,85722.2,27400.4,16400.8,0.205
108528,80704,88130.6,47200.2,34376,89984.7,11004.1,9066.04,0.206
120018,86918,90493.3,57666.1,44906,84158.1,9097.55,4534.92,0.322
96409,73339,86151.5,36348.6,31723,75092,10776.9,9626.16,0.326
114787,80794,93109.2,42569.4,34451,80979.7,29311.6,13282.5,0.332
177660,118130,98561.7,42664.2,31246,89484.7,50038.4,12276.3,0.333
96963.2,69202,91826.6,41906.5,33966,80856.8,30324.9,20405.2,0.363
89745.7,64667,90951.7,40960.9,34886,76948.2,11009.5,5714.44,0.366
107065,74594,94064.3,41476.8,32886,82656,14865.6,12236.8,0.449
133061,95770,91054.5,42708.8,31927,87667.7,14442.9,7330.2,0.453
95232.6,73372,85062,39953.8,31388,83420.7,18246.7,5878.6,0.453
102094,77879,85913,33625.1,26267,83894.5,35443.1,12084,0.454
142410,104086,89666.3,52501.7,38450,89486.3,43598.9,20919,0.545
82241.2,62011,86916.2,24110.2,18966,83311.6,17417.4,10992.6,0.546
108335,78692,90223.1,59939.9,43892,89497.4,70682.9,22778.7,0.547
100933,79791,82901,41580.8,33186,82114.1,20053.9,10380.8,0.551
105490,82253,84050.1,46490.3,37181,81944.8,14350.5,11279.9,0.551
165598,107359,101088,82219.1,61618,87447,11177.3,7045.2,0.552
111754,80562,90910.2,42063.6,34922,78938.1,14384.4,10025.9,0.553
95618.9,77668,80682.9,42138.2,34244,80644,17341.2,9339.64,0.555
101334,79397,83643.5,42297.6,32825,84448.4,14602.3,8081.08,0.556
121234,94512,84065.3,53110.8,44856,77596.4,31457.6,12445.8,0.557
121855,96021,83168.4,47355.8,41065,75575.5,34007.8,10378.6,0.561
96755.8,78655,80617.8,33556.6,25842,85100.4,21222,10218.2,0.579
110977,83625,86971.8,37458.2,31188,78711.7,8603.98,6304.2,0.672
108720,82966,85879.8,45858.1,34490,87137.1,21080.3,10696.2,0.675
94374.5,72425,85397.7,43857.7,35668,80583.6,18817.3,12353,0.676
147454,108805,88815.2,47533.6,38865,80153.5,12861.3,7986.84,0.677
132420,95252,91108.5,53565.8,39192,89571.6,20463.5,11994.3,0.678
103824,76538,88900.1,40683.7,29603,90066.8,5711.09,2554.36,0.679
80238,63700,82550.6,24566.1,22040,73047.3,10519.7,5260.72,0.681
152149,110503,90234.8,62423.9,48459,84422.1,5738.04,4733.28,0.689
105499,79206,87290.8,30928.6,26974,75144.1,13440.3,5301,0.702
102889,80530,83732.3,28619.4,25498,73558.6,3561.25,1796.64,0.705
97113.5,76915,82746.3,39440.2,30459,84860,21062.6,8490.72,0.775
80994.1,68292,77725.5,36119.2,27920,84781.7,15311.4,10262.3,0.949
113448,83823,88697.8,26344.8,21666,79688.5,13892.3,9243.12,0.965
106749,80138,87298.3,41239.7,31389,86102.9,14724.7,9449.08,1.109
106567,75648,92321.9,54807.1,45996,78090.2,20070,13555.4,1.116
94394.2,74656,82863,24449,21096,75952.4,11985.8,5135.32,1.309
83225.9,65572,83180.2,36923,29500,82026.7,17165.6,11738.2,1.31
103516,78568,86345.7,26501.1,22789,76211.1,7191.8,7026.96,1.396
109708,86049,83554.8,44656.9,34477,84886.6,12478.6,8379.76,1.868
116307,87569,87043.5,30973.2,22821,88947.2,16753.7,6927.4,2
110081,80573,89537.2,27006.2,22061,80226.6,7318.08,2842.4,2.008
131031,92529,92805.7,25728.8,20173,83585.1,23588.9,5196.88,2.012
93659.8,71956,85303.4,52205.2,40584,84302.2,17751.6,6806.56,2.326
100937,78448,84323.6,36196.2,32204,73660.2,5084.31,5019.04,2.33
113075,88849,83405.5,55648.7,44197,82516.7,16497.2,7872.08,2.337
102165,76827,87149.8,57488.2,47286,79675.7,11551.5,6329.28,2.339
91203.6,68981,86648.8,41364.4,28470,95218,12889.8,7191.88,2.345
89165,68933,84771,26283.2,20697,83224.4,13467.3,4313,2.435
81286.5,66396,80233.7,27766.2,23301,78094.8,10707.6,4602.56,2.438
152696,108321,92383.6,56151.5,45401,81054.2,22791.2,8901.12,2.439
116052,88274,86159,43619.7,34218,83542.7,23367.2,12654.8,2.442
94913,76368,81450.6,40903.2,35436,75647.1,7132.51,3020.24,2.444
90720.8,70755,84029.1,35524.7,29039,80173.1,17318.8,8449.68,2.578
91715.7,73274,82030.2,24525.3,19534,82281.6,9727.41,4872.36,2.598
96944.9,76161,83420.4,32674.2,27965,76572,17559.1,10934.1,2.599
124105,94104,86429.6,31965.8,25877,80956.4,20799.2,19606.5,2.599
112692,91572,80650.9,86835.2,66168,86005.8,29941.4,8094,2.6
128585,94028,89621.4,51650.1,37253,90863.5,13839.2,8196.6,2.602
144672,109337,86715.6,46744.4,37124,82519.1,16990.8,12290.7,2.613
83567.2,62353,87833.2,38361.4,32825,76589.6,26868.4,13876.1,2.616
85588.2,61676,90944.8,40913.2,32961,81347.2,12404.7,8226.24,2.622
95975.2,72793,86407.1,34807.1,28788,79238.5,12085.1,9263.64,2.628
107849,82711,85453.8,32661.9,26779,79933.1,17530.6,10387.7,2.637
83924.9,63716,86322.2,43190.1,37536,75407.7,922.46,701.48,2.639
112890,87670,84388.9,41948.8,33030,83232.2,10467.4,5886.2,2.717
140033,107083,85701.8,83600.4,59558,91991.6,23505,11213.8,2.718
124037,93261,87162.6,34887.2,28701,79661.5,22002.8,11667.5,2.721
163321,108921,98267.6,63856.9,46333,90322.7,1419.88,912.76,2.723
148884,111919,87181.4,67050.1,46236,95038.3,11897.3,8918.6,2.728
115108,86864,86844.9,37888.6,32220,77066.1,24717,10131.6,2.733
109970,85361,84429.3,31507.6,26957,76599.2,5316.85,3939.84,2.743
130732,99808,85841.4,58766.4,48576,79284.3,3405.71,2369.68,2.745
127188,94972,87766.8,65777.2,49957,86289.8,24481.4,16501.9,2.747
82374.5,68121,79248.6,25701.8,22708,74176.3,2356.2,1858.2,2.748
88916.8,70767,82344.2,47625.3,35842,87081.4,20970.2,12729.2,2.748
132047,89163,97056.4,48900.4,39766,80589.9,25192.1,12127.3,2.753
102461,80056,83877.4,24534.5,20181,79673.6,10347.3,7029.24,2.754
121721,90339,88301.7,38520.8,30431,82958.1,35486.2,13869.2,2.754
126606,96071,86365.7,35346.8,30267,76535.2,23016.1,9455.92,2.757
115697,88496,85680,32905.2,26552,81217,10300.3,4690.72,2.758
104859,75839,90613.9,36283.9,31474,75551.4,17606,9842,2.759
93600.6,75177,81596.9,31547.7,25588,80799.9,17449,7001.88,2.76
102910,88044,76601.5,36654.3,27557,87171.2,12788.9,6577.8,2.76
112328,87647,83990.5,33108.5,27666,78428.3,23703.7,14409.6,2.766
94430.9,73105,84653.9,28960.5,24401,77781.8,10008.5,7151.6,2.773
91296.8,71147,84096.7,31009.4,26456,76815.6,1269.73,998.64,2.784
81138.3,65836,80768.6,45373.8,35692,83313.2,21205.8,13910.3,2.797
80492.3,59513,88638.5,26625.1,20329,85833,5618.69,2708.64,2.806
103183,79807,84731.5,30282.6,25538,77711.6,13605.1,6239.6,2.835
118113,92012,84126.8,29235.4,22757,84192.5,19055.2,12578.8,2.854
177901,119105,97887.7,63192.4,47489,87207,7408.17,4388.24,2.944
140105,96011,95634.2,42345.4,34662,80063.1,26953.1,8818.28,2.96
114370,89288,83945.7,31374.4,24924,82496.9,25024.2,7352.24,2.96
121384,88700,89684.6,43770.6,33781,84916.2,13567.4,9218.8,2.962
119063,91412,85359.5,40638.3,32164,82802.9,11314.4,7382.64,2.965
114188,89573,83545.8,28905,25249,75025.5,12823.6,8117.56,2.966
121075,84953,93402.2,63597.4,46996,88686.7,16629.7,11305,2.967
