"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","530_30 Blue B-A","586_15 YG D-A","Time"
155468,112837,90296.4,47748.5,34785,89959.6,11573.9,28.88,0.208
132741,95111,91464.7,46735.9,36095,84856.2,3319.47,-20.52,0.209
125521,87555,93954.2,60227.1,47807,82562,4889.5,6.84,0.209
136991,107344,83636,79347.7,58760,88497.8,18226.7,63.84,0.21
105953,82665,83998.4,28556.2,25060,74679.2,12266.1,44.84,0.21
134960,99445,88941.2,46153,37753,80117.7,22855.9,31.92,0.21
137433,96324,93505.2,43180.8,36132,78321.1,11230.5,44.08,0.211
105997,80568,86220.6,33023,28197,76752.7,13324.1,22.04,0.212
154448,102560,98692.3,57814.7,45024,84153.8,22381.6,112.48,0.212
113615,93313,79794.6,30794.6,26125,77250,25256.8,19,0.213
115591,91375,82904.3,31228.1,25746,79490.6,14653.9,31.16,0.213
107863,79018,89459.5,38687.9,27815,91154,678.37,20.52,0.213
135943,92769,96035.9,61956.5,46205,87877.5,10340.3,6.84,0.214
125631,85456,96346.4,50000.7,40232,81448.8,18156.6,31.16,0.214
150219,97993,100464,63129.2,47396,87290.8,26202.3,120.84,0.214
123576,85190,95065.8,41381.3,33550,80833.6,19562.6,-18.24,0.214
102768,80978,83170.6,27095.5,23374,75970.4,11957.3,0.76,0.217
117629,88803,86809.5,34610,28475,79655.8,14534.5,54.72,0.217
147789,107017,90504.4,49863.7,35956,90885.1,23655.9,54.72,0.218
100972,76386,86629.6,34889.5,30378,75268.8,4549.93,68.4,0.218
106219,77327,90022.8,27827,24034,75878.8,15273.7,12.92,0.218
156199,108012,94773.6,67591.4,51269,86400.5,12424.7,99.56,0.219
123085,95248,84689.7,30645.2,25576,78525.4,17727.7,-51.68,0.22
90925.5,68889,86500,34694.7,29337,77504.5,6890.73,9.12,0.22
122535,91413,87847.8,33947.8,27209,81767.1,21811,15.2,0.22
147095,104316,92411.6,66876.8,52451,83560.6,9039.8,57,0.22
97070,74390,85516.6,29601.9,26362,73590.3,12319.2,12.16,0.22
145459,103006,92546.4,50005.3,40058,81810.1,21121.9,62.32,0.22
135455,95158,93289.1,41117.2,33466,80519.3,8496.18,13.68,0.222
124346,92594,88009.5,41183.4,34414,78427.4,17435.9,-8.36,0.222
118298,86909,89205.9,34068.6,28989,77019.7,19847.5,34.2,0.223
96544.4,78398,80705.3,24616.1,22782,70812.2,7305.76,53.2,0.223
110735,74350,97607.9,59188.4,48526,79935.9,28439.9,-6.84,0.223
114514,87930,85349.6,42507.8,33002,84412.9,22226,19,0.224
125383,91566,89739.8,43585.1,36355,78569.4,18539.3,4.56,0.224
95232.6,71831,86886.8,40050.8,29271,89671.3,31259.7,-0.76,0.224
118086,82703,93574.5,50690.6,38530,86220.1,11611.6,97.28,0.225
96553.9,72823,86892.3,26910,22551,78203.7,12574.1,29.64,0.225
111281,81974,88965.9,29179.1,23646,80871.4,19613.4,67.64,0.226
126125,89171,92695.3,75486.9,54191,91290.3,15229.1,28.12,0.227
119862,83490,94086.1,42117.5,34398,80243.3,11279,38,0.227
126302,94559,87536,47032.4,38079,80945.2,13627.5,28.88,0.228
134122,92944,94571,42213.7,35280,78416,13277.9,60.8,0.229
147587,104864,92235.9,56654.3,45120,82289.4,30209.4,72.96,0.229
103795,76607,88794.5,33367.9,26434,82726.9,9944.55,27.36,0.229
127835,92636,90438,46895.3,35480,86621.5,18765.7,67.64,0.23
115441,77681,97392.3,66652,56501,77310.2,6041.42,47.12,0.231
149407,105431,92871.4,47968.7,39295,80001.9,22202.9,63.08,0.231
123374,81658,99016.2,47374.2,38519,80602.3,12300,93.48,0.233
97605.8,76234,83908.7,32673.4,28039,76368.1,21608.5,-35.72,0.233
153724,103986,96882.9,53583.5,42838,81975.1,11001.8,55.48,0.233
108918,81586,87490.8,31233.5,25706,79628.1,10981.7,38.76,0.233
114997,90187,83564.5,45000.3,32539,90634.1,16577.3,53.96,0.234
121808,87123,91627.2,29797.5,24443,79892.2,16798.3,53.2,0.234
138674,106202,85573.9,66314.7,56215,77310.3,8286.74,69.92,0.235
127243,96470,86441.3,27740.8,23854,76214.5,12010.5,-16.72,0.235
106983,84533,82940.9,21729.4,19433,73280.4,9444.82,55.48,0.236
100204,80159,81924.4,38401.4,33234,75726,12179.9,85.12,0.236
115078,88900,84833.9,26826,23516,74760.6,11495.3,31.16,0.236
103081,81104,83294.1,26387.1,22736,76060.3,9235.38,34.2,0.238
131366,99075,86896.1,25758.8,20655,81729.8,18610.1,18.24,0.239
122007,84560,94558.3,38296.7,31504,79666.5,9173.78,31.92,0.239
151885,104468,95282.5,42259.9,34028,81390.2,23020.7,33.44,0.24
88510.8,68605,84551.4,43050.7,38109,74034.2,5964.42,32.68,0.242
144137,97972,96416.9,47209.5,33932,91180,19762,68.4,0.242
139439,100204,91197,38546.2,30805,82005,16934.6,-19,0.242
111480,77056,94813.5,50483.5,37304,88689.9,17317.3,30.4,0.243
145382,95956,99292.9,51516.1,41084,82177,38892.7,31.92,0.244
126550,93948,88278.4,39332.4,32065,80389.4,24345.1,63.84,0.244
138159,96608,93723,35570.1,27196,85715.8,15102,72.96,0.245
