"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","530_30 Blue B-A","586_15 YG D-A","Time"
136253,102112,87447.8,48376.8,36192,87600.1,13294,1094.4,0.208
138250,92716,97721.6,58028.7,46805,81251.4,15543.2,1586.12,0.211
106769,80013,87450.8,80639.8,57648,91673.8,8213.59,783.56,0.212
109035,82589,86521.6,43337.9,33488,84812.3,8397.62,935.56,0.213
149415,106392,92037.6,64711.6,49621,85466.6,2912.14,425.6,0.214
108729,86073,82786,33615.1,28580,77081.9,8182.02,911.24,0.217
157385,119234,86505.6,65543.2,48190,89135.5,24170.3,2210.84,0.217
127837,90695,92374.9,51270.4,35483,94694.9,19418.6,1715.32,0.218
129213,94159,89934,50806.9,38722,85989.4,14945.7,1637.04,0.218
157967,111681,92697.5,67552.9,51129,86587.8,11228.1,1295.04,0.219
105577,81422,84978.6,30642.9,26387,76106.2,8590.89,902.12,0.219
153698,108484,92849.9,58622.4,45207,84984.1,8533.91,1177.24,0.22
88740.7,67794,85785,43745.2,35914,79826.5,10401.2,993.32,0.221
153620,111857,90004.7,69591.1,48233,94556,14078.7,1937.24,0.221
112029,84321,87070.9,33300.2,26445,82524.5,11147.3,1168.12,0.222
94813.8,73545,84488.6,25183.6,22372,73772.3,6408.71,547.96,0.225
102092,77600,86220.2,28157.4,23188,79580.9,2420.11,409.64,0.225
111487,80492,90771.6,45949.8,36645,82176.6,14023.2,1392.32,0.225
152956,110946,90351.3,91539.9,68570,87489.6,27197.9,3063.56,0.226
91752.4,66748,90086.4,59147.5,43509,89091.8,10784.6,1181.04,0.226
103304,76328,88698.1,45888.1,35233,85355.4,19250,1501.76,0.227
121790,92646,86151.9,44918.7,35726,82399.2,14348.2,1813.36,0.23
99534.3,68837,94761.3,64655.4,48473,87414.7,1821.05,217.36,0.233
98115.2,78529,81881.5,65458.5,48669,88144.1,9313.92,942.4,0.236
96268.3,76044,82965.6,43311,33285,85276.5,13716.8,1448.56,0.237
161562,110362,95939.9,68375.2,49655,90243.5,16616.6,1734.32,0.239
160830,114613,91963.1,68218.1,49861,89664.2,18142.7,2363.6,0.24
107849,84831,83318.2,47864.7,36898,85014.5,11373.7,1433.36,0.244
144135,107882,87558.8,46533.4,38275,79676.4,15610.2,1929.64,0.244
138975,101511,89723,49733.5,39163,83224.9,15603.3,1678.84,0.244
92637.8,79839,76041.9,59146,45602,85000.5,4382.07,475,0.245
97319.6,74310,85828.8,28202.8,22762,81201,9850.61,855,0.246
114035,78498,95205.2,49574.1,41610,78079.6,15098.2,1827.04,0.248
126209,99207,83373.3,81449.1,60327,88481.9,17821.7,2153.84,0.248
103653,82662,82178.1,39437.1,30638,84357.6,10908.6,1871.88,0.249
99611.2,79015,82618.7,50078.5,36899,88944,14091.8,1262.36,0.251
106187,78730,88391.4,34924.9,29635,77234.3,11905.7,1047.28,0.251
89580.5,74889,78392.6,37730,29940,82587.6,9639.63,975.84,0.253
131989,93381,92631.4,44463.6,34141,85351,14454.4,1266.16,0.256
114543,85197,88109.5,53486.5,43641,80321.1,15721.9,1849.08,0.256
168154,115021,95809.7,71583.8,50317,93235.2,23094.6,2227.56,0.257
91624.6,72315,83035.4,30144,25846,76434.1,7604.52,772.16,0.258
127232,98132,84970.1,82748.8,60396,89791.2,15557.8,1933.44,0.26
112487,84984,86745.1,39633.4,33340,77906.9,18097.3,1960.8,0.261
103343,81633,82965.1,33257.8,28917,75373.9,9692.76,1276.04,0.262
94154.2,74793,82500.9,23406.5,20708,74076,5567.1,490.2,0.264
154339,108784,92980.2,77926.3,56616,90203.8,19192.2,2096.84,0.265
97792.8,75007,85444.7,54696.2,47074,76147.5,3273.27,475,0.268
99581.2,81424,80150.3,41082.6,33416,80571.8,12872.1,1214.48,0.27
123471,93424,86613.7,30807.7,25184,80170.5,7883.26,696.92,0.271
