"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","530_30 Blue B-A","586_15 YG D-A","Time"
129150,93173,90841.3,47050.1,37261,82753.4,32887.5,23889.1,0.222
134866,101066,87453.4,45554,37107,80454.5,23813.8,17581.8,0.223
177486,118609,98067.9,64395.9,48429,87143,37864.8,28077.4,0.223
163104,116377,91849.7,63300.2,49172,84365.9,36983.1,29974.4,0.226
91003,69876,85350.9,37192.5,29900,81520.1,19926.8,12521,0.229
94781.8,72898,85209.8,61173.4,47118,85085.6,562.87,498.56,0.241
115515,77853,97239.6,39984.6,32208,81359.5,24158,16154.6,0.25
131401,95057,90593.1,32798.9,25853,83143.5,21363.7,13278.7,0.257
126401,95012,87187.1,44122.5,36376,79492.4,48180.4,27410.2,0.263
102945,76541,88143.8,30695.3,26697,75351,17167.2,12457.2,0.263
160313,108637,96710.1,62129.8,49053,83006.9,26101.5,16626.5,0.265
109598,86724,82821.8,61553.8,48156,83769.2,18680.2,13629.8,0.266
168142,110589,99642.1,59424,44688,87146.7,38125.8,24622.5,0.268
164100,118509,90748.2,51229.6,36928,90917.1,33491.9,22838.8,0.27
99859.4,77988,83915.3,42474,34960,79621.7,25037.3,21796,0.27
121704,89824,88795.6,44819.4,36164,81221.2,10587.5,9382.2,0.272
152281,108909,91634.8,45634.1,35600,84007.7,49711.2,34739.6,0.276
132233,94925,91293.2,44121,34784,83127.7,19224.6,13045.4,0.279
140269,99749,92158,46245.4,36669,82651.3,31914.2,18380.6,0.282
133330,101833,85806.1,73906.1,51769,93560.1,34653.8,22189.7,0.292
109232,82306,86975.6,28058.8,23678,77661.2,12254.5,8874.52,0.295
163758,116869,91829.5,57605.2,45205,83513.3,43270.9,25612.8,0.297
117453,79701,96578.5,44837.9,33413,87944.6,28670.9,20405.2,0.299
100352,79536,82687.7,34381.3,29540,76276.6,25651.8,18800.1,0.3
114372,86773,86380.3,36927.7,31193,77584.4,10508.2,8294.64,0.337
140183,92337,99494.9,55287.5,43037,84190.9,46715.1,34314.8,0.343
130131,96325,88536.3,43304.8,34981,81130.4,24779.4,20002.4,0.35
