"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","530_30 Blue B-A","586_15 YG D-A","Time"
154493,107071,94562.2,55097.3,41858,86264.5,20275.6,44.84,0.213
100672,76431,86321.5,25870.5,21647,78322.5,17492.1,32.68,0.214
133024,96762,90095.7,43732.1,35479,80781,21430.6,81.32,0.216
144983,101148,93937.5,44725.4,36604,80076.7,8881.95,-34.2,0.217
125512,100859,81555.2,33953.1,27270,81597.1,14047.9,22.8,0.219
130735,97023,88307.2,33352.6,26242,83293.7,16557.3,88.16,0.22
158721,111406,93369.6,58577,44094,87061.8,25356.1,-7.6,0.221
135982,95309,93503.2,39875.2,31792,82198.8,21460.7,85.12,0.221
113064,81657,90742.2,36777.5,28740,83864,30962.5,56.24,0.222
124165,94057,86514,40820.8,34292,78013.3,9199.96,31.92,0.223
152423,100474,99420.9,52562.5,37689,91399,38811.8,34.2,0.223
142395,94321,98938.5,48095,36345,86723.1,42698,-40.28,0.224
141171,94257,98154.7,58603.9,46941,81819,18438.4,77.52,0.225
97612.6,74605,85746.8,31721.7,27600,75322.9,13288.7,39.52,0.226
107141,80641,87072.6,29861.4,25245,77520.1,39454,12.92,0.227
104946,75240,91410.5,32569.5,26469,80640.4,23365.7,50.16,0.228
161163,121704,86784.4,72935.9,52561,90940.6,36740.6,69.92,0.229
147654,109597,88293,47781.6,36720,85278.1,21156.5,64.6,0.232
121974,82825,96513.2,35067.3,27396,83887.2,20660.6,-33.44,0.234
141447,101009,91772.6,43717.5,35353,81041.8,24019.4,-13.68,0.238
129037,95513,88538.3,43597.4,35220,81124.3,37590.6,35.72,0.242
130556,90088,94975.1,51252.7,39957,84062.9,46745.2,-12.16,0.244
138979,99300,91723.4,53660.5,42888,81997.2,27566,50.16,0.246
126392,90479,91548.3,44276.5,34322,84543.7,46083,60.04,0.246
98273.6,74565,86373.8,28126.6,24797,74335.7,13289.4,44.84,0.248
138855,103404,88004.6,37108.6,28172,86325.1,24120.2,3.8,0.251
163379,112473,95197.9,58262,43508,87760,50549.7,70.68,0.251
139446,101780,89789.2,50509.7,38260,86518.6,35085.8,9.12,0.253
161660,111796,94766.7,48369.9,36172,87635.9,16104.5,26.6,0.254
110488,81585,88753.1,38865.8,32061,79445.6,22969.9,-20.52,0.257
101339,79800,83225,28682.5,24433,76934.3,6991.6,32.68,0.258
86188,67224,84023.8,25839.7,22977,73701,10658.3,14.44,0.261
139972,93213,98411.1,53621.3,42464,82755.3,52637.2,68.4,0.261
118389,89968,86238.7,28991.3,24204,78498.3,16814.5,25.08,0.262
109057,78994,90477.3,38633.2,32538,77812.6,19147.6,76.76,0.263
138599,106315,85436.9,40786.1,33878,78899.6,16194.6,-8.36,0.264
128407,99469,84602.1,36818.3,29305,82338.4,17633,50.92,0.265
132640,91022,95501.1,44931,35610,82690.3,22192.9,1.52,0.265
149403,105963,92402.6,48034.9,38246,82309.7,30473.5,81.32,0.269
129185,97087,87202.9,38594.7,28866,87623.6,25019.6,4.56,0.27
104929,80938,84962,30020,25943,75835.1,13216.3,31.16,0.271
117063,81298,94367.2,41097.2,32718,82320,17073.2,78.28,0.273
139083,90923,100249,64422,50214,84079.4,81736.3,5.32,0.274
123324,91466,88362.6,44757.8,34131,85940.8,20005.4,33.44,0.275
162686,119946,88888.2,78747.1,56323,91628.1,27629.1,82.08,0.275
94896.7,80889,76885,35877.4,30765,76426.5,24846.4,10.64,0.276
124487,84642,96386.8,39780.5,30922,84310.7,42623.3,56.24,0.278
104260,79393,86063.1,28973.6,22393,84794.9,6199.27,-23.56,0.279
129627,97968,86714.4,27847.8,23336,78206.8,12464,38.76,0.28
114626,85620,87737.7,37864,30500,81359.1,17154.8,73.72,0.28
122078,91363,87568.1,29649.6,23247,83585.7,14186.5,107.16,0.28
155191,116320,87436.3,40650.6,31896,83523.9,22355.4,81.32,0.281
125850,91737,89905.7,30505.9,25273,79105.5,19523.3,44.84,0.282
86805.4,66997,84912.4,65250.6,51305,83349.8,15330.7,-12.92,0.283
139621,100808,90768.6,44134.1,33240,87014.8,49618,53.96,0.285
168341,108837,101366,55959,41457,88461,27090.1,92.72,0.287
136698,96088,93233.5,40079.3,32865,79922,10084.7,44.08,0.287
125325,91096,90160.7,43673.6,35637,80315.3,29932.2,57.76,0.287
127224,93773,88914.1,33016.8,27117,79794.6,21797.9,-27.36,0.29
108060,74636,94884.9,40306.4,31448,83996.5,26109.2,75.24,0.294
145368,106804,89199.1,35553.2,28804,80892.1,32380,-69.16,0.295
129433,97932,86616.6,45579.4,37713,79205.9,16618.9,33.44,0.297
118259,88156,87915.2,32979.9,25909,83421.5,24198.8,57.76,0.298
135874,93829,94903,42741.2,34813,80460.9,33589.7,74.48,0.298
96780.3,74252,85419.9,33423.4,29409,74481.8,2314.62,26.6,0.305
142282,99033,94156.3,53869.2,40633,86884.4,33712.9,56.24,0.307
94872.9,73269,84859.8,29727.4,25997,74940,17246.5,63.08,0.307
109233,74109,96597,44152.6,34752,83263.8,28639.4,3.8,0.309
121019,86472,91718.7,44352,35173,82638.8,30408.1,59.28,0.309
111136,86803,83907.2,39206.1,32203,79787.9,22881.3,28.12,0.31
128719,95093,88710,30402.7,25149,79226.6,16030.6,101.08,0.311
157502,108203,95395,64373.5,51654,81673.9,25473.9,84.36,0.312
105667,81404,85069.1,28453,23493,79372.5,14987.3,-25.84,0.314
130037,95145,89569.7,33692.1,27700,79712.9,12162.1,-0.76,0.314
134283,92032,95622.9,33590.5,25240,87218.1,18041.1,-26.6,0.316
166181,114267,95310.5,64123.3,45158,93059.6,36252.4,12.92,0.318
112214,86353,85162.9,29643.5,22013,88253,13786.1,23.56,0.32
108484,82809,85855.9,28115.8,23636,77957.2,18547,15.96,0.321
129388,92255,91914.8,32589.5,25948,82310.2,20619.1,34.96,0.322
119175,88920,87834.9,37132.5,28257,86120.8,37834.7,39.52,0.322
169325,116742,95054.6,62283,47490,85950.3,30124.7,44.08,0.324
124637,92000,88785,34009.4,27956,79726.6,13063.8,-1.52,0.325
157271,111408,92515.1,61228.9,47620,84264.9,49961.4,-14.44,0.326
113907,84859,87969.9,37232.6,31558,77320.3,16334,57.76,0.328
121067,87149,91042.5,41663.2,34045,80200.8,28387.6,25.84,0.329
157409,112564,91645.3,60366.5,45092,87735.7,63793.7,67.64,0.33
100607,78567,83920.2,31007.9,26479,76745.1,7183.33,16.72,0.331
92118.9,74310,81242.2,25058.9,20686,79389.9,23848.4,54.72,0.333
125314,88813,92470.8,80836.1,64416,82241.6,9740.5,36.48,0.335
142504,100561,92870.5,35594,28037,83200.4,14376.7,16.72,0.336
120253,93485,84300.9,33023.8,28448,76077.2,23019.9,73.72,0.337
120753,85252,92826.8,42749.6,35216,79555.9,19674.3,52.44,0.338
111294,82798,88091.3,30358.8,24009,82868.7,19061.3,81.32,0.339
149389,104244,93917.4,52525.5,40824,84320.9,43430.3,84.36,0.34
159948,111755,93797.4,59722.7,44966,87043.3,38023.4,55.48,0.344
167431,109870,99870.4,49865.2,36099,90527.9,40512,74.48,0.344
159064,113108,92163.2,61037.1,45496,87922.7,23732.9,34.96,0.346
149994,109145,90064,51511.5,42084,80217.1,24859.4,101.84,0.347
152742,109613,91322,46563.4,36905,82687.5,13251.7,67.64,0.349
157166,111597,92296.9,44439.8,33456,87051.8,23309.4,53.2,0.353
125610,85793,95951.8,41423.7,33849,80201.6,28837.3,72.96,0.353
119064,88796,87875.3,51121.8,40577,82567,18926.6,28.88,0.362
150752,101213,97612.8,81030.9,60160,88272,15617.1,85.12,0.364
136269,97554,91544.2,55535.5,45102,80696.5,12259.2,-21.28,0.364
112397,90271,81599.4,59183,45090,86019.4,34889.5,74.48,0.37
163759,105497,101729,61687,46052,87786,82537.1,95.76,0.371
130325,88124,96919.8,45021.9,35948,82078.4,20856.2,-11.4,0.372
116526,81341,93884.5,44796.3,36761,79861,20035.4,60.8,0.373
117416,92993,82748.1,31985.8,27621,75892.3,605.22,1.52,0.376
92053,71521,84349.8,27743.1,24425,74439,18568.5,32.68,0.378
88851.5,70697,82365.2,25244.4,20157,82076.7,16014.5,-42.56,0.379
137884,98344,91885.5,36168.4,28725,82518.2,25252.9,70.68,0.379
104179,79478,85903.7,27095.5,23690,74957.1,6334.02,104.12,0.38
165133,122055,88666.4,56073.7,44247,83053,13801.5,79.04,0.381
115680,86499,87645.2,46529.6,38287,79644.8,13520.4,15.2,0.383
135013,95323,92823.2,58630.9,44438,86467.3,34946.4,17.48,0.385
123535,87582,92438.9,51533,40759,82859.4,43234,44.84,0.386
165109,115499,93685.8,47310.3,38747,80019.9,12542.5,11.4,0.387
111685,85787,85320.7,39145.3,33227,77209,10678.4,20.52,0.388
116697,88195,86715.2,28664,23911,78563.2,27014.7,-48.64,0.389
90567.8,73114,81180.8,25537.8,22234,75274.2,15419.2,12.92,0.39
146683,97314,98783.8,44867.9,35026,83950.9,30647.5,-38,0.392
101130,76367,86786.6,28155,22143,83329.7,22420.9,12.92,0.392
84413.8,66730,82903.4,24633.1,21731,74288,12524.8,4.56,0.392
109608,84709,84799.3,38361.4,31929,78738.8,21389.8,23.56,0.394
161533,107857,98150.8,48737.1,35757,89326.2,37217.2,-3.04,0.394
116098,88336,86132.3,38182.8,30764,81340.1,27758.5,-7.6,0.395
117665,88253,87377.3,45259.8,35469,83626.5,35606.3,13.68,0.395
