"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","530_30 Blue B-A","586_15 YG D-A","Time"
162943,108548,98377,52636.4,39804,86664.2,28157.4,8311.36,0.226
113576,86516,86034.2,38720.2,31476,80619.1,13810.7,4943.04,0.228
119685,88875,88255.5,40378.8,32038,82597.7,15840.4,5133.04,0.23
133973,98977,88708,40522,32317,82175.1,19708.9,5450.72,0.231
123419,85785,94286.5,44871,35652,82482.5,32584.1,10863.4,0.231
157704,111397,92778.6,49746.6,36845,88484,24990.3,7435.84,0.232
129267,98252,86223.8,40401.1,31201,84860.4,28185.1,8597.88,0.232
103567,81485,83296.2,32504,27760,76735.7,10713,3255.08,0.233
173773,122537,92938.2,60332.6,44388,89077.1,40977.9,14443.8,0.234
115600,82365,91980.4,68793.3,55664,80993.8,1877.26,1085.28,0.238
112692,87264,84632.4,44224.2,35948,80624.1,26668.9,7612.92,0.24
151936,105625,94270.4,49897.5,39597,82584.2,41590,13279.5,0.244
153783,101886,98917.4,53823.8,40963,86111.7,18964.3,6131.68,0.244
84598.1,64546,85895.7,52833.5,37422,92525.8,3117.73,1105.8,0.245
136241,98278,90851.6,61402.9,47626,84493.7,43059.2,12010.3,0.248
134455,95395,92370.1,48713.3,36663,87076.2,14198,3235.32,0.249
142060,101435,91783.5,46772.1,36699,83524.3,37378.1,10103.4,0.249
111331,79247,92068.9,23026.8,20546,73449.2,11302.8,3315.88,0.251
110431,78911,91713.8,33305.6,25931,84173.9,20820.8,4756.84,0.251
135840,100035,88992.6,48701,39743,80307.6,18044.2,6174.24,0.253
101593,78115,85233.6,31510.7,26415,78178.5,12493.2,3755.16,0.253
90937.1,75120,79335.1,33663.6,28288,77989.9,18217.4,4237.76,0.254
154085,108260,93276.3,63092.3,48764,84792.3,23797.6,8051.44,0.254
86960.4,64100,88908.6,52839.7,39976,86624.6,31266.6,10297.2,0.255
120960,93032,85209.6,28272.1,22981,80624.9,19196.1,5275.16,0.276
143456,93702,100334,44509.8,32110,90843.9,33817.6,8049.16,0.282
110599,80971,89515.9,42919,31286,89904.2,17169.5,5361.8,0.282
86491.9,64453,87945.2,45513.2,38829,76817.6,15157.4,4875.4,0.285
