"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","530_30 Blue B-A","586_15 YG D-A","Time"
130302,93677,91158.9,38998.2,31977,79925.7,24925.7,17347,0.12
95404.7,73685,84853.7,40452.7,34609,76601.7,2556.4,2099.12,0.134
113583,87556,85017.4,48317.5,38076,83163.6,20420.4,16992.1,0.135
135068,99586,88886,39835.2,32462,80421.4,21974.3,19187,0.139
151344,101268,97943,59065.2,44648,86698,23068.4,19278.9,0.14
133106,98261,88776.1,48445.3,37693,84230.8,16613.5,13065.2,0.145
126802,98092,84717.1,39595.7,30300,85641.7,27390.4,22928.4,0.151
153921,114793,87874.6,36212.3,28457,83396.4,20441.2,16930.5,0.153
120675,85182,92842.9,38875,32583,78191.4,69708.9,619.4,0.162
117893,89395,86428,36997,29523,82126.9,20146.3,19833,0.162
128583,93776,89860.8,44617.6,31956,91502.8,30911.6,30615.8,0.163
117278,84665,90780.7,35268.3,29501,78348,12859,9540.28,0.208
137257,96644,93076.6,35725.7,28424,82371.2,8254.4,6262.4,0.21
128338,93613,89845.9,33177.8,27229,79853.7,19783.6,14496.2,0.215
142240,105861,88057.2,33868.4,26721,83065.9,58173.5,41740.7,0.221
149903,109763,89502.1,53583.5,39735,88376.8,28162.8,20014.6,0.222
116489,87031,87718.8,33921.6,26291,84556.9,29950.7,23640.6,0.224
138593,103557,87708.4,43033.8,33789,83466.8,22748.1,18834.3,0.225
152017,109216,91218.9,59616.5,47404,82419.8,17384.3,14791.1,0.227
128369,92551,90899,60122.4,47375,83170,8731.03,6121.8,0.23
133600,95069,92097.6,45751.9,35984,83325.8,19198.4,15647.6,0.23
150602,104304,94626,55189,42136,85837.9,10271.8,7342.36,0.231
151711,111284,89343.6,47261.1,34780,89054.1,42969.1,31959.5,0.235
156673,117725,87218,49772.8,39456,82672.1,21958.1,19025.8,0.236
157749,116293,88898.3,80452.7,60825,86683.9,21639.3,14535.8,0.239
150576,107537,91765.4,51022.5,41677,80231.6,16352.5,12710.2,0.24
150166,100905,97530,46183.8,35428,85432.5,23987.8,13642,0.241
146407,106289,90272.3,44571.4,34389,84941,25093.5,24235.6,0.244
155266,109904,92585.7,43107.7,30724,91951.1,22219.9,18793.3,0.248
100901,80724,81916.9,27528.3,22344,80741.7,15224.4,12743.7,0.251
166738,118702,92056.9,64221.1,45927,91640.9,42955.2,37793.3,0.261
113294,84391,87981.5,65912.8,50539,85471.8,30826.9,27404.8,0.264
131553,100032,86187.3,46053.7,35924,84015.6,26730.5,21086.2,0.271
86759.8,68224,83341.5,27879.4,23028,79342.7,5537.07,3942.12,0.311
90457.7,64307,92186.5,39604.2,33979,76385.4,13391.1,8973.32,0.316
144021,107734,87609.6,52149.8,38842,87989.5,43565.8,43199.2,0.317
105435,82963,83287.9,27433.6,22251,80800.2,21755.6,19093.5,0.32
147446,104745,92253.1,37241.8,30004,81345.2,18048.8,13284.8,0.391
125135,82773,99076.3,32865.9,23497,91667,13888.5,11784.6,0.397
93780.8,73869,83201.6,31570.8,27008,76607.7,5835.06,4011.28,0.397
143834,97917,96268,46522.6,36816,82814.7,25303,20708.5,0.4
131772,91150,94743.1,48583.9,40519,78580.3,17022.4,18324.4,0.403
121717,92821,85937.7,28798.8,24209,77960.9,5810.42,4455.12,0.405
145183,98528,96568.9,54176.4,43532,81560.8,25888.2,21656.2,0.405
141401,102310,90576.4,43980.9,35198,81889,21765.6,21421.4,0.412
122899,89980,89512.3,35082.7,28657,80231.1,21924.2,18334.2,0.416
116888,86720,88334.5,40763,34260,77975.7,20787.7,14139.8,0.417
