FSC-A,FSC-H,FSC-W,SSC-A,SSC-H,SSC-W,585/15 YG E-A,530/30 Blue B-A,Time
1.030794843750000000e+05,6.989500000000000000e+04,9.665092968750000000e+04,4.335951953125000000e+04,3.715100000000000000e+04,7.648810156250000000e+04,2.315120117187500000e+03,3.800520019531250000e+03,2.000000000000000111e-01
1.165981562500000000e+05,7.901700000000000000e+04,9.670549218750000000e+04,3.926864062500000000e+04,3.435600000000000000e+04,7.490714062500000000e+04,4.681839843750000000e+03,9.993280273437500000e+03,2.020000076293945457e-01
1.307988671875000000e+05,9.074900000000000000e+04,9.445872656250000000e+04,9.135528125000000000e+04,7.542400000000000000e+04,7.937871093750000000e+04,1.196432031250000000e+04,1.981791992187500000e+04,2.029999923706054810e-01
1.086355156250000000e+05,7.019200000000000000e+04,1.014294687500000000e+05,6.735060156250000000e+04,5.802000000000000000e+04,7.607531250000000000e+04,6.462899902343750000e+03,9.526120117187500000e+03,2.039999961853027344e-01
1.537504531250000000e+05,8.673900000000000000e+04,1.161667812500000000e+05,1.350051562500000000e+05,7.393500000000000000e+04,1.196686015625000000e+05,1.146982031250000000e+04,2.206464062500000000e+04,2.070000076293945224e-01
8.381126562500000000e+04,4.873300000000000000e+04,1.127091562500000000e+05,5.179287890625000000e+04,4.029700000000000000e+04,8.423203906250000000e+04,5.768879882812500000e+03,6.483800292968750000e+03,2.089999961853027388e-01
1.009106484375000000e+05,6.636000000000000000e+04,9.965763281250000000e+04,6.074100000000000000e+04,4.604000000000000000e+04,8.646225781250000000e+04,7.762360351562500000e+03,1.354832031250000000e+04,2.149999999999999967e-01
9.291319531250000000e+04,6.021600000000000000e+04,1.011219453125000000e+05,5.027240234375000000e+04,4.280800000000000000e+04,7.696347656250000000e+04,3.415920166015625000e+03,1.013879980468750000e+04,2.210000038146972823e-01
8.147486718750000000e+04,5.374500000000000000e+04,9.934946875000000000e+04,4.781216015625000000e+04,4.176900000000000000e+04,7.501778125000000000e+04,7.098439941406250000e+03,1.069640039062500000e+04,2.260000038146972590e-01
9.486491406250000000e+04,6.802200000000000000e+04,9.139788281250000000e+04,4.307119921875000000e+04,3.948200000000000000e+04,7.149370312500000000e+04,3.790880126953125000e+03,4.955839843750000000e+03,2.520000076293945623e-01
1.139142421875000000e+05,6.579600000000000000e+04,1.134641015625000000e+05,5.258235937500000000e+04,4.424800000000000000e+04,7.788007812500000000e+04,8.425419921875000000e+03,9.762080078125000000e+03,2.679999923706054554e-01
9.785621875000000000e+04,7.543600000000000000e+04,8.501385156250000000e+04,4.899332031250000000e+04,4.346800000000000000e+04,7.386643750000000000e+04,8.651600585937500000e+03,1.128595996093750000e+04,2.820000076293945335e-01
9.153259375000000000e+04,5.923300000000000000e+04,1.012726093750000000e+05,3.657719921875000000e+04,3.207700000000000000e+04,7.473028125000000000e+04,5.028419921875000000e+03,7.215479980468750000e+03,2.960000038146972656e-01
1.056389062500000000e+05,6.427500000000000000e+04,1.077114140625000000e+05,4.247687890625000000e+04,3.508700000000000000e+04,7.933892187500000000e+04,2.949800048828125000e+03,6.325359863281250000e+03,3.020000076293945512e-01
9.309314843750000000e+04,5.914700000000000000e+04,1.031489843750000000e+05,4.796719921875000000e+04,4.098200000000000000e+04,7.670632812500000000e+04,4.385140136718750000e+03,6.295439941406250000e+03,3.039999961853027677e-01
8.780969531250000000e+04,5.688000000000000000e+04,1.011725781250000000e+05,3.877087890625000000e+04,3.318400000000000000e+04,7.656967968750000000e+04,6.150720214843750000e+03,7.340600097656250000e+03,3.110000038146972789e-01
9.656529687500000000e+04,6.494500000000000000e+04,9.744404687500000000e+04,4.054976171875000000e+04,3.466500000000000000e+04,7.666144531250000000e+04,1.103380004882812500e+03,4.414560058593750000e+03,3.250000000000000111e-01
8.896727343750000000e+04,6.392300000000000000e+04,9.121222656250000000e+04,4.792912109375000000e+04,3.389900000000000000e+04,9.266004687500000000e+04,3.307560058593750000e+03,5.223080078125000000e+03,3.350000000000000200e-01
8.635829687500000000e+04,6.044500000000000000e+04,9.363185937500000000e+04,4.203351953125000000e+04,3.502400000000000000e+04,7.865203125000000000e+04,1.982643945312500000e+04,1.365508007812500000e+04,3.440000152587890936e-01
1.166630546875000000e+05,7.755200000000000000e+04,9.858714062500000000e+04,5.193092187500000000e+04,4.452400000000000000e+04,7.643843750000000000e+04,8.437459960937500000e+03,1.157087988281250000e+04,3.509999847412109686e-01
1.130569765625000000e+05,6.506100000000000000e+04,1.138823828125000000e+05,6.858411718750000000e+04,4.937700000000000000e+04,9.102880468750000000e+04,1.169341992187500000e+04,1.594532031250000000e+04,3.590000152587890514e-01
9.088418750000000000e+04,6.142000000000000000e+04,9.697469531250000000e+04,3.776516015625000000e+04,3.449200000000000000e+04,7.175512500000000000e+04,1.690760009765625000e+03,7.707120117187500000e+03,3.620000076293945490e-01
1.214691953125000000e+05,7.268100000000000000e+04,1.095280078125000000e+05,8.178903906250000000e+04,6.595600000000000000e+04,8.126822656250000000e+04,6.277140136718750000e+03,8.446959960937500000e+03,3.690000152587890603e-01
9.666382812500000000e+04,7.203700000000000000e+04,8.794036718750000000e+04,3.184643945312500000e+04,2.834900000000000000e+04,7.362122656250000000e+04,3.959440185546875000e+03,8.524480468750000000e+03,3.800000000000000044e-01
8.673294531250000000e+04,5.740800000000000000e+04,9.901285937500000000e+04,3.379396093750000000e+04,3.031600000000000000e+04,7.305452343750000000e+04,3.772820068359375000e+03,4.921839843750000000e+03,3.840000152587890736e-01
8.742501562500000000e+04,5.612800000000000000e+04,1.020789218750000000e+05,4.669900000000000000e+04,4.109200000000000000e+04,7.447838281250000000e+04,7.059740234375000000e+03,1.042712011718750000e+04,3.929999923706054554e-01
7.815847656250000000e+04,5.171000000000000000e+04,9.905615625000000000e+04,3.397483984375000000e+04,3.062700000000000000e+04,7.269974218750000000e+04,3.585340087890625000e+03,4.840919921875000000e+03,3.990000152587890869e-01
1.398801406250000000e+05,9.498100000000000000e+04,9.651600000000000000e+04,1.391687968750000000e+05,1.199010000000000000e+05,7.606747656250000000e+04,4.717959960937500000e+03,6.195479980468750000e+03,4.009999847412109575e-01
1.771203593750000000e+05,1.102110000000000000e+05,1.053230625000000000e+05,1.001456406250000000e+05,6.310300000000000000e+04,1.040068515625000000e+05,4.432439941406250000e+03,1.799619921875000000e+04,4.090000152587890958e-01
8.362777343750000000e+04,5.616900000000000000e+04,9.757392187500000000e+04,4.246803906250000000e+04,3.411600000000000000e+04,8.158006250000000000e+04,5.294160156250000000e+03,1.425348046875000000e+04,4.090000152587890958e-01
1.036836484375000000e+05,7.517700000000000000e+04,9.038684375000000000e+04,6.097696093750000000e+04,5.477200000000000000e+04,7.296038281250000000e+04,3.039239990234375000e+03,3.947400146484375000e+03,4.140000152587890447e-01
1.092390859375000000e+05,6.760100000000000000e+04,1.059021718750000000e+05,5.040500000000000000e+04,4.254900000000000000e+04,7.763618750000000000e+04,2.512919921875000000e+03,8.544879882812500000e+03,4.190000152587890492e-01
1.197581953125000000e+05,8.177700000000000000e+04,9.597409375000000000e+04,4.346151953125000000e+04,3.970500000000000000e+04,7.173640625000000000e+04,4.188200195312500000e+03,6.631359863281250000e+03,4.199999999999999845e-01
1.203953984375000000e+05,7.294800000000000000e+04,1.081624296875000000e+05,8.646539843750000000e+04,6.515600000000000000e+04,8.696967187500000000e+04,5.735340332031250000e+03,6.746959960937500000e+03,4.240000152587890536e-01
9.128892968750000000e+04,5.738000000000000000e+04,1.042647578125000000e+05,3.107328125000000000e+04,2.724400000000000000e+04,7.474742187500000000e+04,3.163080078125000000e+03,4.675680175781250000e+03,4.290000152587890581e-01
1.218391250000000000e+05,7.744000000000000000e+04,1.031101328125000000e+05,1.299813203125000000e+05,1.113680000000000000e+05,7.648926562500000000e+04,2.336620117187500000e+03,6.547040039062500000e+03,4.290000152587890581e-01
1.026452421875000000e+05,6.825200000000000000e+04,9.856061718750000000e+04,3.989151953125000000e+04,3.629600000000000000e+04,7.202807031250000000e+04,4.238939941406250000e+03,1.037136035156250000e+04,4.299999999999999933e-01
6.937927343750000000e+04,4.742000000000000000e+04,9.588443750000000000e+04,2.879051953125000000e+04,2.644400000000000000e+04,7.135135937500000000e+04,5.794680175781250000e+03,6.848280273437500000e+03,4.309999847412109286e-01
9.504604687500000000e+04,6.489300000000000000e+04,9.598782031250000000e+04,3.679955859375000000e+04,3.198400000000000000e+04,7.540318750000000000e+04,1.974560058593750000e+03,4.640319824218750000e+03,4.340000152587890625e-01
1.057716562500000000e+05,6.523600000000000000e+04,1.062580703125000000e+05,5.510108203125000000e+04,4.519600000000000000e+04,7.989875781250000000e+04,8.735020507812500000e+03,1.134171972656250000e+04,4.349999999999999978e-01
1.522418281250000000e+05,9.058400000000000000e+04,1.101443984375000000e+05,8.068132031250000000e+04,6.262500000000000000e+04,8.443163281250000000e+04,1.107852050781250000e+04,1.070728027343750000e+04,4.359999847412109331e-01
1.257520078125000000e+05,8.466000000000000000e+04,9.734566406250000000e+04,4.527916015625000000e+04,4.007600000000000000e+04,7.404469531250000000e+04,5.626120117187500000e+03,8.763160156250000000e+03,4.379999923706054954e-01
8.494701562500000000e+04,5.986500000000000000e+04,9.299403125000000000e+04,3.479287890625000000e+04,3.208400000000000000e+04,7.106925781250000000e+04,3.177699951171875000e+03,4.783120117187500000e+03,4.409999847412109375e-01
1.338745312500000000e+05,8.438800000000000000e+04,1.039674140625000000e+05,7.730852343750000000e+04,6.331600000000000000e+04,8.001913281250000000e+04,2.537000000000000000e+03,1.001367968750000000e+04,4.409999847412109375e-01
1.268529453125000000e+05,7.548000000000000000e+04,1.101408906250000000e+05,6.293264062500000000e+04,4.786800000000000000e+04,8.616097656250000000e+04,2.703840087890625000e+03,1.026187988281250000e+04,4.970000076293945579e-01
8.437471875000000000e+04,5.554900000000000000e+04,9.954421875000000000e+04,3.686076171875000000e+04,3.203200000000000000e+04,7.541542968750000000e+04,3.440000000000000000e+03,6.562680175781250000e+03,5.190000152587890270e-01
7.835730468750000000e+04,5.475700000000000000e+04,9.378206250000000000e+04,3.426451953125000000e+04,3.264900000000000000e+04,6.877881250000000000e+04,3.496760009765625000e+03,5.000040039062500000e+03,5.320000076293945890e-01
1.201682421875000000e+05,9.091700000000000000e+04,8.662127343750000000e+04,5.833787890625000000e+04,5.356500000000000000e+04,7.137554687500000000e+04,8.256860351562500000e+03,1.433100000000000000e+04,5.509999847412109242e-01
1.148086875000000000e+05,6.938400000000000000e+04,1.084414609375000000e+05,5.764087890625000000e+04,4.762100000000000000e+04,7.932535937500000000e+04,3.097719970703125000e+03,4.965359863281250000e+03,5.590000152587890625e-01
7.289036718750000000e+04,4.551800000000000000e+04,1.049462500000000000e+05,4.408848046875000000e+04,3.680300000000000000e+04,7.850942968750000000e+04,7.801919921875000000e+03,1.096432031250000000e+04,5.829999923706055132e-01
1.325311093750000000e+05,8.121700000000000000e+04,1.069426171875000000e+05,8.866928125000000000e+04,6.478100000000000000e+04,8.970269531250000000e+04,1.181640039062500000e+04,2.108543945312500000e+04,5.940000152587890936e-01
