"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","530_30 Blue C-A","586_15 YG D-A","Time"
119953,73817,106496,121952,95135,84009.2,22937,2924.46,0.208
109923,70167,102668,109747,88209,81537.8,10900.6,1423.73,0.21
105021,68477,100510,83016.1,68651,79249.3,14675.1,2484.79,0.21
109820,72949,98660.3,56119.1,46739,78688.5,13454.1,1897.28,0.21
118920,82153,94866.3,79770.9,66907,78136.3,17905.8,3153.92,0.211
109629,72908,98543.6,62903.9,53850,76554.7,16586.5,2187.57,0.215
114545,78325,95842.1,66727.3,57239,76399.7,25988.2,2966.04,0.215
79339,57284,90768.2,54473.8,47506,75148.2,14709.4,1809.5,0.217
125051,84453,97040,72335.3,60199,78748.3,14892.2,2031.26,0.217
149612,98341,99704,113570,92439,80516.8,27156.4,2573.34,0.218
84749.7,59754,92950.4,76008.2,65900,75588.4,7030.98,1390.62,0.222
80880.5,53598,98895.2,84235.8,67128,82238.1,34291,4528.37,0.224
98741.9,67549,95799.4,69750.8,59183,77238.2,13209.2,2721.95,0.225
126565,79669,104113,97882.6,78535,81681.2,18454.3,2793.56,0.227
134090,82396,106652,100514,78714,83686.4,34645.4,4564.56,0.227
143737,92187,102183,111576,86345,84686.1,31159.3,3833.83,0.228
131076,82337,104329,113585,88275,84326.1,35620.2,3276.35,0.229
149224,99919,97874.9,105006,85561,80430,26343.9,4964.19,0.229
138450,88455,102577,126826,98417,84453.3,29044.6,4050.97,0.23
150014,94661,103858,102417,80743,83127.8,27284.4,2491.72,0.23
122583,76688,104757,85847.5,68674,81924.8,21151,2581.04,0.23
96194,63968,98551.9,68527.1,59734,75183.2,22135.7,2800.49,0.23
142578,95429,97915.5,93343.1,76375,80096.1,32061.5,3237.08,0.232
88021.8,60752,94953.2,99809.2,79830,81937.8,35347,3360.28,0.233
127864,81865,102360,127449,101227,82512.7,16296.1,3007.62,0.234
109515,71956,99743.5,82280.9,66518,81066.2,14501.5,1268.19,0.235
133472,86555,101060,92610.5,75581,80302.3,22068.4,2671.13,0.235
85179.8,54983,101529,69907.2,58709,78036.4,16793,3729.11,0.235
129379,90703,93480.8,107123,89072,78817.5,22519.2,2199.89,0.236
82467.1,54991,98280.9,61287.6,53440,75159.9,11534.8,-16.17,0.237
104949,71116,96714.6,77680,65262,78006.2,15931.1,2718.1,0.238
90896.7,62445,95396.1,102556,86443,77752,18280,2457.84,0.238
129681,83459,101831,81570.7,65721,81341.1,19245.6,1637.79,0.238
150100,97160,101245,114092,92382,80937.3,30846.4,4656.19,0.239
101669,73080,91173.5,60721.3,49470,80441.3,19551.2,3029.95,0.241
145143,90273,105371,100410,80871,81369.8,25023.9,2504.04,0.241
96532.5,66039,95797.2,74502.1,61861,78928.1,18618.6,1855.7,0.242
151487,99817,99460.8,120150,93071,84603.5,15380.6,2838.22,0.244
109563,72921,98467.4,68091.5,57007,78278.9,11532.2,1603.91,0.245
93630.7,65512,93665,57533.5,50014,75389.2,9674.28,2219.91,0.245
88920.9,65320,89215,53144.5,48974,71116.9,15493.5,1720.95,0.245
108972,75541,94539.5,75578.6,62071,79797.6,20856.7,2730.42,0.246
134871,86592,102075,102388,79302,84614.9,49551.5,3844.61,0.246
89382.7,54456,107569,105218,82586,83495.5,29045.3,4167.24,0.25
100049,66096,99200.9,82594.4,63654,85036.4,23183.2,2655.73,0.25
102229,64808,103377,106154,80010,86950.3,15882.9,2194.5,0.251
108790,74910,95176.8,57796.9,48444,78188.7,13096.4,1278.2,0.251
114999,79695,94567.8,64179.7,54941,76556.4,19530.7,2068.99,0.252
97834.9,64565,99306.2,94610.3,76915,80613.5,23177.2,2226.84,0.252
105113,69152,99616.9,71081.3,58902,79087.1,15436.1,3073.84,0.254
79366.5,52664,98765,85915.5,69834,80627.8,25233.1,3535.84,0.254
133003,88901,98046.8,77719,62819,81080.4,17050.4,1543.85,0.255
116856,80277,95398,68612.3,57943,77603.4,23298,2979.13,0.256
101348,65725,101057,102407,84907,79043.4,26694.4,3033.03,0.257
87694.2,60228,95422.9,59745.8,51606,75873,15884.9,1342.11,0.257
143686,92909,101353,118180,89387,86646.4,47068.6,732.27,0.257
118630,76004,102291,72134,58242,81167.8,20988,2377.76,0.257
95006.3,66722,93317.5,87240.1,68804,83096.5,10625.3,1623.93,0.258
117745,76521,100842,87879,70459,81738.9,9890.76,1874.18,0.26
184854,115989,104446,78031.8,57783,88501.7,27561.6,2318.47,0.261
80692.6,53677,98520.3,66085.8,57007,75973.1,15998.4,3208.59,0.262
93783.8,60163,102159,98232.4,81805,78696.4,13827,2575.65,0.263
