"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","530_30 Blue C-A","586_15 YG D-A","Time"
90491.7,59061,100412,93661.3,75175,81651.9,14459.9,14219.6,0.195
125876,81791,100860,90780.4,74365,80002.4,13066.7,19189.2,0.196
156685,98541,104206,115249,90527,83433.4,16599,24446.7,0.196
161643,108671,97481.5,91573,72073,83267.4,43047.8,8118.11,0.197
155312,94821,107344,83122.4,65699,82916.2,21719.9,1281.28,0.204
104957,70612,97411.7,70482.1,56178,82222.8,8461.86,-407.33,0.211
100666,66568,99105.2,71264.2,59754,78159.9,16490.8,27094.8,0.215
98962.7,72631,89295.5,64850.9,56661,75008.8,28115.3,9766.68,0.219
136035,88788,100410,81609.7,64482,82943.6,35616.9,6149.99,0.224
122947,86445,93208.8,53235.6,43867,79532.4,25421.2,858.55,0.226
115181,75279,100274,73262,60105,79881.8,7595.28,10962.5,0.229
148035,87560,110800,111440,84922,86000.2,18929.5,5158.23,0.23
107416,78696,89452.9,56834.6,47898,77763.4,11678,395.01,0.231
103573,62502,108601,77203.5,60960,82998.8,18838.4,32630.3,0.232
121508,82992,95951.1,83645.8,65558,83617.7,12416.6,-235.62,0.233
102776,66594,101144,66057.4,52852,81910.6,14933.2,2823.59,0.235
113052,77780,95255.5,67663.2,56482,78509.5,19421.8,20849.3,0.237
94925.8,76247,81590.8,62818.8,54485,75560.1,5610,-445.06,0.24
124633,85500,95531.4,68816.9,57178,78876.2,23666.3,31613.1,0.242
110400,73084,98997.7,70581.1,59338,77953.4,17474.8,27006.2,0.242
103582,65944,102941,84737.4,69482,79925,13883.1,17696.1,0.243
157725,105425,98047.7,94687.6,75895,81763.5,17396.3,88.55,0.246
131123,84316,101917,87575.4,69598,82464.2,17678.1,19238.4,0.247
138606,90942,99884.4,114400,89676,83604.4,13666.6,21000.2,0.247
101179,67748,97875.9,68673,56610,79501,20005.9,30399.6,0.247
107667,71004,99375.4,102407,80202,83680.5,2935.02,3664.43,0.249
113703,77460,96200.2,68834,57298,78730.6,14609.8,24086.4,0.253
132169,85744,101019,69771.2,55794,81953.8,22500.1,9289.28,0.255
141567,93004,99756.3,85409.9,69886,80093.7,31573.7,54908.7,0.258
106981,69668,100636,87864.5,69558,82784,24981.7,44484.4,0.26
120867,75672,104677,101701,79274,84076.8,11093.3,12867.5,0.261
120997,73552,107810,78460.1,62882,81771.6,17396.9,24863.3,0.261
131231,84757,101471,60491,49847,79530.1,26567.6,32958.3,0.262
144743,96143,98664.4,105493,82304,84000.7,19989.4,20321.8,0.263
113711,73924,100808,83598.9,67910,80676.5,25037.8,32620.3,0.263
