"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","530_30 Blue C-A","586_15 YG D-A","Time"
113306,72680,102168,90872.8,72858,81740.3,30890,19201.5,0.217
115846,73456,103356,106655,85414,81833.4,29185.9,32889,0.218
128284,82582,101804,89217.5,68916,84841.8,14000.6,17182.5,0.221
134098,86352,101772,103739,84466,80489.5,36408.9,18460,0.222
125018,83707,97879,123809,92745,87486.9,33250.1,42592.6,0.223
168985,108204,102349,83963.9,65870,83538.1,18451,11978.1,0.223
154655,98827,102558,130058,101961,83595.7,36599,48457.6,0.226
154590,102823,98530.5,134994,102373,86418.8,49106.6,56392.5,0.231
76966.1,54408,92707.9,60859.3,49321,80867.6,19353.8,19254.6,0.25
78445.4,56654,90743.8,74023.6,56988,85126.9,29873.6,26549.6,0.264
119001,79461,98147.1,104827,82023,83756.4,34322,38136.6,0.267
125682,83661,98453.2,67496.2,55695,79422.4,2422.86,2634.94,0.269
152402,100789,99096.6,107296,84551,83165.9,50895.2,28573.2,0.274
110301,78901,91617.5,71843,60759,77491.4,19873.3,24391.3,0.279
147097,93121,103523,109322,88791,80689.6,32300.4,30906.3,0.281
108579,69501,102384,82845.2,65035,83483.4,31122.3,33847.7,0.281
143535,93102,101037,87467.8,70360,81470.9,8019,3933.16,0.285
112419,73379,100403,73129.3,58021,82601.2,23175.2,24576.9,0.288
117617,74721,103159,95507.9,73527,85128,36863,16860.7,0.288
104101,73088,93344.9,58193.5,49334,77305.1,21805.1,16433.3,0.289
104273,72713,93980.7,85318.9,70815,78958.6,31138.8,40154.7,0.292
120812,83013,95377.3,82249.9,67831,79467,15576.7,9021.32,0.306
109504,82601,86881.1,62731.7,51979,79093.2,23632,16969.3,0.308
127814,80381,104209,100462,78015,84392.4,14739.8,15628.7,0.308
134758,89273,98926.6,101285,79227,83782.2,17446.4,20103.9,0.311
136004,88668,100523,88566.7,69342,83705.5,37741.4,37459.7,0.311
157589,100808,102450,121955,94782,84324.8,21009.1,19009.8,0.312
160872,99795,105646,116452,89629,85149,28590.5,29697.4,0.313
114898,75904,99204,101140,80354,82489.2,33758.3,39357,0.315
125020,83073,98627.5,86428.3,67827,83509,39908.2,53104.6,0.32
121378,85300,93255.1,67331.2,56245,78453.5,7005.9,7791.63,0.323
88792.8,58019,100297,67861.2,55677,79877.7,14238.8,16822.2,0.325
92908.5,63109,96481.5,68990.5,57367,78814.6,13887.7,4034.8,0.327
110727,76665,94653.6,71649.6,61583,76248.8,14021,14330.5,0.335
75312.4,57516,85814,43420.7,38958,73043.3,10201,4890.27,0.337
158583,102617,101278,100830,80463,82124.2,17197.6,9306.99,0.347
127768,85981,97386.3,83079.5,67711,80410.8,14294.9,12591,0.349
119006,85057,91693.2,59242.3,50947,76206.7,26605.9,8920.45,0.351
126766,86717,95802.8,77420.6,63195,80288.6,12085.3,4170.32,0.352
120064,75592,104092,95169.4,71326,87443.9,12299.8,3889.27,0.354
138949,88765,102588,99491,79663,81847.9,27514.7,18486.9,0.361
141208,89649,103227,100775,77271,85470.3,18082.7,15329.2,0.361
92189.3,62248,97058.8,79580.2,66186,78798.6,26479.9,25557.1,0.369
113881,82993,89926.9,75123.2,65063,75669.3,17996.9,20637.5,0.372
150425,94436,104391,117724,92134,83738.1,20890.3,8431.5,0.373
152434,95831,104245,130406,104517,81769.4,30569.9,32614.9,0.375
117882,76666,100768,82436.6,65868,82021.1,24452.3,8213.59,0.382
87369.7,61607,92941.7,58259.5,51441,74222.8,21075.1,25583.2,0.388
108353,70638,100527,101063,82376,80402.5,16947.5,15536.3,0.395
101137,69847,94894.6,73095,57445,83390.3,26475.9,31302.8,0.398
121639,87708,90889.4,65402.7,54746,78293.1,18912.3,19605,0.408
118324,75657,102495,81078.4,65935,80587.7,17299.3,16524.2,0.41
106250,70843,98290.4,85441.6,68233,82064.4,17552,12171.4,0.41
86121.6,62241,90680.9,51904.4,46071,73834,8648.64,9442.51,0.411
137071,89767,100071,83659,66837,82030.5,31967.8,27818.6,0.412
117418,80074,96099.7,65112.3,54748,77942.6,23356.1,28307.5,0.413
88420.1,54448,106426,100201,77842,84360.4,32151.9,32156,0.414
144560,95140,99578.1,116427,91314,83559.8,18189.6,15822.7,0.425
141931,90216,103103,106336,85738,81280.5,24726.2,23896.9,0.428
141820,94156,98712,87818.9,68906,83524,13537.9,4668.51,0.43
153919,99401,101481,92593.4,74735,81196.2,24948.7,27576,0.439
127804,88752,94372.3,96591.7,75346,84015.5,19293.1,22782,0.447
135727,96149,92513,69502,58851,77396.8,29915.2,14091.8,0.459
144807,92916,102136,108491,86646,82058.6,16436,17056.3,0.469
115326,81513,92721.5,95221.5,80059,77948,15638,10666.8,0.475
147178,92792,103947,120364,92206,85549.6,36076.9,27999.5,0.478
132619,82086,105881,127579,96276,86844.5,35746.3,42764.3,0.483
101251,67856,97789.7,60873.8,51158,77982.4,11994.8,12924.4,0.487
127073,79523,104723,90290,72361,81774,19983.5,10145.5,0.502
109280,68944,103878,103183,79942,84588.9,9453.84,14445.2,0.505
87888.8,56996,101058,101150,77686,85329.9,20413.8,26162.3,0.508
135225,88691,99921,115153,88609,85168.1,20698.3,27258.8,0.523
164665,107309,100565,125989,97823,84405.5,19875.2,9341.64,0.525
82410.4,57999,93119.7,78003.4,66893,76421,15418.9,16463.4,0.525
94126.1,66412,92884.5,72472,61342,77426.9,13303.6,12696.5,0.527
123729,83044,97643.7,71419.3,58578,79902.6,25272.7,19913.7,0.533
81280.1,56841,93713.5,57116.4,48815,76680.9,10299.3,4440.59,0.533
81205,54556,97548.5,75329.1,62362,79163.1,8814.96,9373.98,0.538
128833,79905,105665,111230,88115,82727.8,20867.2,25608.7,0.544
100759,76521,86294.2,83488.7,71707,76303.8,15758.2,17979.5,0.544
124935,85279,96011,94298.2,77661,79575.7,26287.1,30746.1,0.55
166790,105538,103572,122857,96016,83856.4,35081,22142.9,0.55
142870,95075,98481.4,86440.9,70229,80664.5,20945.8,16510.3,0.551
107088,73825,95064.2,63476.8,52311,79524.7,23766.6,9091.39,0.595
113298,78373,94740.3,89841.8,72119,81641.1,19760.4,18940.5,0.615
121650,86785,91864.3,75705.3,63539,78084.7,15288.2,4717.79,0.616
