"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","530_30 Blue C-A","586_15 YG D-A","Time"
164956,108333,99789.8,99745.1,81711,80000.2,24522.3,56.98,0.211
150214,93975,104756,104405,84417,81053.7,54833.5,73.15,0.211
92424.8,66233,91452.1,73522,64767,74395,11505.8,-6.16,0.211
115871,79217,95859.5,74166.2,66803,72759.5,16968.6,10.78,0.212
100654,60205,109567,84769.1,64047,86739.8,33548.5,66.22,0.212
145605,92837,102786,101815,81527,81844.6,31800.1,66.22,0.212
154883,100363,101137,104854,84073,81734.7,32329.4,49.28,0.213
123091,87767,91912.8,75325.8,64293,76782.1,22308,47.74,0.213
126894,80311,103549,78460.1,64025,80311.8,29538.3,45.43,0.213
146823,96481,99731.3,121237,89699,88578.6,38723.5,70.07,0.215
142243,91258,102150,120243,95228,82751.2,28009.1,57.75,0.216
102270,65535,102271,109920,90013,80030,42013,55.44,0.218
100702,74424,88675.6,56736.2,50762,73249,7281.78,37.73,0.219
167940,111175,98998.3,117475,94581,81399.3,27729.2,67.76,0.219
153086,101040,99293.9,107032,79586,88136.3,33460.7,76.23,0.219
109667,72284,99429.2,70590.3,60110,76962.3,25383.6,15.4,0.222
131998,88514,97731.6,77275.4,62572,80935.9,25515.6,44.66,0.226
128046,82179,102114,88606.3,70565,82291.6,22263.8,75.46,0.227
106844,71349,98139.1,77472.1,65123,77963.4,21824.9,64.68,0.229
137724,89413,100946,95983.8,78291,80346.3,16198.4,30.03,0.232
132294,82945,104528,103464,83027,81667.3,8967.42,31.57,0.233
144732,90855,104399,126235,98303,84157.5,39898.3,78.54,0.234
96065.2,66740,94332.2,60122,51190,76971.2,27512.8,23.87,0.234
105336,72936,94648.8,75606.3,64366,76980.6,12200.8,3.85,0.238
130783,90824,94369.6,78932.7,66798,77441.4,34023,27.72,0.239
112346,80570,91382.9,79354.4,62892,82690.5,37103.2,40.04,0.239
113888,76876,97088,75977.9,65562,75947.8,26163.7,36.96,0.24
119526,76452,102460,91365.8,75458,79352.1,32938,42.35,0.241
77939.1,58054,87983.9,48383.9,44896,70627.4,6326.1,-3.85,0.241
166161,112945,96414.4,97701.1,80375,79663.3,32222.5,44.66,0.246
148151,94659,102571,97006.8,78021,81483.7,35849.9,83.16,0.247
125010,76701,106813,109555,88287,81323.2,48452.6,40.81,0.249
84433.8,60268,91814.1,96926.3,81614,77831.8,27042.8,60.06,0.251
76686.1,52312,96071.7,73806.5,59370,81471.8,11212.1,50.05,0.252
106711,73158,95593.2,90329.6,78408,75500.5,13487.1,51.59,0.253
145977,95281,100405,95929,78855,79726.1,18501.1,-26.18,0.253
92962.8,65796,92595.4,78556.5,62018,83012.7,45095.2,51.59,0.254
90101.9,62691,94190.8,71767.7,63426,74155.2,5259.54,7.7,0.256
142634,94346,99078.8,115938,94968,80007.2,27566.9,33.88,0.258
157456,95520,108030,130272,100930,84588.5,21615.7,13.86,0.258
118339,80634,96180.9,72915.5,60652,78787,21059.3,51.59,0.261
116846,76521,100072,104546,80731,84868.6,24403.5,70.84,0.261
124059,85845,94709.7,77336.2,65955,76844.9,19782.8,31.57,0.261
95444.9,63142,99063.6,77231.2,63300,79959.3,34046.8,56.98,0.262
84858.9,55039,101043,97022.6,77373,82179.5,18573.7,62.37,0.262
82956.3,51964,104623,77765.8,63786,79899.4,31775,61.6,0.263
122219,80349,99686.9,71093.9,59311,78555.6,22524.5,41.58,0.265
107331,75355,93345.7,63012.8,53049,77845.2,25173.1,28.49,0.267
127913,85028,98589.7,77914.3,62530,81659.9,30857,43.89,0.268
126357,85598,96741.8,90810.7,76440,77856.8,33038.3,56.98,0.271
158992,100539,103639,131693,103849,83107.6,23135,52.36,0.272
104022,69010,98785.6,69649.1,57168,79844.1,16580.5,32.34,0.274
89447.4,60636,96675.6,102881,81342,82889.5,17682.1,60.83,0.275
137453,87715,102697,95066.4,79649,78221.6,28611.7,53.9,0.275
151214,96122,103097,93564.2,76833,79807.2,23633.9,92.4,0.276
123438,80749,100183,117432,88895,86574.7,28312,86.24,0.276
99807,64591,101267,102959,86301,78185.6,18678,28.49,0.282
121576,76785,103765,107257,84295,83388.2,13221.8,24.64,0.283
172793,113667,99625.7,90648.4,73397,80939.7,27323.3,25.41,0.283
95119.7,61001,102191,105222,86463,79754.6,19432.4,70.07,0.287
100006,69914,93743.5,96292.7,80236,78650.9,29857.7,46.2,0.287
95657.8,62398,100468,90646.4,76700,77452.4,19168.4,73.15,0.287
169202,108520,102183,110790,90922,79856.4,13765.6,46.2,0.289
136482,90969,98324.5,66028.4,55647,77762.3,26647.5,41.58,0.297
85709.9,59875,93813.5,76834.6,56225,89558.6,22341,11.55,0.297
128470,79669,105680,123000,96643,83409.5,38762.5,66.22,0.3
122616,80451,99884,77468.2,63989,79341,10903.9,41.58,0.301
126957,86642,96030.1,80814.4,65500,80858.8,18460.9,37.73,0.302
117710,78212,98632.9,87055.3,74050,77046,22081,37.73,0.304
87395.3,64281,89101.6,48000.5,44127,71288.8,14282.4,48.51,0.306
92959.1,60344,100957,107031,87838,79855.8,20637.5,25.41,0.307
149420,105713,92631.5,76654.4,65159,77097.9,26017.9,66.22,0.309
100141,68135,96320.8,77897.2,60607,84232.3,30505.2,50.05,0.31
134213,93322,94252.3,72442.3,62648,75781.8,28830.1,41.58,0.311
109359,88008,81435.2,83379.1,74318,73526.4,5657.52,29.26,0.311
78048.9,55588,92016.5,52074.7,47590,71711.8,21397.9,23.1,0.311
154600,97112,104332,105937,86202,80539.9,25467.4,40.04,0.314
85426.8,61256,91395.7,67699.5,58542,75787.5,1055.34,15.4,0.315
142780,92061,101641,131144,103023,83424.6,28020.3,6.16,0.316
179692,121629,96821.4,95271.7,74511,83796,37206.8,72.38,0.316
131889,85508,101084,90358,75334,78605.9,19409.9,15.4,0.32
105433,70835,97545.8,73181.5,62361,76907.4,22935,10.78,0.32
110033,79036,91238.5,50154.1,44558,73766.7,43043.9,3.08,0.322
101863,71728,93069.8,64613.3,55670,76064.3,13828.3,-9.24,0.322
103816,68385,99490.8,110251,88755,81408.5,25740.7,77.77,0.323
111770,78353,93486.4,59601.3,52327,74646.6,20119.4,36.96,0.323
133721,91422,95858.2,86255.4,74332,76048.5,6238.98,-11.55,0.325
126067,82605,100018,93410.5,75899,80656.5,62783.2,46.2,0.327
125401,84765,96954,73520.7,61263,78648.7,24981.7,14.63,0.329
107997,75831,93334.9,78514.9,69477,74061.3,19524.1,49.28,0.33
125959,85227,96857.1,99290.4,82797,78591,31491.2,41.58,0.333
112444,71549,102994,80337.2,66495,79178.6,11503.8,26.18,0.337
121959,85920,93025.1,124478,90722,89920.7,38458.2,378.07,0.338
82373.2,55160,97868.2,93735.2,78202,78553.4,23896.6,34.65,0.343
133383,87685,99691,100913,80435,82221.1,32800.7,39.27,0.344
135810,88530,100536,79085.8,67088,77256.3,37831.2,70.84,0.344
158831,102461,101591,89408.9,74812,78323,28244,33.88,0.346
99107.3,70731,91828.2,66092.4,51097,84768.8,14642.1,43.12,0.352
99599.6,67912,96115,76884.1,64410,78228.1,14998.5,54.67,0.358
115238,74793,100975,91885.2,74591,80730.8,43638.5,40.81,0.359
156890,94529,108770,124728,95143,85914.7,58592.2,100.87,0.361
119129,77821,100323,91003.4,72939,81767,38369.1,46.97,0.362
100845,72064,91710,56774.5,49526,75127.7,14729.9,2.31,0.362
90348.3,60250,98275,86616.4,71372,79533.9,27787.3,16.94,0.363
163593,100569,106606,111154,86731,83990.5,35816.2,53.13,0.365
121890,76636,104235,83763.2,65034,84409.8,23049.8,63.91,0.365
124965,85670,95595.7,85116.2,73472,75922.5,16142.3,12.32,0.367
127135,81977,101637,90579.1,76075,78030.8,22526.5,13.86,0.368
115660,75665,100177,73931.2,62135,77977.9,21714,26.95,0.368
142161,93302,99855,65223.2,55460,77073,14317.4,21.56,0.372
