"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","530_30 Blue C-A","586_15 YG D-A","Time"
127405,82818,100819,81688.2,65500,81733.1,23942.8,31.57,0.273
96325.7,71184,88682.9,59827,50422,77760.2,15638.7,16.94,0.276
169762,111405,99865.8,115911,88619,85718.8,28325.9,30.03,0.288
152889,96260,104090,102867,81318,82902.8,17088.7,33.88,0.294
120154,85547,92047.9,68257.9,58765,76122.6,24639.1,21.56,0.297
142218,93576,99602.8,134818,105070,84090.6,24689.9,55.44,0.31
88841.6,58874,98894.7,75145,63116,78026.2,12270.1,42.35,0.312
83361.4,54544,100161,77183,60534,83560.8,15934.4,12.32,0.313
121160,85295,93092.7,58741.3,50365,76435.5,25220.6,-1.54,0.316
111989,76820,95538.8,89950.7,73362,80355.1,28242.1,4.62,0.319
91411.6,64833,92402.8,58656.8,51763,74264.1,8831.46,1.54,0.32
136552,93167,96054.2,98325.5,79929,80619.8,27241.5,35.42,0.324
99019.5,66872,97041.2,65800,53498,80606.2,16249.9,23.87,0.327
75062.9,52857,93068.6,55203.7,48827,74094.9,7843.44,47.74,0.332
128084,78673,106696,113049,89155,83100.3,36368,51.59,0.332
94328.6,67203,91988.7,65149.9,57493,74264.1,18837.1,-6.16,0.34
115230,77209,97808.4,72193.4,60315,78442.7,16789.7,-28.49,0.341
129987,90428,94205.5,64794.8,54490,77929.8,20093,10.78,0.352
95467.4,66247,94442.8,60827.6,53633,74327.3,21214.4,30.03,0.362
96286.7,68177,92556.8,52410.6,46419,73995.2,9303.36,20.79,0.363
103453,71910,94283,56489.4,48300,76647.8,17902.5,10.78,0.365
134243,87228,100859,87509.4,70762,81046.6,24029.3,10.01,0.373
125939,86584,95323.9,73347.8,57982,82903.7,20101.6,16.17,0.382
175676,112309,102513,103058,82899,81473,27937.8,19.25,0.394
165206,115840,93464.8,107010,86726,80863.8,18205.4,30.8,0.397
94875.1,65160,95422.6,66201.3,56526,76753.5,18132.8,-2.31,0.397
111061,71263,102136,87042.8,70441,80981.8,46185.5,15.4,0.402
109085,73532,97223,91061.5,73642,81038.1,21589.3,26.18,0.403
104886,64389,106754,74172.1,56627,85841.5,26474.6,2.31,0.406
121755,81547,97849.4,94445.3,77593,79769.7,18645,23.1,0.409
113813,78729,94740.5,87426.2,73311,78154.2,24266.2,22.33,0.41
86276,59200,95509.8,50806.1,44774,74365.3,4719.66,41.58,0.411
168657,103745,106541,105807,83671,82873.9,40078.5,73.92,0.417
147275,95281,101298,122907,93415,86226,40364.9,10.01,0.444
78131.9,56128,91228.1,49419.5,43090,75162.6,14873.8,13.86,0.447
154884,107499,94424.2,87947.6,69885,82474.6,29882.2,29.26,0.453
114992,79767,94476.9,110118,93105,77511.6,9766.68,40.81,0.459
169865,108524,102579,112022,89870,81690.3,33415.8,46.97,0.46
102059,70696,94610,79336.6,67406,77135.6,18606.7,-3.08,0.461
118152,78211,99004.2,79537.9,61197,85177.3,33165,-3.85,0.472
127098,84929,98075.8,90961.2,73527,81075.4,20437.6,55.44,0.482
79652,61785,84487.7,53711.5,48683,72305.2,14377.4,20.02,0.482
133431,92960,94067.6,69137.6,59618,76000.6,27844.7,16.17,0.485
170760,114952,97353.2,102725,87690,76772.6,29246.6,28.49,0.485
130968,91022,94296.9,76261.7,64028,78057.8,28509.4,37.73,0.487
