"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","530_30 Blue C-A","586_15 YG D-A","Time"
132638,85892,101203,111167,91298,79798.5,13653.4,22957.5,0.207
100111,66600,98511.4,80438.8,64938,81179.6,18685.3,30482.8,0.207
90721,57940,102615,97382.3,74226,85981.3,9126.48,17415.1,0.209
105531,72090,95937,78833.7,66136,78118.5,14833.5,26467.2,0.219
147359,97653,98894.2,111025,87955,82725.8,14315.4,24571.5,0.222
151954,100355,99232.3,103810,78865,86265.1,22746.2,40424.2,0.223
130303,86487,98737.6,99592,82101,79498,22448.6,39861.4,0.226
87824.8,59984,95953.6,64879.3,55542,76553.4,22358.8,40166.3,0.227
132561,82603,105172,106094,82285,84499,32028.5,52995.2,0.227
83448.6,58224,93928.4,74391.2,64950,75062.4,10944.8,21372.9,0.229
110877,73201,99267.1,83006.2,68167,79802.5,28112,37375,0.231
114797,76562,98264.7,82576.6,68432,79082,4303.86,7730.03,0.233
108244,72005,98519.2,93357.7,71619,85428.3,25507,44830.2,0.234
113899,77967,95739.2,88977.9,72880,80011.7,37668.8,69110.6,0.237
153092,97962,102418,97512.4,77292,82680.9,11958.5,20466.6,0.239
144805,96098,98752.6,101575,81152,82029.3,40714.7,67219.5,0.239
152659,94325,106066,100785,77795,84902.9,19777.6,35635.6,0.242
156408,103605,98936.7,102394,82663,81179.2,20590.7,31098.8,0.243
144186,93940,100589,84920.2,68338,81438.3,28221.6,48608.6,0.244
113163,80499,92128.4,62714.5,54197,75835.5,18233.8,31376.7,0.246
121395,84698,93931.1,65325.5,55468,77182.7,19959.7,36226.2,0.246
112192,78112,94129,64167.8,54402,77300.5,15163.5,24869.5,0.247
86981.7,55992,101808,93417.1,73662,83111.8,13490.4,21864.9,0.248
89243,60974,95920.1,66989.3,55432,79200,10138.9,17435.1,0.249
90973.6,69559,85712,48913.3,44293,72372.1,2585.22,5078.15,0.254
160508,100693,104467,120758,96903,81669.4,29636,48476.9,0.255
139059,94521,96416.6,75533,62763,78870.3,25120.3,44324.3,0.258
80409.6,57495,91655.3,60399.2,51665,76615.2,12817.2,21791.8,0.259
124363,90324,90233.2,68667.7,58994,76282.5,12492.5,20837.7,0.26
110668,71176,101899,80215.7,66810,78686.1,15614.3,25103.5,0.262
153208,105732,94963.2,106352,88070,79140.6,18614,35194.4,0.265
