"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","530_30 Blue C-A","586_15 YG D-A","Time"
110355,80993,89294.5,68331.8,58279,76840.6,14626.9,893.2,0.14
152914,102576,97696.8,99431,80806,80641.4,984.72,55.44,0.142
157267,101286,101758,129765,103220,82389.6,44047.7,1638.56,0.144
152585,104366,95815.1,96681.4,77713,81532.2,54316,2438.59,0.153
155579,105767,96400.6,140239,109429,83988.1,30177.8,1355.97,0.16
148174,96934,100179,119535,92528,84664.8,53691.7,2800.49,0.164
151271,111003,89310.4,131522,104052,82837.4,81300.8,3870.79,0.165
89983.5,66383,88835.4,72048.9,63942,73845,12960.4,766.92,0.169
128206,89612,93760.6,90191.6,75662,78121.1,20119.4,868.56,0.175
140130,93806,97899.4,93357.7,76312,80174.6,37496.6,2410.1,0.193
101699,65476,101792,86109.5,65746,85834.5,28828.8,1624.7,0.207
99412.3,70560,92334,68665.1,58178,77349.4,33826.3,1650.11,0.212
130296,89795,95095.3,87797.2,74437,77298.6,578.16,55.44,0.217
142071,96597,96388,99720.7,80583,81100.2,39433.7,2005.08,0.237
121940,88719,90075.8,66476.5,55433,78592.3,17124.4,1006.39,0.245
155368,105960,96094.5,92321.5,75258,80395.2,35694.1,1540,0.247
139590,98329,93036.3,55886.2,43551,84098.1,31453,1343.65,0.251
143512,98806,95188.8,96579.8,81360,77795.6,11821.9,677.6,0.257
100552,64096,102811,105257,87826,78543.4,2084.28,115.5,0.263
112646,80224,92021.7,111613,91366,80058.7,11230.6,648.34,0.271
117391,74684,103012,111852,81598,89834.9,34297.6,1910.37,0.271
132135,93904,92217.3,68130.5,56086,79609.9,23326.4,1362.9,0.273
123759,84266,96251,74382.7,62369,78159.7,18313.7,894.74,0.282
137728,89727,100596,105267,86089,80135.7,34337.8,1739.43,0.29
93047,62044,98283.9,71211.4,58714,79485.4,21740.4,1230.46,0.309
156489,104469,98169.3,91124.2,73971,80733.2,31780.3,1344.42,0.311
120508,86615,91180.6,90738.8,77885,76351.8,19982.8,1245.09,0.321
129196,91074,92967.9,64338.1,53864,78279.8,15485.6,733.81,0.356
103374,69713,97179.8,72441.6,61587,77086.6,13197.4,489.72,0.363
163476,107796,99387.6,110354,90290,80099.2,25621.9,1415.26,0.377
116788,76832,99617.7,116613,92246,82847.3,27401.9,1510.74,0.388
144086,95293,99092.3,106044,86475,80366.7,31497.2,1694.77,0.389
170654,112172,99704,103695,84382,80535.3,40343.2,2194.5,0.389
156036,107948,94730.7,110827,92926,78160.3,36520.4,2153.69,0.39
157848,99732,103726,98794.1,76214,84952.5,24756.6,1223.53,0.402
133947,92964,94427.8,108920,81954,87099.7,28251.3,1654.73,0.444
119684,80301,97677.5,72605.9,59483,79994.3,21818.9,1478.4,0.461
98423.5,69397,92947.6,63300.6,54883,75587.5,3369.3,289.52,0.464
110678,71426,101552,98587.5,76356,84617.2,32710.9,1764.07,0.506
85914.8,59984,93866.9,79091.1,64774,80021.5,29603.6,1591.59,0.514
96783.8,64116,98927.3,59362.4,49926,77922.8,21428.9,1329.02,0.518
127307,91417,91265.2,91384.3,74175,80740.9,26127.4,1258.18,0.523
102183,72845,91930.3,71957.2,61211,77041.5,18550.6,841.61,0.526
148732,95824,101721,88772.6,70390,82651,29853.1,1039.5,0.53
142162,92860,100331,113976,84298,88608.7,41796.5,1985.06,0.536
115029,80430,93727.9,73327.3,58924,81555.5,25443.7,1165.78,0.544
94886.7,78069,79653.8,65635.7,57159,75255,14937.8,932.47,0.546
143269,98705,95125,109045,88807,80470.5,18635.1,1044.12,0.555
128002,88795,94472.9,70105.2,51833,88638.8,30395,1793.33,0.557
104961,75808,90738.7,81896.8,68998,77787.6,28320.6,1734.81,0.565
110480,81321,89034.6,69683.5,59867,76282,38588.9,1602.37,0.571
149260,103961,94091.9,88365.4,74751,77472.1,16643.9,1514.59,0.576
89708.4,58069,101244,101037,78381,84479,11090,633.71,0.579
117654,79485,97006.9,92483.2,71771,84448.8,20264,1106.49,0.58
130623,88789,96414.1,97489.3,78419,81473.3,34578.1,1993.53,0.581
102118,70462,94979.2,74910.7,63272,77591.1,32621.8,1523.06,0.587
93018.3,65028,93744.9,88160.2,71810,80457.7,31340.1,1469.93,0.587
102920,75418,89434.8,79145.9,66716,77746,19221.8,1029.49,0.604
93527.6,70541,86891.7,49041.3,42843,75017.4,14477.8,866.25,0.606
108640,75334,94510.5,90729.5,77284,76937.7,25722.8,1239.7,0.611
165350,109953,98554.4,105657,84855,81602.3,29560.1,1740.2,0.616
123702,86794,93404.2,78855.5,67224,76875.4,15060.5,748.44,0.638
135821,91061,97749.3,109037,80631,88624.3,51192.2,1927.31,0.647
