"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","530_30 Blue C-A","586_15 YG D-A","Time"
155842,100799,101323,91101.1,74761,79859.9,20132,24.64,0.254
92840.8,62676,97077.2,84497.2,70738,78283.3,32932,-0.77,0.329
155360,96317,105710,132399,98539,88055.7,43064.3,71.61,0.377
117211,76285,100695,116897,94235,81296.1,556.38,6.16,0.378
84744.9,58672,94659.1,80798.5,68082,77777,22304,28.49,0.394
103259,71504,94640.6,80159,67106,78283.6,16606.3,10.78,0.404
139322,91450,99842.7,89758,72833,80765.3,39450.8,47.74,0.41
86991.5,58603,97283,98867.3,82505,78533.1,17736.2,23.87,0.416
133397,92952,94052,81007.1,67626,78503.5,18491.2,23.1,0.437
155546,96455,105685,143423,109077,86171.7,46312.9,84.7,0.441
136543,87150,102679,123427,97868,82651.4,18470.1,53.9,0.445
97205.9,64628,98571.6,91597.4,76146,78834.5,13347.8,34.65,0.45
119996,79249,99232.4,96689.3,77107,82179.7,30633.9,46.97,0.451
89622.4,60248,97488.6,94562.2,76334,81185.7,34015.7,26.18,0.453
104559,67012,102256,81999.1,67170,80004.3,32435,35.42,0.477
113472,77921,95436.1,70543.4,59571,77607.1,15574.7,-2.31,0.492
89469.3,64501,90905,59023.1,52371,73860.3,15795.1,23.1,0.584
106248,70240,99132.5,88876.3,75266,77386.8,18003.5,58.52,0.587
139203,92192,98954.2,94141.7,73890,83498.1,2737.68,23.1,0.594
137794,91368,98836.3,90743.4,75354,78920.3,20367.6,50.05,0.599
121040,84916,93415.5,94964.8,79302,78479.9,25586.2,45.43,0.609
103655,76201,89148,58313.6,50011,76416,8834.1,-8.47,0.609
129731,86709,98052.8,90944,73335,81272.4,21249.4,25.41,0.625
102746,73278,91890.6,49214.9,42924,75140.9,13333.3,38.5,0.635
114538,77221,97206.6,67205.2,56551,77882.9,25208,33.88,0.636
156785,100144,102603,84551.9,68514,80876.9,35941,76.23,0.638
123502,82510,98095.4,85047.6,67516,82553.5,29841.2,48.51,0.639
131450,86637,99434.1,74893.5,58399,84046.3,17375.2,10.01,0.642
160974,108476,97252.5,86774.8,70634,80511.9,28068.5,63.91,0.646
104988,73159,94048.2,76530.3,62865,79781.9,38425.2,32.34,0.646
