FSC-A,FSC-H,FSC-W,SSC-A,SSC-H,SSC-W,585/15 YG E-A,530/30 Blue B-A,Time
9.962520312500000000e+04,6.365800000000000000e+04,1.025642890625000000e+05,5.440719140625000000e+04,3.011900000000000000e+04,1.183847265625000000e+05,8.866600341796875000e+02,1.175829003906250000e+04,2.050000000000000155e-01
1.261626406250000000e+05,8.358700000000000000e+04,9.891722656250000000e+04,6.005828906250000000e+04,4.608700000000000000e+04,8.540326562500000000e+04,7.714199829101562500e+02,1.188041992187500000e+04,2.079999923706054854e-01
4.895555078125000000e+04,3.919000000000000000e+04,8.186657812500000000e+04,3.826946875000000000e+04,3.698600000000000000e+04,6.781018750000000000e+04,5.280400390625000000e+02,1.074329956054687500e+03,2.099999999999999922e-01
1.222848750000000000e+05,7.495700000000000000e+04,1.069154531250000000e+05,4.388607031250000000e+04,3.885700000000000000e+04,7.401800000000000000e+04,5.469600219726562500e+02,9.132839843750000000e+03,2.110000038146972734e-01
1.115183750000000000e+05,7.487200000000000000e+04,9.761282812500000000e+04,3.626916015625000000e+04,3.327200000000000000e+04,7.143952343750000000e+04,5.022400207519531250e+02,7.819080078125000000e+03,2.129999923706054621e-01
1.133502031250000000e+05,6.751800000000000000e+04,1.100227968750000000e+05,4.260405078125000000e+04,3.353400000000000000e+04,8.326174218750000000e+04,5.452399902343750000e+02,8.414549804687500000e+03,2.139999961853027433e-01
9.265228906250000000e+04,6.033900000000000000e+04,1.006324375000000000e+05,4.076244140625000000e+04,3.763500000000000000e+04,7.098199218750000000e+04,3.405599975585937500e+02,5.985750000000000000e+03,2.160000038146972778e-01
8.662060937500000000e+04,4.971800000000000000e+04,1.141793359375000000e+05,4.379775000000000000e+04,3.577000000000000000e+04,8.024403906250000000e+04,8.445200195312500000e+02,1.209776953125000000e+04,2.160000038146972778e-01
9.334891406250000000e+04,5.862700000000000000e+04,1.043497812500000000e+05,8.362110156250000000e+04,6.300700000000000000e+04,8.697752343750000000e+04,1.638300048828125000e+03,1.893222070312500000e+04,2.170000076293945312e-01
8.196082031250000000e+04,5.419000000000000000e+04,9.912132031250000000e+04,2.736264062500000000e+04,2.413800000000000000e+04,7.429107812500000000e+04,4.523600158691406250e+02,7.832879882812500000e+03,2.189999961853027477e-01
1.031528359375000000e+05,6.261000000000000000e+04,1.079735546875000000e+05,4.617341796875000000e+04,3.663000000000000000e+04,8.261046093750000000e+04,5.684600219726562500e+02,9.795929687500000000e+03,2.210000038146972823e-01
1.025708906250000000e+05,6.332600000000000000e+04,1.061504921875000000e+05,3.135015039062500000e+04,2.807100000000000000e+04,7.319167968750000000e+04,7.155200195312500000e+02,9.495089843750000000e+03,2.220000076293945357e-01
1.507169687500000000e+05,8.504000000000000000e+04,1.161498984375000000e+05,6.772281250000000000e+04,4.531600000000000000e+04,9.794072656250000000e+04,1.390619995117187500e+03,2.406030078125000000e+04,2.229999923706054710e-01
1.370718906250000000e+05,8.521800000000000000e+04,1.054136875000000000e+05,5.564850000000000000e+04,4.863800000000000000e+04,7.498210937500000000e+04,1.110260009765625000e+03,1.512894042968750000e+04,2.229999923706054710e-01
1.005011640625000000e+05,6.430300000000000000e+04,1.024282578125000000e+05,4.339616796875000000e+04,3.846600000000000000e+04,7.393571875000000000e+04,7.688400268554687500e+02,1.074812988281250000e+04,2.229999923706054710e-01
1.523566562500000000e+05,8.991800000000000000e+04,1.110439062500000000e+05,6.502905078125000000e+04,5.150700000000000000e+04,8.274106250000000000e+04,1.794820068359375000e+03,2.544513085937500000e+04,2.229999923706054710e-01
8.496324218750000000e+04,5.562400000000000000e+04,1.001033984375000000e+05,2.456744921875000000e+04,2.294300000000000000e+04,7.017619531250000000e+04,4.016199951171875000e+02,6.147209960937500000e+03,2.239999961853027521e-01
1.302911250000000000e+05,9.248700000000000000e+04,9.232389062500000000e+04,4.487001171875000000e+04,4.055900000000000000e+04,7.250181250000000000e+04,4.970800170898437500e+02,8.478719726562500000e+03,2.260000038146972590e-01
1.038305390625000000e+05,6.171000000000000000e+04,1.102680078125000000e+05,5.931653906250000000e+04,4.699900000000000000e+04,8.271172656250000000e+04,1.039739990234375000e+03,1.499370019531250000e+04,2.270000076293945401e-01
