FSC-A,FSC-H,FSC-W,SSC-A,SSC-H,SSC-W,585/15 YG E-A,530/30 Blue B-A,Time
5.869786328125000000e+04,3.740700000000000000e+04,1.028369843750000000e+05,4.806885156250000000e+04,4.073800000000000000e+04,7.732928125000000000e+04,2.100120117187500000e+03,1.490469042968750000e+04,4.750000000000000333e-01
9.657214843750000000e+04,5.847100000000000000e+04,1.082408750000000000e+05,6.817682812500000000e+04,5.473900000000000000e+04,8.162437500000000000e+04,2.760600097656250000e+03,1.758395898437500000e+04,8.280000305175780895e-01
9.982650000000000000e+04,6.062100000000000000e+04,1.079201875000000000e+05,4.444635156250000000e+04,3.778500000000000000e+04,7.708975000000000000e+04,1.643460083007812500e+03,8.640179687500000000e+03,1.038000030517578054e+00
8.789795312500000000e+04,5.408500000000000000e+04,1.065079218750000000e+05,6.204548828125000000e+04,5.400900000000000000e+04,7.528769531250000000e+04,2.082919921875000000e+03,1.257662988281250000e+04,1.293000030517578169e+00
1.254940859375000000e+05,7.084500000000000000e+04,1.160897812500000000e+05,1.038415468750000000e+05,8.213700000000000000e+04,8.285377343750000000e+04,2.602360107421875000e+03,1.987338085937500000e+04,1.373000030517578240e+00
1.086214843750000000e+05,7.176600000000000000e+04,9.919207031250000000e+04,3.442410156250000000e+04,2.981800000000000000e+04,7.565960156250000000e+04,1.207440063476562500e+03,6.652979980468750000e+03,1.439999999999999947e+00
1.137711015625000000e+05,7.294800000000000000e+04,1.022112031250000000e+05,4.233287890625000000e+04,3.675200000000000000e+04,7.548779687500000000e+04,1.950479980468750000e+03,9.677250000000000000e+03,1.693000030517578081e+00
7.652450000000000000e+04,4.700700000000000000e+04,1.066885781250000000e+05,3.665003906250000000e+04,3.227400000000000000e+04,7.442203906250000000e+04,1.872219970703125000e+03,1.071294042968750000e+04,1.813000030517578187e+00
7.820810156250000000e+04,4.497000000000000000e+04,1.139747890625000000e+05,5.626466796875000000e+04,4.682300000000000000e+04,7.875107812500000000e+04,1.554880004882812500e+03,1.288299023437500000e+04,2.188000030517577965e+00
1.148154218750000000e+05,6.632800000000000000e+04,1.134444609375000000e+05,6.108846093750000000e+04,5.189600000000000000e+04,7.714454687500000000e+04,2.980760009765625000e+03,1.739075976562500000e+04,3.205000000000000071e+00
7.976116406250000000e+04,4.668200000000000000e+04,1.119752343750000000e+05,3.950526171875000000e+04,3.461500000000000000e+04,7.479464843750000000e+04,1.640880004882812500e+03,8.772660156250000000e+03,3.220000000000000195e+00
1.085434062500000000e+05,6.551400000000000000e+04,1.085798593750000000e+05,5.239032031250000000e+04,4.470700000000000000e+04,7.679897656250000000e+04,1.553160034179687500e+03,7.051799804687500000e+03,3.260000000000000231e+00
1.061888046875000000e+05,6.591100000000000000e+04,1.055846484375000000e+05,7.572267187500000000e+04,5.532300000000000000e+04,8.970158593750000000e+04,4.257000000000000000e+03,2.717358007812500000e+04,3.442999877929687536e+00
6.973214843750000000e+04,4.317100000000000000e+04,1.058573203125000000e+05,7.109760156250000000e+04,5.648300000000000000e+04,8.249300000000000000e+04,1.703660034179687500e+03,9.593759765625000000e+03,3.637000122070312536e+00
1.026038359375000000e+05,5.927400000000000000e+04,1.134434140625000000e+05,7.502507812500000000e+04,5.987500000000000000e+04,8.211847656250000000e+04,3.679080078125000000e+03,2.153697070312500000e+04,3.863999938964843839e+00
9.107056250000000000e+04,5.481000000000000000e+04,1.088925468750000000e+05,4.371287890625000000e+04,3.820200000000000000e+04,7.498998437500000000e+04,2.335760009765625000e+03,1.358747949218750000e+04,4.482000122070312287e+00
1.254153906250000000e+05,7.354300000000000000e+04,1.117607734375000000e+05,7.398732031250000000e+04,6.023900000000000000e+04,8.049325000000000000e+04,3.007420166015625000e+03,1.733073046875000000e+04,4.563999938964843572e+00
5.685017187500000000e+04,3.136300000000000000e+04,1.187938984375000000e+05,6.111675000000000000e+04,5.131900000000000000e+04,7.804804687500000000e+04,1.761280029296875000e+03,9.784889648437500000e+03,4.665000000000000036e+00
1.059551718750000000e+05,6.343800000000000000e+04,1.094592812500000000e+05,4.427039843750000000e+04,3.723500000000000000e+04,7.791876562500000000e+04,1.862760009765625000e+03,9.355709960937500000e+03,4.808999938964843679e+00
6.784053906250000000e+04,4.390300000000000000e+04,1.012686562500000000e+05,6.117816015625000000e+04,4.345500000000000000e+04,9.226492187500000000e+04,3.242199951171875000e+03,2.232564062500000000e+04,4.823999938964844247e+00
7.482564843750000000e+04,4.948600000000000000e+04,9.909417187500000000e+04,5.484948046875000000e+04,4.727800000000000000e+04,7.603146875000000000e+04,2.120760009765625000e+03,1.368615039062500000e+04,4.945000000000000284e+00
1.052927109375000000e+05,6.044700000000000000e+04,1.141572421875000000e+05,6.965481250000000000e+04,5.539400000000000000e+04,8.240781250000000000e+04,7.412340332031250000e+03,1.787375976562500000e+04,5.422000122070312678e+00
8.443985937500000000e+04,4.832200000000000000e+04,1.145203203125000000e+05,7.190489843750000000e+04,5.698600000000000000e+04,8.269328125000000000e+04,2.192140136718750000e+03,1.197908984375000000e+04,5.657999877929687393e+00
9.033063281250000000e+04,5.335400000000000000e+04,1.109552890625000000e+05,6.489519140625000000e+04,5.376700000000000000e+04,7.910003125000000000e+04,2.385640136718750000e+03,1.397387988281250000e+04,5.695999755859374680e+00
7.104609375000000000e+04,4.257500000000000000e+04,1.093617500000000000e+05,6.925185156250000000e+04,5.165900000000000000e+04,8.785477343750000000e+04,3.205219970703125000e+03,1.879283984375000000e+04,6.192000122070312251e+00
