"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","530_30 Blue C-A","586_15 YG D-A","Time"
71201.4,47518,98199.8,55143.7,40339,89588.1,26526,47172.4,0.227
93913.3,67931,90602.2,35773.3,27471,85342.4,21298,39266.9,0.23
93163.1,64807,94211,29108.8,23863,79942.8,8385.72,21999,0.23
126731,79237,104818,42969.8,32665,86210.5,7128.8,22226.2,0.23
153477,91151,110348,65652,49403,87091.2,33773.4,66434.6,0.231
123907,75330,107797,42876.7,33254,84500,4026.7,20609.7,0.232
99170.2,61828,105118,56726.2,43964,84560.3,15856.2,49620.4,0.233
81696.8,61394,87208.5,42055.2,35170,78366,22307.7,53409.8,0.235
91026.5,60789,98134.8,30548.7,24153,82889.8,9280.17,22495.2,0.245
120237,79714,98851.7,57102.1,43374,86278.5,21739.5,46251.3,0.247
106089,67481,103032,36309.3,28324,84012.4,16347.3,29706.9,0.249
90068.6,62111,95035.3,64493.5,45535,92822,31201.9,82745,0.254
91329.1,65879,90853.6,34543.9,29571,76557,11928,27886.7,0.254
93549.9,60906,100661,35964.3,27950,84327.5,8865.44,17522.6,0.257
83892.8,55919,98320.8,30289.4,24210,81992.7,12285.8,21185,0.262
103665,69019,98433.2,36689.9,29855,80539.5,6209.56,13385.1,0.263
132126,81214,106619,67420.8,50019,88336.2,19216.3,63748.8,0.263
129333,82283,103010,45796.5,35382,84826.2,24369.9,53769.2,0.263
98937.1,74376,87177.9,37673.4,30673,80493.1,12113.6,37816.1,0.266
107728,69589,101454,48307.7,37421,84602,13893.1,41075,0.267
86853.9,61407,92694,33400.2,27842,78619.1,12724.6,30194.8,0.269
117745,77391,99708.8,44341.3,36034,80644.7,11998.4,43567.8,0.271
131676,84700,101883,66847.9,53285,82217.2,15251.9,32223.2,0.272
88243.4,64291,89952.2,38376.9,30011,83805,10793.7,21033,0.275
113802,74674,99875.5,46401.5,35618,85377.3,24286.8,50697.3,0.277
95953.7,66478,94594,32643.1,26439,80914.4,2143.33,3507.4,0.277
127311,88086,94719.7,32527.8,25618,83212.7,24183.7,42392.8,0.279
126736,87399,95032.8,40677,33223,80239.9,18451.8,60563.6,0.283
99343.2,66680,97638.8,41123.9,33025,81607.8,10549.2,25356.6,0.285
73706.8,50272,96086.3,39659.3,32344,80358.4,19938.5,42378.4,0.285
104195,66851,102146,65833.5,49223,87651.4,13229.2,23665.6,0.288
78372.3,51535,99664.5,31118.8,24267,84040.2,10698.6,19116.3,0.295
81003,59665,88973.7,43763.1,35641,80470.7,4123.85,7643.32,0.295
82933.7,61755,88011.4,33020.9,27451,78833.6,14865.3,31703.4,0.296
101433,70850,93825.4,38586.6,31186,81088.1,10997.4,30811.9,0.296
90844.9,61244,97211.3,37881.1,30501,81393.3,9938.78,27170.8,0.298
101026,66538,99504.5,39792.6,30894,84412.9,10768.9,21447.2,0.299
111472,78014,93642.3,33264.2,27193,80167.7,7337.84,20673.5,0.302
90048.8,62874,93861.3,37111.3,30142,80688.9,9812.82,19087.4,0.303
123779,84959,95481.3,56983.5,42155,88589,31485.3,61304.6,0.304
83972.8,60128,91525.4,24780.6,20268,80127.4,10880.8,19092,0.304
84735.4,64812,85682,29231.4,24248,79004.9,6484.93,14590.5,0.304
100485,69426,94855,34249.1,26862,83558.4,25713.3,46298.4,0.305
146296,94907,101022,56366.4,42038,87873.6,32279.3,65981.7,0.306
97632.6,68535,93360.4,33685.6,27407,80549.5,5532.86,18883.7,0.306
148195,86401,112407,68958.4,48869,92477,12764.2,34586.8,0.306
123771,78868,102848,44492.7,34104,85499.4,15113.2,24902.9,0.308
86398.9,58982,95999.4,36401.8,30274,78801.2,10423.2,22041.5,0.308
109910,81123,88792.3,39919.9,31815,82231.5,12209.4,23848.8,0.309
83099.2,57629,94500.9,29222.1,24496,78180,10762.2,28145.8,0.311
115266,76652,98550.3,52971.5,40549,85613.5,13327.6,37683.8,0.311
165548,103963,104358,52688.1,39227,88025.3,11913.3,24022.8,0.313
128401,75575,111345,47488.3,34271,90811.2,31425,70363.8,0.314
94347.3,67582,91491,39920.6,32138,81406.3,16949,47617.8,0.315
116494,77498,98512.6,57535.6,45214,83395.7,4551.98,21166.8,0.316
104340,69051,99029,47992.8,37403,84091,14027.8,35815.8,0.323
93321.8,63443,96400.5,38971.2,31535,80989.9,6998.15,22772.6,0.324
104744,76454,89786.1,53433.8,41010,85389.9,8125.76,21175.1,0.324
125827,83445,98821.6,37572.9,30141,81695.3,16633.4,23903.5,0.325
116667,78147,97839.5,39830.8,32391,80588.9,16260.9,38262.2,0.325
72354.6,53584,88493.4,32034.7,25784,81423.6,18184.5,37481.7,0.335
