"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","530_30 Blue C-A","586_15 YG D-A","Time"
107363,72806,96642.3,35715,28698,81560.4,14543.7,5458.32,0.209
126346,87373,94768.6,45413.9,35520,83790.8,24893.2,8390.4,0.209
77609.1,56306,90331.2,22780,19922,74937.8,5248.78,2947.28,0.213
123635,74891,108192,56483.7,41387,89441.5,40385.6,11596.8,0.214
81922.5,52599,102072,47021.3,36823,83686.5,19000.5,6839.24,0.215
73450.8,52749,91256.1,36959.2,28441,85164.3,19399.8,8354.68,0.217
122516,79351,101186,46246.1,36199,83725.6,27157.8,7287.64,0.219
105876,70990,97741.9,54187.6,42279,83995.3,15825.4,6764.76,0.221
123963,79337,102399,75941.1,55684,89377.2,36614.2,14471.9,0.222
153253,95179,105523,70713.1,51375,90204.5,30786.5,9959.8,0.229
101180,63862,103833,29567.1,23006,84226.3,18439.7,6384.76,0.233
104014,69419,98195.6,30329.6,23883,83225.6,16299.8,7251.16,0.233
100265,67376,97527,61517.4,44364,90875.6,38346.8,14047.1,0.24
105542,72457,95460.8,41284.1,31689,85379.5,39166.9,7468.52,0.241
93732.8,62070,98966.9,64173.3,49490,84980,35521.4,10998.7,0.243
92418.4,54742,110641,51318,37558,89546.2,20425.6,10273.7,0.246
131403,91130,94498.1,77344.1,58951,85983.7,5762.67,3282.44,0.247
111169,67469,107984,62807.8,47869,85988.3,15012.7,6488.12,0.249
116269,76114,100110,39917.3,31646,82665,31276.3,9250.72,0.249
105308,63496,108691,53788.9,40600,86825.4,14938.3,5711.4,0.253
73758.9,46330,104336,58829.4,45991,83830.3,11822.2,6080,0.26
123436,77030,105017,67452.2,49126,89983.9,30764.4,12200.3,0.271
111317,68516,106475,51731.4,39832,85114.2,19046.1,8708.84,0.275
93437.7,60350,101467,32920.4,25770,83720.4,18135.6,4379.88,0.28
103483,71167,95295,38293.9,30299,82828.7,23068.8,8755.2,0.285
74686.4,47711,102590,38554.5,31039,81404.2,10801.1,4006.72,0.286
77947.6,53176,96065.5,31047.1,26037,78146.7,9711.65,5595.12,0.291
89003.5,61357,95065.5,36049.4,30009,78727.4,23182,9945.36,0.294
108618,68463,103975,49477.5,40331,80398.6,14218.7,5840.6,0.296
86732.4,58763,96729.2,40068.7,33547,78276.5,13299.5,7736.04,0.301
136097,83332,107033,78613.8,58952,87393.7,20068.5,9281.88,0.303
89662.5,63183,93001.7,31104.1,25906,78685.9,19734.2,7032.28,0.304
79491.4,57009,91381.2,27141,23161,76797.8,28485.1,8036.24,0.305
111435,73383,99519.1,45148.6,36935,80109.9,20773.3,8179.12,0.306
86609.7,60379,94007,29155.7,24191,78986,20951.6,8781.8,0.309
85461.4,57192,97929.8,36611.5,29399,81614,15704.8,7533.12,0.311
80694.9,58807,89928.4,34439.3,29287,77065.5,16636.1,7495.12,0.312
86707,61950,91726.1,29560.4,23482,82500.2,11494.5,5275.92,0.313
104923,69042,99595.1,54852.9,43194,83225.5,21622.2,6745.76,0.314
96509.2,66250,95469.1,35087.9,28478,80747.3,21744.2,6847.6,0.315
116435,81520,93604.9,32783.8,25864,83069.8,13710.9,5498.6,0.315
122175,75343,106272,63741.8,48690,85795.5,13995,6187.92,0.317
114699,76483,98282.5,45907.7,36527,82366.7,32391.8,11916.8,0.318
87679.2,59626,96369.7,31769.4,25930,80294.6,27517.6,8425.36,0.319
80519.4,57910,91122.8,28209.7,23026,80289.7,18632,5321.52,0.32
128387,81154,103679,80093.1,60646,86551.2,26794,10240.2,0.322
86247,60657,93184.3,40403,32013,82711.8,20347.9,6387.04,0.324
98785.8,66751,96987.8,33895.3,26690,83228.3,23628.2,7197.96,0.325
132534,83998,103404,54731.6,42711,83980.5,38013.8,13529.5,0.325
71589.5,49744,94316.7,30566.1,24892,80474.8,19907.7,6446.32,0.329
114897,73431,102543,42457.9,32935,84485.2,9158.9,3898.8,0.333
75390.1,51234,96435.3,33568.3,27570,79794.5,11172.9,5260.72,0.334
