"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","530_30 Blue C-A","586_15 YG D-A","Time"
130248,81409,104853,69585.5,54761,83277.5,31281.6,17071.1,0.163
113932,72822,102533,57570.4,45730,82504.6,19935.2,10626.3,0.165
147902,91774,105617,51541.8,38942,86740.3,10072.8,6995.8,0.168
86727.5,56447,100692,29104.1,22443,84987.2,9045.67,4012.04,0.168
121615,76890,103657,45200.2,33002,89759.4,15012,7087,0.17
115019,77428,97353.2,48163.6,37548,84064.4,1682.37,1778.4,0.171
163688,98964,108398,68401.6,47384,94605.1,14274.4,15381.6,0.173
151684,90117,110310,71402.6,51081,91608.2,6673.87,5891.52,0.18
136804,86087,104146,47415.2,35871,86627.2,19773,15140.7,0.18
73181.7,45003,106571,46624,35327,86493.3,3593.21,3190.48,0.181
82482.3,53685,100690,41505.2,33389,81466.4,4799.21,4123,0.181
97423.1,67514,94568.8,34038.7,26778,83305.7,7627.95,5953.08,0.183
94162.5,66219,93191.3,25725.3,20470,82361.2,12274.4,4656.52,0.196
116037,75092,101270,39341.7,30544,84412.6,10246.3,5003.84,0.206
103395,66895,101294,30872.3,23506,86073.5,10450.7,9199.8,0.214
152358,93317,107000,59650.1,45885,85196.2,14507.5,16100.6,0.219
95209.1,62485,99857.9,44505.4,35389,82418.5,14449.9,6583.12,0.222
101972,65450,102106,38360.2,30174,83315.9,23003.8,10403.6,0.224
143080,91821,102121,52302.9,40928,83750,17210.3,8064.36,0.228
84976.6,55607,100150,33199.8,26303,82720,14321.9,5963.72,0.234
121374,78900,100816,50118,38024,86380.6,23899.6,12644.1,0.236
91202.6,57513,103925,43302.8,33044,85882.2,10737.4,7908.56,0.242
116339,77286,98651.4,47303.3,37070,83627.5,8310.68,7416.08,0.245
140398,84434,108974,56227.7,41122,89610,18500.7,15993.4,0.245
115970,77550,98003.8,42195.3,32974,83863.3,12605.4,7942.76,0.252
108163,67019,105770,44652.8,34431,84992.2,17724.8,7897.92,0.253
106445,68110,102423,43334.9,34190,83065.2,17745,9743.96,0.267
143966,90778,103935,83686.4,64695,84774.2,10572.6,12093.1,0.271
88439.9,56825,101997,38311.9,30996,81004.4,15112.5,7741.36,0.271
103304,61504,110076,43952,34380,83782.4,5731.85,7337.04,0.276
