"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","530_30 Blue C-A","586_15 YG D-A","Time"
156502,100414,102142,58558,44215,86795.4,9435.61,392.16,0.228
120541,78487,100651,34671.2,27451,82773.3,633.82,15.2,0.228
86350.5,55964,101120,34773,27944,81551.8,4727.52,152.76,0.231
119472,75070,104299,33725.1,26346,83891.7,7644.7,202.16,0.233
116774,72607,105402,39985.6,30498,85923.6,12303.2,225.72,0.235
88563.3,59254,97952.6,47603.5,36318,85900.7,12557.8,525.92,0.236
84722.4,56918,97550.3,29116.2,24330,78428.2,12104.9,221.92,0.236
102355,65779,101977,44575.1,34995,83476.9,8200.13,190,0.236
114611,73280,102499,58510.4,44504,86161.7,6953.26,209.76,0.238
90377.4,60193,98399.7,34773.7,28713,79369.2,12514.3,268.28,0.238
144074,97170,97170.5,40145.7,31422,83730.8,11690.8,370.12,0.238
143441,91135,103150,60987.4,45903,87072.1,16271.6,411.16,0.239
97407.6,66260,96343.2,30377.8,25148,79164.9,8660.42,164.16,0.241
102622,69409,96895.5,37164.9,29661,82115.9,4426.69,92.72,0.242
106138,71399,97422.8,33413.6,26467,82736.7,9142.82,223.44,0.242
113869,68823,108431,50489.2,39551,83660.6,10039.3,190.76,0.242
141250,84154,110000,63132.8,46698,88600.6,18067.2,434.72,0.244
92755.7,60758,100050,30957.4,25758,78764.7,5504.72,95.76,0.246
84821.6,56859,97765.8,38494.9,30886,81681,2478.33,115.52,0.249
122348,77322,103699,41333,31987,84684.3,19139.9,418,0.254
124550,78526,103947,44829.7,34174,85970.6,22536.1,440.8,0.255
109496,71301,100643,48731.8,38761,82394.3,7252.75,160.36,0.257
139432,92864,98399.8,44100.1,33624,85954.7,11650.6,329.84,0.257
161794,101506,104460,58714.1,44406,86652.4,14890.1,269.04,0.258
131371,79758,107946,50037.6,38595,84966,11555.5,205.96,0.258
132595,91624,94841.4,39761.8,30593,85177.4,10310.6,263.72,0.261
107711,66555,106062,35734.4,27595,84866.6,6779.06,255.36,0.263
135585,87558,101484,56284.7,42038,87746.2,9806.12,237.12,0.265
84001.3,55556,99091.2,32718.1,26700,80307.6,9692.89,209,0.268
130849,81262,105526,55669.6,42323,86202.9,19692,386.08,0.27
74632.5,50769,96340.6,31365.4,26429,77776.8,8851.37,167.2,0.27
137675,85199,105901,49133.1,36603,87970.6,15129.9,324.52,0.274
115154,79660,94736.7,43505.8,34920,81649.4,4923.83,147.44,0.275
98180.1,60871,105704,49324.1,37995,85077,17960,337.44,0.275
101480,73003,91100.6,56272.6,43064,85637.3,6399.17,160.36,0.277
110044,74146,97265.8,39318.9,30566,84303,9737.11,342.76,0.278
103569,69659,97438.5,38868.7,30911,82407.6,5406.23,133,0.28
98623.4,64671,99942.5,32793.2,26143,82206.8,5176.42,148.2,0.281
136765,87460,102481,63006.8,47992,86039.6,12019.1,242.44,0.285
86594.8,58375,97217.6,35175,29511,78114.2,7439.68,237.88,0.286
72460.6,52964,89660.5,26710.9,22364,78274.2,7097.98,183.92,0.288
109113,70573,101325,47968,36704,85648.1,15907.1,315.4,0.289
101797,66015,101059,36328.7,29378,81041.6,6705.36,188.48,0.291
164557,106703,101070,73068.2,55691,85985.1,20081.2,483.36,0.292
