"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","530_30 Blue C-A","586_15 YG D-A","Time"
117474,78128,98540.5,52079.8,41060,83124.7,11127.4,7473.08,0.194
131240,85100,101068,49577.3,38472,84453.6,25897.5,12450.3,0.199
86305.2,55345,102197,53762.1,42589,82729.2,14095.5,7283.08,0.203
112665,72394,101992,42624.7,33274,83953.1,22337.1,15304.1,0.206
90725.8,59827,99383.4,34141.9,26651,83956.4,21113.7,8852.48,0.211
76738,52383,96006.4,28322.2,22351,83044.4,9309.65,8607,0.213
99720.8,72446,90209.3,47549.9,38266,81436,12161.2,7075.6,0.223
86826.7,61070,93176.2,39552.8,32311,80224.4,24445,12856.2,0.239
84026.1,57880,95140.6,34945.2,28705,79782.9,9788.03,6291.28,0.24
84819.1,59086,94078.2,32184.1,26311,80164.9,23770.9,12739.1,0.243
103389,71851,94302.4,37209.8,29887,81593.4,13312.2,8480.84,0.244
109571,71527,100393,49110.3,38063,84557,29526.9,12285.4,0.244
111198,72018,101190,36833.2,28850,83670.8,13211.1,6137,0.245
113361,78343,94829.8,49752.2,38947,83717.9,22554.9,24120.9,0.246
120964,79037,100301,56359.7,43120,85658.4,33173.7,13468,0.247
78214.2,58630,87427.1,27040.5,22182,79890.4,18784.1,5020.56,0.257
126128,91329,90507.4,36708.6,29741,80889.6,21126.4,13651.9,0.259
87206.7,65267,87566.1,36943.1,30175,80235.5,18371.4,9851.12,0.259
94048.4,67494,91320.1,34257.1,27298,82243.1,21727.4,10010,0.259
89743.1,66386,88594.1,39776.6,31314,83247,29689,11704.8,0.26
119936,75135,104613,52991.6,41803,83076.8,16095.4,11659.2,0.264
125869,80443,102544,51267.1,39759,84505.1,29807,9832.88,0.266
118089,78001,99217.6,53709.2,39513,89081.7,44580.5,19242.4,0.268
72003.1,47956,98398.4,41078.4,31532,85377.1,19726.1,8388.88,0.272
82802.9,60212,90124.4,41664.6,33808,80765.9,24519.3,13179.2,0.272
101483,72372,91897.7,55634.1,43192,84414.7,22430.9,11536.8,0.274
105923,70209,98872.6,38035.9,30365,82091.9,19289.3,10661.3,0.274
76511.1,53334,94015.7,39568.9,32018,80991.5,19623.6,7625.08,0.275
108667,73463,96941.7,55031.8,43619,82683.3,6944.55,3843.32,0.275
110369,70322,102858,53049.9,40078,86747.8,40483.4,14754.6,0.288
116947,82172,93270.6,39437.5,31349,82445.3,31013,14066.8,0.29
103890,70622,96407.8,38107.6,28954,86254.7,24989.7,22159.3,0.312
100035,70378,93152.7,38396.4,30154,83449.8,19864.2,9547.12,0.332
105654,67863,102031,36762.2,28343,85003.3,16738.6,10321.6,0.338
77754.8,57437,88718.8,26686.8,22752,76869.9,20898.6,10405.9,0.339
115436,76847,98445.1,42457.9,32475,85681.9,39863.7,17010.3,0.34
98705.2,64195,100767,34458.1,27843,81106.4,17055.5,8257.4,0.34
112471,78764,93582.2,51598.7,39413,85798.4,25571.2,13252.1,0.341
103683,69995,97078.1,32925.8,26507,81405.9,13972.2,7429.76,0.345
93607.6,67797,90485.8,33533.5,27897,78777.3,15778.5,8057.52,0.345
141162,94185,98223.8,60511.7,44948,88228.5,42058.6,17254.3,0.348
90436.3,61527,96329,32117.1,25495,82558.4,19412.6,11915.3,0.35
96326.9,67543,93464.6,31384.1,25751,79872.3,19017.3,10800.4,0.354
85278.5,63047,88645.2,42288.4,33975,81572.1,16908.8,11314.1,0.361
114178,76816,97411.6,45681.9,36732,81504.2,11628.5,10641.5,0.362
105303,72866,94710.2,38381.6,30454,82596,36508.3,17159.3,0.364
108484,75009,94783.3,43994.9,35357,81546.8,4159.36,4218.76,0.371
108021,69898,101280,39481.8,31239,82828.4,15702.8,12195,0.372
82352.1,57778,93409.8,28185.6,23458,78743.7,10060,4815.36,0.374
111035,70927,102595,46655.4,36447,83892,15121.9,7659.28,0.377
158794,104927,99180.5,100352,66962,98214.9,70687.7,39108.1,0.38
75292.2,56106,87946.9,36645,29898,80325.3,16897.4,8068.16,0.381
93138.3,64294,94937.5,32667.9,26218,81658.4,13203.7,5904.44,0.383
77803.8,58334,87409.6,30116.5,24935,79154.4,14123.6,9270.48,0.385
114544,73350,102342,43323.5,34458,82397.5,20389.4,15210.6,0.386
149395,91991,106432,69229.1,52095,87090.9,26048.9,14394.4,0.388
102455,69212,97013.4,32784.4,25925,82876,21369.7,7330.96,0.391
94460.1,65803,94076.8,51617.5,38091,88808.5,12592.7,11292.1,0.395
87810.6,57303,100427,49350.9,40163,80528.3,11477.8,11929,0.395
96759.1,72902,86982.6,60208.2,46834,84250.9,28085.1,11461.6,0.395
80189.6,58903,89219.6,39804,32527,80197.9,34791.1,9319.12,0.396
81638.5,58170,91976.3,42979.2,32910,85587.4,23058.1,13642.8,0.397
85326.9,62738,89132.3,27622.1,22574,80191.4,7613.88,4728.72,0.399
125511,83152,98921.1,44038.4,35016,82422.4,14890.1,7999,0.401
124299,82031,99305,58911.1,43807,88132,24231.9,12702.6,0.405
88971.9,63256,92178.8,37865.7,30568,81181.9,12153.1,6893.96,0.407
122062,78612,101759,51446,39516,85321.4,28741,15579.2,0.409
123275,73919,109294,57193.2,43951,85281.7,16973.1,22908.7,0.41
104360,72454,94395.8,36726.7,29974,80300.3,38295.2,205.96,0.413
78226.6,55071,93091.8,32377.1,27170,78095.9,27390.3,9858.72,0.421
134627,79298,111263,72672.9,48758,97680.2,25916.3,14870.9,0.425
101181,68146,97305.7,39493.8,30822,83974.7,22290.9,11626.5,0.432
98566.4,69474,92979.3,50672.1,39762,83518.1,46925.5,21747.4,0.436
73749.6,55947,86389.9,22500.6,18806,78411.1,6923.78,4015.08,0.438
75049.1,54143,90841.3,30697.4,25455,79033,5250.12,5681.76,0.442
87615.3,59427,96622,29431.1,22959,84010.5,12363.5,5199.92,0.445
142753,87815,106536,65499.9,50611,84815.6,21868.1,11093.7,0.454
103149,72233,93585.5,50361.9,40532,81429.9,22614.5,19786.6,0.455
124122,84438,96336.6,40458.6,31678,83701.5,24390.7,13097.1,0.456
120521,77453,101977,48717,37920,84196.2,20654.8,7675.24,0.456
102332,68456,97967.2,36162.6,28527,83077.5,26068.4,11156.8,0.459
124137,78834,103197,50581,39290,84369.4,18030.4,10488.8,0.46
95297.7,67499,92526.3,42037.1,34470,79923,18035.1,12269.4,0.461
74083.2,55958,86763.6,36623.5,29902,80267.6,20666.8,10339,0.463
87759.1,57959,99231.9,36846,27951,86391.8,14281.1,5684.8,0.463
90497.1,54407,109008,53798.3,38595,91351.9,16930.9,14256.8,0.466
135030,85454,103557,55008.3,41786,86273.5,25490.2,13189.8,0.467
103680,70453,96444.1,47046.1,36477,84524.8,24759.9,11865.1,0.469
100215,69918,93934.1,39646.6,31943,81341.1,22292.2,13113.8,0.472
95214,63938,97593.7,40661.6,32442,82140.5,33820.9,17506.6,0.473
94602.1,75083,82573.2,54280.7,44159,80557.6,14079.4,7789.24,0.474
71306.2,50621,92315.9,27417.7,22528,79760.7,12292.5,5701.52,0.475
93964.1,68844,89449.1,32195.5,26821,78668.4,14224.1,8720.24,0.476
82990.1,60129,90452.9,28391.9,23481,79242.5,18362,9190.68,0.479
100406,63012,104428,40558.4,31060,85577.5,28036.8,14247.7,0.481
82768.8,61705,87907.5,31149,26370,77412.9,17656.5,4379.88,0.5
68536,52993,84758,17805.9,15665,74492.7,6257.13,2717.76,0.513
67468.4,49478,89365.1,30320.2,24806,80104.1,18847.8,8591.8,0.514
95478.8,67427,92801,32215.6,26507,79650,16070,4887.56,0.522
73289.6,50111,95849.3,28269.3,22850,81079.1,16295.7,7101.44,0.533
92163.6,63391,95282.2,51559.2,39275,86033.9,33201.9,17446.6,0.535
72567.3,47990,99099.2,40145.7,32274,81520.4,28896.4,8751.4,0.538
124046,77954,104286,54694.1,41562,86243,21937.1,10471.3,0.538
95171.9,62837,99259.7,33457.8,25945,84513,29906.1,13582,0.555
81295,57523,92619.5,26960.8,22099,79954,18242.1,8600.16,0.557
89438.1,61822,94811.2,26508.6,21923,79243.9,14978.5,8983.96,0.557
71077.4,50737,91809.3,29275,24197,79289.4,16827.7,6919.8,0.56
108232,68614,103376,53818.4,37542,93949.3,48539.5,23367,0.561
98619.7,68479,94381.3,35773.3,28559,82091.1,12220.8,7888.04,0.561
95791.9,64066,97989.8,42110.2,32362,85276.9,32237.1,20691,0.565
96489.4,64128,98607.9,43194.2,33772,83820.2,26528,12776.4,0.572
111914,67268,109032,41810,31912,85863,10350.2,6520.8,0.575
113330,75582,98267.1,38450,29694,84860.8,17125.9,6731.32,0.577
82675.8,55679,97312.1,30511.8,24514,81570.6,14920.2,10804.2,0.578
89085.3,57542,101461,35153.6,27590,83502.1,13073.7,6264.68,0.58
88651.3,62659,92721.8,39971.5,32675,80170.6,19791.8,8093.24,0.58
89542.9,59365,98850.9,60491,44649,88788.9,26179.6,33475,0.582
126750,84446,98366.6,51797.7,40023,84816.6,21998.8,17705,0.583
99811.9,64345,101659,40381.6,30900,85645.5,25350.1,10485.7,0.586
116133,75785,100428,41337.7,33156,81707.8,9359.9,6301.16,0.586
98365.5,69624,92589.9,40771.5,32865,81302.4,21022.6,15559.5,0.588
91226.8,64206,93116.5,32736.2,26606,80635.9,8350.21,4459.68,0.589
93846.9,65775,93505.9,31194.5,25842,79110.2,8910.33,6786.8,0.591
86818,60578,93923.6,27153.1,22150,80338.8,9838.95,5335.2,0.592
102121,70103,95468,39026.8,30679,83368.5,21689.2,11900.8,0.597
133110,81732,106733,63354.5,48648,85347.9,31451.8,23353.3,0.598
83802.3,55086,99699.9,33021.6,26051,83071.9,22132.1,10680.3,0.598
139886,90508,101290,64880.8,49667,85610.7,33731.8,13064.4,0.6
84444.6,61722,89662.7,30316.2,25210,78810,22060.4,10132.3,0.606
138451,86555,104830,43798.6,31775,90334.6,30353,11966.2,0.607
123691,81842,99046.8,51037.9,39674,84307.6,33060.5,14568.4,0.607
88338.2,62491,92642.7,29802.9,25227,77423.6,11135.4,8003.56,0.615
128326,78306,107399,49941.1,37794,86599.5,12516.3,11120.3,0.634
129354,81395,104151,55660.9,42695,85438.4,12847.9,4890.6,0.639
151487,91456,108553,75342.8,54760,90169.3,56905.1,39884.8,0.641
111874,74736,98102.3,36699.2,28268,85082.9,22386,12338.6,0.649
122097,84915,94232.6,75098.3,53579,91857.7,36396.4,27236.9,0.655
81857.4,57510,93281.2,26547.4,21366,81429,18581.1,10450.8,0.664
89180.8,54905,106448,36831.9,28660,84222.5,16085.4,12507.3,0.667
140129,88587,103667,58658.5,44454,86476.9,25462,18389,0.678
71827.6,56550,83241.3,29453.2,24718,78090.7,13886.4,7921.48,0.698
85765.8,54074,103946,50715,40958,81147.9,14211.4,14085.1,0.713
70799,53156,87288.1,25007.1,20716,79111,9118.03,4370.76,0.716
77280.5,54266,93330.2,27622.8,21587,83860,10714.6,3824.32,0.729
84909,52562,105867,40634.2,31890,83505.8,8562.6,5419.56,0.731
