"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","530_30 Blue C-A","586_15 YG D-A","Time"
77381.6,53810,94244.2,36436.6,29954,79719.2,12035.2,15.2,0.151
150756,92288,107056,60301.3,45304,87230.9,19298.7,8.36,0.153
113653,76322,97591.1,38391.7,30910,81398.8,24835.6,41.8,0.157
159041,96779,107698,51795,38715,87677.6,21269.8,31.16,0.157
76378.4,59623,83953.1,44348.6,35687,81442.3,23819.2,4.56,0.158
111477,65854,110939,66104.9,48279,89733.6,35957.6,28.12,0.16
99394.7,72168,90260.6,31636.1,26421,78471.7,16227.4,47.12,0.16
72838.2,50537,94456,30660.5,22980,87439.9,11364.5,12.92,0.164
102844,62331,108132,60398.5,45563,86874.8,15688.1,-9.88,0.168
153025,103214,97163.4,70582.5,50574,91463.9,22571.6,6.08,0.17
132566,78577,110565,79778.9,54893,95247,44906.8,36.48,0.175
71205.1,49214,94820.6,47502.3,37562,82879.3,36249,56.24,0.175
111777,74450,98394.1,40818.4,31774,84190.7,24451.7,16.72,0.182
119716,82572,95016.9,40222.8,31265,84312.8,32234.4,63.84,0.188
91262.1,61773,96821.5,43249.2,35024,80926.7,8193.43,-10.64,0.19
96557.6,72085,87785.2,44368.1,35609,81656.5,15129.9,31.92,0.191
71463.7,52872,88580.8,24418.2,20453,78241.2,3695.72,21.28,0.197
108289,74131,95733.2,34376.4,26995,83455.8,25943.1,37.24,0.198
96253.8,69105,91282.6,42387.6,34501,80516.8,19324.8,9.12,0.199
69593.1,53170,85778.8,27618.1,23838,75928.3,14724.6,2.28,0.199
81158.6,54404,97765.1,31406.9,25000,82331.4,15117.2,17.48,0.205
96500.5,69062,91573.6,37597.7,32198,76526.6,8625.58,0,0.206
73088.7,47739,100336,57800.9,44063,85968.7,19773,12.16,0.206
119621,73419,106777,64351.5,44575,94612.2,27227.5,28.12,0.208
128677,75600,111548,75083.6,51928,94759.6,38370.9,34.96,0.208
82995.1,60169,90398.1,32426.7,26445,80359.8,23574.6,43.32,0.211
92368.2,67296,89952.5,31189.2,24860,82221,12359.5,19.76,0.212
92038.4,62486,96530.9,38803.1,32182,79019.2,10766.9,38.76,0.214
108894,64963,109855,52483.1,38599,89109.4,30310.8,44.08,0.214
125882,83298,99039.9,43876.3,33718,85280.2,27630.1,17.48,0.215
130772,83720,102368,64811.1,48481,87610.8,30268.6,25.08,0.215
98861.5,70743,91584.8,35361.9,27511,84238.3,23483.5,-15.96,0.217
