"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","530_30 Blue C-A","586_15 YG D-A","Time"
97646.9,64018,99962.3,47753.6,39390,79451.1,25951.1,6701.68,0.212
109366,65657,109164,75478.9,56932,86885.8,41901.1,11515.5,0.249
100497,61692,106759,74178.4,55025,88348.1,18620.6,5143.68,0.25
124701,76282,107134,69919.2,49927,91778.5,39582.9,9181.56,0.256
133544,84361,103744,89332.4,64788,90363.8,84771.8,24867.2,0.328
103321,64815,104470,60405.9,43035,91989.3,41762.4,12506.6,0.341
92340.3,57419,105394,66466.7,53446,81502.1,6742.88,1890.12,0.38
77591.1,57200,88898.8,33943.5,26680,83378,27520.9,6562.6,0.429
129498,80872,104941,73141.9,54805,87463.3,13241.9,3428.36,0.441
73134,45775,104706,57452.5,45787,82233.1,3222.7,1190.16,0.455
127373,78133,106838,69751.7,52765,86634.1,54533.3,15351.2,0.537
81907,48735,110144,54103.2,43055,82352.9,11708.2,3631.28,0.566
105692,68054,101781,49541.1,38462,84413.9,16360.1,3993.8,0.594
109447,73162,98039.2,77638.9,52750,96457.7,60214.9,13796.3,0.702
138368,81759,110913,55894.1,39899,91808.7,26383.9,7838.64,0.768
81473.6,51559,103560,40005,29951,87535.3,27164.5,3796.96,0.786
101607,65595,101515,60639.7,43515,91326.7,56485.7,13889,0.809
121176,73502,108043,61816.2,46138,87805.9,30546,8639.68,0.817
104884,65994,104156,44920.2,35034,84029.4,7934.81,2299,0.835
140191,87467,105040,83112.2,60203,90474.5,26296.2,6495.72,0.848
73479.9,46344,103909,40573.9,32021,83040.8,3445.81,1213.72,0.856
88592.4,55012,105540,54824.1,41480,86618.9,38800.4,10725.1,0.879
141497,88406,104893,84042.8,56786,96992.7,82964.8,19380.8,0.912
73672.7,48453,99647.4,35508.7,28141,82694.1,12223.5,4118.44,0.948
92767.5,64573,94151,49980.7,39200,83559.5,32266.5,6960.84,0.982
112860,71018,104149,71218.3,46990,99326.7,44934.9,13008.9,1
92784.9,58466,104005,63222.5,49038,84492.7,4180.13,945.44,1.015
74755.3,47787,102521,59642.7,41766,93586.8,55303.8,14404.3,1.023
95862.5,60159,104431,55482.7,43122,84321.6,11734.4,3614.56,1.053
96207.9,61214,103001,53413.1,40106,87280.7,24220.5,6250.24,1.155
103663,65394,103888,43665.2,34442,83085.9,623.1,160.36,1.172
84386.3,54665,101168,47756.3,34692,90215.4,44888.7,13455.8,1.195
67870.2,48198,92284.7,51882.1,36166,94015,37411.5,9258.32,1.199
118360,76362,101580,64279.1,50846,82850.1,20420.9,5668.84,1.199
94062.1,61994,99436.2,57048.5,45271,82585.5,29057.9,6908.4,1.217
97812.4,66494,96403.2,45016.6,35075,84111.5,15661.2,2368.16,1.248
76012,50511,98622.5,35721.1,28559,81971.2,1326.6,285,1.28
108227,70690,100336,49996.7,38022,86176.1,31839.7,8031.68,1.285
126331,77731,106511,80085.8,57375,91477.1,55962.4,16337,1.291
118829,77503,100481,57305.8,42834,87677.8,25692.5,5874.8,1.292
111508,66730,109513,55066.6,41171,87655.1,1791.58,548.72,1.296
115683,77647,97639.6,51277.8,39147,85844.1,33029,7812.8,1.297
98040,65626,97905.5,55232.8,44019,82231.2,40220.8,13354.7,1.301
77060.4,52523,96152.8,42200.6,33814,81790.4,17842.1,3021,1.319
138056,85289,106082,89084.5,62036,94110.6,67209,17499,1.347
85398.2,55525,100795,49124.4,37657,85493.2,32062.9,7938.96,1.395
134334,81272,108324,63306.3,47969,86490,12038.6,3477.76,1.407
88989.8,59910,97346.7,63872.4,44694,93657.9,45793.2,14797.2,1.416
75031.8,53974,91104.7,63658.7,46446,89823.4,44488,11059.5,1.433
112337,72344,101766,53018.4,40993,84761.2,20854.4,4622.32,1.445
102696,61264,109857,63861.7,47148,88768.2,1564.45,411.16,1.449
136274,82303,108511,63920.7,48658,86092.8,6625.63,1478.2,1.456
117882,79715,96914.1,68342,49823,89895.5,58164.7,13382.8,1.479
110953,71496,101704,33242.7,26129,83378.4,1714.53,335.92,1.488
99814.4,61600,106192,61449.1,44424,90652,35194.4,9709,1.495
106572,64121,108924,57148.3,44233,84671.4,23620.2,3697.4,1.497
77008.3,51041,98877.7,38220.2,31481,79565.3,14701.8,4078.16,1.503
89842.3,54616,107806,68690.4,45125,99760.6,54252.6,14579.1,1.504
107763,69338,101854,53907.5,41763,84593.6,14865.3,4167.84,1.525
87161.5,58572,97524.7,47385.8,33345,93131.6,6439.37,1761.68,1.54
99846,61603,106221,51131.1,37343,89733.7,32022.7,7091.56,1.593
114806,70371,106918,45129.2,33959,87092.9,12469.4,3635.84,1.601
109002,69943,102134,59823.6,45223,86694.9,46470.5,12073.4,1.603
83620,56708,96637.5,47304.7,36504,84926.6,43682.7,10558.7,1.61
93972.2,61459,100206,46252.1,33679,90002,30943.3,7447.24,1.616
116474,73606,103704,80377.9,58634,89839.4,52107.9,11653.8,1.662
117261,75107,102318,69535.3,47691,95554,50847,10221.2,1.673
75418,51032,96852.9,38206.8,30689,81590.1,22948.2,5598.92,1.76
85856.4,58878,95565.1,48232,34938,90472.6,15902.5,3887.4,1.778
83760.1,54889,100007,32393.2,25908,81940.6,2717.52,697.68,1.784
121979,72679,109991,70763.4,49963,92819.7,90539.8,22921.6,1.827
71303.7,45602,102473,48968.3,35158,91279,17432.1,3486.88,1.86
74793.7,51512,95156.1,43801.2,34737,82636.9,29907.5,8258.92,1.926
126901,76426,108819,68892.1,50138,90049.7,66279.1,16608.3,1.943
91422.1,56054,106887,53058,38746,89743.6,37102.6,7970.12,1.965
83428.4,58331,93733.5,47537.8,35734,87184.2,26268,5621.72,1.975
118123,71594,108128,79952.4,57258,91511.5,77062.7,21426.7,1.996
140183,83063,110603,94386.2,68527,90266.6,62404.5,16406.9,2.01
104293,65920,103685,71860.2,48084,97941.7,48899.3,16999.7,2.07
117925,72690,106319,78618.5,52262,98586.7,54980.2,17651.8,2.089
119411,79639,98264.7,65255.3,51299,83365.6,36866.1,11630.3,2.112
87696.5,52668,109123,52753.1,38309,90245.9,29601.9,9620.84,2.13
71368.8,47409,98656.9,28890.4,23645,80074.5,12943.1,3628.24,2.139
115345,78990,95698.7,67651.9,51802,85588.1,40624.8,11773.9,2.145
139708,85186,107482,59662.2,45166,86570,26749.1,5178.64,2.162
84016.8,57186,96284.5,42325.2,33178,83604.4,29589.9,10282,2.17
113857,72969,102259,53279.7,42317,82513.9,2362.42,596.6,2.186
101616,62115,107212,50697.6,38219,86933.6,24386,6658.36,2.188
67048.7,47886,91761.7,24228.5,20730,76596.3,558.78,127.68,2.207
78890,55964,92383.3,34275.2,28321,79314.3,34411.9,8413.96,2.208
124835,79029,103521,61778,46601,86879.8,28019.4,9144.32,2.216
97026.9,65975,96381.3,52134.7,43091,79290.4,8744.17,2503.44,2.217
122909,79445,101391,53954.4,43229,81796,38695.9,8967.24,2.22
122249,77443,103453,83772.1,61971,88591.3,75827.9,18523.5,2.226
91859.8,56557,106444,58012.6,42672,89096.2,31550.3,8369.12,2.236
80079.2,50556,103807,55343.3,43829,82753,7851.06,2093.8,2.255
138158,82703,109480,75784.4,56427,88018.2,23369.6,7053.56,2.268
110449,69747,103781,54225.1,40935,86813.2,42401.6,8087.16,2.272
69482.8,45370,100366,43924.5,34554,83308.4,8186.06,2613.64,2.302
118673,70403,110469,57902.7,41691,91020,46479.2,10339,2.338
120168,74559,105625,82385.2,60943,88594.2,22620.5,4192.16,2.345
107673,74034,95313.7,42302.5,33314,83218.3,14279.7,3976.32,2.352
86637.6,56830,99909.9,40351.4,32734,80786.7,5733.19,1679.6,2.366
139116,84435,107978,54982.9,42779,84231.9,16536.3,4509.08,2.378
124208,79245,102721,73030.7,55792,85785.4,54456.3,16546.7,2.405
116983,73785,103904,75824.6,50020,99345,54750.4,14723.5,2.439
116214,71030,107225,76023.6,56034,88915.3,91302.9,25761,2.464
131351,77866,110552,62123.1,44423,91648.4,28613,6929.68,2.466
