"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","530_30 Blue C-A","586_15 YG D-A","Time"
77744.3,49858,102191,33878.6,27002,82225.9,7101.33,10406.7,0.26
142817,86767,107871,66598.7,48066,90804.5,19198.2,3.8,0.382
95514.1,69855,89608.6,33104,27019,80295.6,10042,-1.52,0.732
135431,81234,109260,72410.9,51602,91963.9,30929.2,76.76,0.867
103963,72796,93595.1,54002.7,42197,83871.4,37694.9,21.28,1.029
102613,69966,96116,45931.9,33639,89485.1,28569.5,20.52,1.311
88448,61838,93737.3,37191.7,30083,81022.3,24623.8,20.52,1.876
106142,65534,106145,53502.2,38474,91134.8,32872.9,12.16,1.914
115683,73638,102955,58629,43770,87784.1,23791,17708.8,1.957
105368,68023,101516,47663.1,37063,84279.5,8467.46,31.16,2.223
88207.4,57705,100178,48229.3,37908,83379.6,2178.84,5.32,2.378
111794,78806,92969.3,46090.6,35658,84710.2,18690.3,25.84,2.634
84698.8,59971,92558.4,31054.5,26243,77551.6,15468.3,16.72,2.637
107413,74040,95075.5,45418,33477,88912.1,37025.5,8.36,3.218
106982,64719,108333,56304.8,40347,91456.4,43580.2,50.92,3.509
92624.9,62150,97671.2,34313.4,26962,83404.9,14648.9,-5.32,3.944
105276,65559,105239,51281.8,37591,89404.5,16104.8,18.24,4.269
72409.2,49142,96565.2,40135,29998,87682.1,16733.9,32.68,4.454
89960.1,60135,98039.9,38841.9,32167,79135.2,15813.3,15.2,4.471
83189.7,56569,96376.5,34893.6,27876,82034.3,26603.7,-3.04,5.131
93887.8,63266,97256.6,33522.1,26922,81602.6,27033.8,6.84,5.259
69837.4,44990,101731,37064.4,30110,80672.6,17147.3,19893.8,5.377
92017.3,65805,91641.1,34963.3,29824,76829.2,11079.8,23.56,6.833
139877,91795,99863.6,53585.9,41303,85025.5,26126.7,55.48,6.918
105052,70965,97014.9,45857.5,36121,83201.3,27539.7,41.8,7.138
80879.6,58211,91057.1,32965.3,26759,80736.1,12724.6,7.6,7.248
93270.3,62600,97644.8,36358.9,28565,83417.3,33283.6,11.4,8.032
69814.5,49007,93361.4,27244.9,22690,78692,14200,41.04,8.618
91952.8,66503,90615.8,35991.7,29303,80495.3,18377.4,31.92,8.707
83567.3,55267,99094.7,38110.3,30419,82106.4,14951.1,15.2,9.375
100081,69562,94288.7,45418,34071,87362,25205.4,42.56,9.467
132128,81997,105603,52777.2,40509,85383.7,1029.79,16.72,9.714
71376.3,53682,87137.5,28943.3,24658,76925.5,28383.2,3.04,9.808
100514,63747,103335,44241.4,34647,83684.2,9996.4,29.64,9.844
89473.4,62491,93833.2,45008.6,36390,81057.5,31817.6,39.52,10.107
123356,79495,101696,51333.4,39395,85396.3,32689.3,7.6,10.864
137681,83169,108491,63605.1,44461,93754.6,64312,56.24,11.043
120475,76666,102985,56304.1,41690,88509.2,34222.3,33.44,11.081
101217,68787,96433.8,34945.9,27715,82634.4,632.48,29.64,11.265
124644,83689,97607.6,46549.6,35908,84958.1,33755.9,-4.56,11.29
85268,58818,95007,58941.2,44814,86195.7,47799.8,-25.84,12.462
123926,81443,99721.1,42813,33387,84038.5,1331.29,3.8,12.475
99722,65182,100264,75602.8,56714,87363,48031.6,73.72,12.785
115859,72288,105037,40602,31436,84644.8,29887.4,1.52,12.847
78777.8,49526,104244,41086.4,32262,83461.6,27599.3,-12.92,13.018
118883,75715,102901,61945.5,47891,84768.8,30331.6,22.8,13.168
74575.5,51998,93991.6,30068.9,25098,78516.1,7985.06,8.36,13.26
136012,88015,101275,70776.8,53547,86623.5,10684.5,11.4,13.407
92098.5,58488,103197,68084.1,49621,89920.7,2950.01,32.68,13.444
