,row,directory,shortname,antigen,replicate,log_EC50,log_EC50_err,hill_coefficient,hill_coefficient_err,amplitude_A,baseline_B,fit_quality_rmse
0,A,flow_data/psr_expr_r1,2205,PSR,1,-1.2814340527354044,0.43130279420346423,,,19730.427223559174,100.00000000000001,0.2297711976809108
1,A,flow_data/psr_expr_r2,2205,PSR,2,-1.5978359803911482,0.35398139132671347,,,30006.310713014187,100.00000000000001,0.1787456560105002
2,B,flow_data/psr_expr_r1,6396,PSR,1,-1.1805594283991692,0.4168585849617126,,,11224.23524430955,100.00000000000001,0.2551882274843083
3,B,flow_data/psr_expr_r2,6396,PSR,2,-1.3046035643593714,0.44428818920197066,,,9657.096354386707,100.00000000000001,0.2465472420659885
4,C,flow_data/psr_expr_r1,5173,PSR,1,-0.9782821268238129,0.5160672294095571,,,10361.960109762851,100.00000000000001,0.23151603936234155
5,C,flow_data/psr_expr_r2,5173,PSR,2,-0.99262899337225,0.5355292088184417,,,9410.621358181008,100.00000000000001,0.34616030876885695
6,D,flow_data/psr_expr_r1,6432,PSR,1,-1.1822497660843525,0.4081707226533027,,,15985.108934773123,100.00000000000001,0.24373495610849746
7,D,flow_data/psr_expr_r2,6432,PSR,2,-1.3503458359195253,0.4198176825314804,,,15418.172218510328,100.00000000000001,0.22602901806936296
8,E,flow_data/psr_expr_r1,4628,PSR,1,-1.3697969939636412,0.450845935710568,,,12437.706836256002,100.00000000000001,0.3665377125566052
9,E,flow_data/psr_expr_r2,4628,PSR,2,-1.5487212034241877,0.4649073563410721,,,13219.66559966113,100.00000000000001,0.26546695003328286
10,F,flow_data/psr_expr_r1,4034,PSR,1,-1.115509835447183,0.45974897932428976,,,15307.539855441411,100.00000000000001,0.17667520677367482
11,F,flow_data/psr_expr_r2,4034,PSR,2,-0.9902319790600601,0.4048751872704464,,,26756.323336423367,100.00000000000001,0.2862461581669235
12,G,flow_data/psr_expr_r1,5377,PSR,1,-0.8066148203121343,0.4681826308133548,,,9249.208532591385,100.00000000000001,0.17380196582527957
13,G,flow_data/psr_expr_r2,5377,PSR,2,-1.0352455385029578,0.44470847328200935,,,10775.143991185954,100.00000000000001,0.24949763478291823
14,H,flow_data/psr_expr_r1,5469,PSR,1,-0.7454788993268139,0.41139085795769115,,,39502.06015990911,100.00000000000001,0.45966226229627577
15,H,flow_data/psr_expr_r2,5469,PSR,2,-1.0389442058358551,0.3896594438222906,,,30974.499937870638,100.00000000000001,0.3501446336954476
16,I,flow_data/psr_expr_r1,GERMLINE,PSR,1,-1.4301476518728065,0.47156879540336477,,,8960.806736231883,100.04185908286158,0.2770018431091463
17,I,flow_data/psr_expr_r2,GERMLINE,PSR,2,-1.4568309374287007,0.41166376998450127,,,13955.57011048041,100.00000000000001,0.24750568989886138
18,J,flow_data/psr_expr_r1,OMI32,PSR,1,-1.355232021897148,0.41206066035244376,,,27779.537776834848,100.00000000000001,0.34501948072568234
19,J,flow_data/psr_expr_r2,OMI32,PSR,2,-1.2275081863208592,0.41657273445651755,,,26579.599592506263,100.00000000000001,0.3214725303530404
