,row,directory,shortname,antigen,replicate,log_EC50,log_EC50_err,hill_coefficient,hill_coefficient_err,amplitude_A,baseline_B,fit_quality_rmse
0,A,flow_data/psr_expr_r1,2205,PSR,1,-1.5840784552189022,0.6549179223951168,1.2000278214802516,0.4899839728288006,18336.508548447586,99.75123704581443,0.18136207459269882
1,A,flow_data/psr_expr_r2,2205,PSR,2,-1.827353727079318,0.5556393021574558,1.1364699684669504,0.349487079087006,28258.366340651904,99.99120835244082,0.17257608529020793
2,B,flow_data/psr_expr_r1,6396,PSR,1,-1.4091173149951386,0.6603276423166279,1.1367836660919,0.4601091613097485,10544.79689238538,98.68205361371395,0.26117549234218507
3,B,flow_data/psr_expr_r2,6396,PSR,2,-1.5749666501392237,0.6936510139928607,1.1786044904860802,0.5280370093968233,8988.77037586081,99.60401682300285,0.23194432775347879
4,C,flow_data/psr_expr_r1,5173,PSR,1,-1.0410334245234318,0.8627922629448588,1.025261666791084,0.44800636135361194,10142.650959783503,99.23392205450756,0.23700579728763702
5,C,flow_data/psr_expr_r2,5173,PSR,2,-1.106415147255385,0.8526346436493317,1.0864874101330917,0.5523813908767906,9048.914091135392,99.94485634741984,0.34100783857915334
6,D,flow_data/psr_expr_r1,6432,PSR,1,-1.5148369259092864,0.635793246232115,1.2236564101232528,0.5158264185234098,14671.314970030435,99.50455096644927,0.20492870170277552
7,D,flow_data/psr_expr_r2,6432,PSR,2,-1.688519738657975,0.6326476100821127,1.219193594641891,0.4998955469794963,14019.961945212412,99.65357106854955,0.1785441435531605
8,E,flow_data/psr_expr_r1,4628,PSR,1,-1.467745222470124,0.7673529484729505,1.039570690171897,0.41886101907080575,12102.0658544563,98.42031549615388,0.3704632127620333
9,E,flow_data/psr_expr_r2,4628,PSR,2,-1.7361136291810793,0.7526968298086171,1.1097207994234832,0.47868570259115,12529.162462501816,99.3828538240233,0.2704597743459516
10,F,flow_data/psr_expr_r1,4034,PSR,1,-1.4071485149775107,0.7683872515002473,1.1934424481541925,0.5742199393276669,14278.078960146679,99.92759143565242,0.11709459718741962
11,F,flow_data/psr_expr_r2,4034,PSR,2,-1.4396742441770085,0.5794518887617888,1.3247485751400876,0.5325627799136312,23782.494354800558,100.05721571953045,0.12581931756832232
12,G,flow_data/psr_expr_r1,5377,PSR,1,-0.8842522559194028,0.7852417234713304,1.04429546724026,0.4714888326312268,8966.582482990672,99.26525134886269,0.1717986258724098
13,G,flow_data/psr_expr_r2,5377,PSR,2,-1.2691285637325322,0.6727741087870867,1.14726723989884,0.4437455029480475,10001.87946783599,99.98992800487639,0.2494794324138394
14,H,flow_data/psr_expr_r1,5469,PSR,1,-1.4403772734305185,0.589053889853749,1.42148966890194,0.5192056684651609,33391.813577062225,99.77736987323372,0.20684129631473167
15,H,flow_data/psr_expr_r2,5469,PSR,2,-1.5939558558587987,0.5405756466002598,1.351932181924571,0.46413836135689185,26683.905446658013,99.6078463108536,0.18542555900860924
16,I,flow_data/psr_expr_r1,GERMLINE,PSR,1,-1.5651706566832388,0.8372172795902885,1.0905491098795306,0.5409746956854179,8689.533444577764,100.05872496533095,0.29182518203820224
17,I,flow_data/psr_expr_r2,GERMLINE,PSR,2,-1.7351434783187267,0.6216241543162528,1.1896256936789098,0.4632917624320552,12954.899362122882,99.99429071866402,0.22650806939558893
18,J,flow_data/psr_expr_r1,OMI32,PSR,1,-1.7776231973039747,0.6084172711395862,1.257059266064776,0.507898127410003,25687.92951166732,98.70411335377513,0.22856662996336494
19,J,flow_data/psr_expr_r2,OMI32,PSR,2,-1.734863972124434,0.5771026828327109,1.3300756563457528,0.526911179157481,23541.862505538484,99.61478172733317,0.11909609357562229
