"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","530_30 Blue C-A","586_15 YG D-A","Time"
115938,71644,106054,64360,49208,85715.6,13880.2,7921.5,0.203
97653.1,65205,98148.8,55003.8,42133,85556,45553.9,72150.8,0.204
97670.5,67143,95332.8,77894.7,63823,79985.4,11933.3,27145.5,0.205
114587,71839,104533,73132.6,53058,90331.7,30287.2,38012.2,0.205
106414,71943,96937.4,58069.3,46475,81885.5,21671.6,38135.2,0.206
106791,68074,102810,66861,49991,87651.8,20899.8,22063.5,0.206
106036,68950,100785,55724,43106,84719.7,24242.7,48766.5,0.206
90706.6,62782,94685.6,52822.4,44478,77831,14789.3,22530,0.206
96522.2,66113,95679.8,67343.8,53307,82792.9,16052.8,21915.8,0.207
92824.5,60443,100646,59423.8,46374,83978.1,14621.4,7283.25,0.208
109294,75183,95270.3,81407.6,60559,88098,12873.8,16626.8,0.21
78049.3,59479,85997.4,37251.8,32191,75838.9,6321.96,1975.5,0.21
61029.1,40123,99683.5,49644.8,37935,85765.6,11954.4,37420.5,0.211
80143.1,57840,90806.6,47798.6,39128,80058.4,3986.84,1805.25,0.211
86109.9,57215,98633.2,48091.6,38418,82038,11898,29733,0.211
120675,74375,106333,69181.2,52375,86565.3,25934.5,51480.8,0.213
111064,71411,101926,55557.4,42355,85964,12963.5,13195.5,0.214
77611.6,53209,95592,50873.5,40861,81594.8,7103.28,16039.5,0.214
73723.6,49458,97689.9,41537.8,32398,84024.4,11008.5,3773.25,0.216
91379.9,57051,104971,51340,37430,89891,11813,30262.5,0.217
66989.8,45520,96446.4,45077.2,36528,80874.4,11233.6,16262.2,0.217
84466.9,54606,101374,63077.5,49955,82751.4,21304.4,59809.5,0.217
141051,94795,97514.6,87143.4,63046,90585.1,25206.2,45071.2,0.217
116996,78906,97171.8,46803,38227,80238.7,4728.04,1896.75,0.222
110887,73534,98826.3,62974.1,47738,86452.6,16231.6,20611.5,0.222
76304,49899,100216,52732,39807,86814.9,18084.6,16491,0.223
111227,68441,106506,67804.2,48905,90862.2,20164,56619,0.224
111660,70826,103320,97543.3,75479,84693.7,10032.7,11548.5,0.225
125322,80280,102306,69800,51772,88356.8,20410.9,47598.8,0.225
91351.4,66296,90304.2,52595.3,40636,84823.4,9773.64,12222,0.225
119275,72868,107274,84816.4,64686,85930.9,8390.52,14850.8,0.225
122441,81622,98310.7,49325.2,38258,84494.1,11434.2,13481.2,0.226
81134.4,53925,98604.1,71556.4,55957,83805.8,16733.4,24848.2,0.227
55313.3,39009,92927.6,42557.1,33777,82571.7,9073.92,3125.25,0.227
88182.6,62363,92669.3,56706.6,45414,81832.1,19518.7,36303,0.227
110989,77012,94449.6,47733.3,37230,84024.9,15852.2,26234.2,0.229
115546,71038,106596,68067.3,51623,86412.2,9602.96,15784.5,0.229
115708,78630,96439.6,54172.2,42482,83570.2,12599,9873,0.233
67599.8,44770,98955.2,37709.4,29362,84167.4,7455.52,7047.75,0.234
90622.3,58910,100815,63563,49146,84761,16580.4,49522.5,0.241
142134,81214,114696,79838.1,58151,89977.3,17954,11241,0.245
89254,59402,98470.5,45931.3,36387,82726,13135.6,11169.8,0.246
106438,68858,101303,73380.2,57386,83801.7,17379.4,17862,0.265
97682.2,65507,97725.5,59000.9,46491,83170.5,8084.52,13707,0.266
91065,63259,94342.9,52690.5,42438,81368.7,18116.6,23463,0.266
106280,64919,107290,76066.2,56667,87971.3,8435.4,32736,0.275
116828,76265,100392,59994.4,44909,87550.2,21906.9,12074.2,0.275
147519,91215,105989,71474.8,53807,87055.1,18361.4,4053.75,0.278
117196,72078,106559,55389.4,41082,88359.9,18188.6,38650.5,0.279
74441.5,47436,102846,37181.7,29272,83244.8,8797.84,8384.25,0.279
105523,76580,90304.8,51510,41888,80590.1,15755.6,29399.2,0.281
87559.5,57304,100138,52096.2,40940,83394.6,6340.32,10799.2,0.283
129362,81236,104361,58362.4,44612,85735.6,14758.7,18401.2,0.284
81138.8,58046,91608.6,38019.5,31267,79689.3,14165.8,20015.2,0.284
78433.7,53475,96124,56161.9,46075,79883.4,13827.1,42595.5,0.284
86596.6,54831,103503,57496.7,44706,84286.3,12969.6,40794,0.285
126580,80181,103460,90002.1,66709,88419.5,16371,22637.2,0.285
62567.3,44002,93186.9,49469.3,40746,79566.6,11759.9,22500,0.287
115224,79515,94967.2,88247.7,70294,82274.5,18945.5,49214.2,0.288
117995,74991,103118,71327.9,53698,87052.5,8936.56,9251.25,0.289
136992,86128,104239,56400.6,42756,86450.3,20351.7,14709.8,0.29
62071.9,38891,104599,47495.3,36470,85348.3,9070.52,12670.5,0.29
65788.2,47415,90931.1,33847.7,27483,80713.2,5608.64,2976.75,0.291
108705,72429,98359.8,70532.3,51913,89041.4,37153.2,85407,0.291
87620.3,64295,89311.5,41429,33947,79980.3,8864.48,18596.2,0.293
61933,42447,95621.5,38940.9,32130,79428.3,11181.2,22554.8,0.293
140301,89375,102879,91287.3,69739,85785.6,28427.4,45366,0.293
83150.1,58782,92703.9,50256.8,41639,79099.6,11927.9,18842.2,0.294
131333,82887,103841,84570.9,65167,85049.8,16428.1,31527.8,0.295
98120,61574,104434,62998.6,46970,87900.3,26418,57393.8,0.298
64612.1,41036,103188,40694.6,32744,81448.9,11148.6,13952.2,0.299
120753,78146,101268,74629.3,55678,87842.7,12278.8,23971.5,0.301
133358,77126,113318,86672.8,62090,91483.2,28523.3,32222.2,0.301
112154,77243,95155.6,54627.1,43430,82432.5,15544.1,40482.8,0.303
109495,77247,92895.1,75101.2,58603,83986.1,20754.3,18415.5,0.303
90835.6,61497,96801.5,71171.5,53641,86954,11526,24910.5,0.304
110804,75163,96612,60950.4,47350,84360,19333.8,39486,0.304
123566,80242,100920,90011.6,68042,86696.5,11983,24780,0.304
112059,74567,98487.1,63108.8,46855,88270.1,25126.7,48232.5,0.306
72696.2,52994,89901.1,62073.1,45146,90108.2,7028.48,14301.8,0.307
108107,74770,94755.9,52649,42174,81813.6,15342.2,22785,0.308
103688,72458,93782.7,61419.6,46618,86344.3,14666.9,33119.2,0.31
92515.8,66320,91422.1,54416.3,43924,81190.9,19570.4,31631.2,0.319
93481.7,62610,97850.5,44431.2,34442,84543.4,13178.4,34123.5,0.32
87401.4,59574,96148.3,45392.7,36418,81686.4,11881,24990,0.321
94500.4,63232,97943.7,67250.6,55380,79583.6,9375.16,15636,0.321
62988.3,43990,93839.5,43558.1,34058,83816.5,9143.28,13779,0.322
111098,84972,85686.4,81143.7,65884,80715.1,15060,32101.5,0.324
91843.7,61674,97594.9,54992.3,40739,88465,20317.7,49839,0.326
132146,79929,108350,61254.4,45069,89071.6,20266,24074.2,0.328
81748.2,57659,92916.2,49650.9,40182,80979.5,9581.88,9084.75,0.33
117478,73411,104876,67937.4,48131,92504.8,8205.56,7215,0.333
84476.2,54696,101218,67016.7,47784,91913.8,22721.5,130879,0.335
88149.7,63153,91476,57657.9,47125,80183.9,11953,30431.2,0.335
129996,82648,103081,65593.5,47752,90022.1,17344.1,35442,0.336
127326,84786,98417.9,78445.5,61066,84187.6,11394.1,12106.5,0.337
79855.4,55802,93785.2,30470.1,21843,91420.1,6094.84,25392,0.338
100922,68394,96705.1,49711.4,39278,82944.3,10648.1,8593.5,0.339
96109.9,65239,96547.5,61712.7,49551,81621,32887.5,60679.5,0.339
115811,73552,103189,78847.4,61608,83874.5,16992.5,11513.2,0.34
109245,74306,96351,62461.4,48334,84691.3,17041.5,28757.2,0.341
126831,78290,106169,84695.4,60918,91115.8,12519.5,19478.2,0.341
102790,70554,95479.1,49927,41395,79043.7,7879.16,16591.5,0.343
99188.8,63270,102741,44477.4,33758,86346.2,14580.6,12714.8,0.344
98767.2,69149,93606.7,48928.7,39984,80196.9,15019.8,31356.8,0.345
109891,76600,94018.7,69437.5,56140,81059.1,7223.64,5649,0.345
106132,70841,98183.8,80226.4,62210,84515.6,20087.2,38698.5,0.346
78344.4,52158,98439,49132.7,38478,83683.2,8471.44,3709.5,0.346
95046.6,63323,98368.3,57291.4,42646,88042.2,10865,32112.8,0.346
90502,60412,98178.2,74995.8,58664,83781,10382.2,18057.8,0.347
106230,65933,105591,63462.4,45485,91438.3,15453.7,15186,0.348
78028.9,50741,100780,38336.4,29681,84647.1,9673.68,4189.5,0.349
98489.5,67449,95696.1,53815.9,42253,83470.5,39571.2,67219.5,0.35
121496,75832,105000,67110.6,48840,90052.4,28793.9,67356,0.35
124444,78474,103927,64179.1,47578,88403.1,12169.3,20633.2,0.35
68264.5,45112,99170.5,44351.6,35873,81025.5,6995.84,31723.5,0.351
68727.6,46466,96934,45369.6,36878,80626.5,2722.72,963.75,0.352
100099,67842,96696.6,49189.8,38849,82980.4,12072.7,7802.25,0.354
121941,80971,98696.1,89653.2,67803,86655.7,31829.4,85485,0.354
136786,86502,103632,94804.9,70982,87531.1,13230.8,29292,0.354
90480.3,59934,98937.5,56008.2,41623,88185.7,17680.7,44791.5,0.355
96587.3,70064,90345.2,63244.8,49680,83430.1,17035.4,50249.2,0.356
142141,93434,99699.5,82262.3,62455,86320.5,26244.6,37982.2,0.356
