"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","530_30 Blue C-A","586_15 YG D-A","Time"
79350.7,49826,104370,62258.1,44274,92156.7,16751.1,10566,0.129
74531.4,44622,109464,50581.8,39251,84454.6,19839.7,16019.2,0.13
69432.6,44975,101175,46249.5,34018,89100.1,29920,3926.25,0.131
61551.7,39462,102221,45632.8,35018,85401.5,9528.84,8122.5,0.14
117919,80025,96569.1,83890.2,64525,85204.7,31790.7,20034,0.144
102968,66133,102039,68444.7,52325,85725.6,38600.2,26052.8,0.148
66426.8,42735,101868,53135.2,40338,86327.2,30468.8,4746,0.155
54968,38464,93655.9,43643.8,34884,81992.8,15048.4,10116.8,0.155
88004.7,60942,94638.7,37359.2,29235,83748,12225,6574.5,0.158
112441,70971,103830,60562.2,44054,90094,31660.8,11146.5,0.167
91474.8,60031,99863.3,48339.2,36859,85948,26271.1,6088.5,0.169
95435.4,61635,101476,67482.5,48923,90397.9,22986,9552,0.17
72799.2,45795,104181,68234.6,48363,92463.7,16211.9,12559.5,0.175
104404,67024,102086,54759.7,41152,87206.8,20252.4,11334,0.185
109260,68615,104357,66384.3,48095,90457.7,35929.8,20209.5,0.188
88632.1,61538,94390.4,46302.6,36946,82133,15358.5,12070.5,0.203
69434.4,53903,84419.3,34461,29279,77135.1,18281.1,8310,0.205
104399,65809,103966,50999.3,39105,85469.7,21869.5,7429.5,0.207
98060.4,70497,91159.7,36576.5,29429,81453,21271.1,15027,0.209
91720.3,61393,97909.9,41692.8,33121,82497,3927.68,6663,0.209
87507.4,63374,90492.7,52060.1,41146,82919.7,23157.4,5187.75,0.211
75177.5,46978,104875,74188.7,54494,89221.4,986,165,0.215
75707,50152,98929.9,40931.2,32124,83503.6,22499.2,5509.5,0.216
99896.3,59067,110837,61416.2,46651,86278.4,7847.88,7716.75,0.217
139171,89014,102464,77886.5,60474,84406,47687,20778.8,0.218
100156,64763,101351,52485.1,40319,85311.3,32672,9567.75,0.224
84408.7,59768,92554.6,48528.9,36828,86357.9,33599.5,7108.5,0.227
92106,65464,92207.3,44746.7,35196,83319.7,30561.2,14431.5,0.229
105520,69867,98978.6,56495.8,44086,83983.7,21843,19328.2,0.23
115282,77311,97723.9,74098.2,57211,84880.6,26149.4,9901.5,0.233
131978,81084,106671,83754.2,61452,89320.4,49420.4,60993.8,0.235
99027,68562,94656.5,49172.8,39374,81845.7,26134.4,7123.5,0.237
119945,74089,106098,82935.5,59773,90931.7,40197.5,10119.8,0.239
89083.5,63387,92103.6,38193.6,31318,79923.8,10453.6,8119.5,0.268
87976.8,60399,95459.3,58388.2,44082,86804.8,5762.32,3549.75,0.27
81517.6,52035,102668,43965.4,33623,85694.8,3391.16,15475.5,0.274
136925,86645,103567,77044,57013,88561.5,29667,13614.8,0.274
93700,54635,112395,78846.7,55734,92713.5,43728.1,20345.2,0.275
94469.4,59400,104228,70824,54120,85763.6,32319.7,9353.25,0.276
111857,84195,87067.4,46835,37759,81288.7,50809.6,8779.5,0.279
140971,88218,104726,71249,52986,88124.7,74895.2,20031,0.282
103285,70435,96101.3,64693.2,46491,91194.7,28464.1,15456.8,0.282
71575.9,48793,96136.7,56612,45417,81690.3,6926.48,1702.5,0.283
94824.7,67126,92578.6,46917.3,37790,81364.7,28324,5214.75,0.285
112633,72819,101368,78956.8,59167,87456.1,37609.4,10120.5,0.289
72733.4,46411,102705,49414.9,37398,86594.4,22359.1,11407.5,0.291
91854.9,59686,100858,60893.3,46202,86375.1,9755.28,16327.5,0.292
75179.3,49455,99625,46023.8,35922,83965.6,1139,4716.75,0.301
88891.9,58279,99960.9,50553.9,39163,84597.8,15008.3,4982.25,0.315
96796.3,65918,96235.3,49884.1,36439,89717.2,21692.7,33402.8,0.315
103267,68230,99189.2,48114.1,36634,86073.2,1358.64,5855.25,0.316
91595.1,57347,104675,67377.1,48191,91627.6,51903,36295.5,0.317
110184,66719,108230,63569.8,45019,92541.2,24951.9,11423.2,0.321
84592.8,51181,108319,56799.7,41209,90330.4,32279.6,9240.75,0.323
79080.4,56887,91103.6,44014.4,34783,82929.2,27214.3,5751,0.325
120340,77114,102272,70044.1,51139,89763.4,25607.4,10215,0.328
133666,87049,100632,82432.3,59769,90386.1,31001.9,12258,0.329
65131.6,45453,93909.4,39929.6,34153,76620.7,11677.6,2967,0.332
129401,83962,101003,80286.2,56947,92395.4,33938.1,10356,0.333
119985,75929,103562,66292.5,51892,83722.9,26634.2,17356.5,0.334
78591.8,52480,98143.9,36142,25824,91721,2394.28,27877.5,0.336
107307,67689,103894,71209.6,52169,89455.3,53783.9,19549.5,0.339
79445.6,45578,114234,61031.4,43207,92571.8,24883.2,10227.8,0.352
96109.3,69771,90275.6,80745.2,57398,92193.5,33240.4,24788.2,0.356
65031.8,42366,100598,45923.8,36378,82733,621.52,8082,0.367
129842,91442,93056.8,56973.8,43226,86379.4,38007.9,16925.2,0.375
106502,67255,103780,65520,47567,90271,37272.8,10641.8,0.376
78251.4,52256,98137.7,53909.7,43732,80788.2,19157.6,5865.75,0.386
96433.6,65147,97009.4,49310.2,38502,83933.1,24557.5,10200,0.389
76834.1,49930,100849,53375.2,41555,84177.6,14014.8,8041.5,0.389
116283,68610,111073,77321.4,57270,88481.5,11700.8,7132.5,0.39
69099.6,44426,101934,50064.3,38942,84253.9,14815.8,2391,0.393
107662,68794,102564,91790.5,70611,85193.3,34792.2,4822.5,0.394
92204.5,61257,98645.3,33220,25229,86293.9,20927.7,8754,0.397
83584.1,50027,109496,66988.2,50047,87720.3,28116.6,12848.2,0.397
83394.3,54999,99371.5,47795.2,35067,89323.4,34069.4,6706.5,0.397
57374.2,41198,91268.4,42708.1,34515,81092.8,16060.9,15003.8,0.398
99234.7,64798,100365,54238.8,42202,84228.2,24596.3,18093,0.399
122051,78738,101587,65999.4,48078,89965,31205.2,9185.25,0.4
68554.6,42584,105504,45994.5,35388,85178.5,22101.4,5809.5,0.4
