"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","530_30 Blue C-A","586_15 YG D-A","Time"
110754,72366,100301,62768.8,48099,85523.9,9010,329.25,0.211
102252,70098,95597.1,50791.2,39790,83655.6,14376.6,870.75,0.211
63411.1,45319,91699.1,36594.2,30623,78314.9,6032.96,985.5,0.211
92063.2,52908,114037,72235,52168,90745.2,11680.4,185.25,0.212
96038,66527,94607.4,43297.6,34530,82176.5,13493.9,570.75,0.212
106408,63214,110317,66780.1,49130,89080,19130.4,773.25,0.212
76620.2,50974,98508.7,38901.4,30691,83068.2,7341.28,3212.25,0.213
109949,70527,102168,58008.8,41644,91289.6,10629.8,850.5,0.214
127396,83831,99593.3,77969.5,58583,87223.4,15689,2439.75,0.214
121582,77506,102805,65461.6,49486,86693,17559.6,1810.5,0.214
102886,65555,102856,59945.4,45923,85547.2,16372.4,78.75,0.217
93510.3,61518,99617.8,60545.8,48615,81619.5,6481.76,800.25,0.219
82154.3,52999,101588,50457.4,39715,83262.6,9033.12,1593.75,0.219
134950,84516,104644,68468.5,50323,89167,14555.4,1122.75,0.221
110246,77507,93218.4,62218.6,49643,82137.7,13409.6,578.25,0.222
89908.7,56622,104063,47569.4,35975,86657.6,11836.8,888,0.222
100207,64958,101099,45911.6,34922,86159.4,16378.5,2409.75,0.223
68651.4,45085,99792.3,46700.4,37049,82608.3,11747,1263,0.223
87302.8,59267,96537.3,59892.4,44751,87709.9,16388,3073.5,0.224
131026,80346,106875,60258.9,42750,92377.2,16063,551.25,0.224
106667,72578,96317.2,64953.6,54250,78466.3,9268.4,732.75,0.225
86765.9,60386,94165.7,37606.7,30546,80684.7,10238.1,1056.75,0.226
117554,69687,110552,89772.9,66947,87880.8,14612.5,1257.75,0.226
141665,85906,108073,85044.2,65150,85548.1,15132,895.5,0.227
136012,90907,98053.1,94092.3,71382,86386.4,11549.1,186.75,0.228
91431.4,53619,111752,83646.1,59987,91383.7,9109.96,364.5,0.23
102471,65469,102576,64760.5,49993,84894.8,16136.4,321,0.23
123014,80650,99961,76472.8,58215,86089.9,13653,1262.25,0.232
83004.4,56111,96946.7,56649.4,43266,85808.2,5528.4,756.75,0.232
129375,76793,110410,69075.1,50813,89089.5,13555.1,326.25,0.232
116928,76377,100331,76019.9,58989,84457.1,26361.6,1380,0.233
98698.4,63564,101760,78248.3,57224,89614.1,18884.3,1656,0.233
95609,58621,106887,65134.5,51001,83697.4,13547,2319,0.234
92293.2,57858,104541,55260.9,41030,88266.6,21775,920.25,0.235
133009,85991,101370,68620.2,53636,83844.6,13976.7,1042.5,0.235
80275.7,48326,108864,49370.7,37046,87339,10314.9,2495.25,0.238
130592,85927,99601.6,93483.7,68799,89049.9,29118.3,2062.5,0.238
114203,73130,102344,64833.9,49767,85377,11788.5,363,0.239
119904,76134,103213,59757.7,44710,87593,977.16,1207.5,0.239
74650.5,47243,103556,48369.8,36790,86163.6,6698.68,858.75,0.24
115753,75546,100415,83867.8,61639,89170.2,23978.2,81983.2,0.24
69643.4,49750,91741.7,43972.2,37490,76867.5,7717.32,660,0.241
113376,72555,102408,71548.9,54006,86824.2,23264.2,465,0.241
129835,86400,98482.1,74581.7,53524,91319.5,15405.4,1385.25,0.241
83389.4,50532,108149,77342.5,57944,87476.2,1732.64,1126.5,0.241
78776,52417,98492.1,55699.5,44169,82644.4,3108.96,423,0.241
103051,72160,93591.2,53678.5,42956,81894.9,7480.68,1905.75,0.242
91981.3,53310,113076,85132.6,62759,88899.6,22047,653.25,0.242
88375.4,55967,103485,54885.5,41122,87470.9,9104.52,1170.75,0.243
94549.4,59690,103809,71497.9,57011,82189.2,11152,162.75,0.243
109072,75220,95029.5,71246.3,56244,83016.8,11031.6,872.25,0.243
123604,79773,101545,66867.1,51945,84362.4,8389.16,264.75,0.243
93919.5,58934,104441,59087.9,45026,86003.3,8337.48,618,0.244
111729,76946,95161.1,62961.9,51714,79790.2,8161.36,2031,0.244
97784.5,59217,108219,62484.5,45137,90723.5,10937.1,1594.5,0.245
125761,79363,103851,62007.2,47631,85316.3,13759.1,1220.25,0.245
112846,73313,100875,54540.8,42281,84538.8,9371.08,1564.5,0.246
82411,56033,96387.6,45094.9,37397,79026.1,3725.04,335.25,0.246
69438.1,46414,98045.8,57288,44174,84991.7,13396,297.75,0.249
113181,74546,99501.4,54348.3,42310,84182.7,12903,2189.25,0.25
139579,90691,100864,94490.8,71103,87092.6,21524.7,906,0.252
86818.6,52792,107777,55170.4,43509,83101.2,13869.3,1356.75,0.253
87881.9,59995,95998.5,55934.8,44950,81551.5,10540,901.5,0.254
87874.5,58762,98004.5,48948.4,37790,84887.1,4081.36,918.75,0.256
93368.9,69416,88150.1,42684.3,35372,79083.9,7499.72,244.5,0.256
121815,74828,106688,75354.2,56501,87404,16400.2,2055.75,0.258
84907.8,54167,102729,51628.3,39435,85799.8,10529.8,1035.75,0.258
107654,70060,100703,62748.4,47644,86312.6,6222,822,0.258
94991.4,54629,113957,47343,35057,88503.5,14212,16063.5,0.259
67126.2,46282,95051.6,45748.4,36983,81068.7,795.6,-29.25,0.259
108285,76171,93166.1,70934.2,56806,81835.4,24193.7,1185,0.259
77671.1,50774,100253,54758.4,44174,81238.8,3053.88,652.5,0.261
79366.8,53365,97468.1,53232.4,43921,79429.9,3833.84,206.25,0.261
79342,51318,101324,49285,37854,85326.4,7604.44,966,0.262
137103,83548,107545,76591.1,56184,89339.9,9418,614.25,0.262
101041,66555,99494.4,54551.6,41007,87182.6,9207.2,2436.75,0.263
85614.6,57379,97785.5,42948.8,34283,82101.7,11638.2,83.25,0.263
99302.3,61336,106102,74959.1,56376,87138.5,14402.4,1161.75,0.263
66632,44530,98064.1,38776.3,30966,82065.6,10868.4,1324.5,0.267
89588.8,64867,90512.7,45104.4,37691,78426.2,8857,1759.5,0.267
92863.6,61099,99607.3,55763.4,43039,84911.6,12189,15199.5,0.268
84435.9,60998,90717.6,53010.8,41926,82863,8266.08,95.25,0.269
