"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","530_30 Blue C-A","586_15 YG D-A","Time"
69406.5,40843,111369,52117.9,39078,87404.7,19885.9,35841,0.249
96986,60262,105474,68979.9,48814,92610,32018.5,79210.5,0.275
99129.3,61575,105506,66698.5,50831,85993.8,27550.2,48069.8,0.28
113417,71074,104579,78659,56942,90530.6,25616.3,57708.8,0.298
90329.7,66046,89632.2,61935.1,45267,89667.5,24502.4,48729,0.303
80862.3,54415,97388.4,66296.6,51106,85015.7,27102.1,89666.2,0.305
86720,54952,103423,67160.2,50508,87142.9,28141.1,55253.2,0.309
99602.4,57683,113162,73052.4,52031,92013.6,31709.8,61666.5,0.311
64686.5,43515,97421.4,60210.6,43926,89832,21803.5,43186.5,0.317
87083.3,58510,97540.5,74045.2,55566,87330.9,32247,44625,0.317
94984,60642,102650,71584.3,53474,87731.4,19724.8,22481.2,0.32
115409,74945,100920,102274,72753,92128.6,21947.7,62957.2,0.324
99985.5,65526,100001,72455.4,55982,84820.7,31883.8,56356.5,0.343
103031,69076,97750.9,54752.9,42208,85014.4,3217.76,11032.5,0.344
57186.3,38697,96848.9,45360.8,33581,88525.1,9265.68,26926.5,0.358
80007.9,52350,100160,51846.6,40551,83791.3,13557.2,34945.5,0.362
58061.1,37475,101537,51671.2,39579,85558.5,24514.7,70086,0.394
62321.2,42885,95237.9,46557.6,35941,84894.6,8815.52,13866,0.412
105755,71128,97440.9,61402,43660,92167.6,25264,36434.2,0.414
75337.4,52741,93614.4,54050.5,41637,85074.6,21768.8,67293,0.431
113862,74420,100270,65539.1,50336,85330,28843.6,50785.5,0.444
56860.8,39511,94313.8,41111.4,32847,82025.1,1534.76,6379.5,0.467
104991,66394,103635,65232.4,49555,86269.2,17974.4,22240.5,0.467
104179,64095,106521,80971.7,60786,87299,14831.5,28076.2,0.468
77612.8,50055,101617,56352.3,42687,86515.9,18475.6,53907.8,0.469
64800.5,43943,96642.7,58660.9,43467,88444.1,18942.8,67674,0.473
57116.3,39215,95452.5,42437.4,31755,87582.4,13077.1,33599.2,0.502
99428.2,69631,93580.8,54397.3,43042,82825.6,19318.8,25288.5,0.508
78796.4,51215,100830,47493.2,35554,87543.4,9522.04,15030,0.509
76664.2,48293,104037,63453.5,46641,89159.5,21218,67746,0.517
126538,75018,110544,87941.7,64215,89750.8,24997.5,51616.5,0.518
80391.7,48152,109415,61031.4,44572,89736.9,24900.2,33048,0.525
127978,80665,103975,58431.7,43108,88832.3,13623.1,6461.25,0.528
80947.2,52530,100989,60733.5,44934,88579.5,14137.2,27917.2,0.529
90099.6,58475,100979,42403.4,32726,84915.7,6611.64,16684.5,0.534
78274.4,50646,101287,68223,52574,85043.3,14528.9,17870.2,0.534
69750,44579,102540,53008.7,39875,87121.7,15451,28746.8,0.542
67411.4,43557,101427,52532.7,37925,90778.8,22312.8,26405.2,0.548
64375.8,43843,96228.2,49396.6,37375,86615.5,14829.4,33163.5,0.55
102174,62442,107236,83345.6,59875,91225.6,29427,33789,0.551
62996.3,42170,97902,47074.4,36919,83563.1,12853.4,61245.8,0.557
79653.9,51417,101527,77949.1,57133,89413.7,27812.7,31875.8,0.559
84378.9,50489,109526,57523.2,41853,90073.4,29641.9,75720.8,0.561
78355,51129,100434,63543.3,47693,87316.2,20117.8,43973.2,0.564
85846.4,52541,107079,65089.6,49993,85326.2,22212.9,47946,0.572
117727,75647,101992,78147.6,56786,90189.2,24552.8,62531.2,0.601
96113.6,67698,93044.2,71542.8,57038,82201.8,44578.1,125628,0.609
82858,58158,93369.5,63272.6,47283,87698.2,28723.9,52968.8,0.643
83140.8,50247,108439,54033.5,40643,87127.9,2360.96,2284.5,0.666
88527.3,58741,98767.9,48564.9,37089,85813.9,20385,28655.2,0.666
116631,78835,96956.3,87582.6,64567,88897,38520,65451,0.677
86274.2,55903,101141,64130.1,47186,89069.5,21989.8,34511.2,0.681
76434.8,53318,93950.1,52057.4,42094,81048,16003.1,59108.2,0.684
111996,71058,103293,57226.8,42426,88398.9,21084.8,44712,0.687
90908.7,66475,89624.6,46792.8,38534,79582.1,17907.8,35937,0.689
106730,66435,105286,78671.9,56287,91599.2,26402.4,41823.8,0.695
93228.2,55295,110495,65335.8,48018,89171.6,10249.6,7026.75,0.706
86173.2,54905,102858,63497,47261,88050.2,19891.4,28876.5,0.707
57273.1,38698,96993.4,48724.7,38915,82056.4,14140.6,15014.2,0.71
63227,39539,104799,57447.1,41547,90616.7,20856.3,56766.8,0.718
122177,76096,105222,65488.8,49164,87297,33526,59563.5,0.721
110793,78166,92890.9,48528.2,37998,83697.7,12308.7,13217.2,0.724
71470.5,49667,94305.9,35185.2,27423,84086.4,18934.6,13022.2,0.726
71389.9,44450,105256,52880.2,40850,84836.2,17425.7,23625.8,0.736
101427,62242,106795,71256.5,53734,86907.1,16507,9360.75,0.739
102013,64694,103341,75792.1,56466,87966.4,28664.7,53460,0.755
128502,82609,101945,61258.5,46613,86127,52687.1,125000,0.827
65552.6,46526,92336.7,48080.8,37502,84022.8,17645.3,49137.8,0.831
72530.7,46052,103218,59296,44000,88318.7,19657.4,24585.8,0.833
74171.8,48850,99507.2,53607.8,42094,83461.8,18041.1,29320.5,0.833
107370,62123,113269,85219,60166,92825,29345.4,69200.2,0.835
116264,67515,112856,73345.5,54582,88065.1,20650.9,50271,0.838
96177.5,63315,99551.3,67018.8,51495,85292.6,14365.7,13204.5,0.839
70998.7,44898,103634,54075.6,41650,85087.7,8803.28,9906.75,0.844
84618.2,49455,112133,72461.5,51970,91376.5,33460.1,58052.2,0.846
61418.4,38659,104119,54892.3,42771,84108.9,14403.1,85470.8,0.855
94477.5,62201,99543,65433,47757,89792.4,27336,55412.2,0.866
86857,57636,98762.3,58605.8,43108,89096.9,10930.3,17198.2,0.871
77415.1,52494,96648.6,57294.8,44874,83675.8,28479.8,53297.2,0.876
118724,72622,107140,84502.9,61470,90092.5,20908,23519.2,0.878
87285.5,53166,107594,74687.8,57294,85432,18854.4,44562.8,0.883
96403.8,59621,105968,72552.6,53265,89267,10707.3,12830.2,0.892
102532,67555,99467.5,75387.5,58631,84266,28414.5,42079.5,0.9
60021.6,42573,92396,46263.1,33776,89764.9,11838.8,19899,0.907
79451.1,46985,110821,68532.4,49133,91411.9,22597.8,52472.2,0.914
79263.9,51327,101207,62759.9,47855,85947.9,15082.4,30577.5,0.917
62550.6,42587,96257.4,52681,42054,82096.8,12963.5,16314,0.931
71082.4,47315,98456.2,46722.1,36255,84456.8,4425.44,2791.5,0.95
101317,60999,108853,73183.6,53147,90243.3,32939.9,68790,0.978
57393.4,40847,92083.5,48406.5,38731,81907.7,15408.1,43925.2,0.98
91065,58502,102014,58759.5,44314,86899.4,9906.24,10326,0.982
74168.1,49811,97582.5,56406.7,43231,85509.7,19572.4,30425.2,0.986
101098,63736,103953,66667.2,47884,91243.5,14132.4,25214.2,0.995
90015.3,58699,100500,69266.2,51814,87610.1,21330.2,63369,1
73972.2,45475,106605,38320,28955,86732.6,10083,8829.75,1.022
92968.4,58674,103841,68202.6,49946,89491.2,11320.6,14200.5,1.024
56508,38991,94978.6,48092.3,36322,86773.3,1407.6,13798.5,1.04
64483.1,42769,98809.1,37338.1,28469,85952.8,6294.08,9961.5,1.043
80267.1,54626,96298.2,60259.6,46102,85661.6,14815.8,36895.5,1.047
82207.7,52430,102757,57602.8,44371,85079.4,21970.1,76489.5,1.049
79478.4,51591,100961,60552,46719,84940.5,26837.6,51050.2,1.058
104450,69146,98997,56597.8,43203,85854.9,8381.68,10339.5,1.058
74186.1,47151,103113,48396.3,36322,87321.7,18047.9,21525.8,1.059
123516,73904,109530,97325,72100,88464.5,11067,48191.2,1.059
73984.6,49698,97562.4,55617.9,43278,84222.3,12790.1,32472,1.059
62551.2,41024,99925.8,42427.2,32580,85344.1,12703.1,30719.2,1.06
62974.6,42731,96583.4,56862.3,45110,82609.8,11772.2,19390.5,1.062
100357,64347,102211,68032.6,48415,92091,20433.3,33171.8,1.065
94179.9,65991,93530.5,69979.5,51551,88963.9,28583.1,100419,1.067
82775,51435,105468,75944.4,55094,90338.2,26416.6,90345.8,1.087
121468,75811,105005,83786.2,62167,88326.8,23734.7,67533.8,1.139
114448,71792,104475,93477.6,68848,88980.7,15490.4,27465,1.143
91158.6,57413,104056,58824.1,41653,92552.6,20720.3,29094,1.146
80621.1,51752,102094,69477.6,52460,86795.4,6787.76,11004.8,1.147
98981.1,68744,94362.1,85881.3,65100,86456.5,5395.12,8923.5,1.148
69903.8,45625,100410,66147.7,48989,88490.4,25345,36400.5,1.152
98293.6,65660,98107.9,65654.7,48892,88005.1,17101.3,35097.8,1.155
79237.9,54922,94551,62077.9,46163,88129.8,15712.8,31932,1.158
88720.8,65319,89015.5,72630.1,54555,87249.3,30827.1,76272.8,1.177
67556.4,44766,98900.5,60014.8,45070,87267.1,21430.2,68854.5,1.182
116291,72888,104561,72573,52136,91225.7,20869.9,44094.8,1.183
61193.4,36626,109495,55560.1,40606,89671.1,18836.7,57348,1.219
81279.5,52918,100660,57181.2,43630,85891.1,24094.4,47328.8,1.221
62825.8,36075,114133,56565.8,42086,88083.8,16213.2,32933.2,1.24
62299.5,42546,95963.4,44569.2,34114,85621.5,20840.6,39134.2,1.248
79272.6,53791,96581.4,61153.1,48130,83268.8,17361.1,26281.5,1.257
69724.6,44400,102916,53900.9,40404,87428.2,15645.4,50140.5,1.269
62429.7,41969,97486,43559.4,32981,86556.2,18521.8,32175.8,1.28
74610.8,50823,96210.2,50760,39807,83568.3,24304.6,80211,1.288
73907.1,46615,103906,63407.3,47087,88250.7,16802.1,32031.8,1.3
75732.4,48409,102526,55213.3,43145,83867.4,11549.8,4760.25,1.304
96346.8,59927,105365,66533.2,48523,89860.9,23581.7,64297.5,1.317
104037,62578,108955,94138.5,68190,90474.6,27355,77432.2,1.324
80493.4,48747,108216,81347.7,60070,88749.9,16118,47090.2,1.325
61257.2,36686,109430,50964,37687,88624,31038.6,46725.8,1.326
58818.2,38263,100742,48594.8,36479,87302.6,25374.2,85008,1.335
78454.8,53627,95877.3,50239.1,38806,84844.3,1357.28,6582.75,1.344
62629.3,42091,97514.3,45430.8,35654,83506.8,24591.5,71790,1.363
94898.4,59858,103900,69662.6,51850,88050.3,24099.9,25587.8,1.365
75220.3,53099,92838.6,61089.2,48438,82652.9,18192.7,53576.2,1.378
80566.5,56732,93069.3,55915,42572,86076.5,14494.2,34421.2,1.379
70577.7,43864,105448,53737.7,41436,84992.6,10618.9,16342.5,1.383
89361.2,56736,103222,76778.8,55012,91466.9,32331.3,75108,1.387
59930.4,36308,108175,43550.6,32692,87303.7,3382.32,14267.2,1.393
69994.3,41063,111710,63220.3,45507,91045.4,20978,64767.8,1.394
82173.6,51653,104260,53256.2,39953,87357.7,24420.2,48931.5,1.401
126972,79647,104477,92346.7,67426,89758.2,13460.6,19471.5,1.402
99501.9,64690,100803,77110.6,57354,88111.1,14166.4,29475.8,1.405
78111.9,46124,110987,68878.6,49544,91111.5,14563.6,23346.8,1.406
69222.4,42203,107494,62197.6,46246,88141.2,23277.1,38262.8,1.409
113121,66438,111586,72242.5,52430,90301.1,25956.3,53133,1.412
107008,71357,98278.4,76925.7,59209,85145.9,23458,69942,1.412
88617.8,61855,93891.5,51552.8,40763,82883.2,19441.9,44310,1.414
58596.2,39439,97369.6,49861,38754,84318.8,24844.5,52013.2,1.416
118808,72537,107341,78020.5,56522,90463,7278.72,19616.2,1.417
102314,67716,99019.8,53672.4,42096,83558.4,12663,17977.5,1.423
72131.4,49168,96143.9,62774.9,47396,86800.9,12188.3,52173,1.434
112664,69742,105869,68891.5,49447,91307.3,21048,24633.8,1.442
104986,65991,104262,74647,54051,90508.3,32176.2,60414,1.457
74910.9,50915,96422.7,71129.4,54639,85315.1,27752.8,44157,1.485
74192.9,51523,94371.6,58541.9,43491,88216,21636.9,25676.2,1.499
68741.9,43722,103039,49601.2,36983,87896.2,4707.64,7662.75,1.499
65705.1,42251,101916,56582.8,40790,90909.8,32004.9,79131.8,1.507
84502.3,55911,99049.2,66247,51195,84804.4,16245.9,42283.5,1.51
74604.6,50597,96632,72024.2,51637,91410.8,24860.8,79514.2,1.527
77548.4,49503,102665,63017,47202,87493.7,8931.12,12525,1.541
69524.3,47962,94999.1,48081.4,38026,82866.1,17306,38432.2,1.545
106709,62975,111049,66069.5,48511,89256.7,9574.4,16608,1.552
85602.2,48018,116832,85229.2,61706,90519.2,27484.2,38268,1.553
72766.3,43830,108802,68359.7,49710,90123.2,17487.6,26694,1.556
