"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","530_30 Blue C-A","586_15 YG D-A","Time"
63629.4,41633,100161,44452.3,33617,86659.3,8241.6,8780.25,0.213
87028.2,54159,105310,40709.6,31522,84637.5,11854.4,6829.5,0.213
84010,52829,104217,48647.9,35529,89734.8,18157.4,32173.5,0.214
69510.7,46921,97087.7,33555.3,26809,82027.6,8405.48,3904.5,0.215
78343.8,50299,102076,37038.2,28790,84311.9,10905.8,10132.5,0.218
74336.1,45347,107431,59159.3,43303,89533.4,27579.4,12165,0.218
88265.1,54669,105810,63517.4,47101,88377.7,11521.2,10573.5,0.222
82631.7,51658,104831,54603.3,41415,86405.5,14488.8,8792.25,0.223
88239.6,57083,101306,43052.8,33222,84929,13725.1,101.25,0.228
89038.2,61051,95579.2,47742.8,35958,87014.6,23599.4,13995,0.229
139394,86378,105760,64397.4,48638,86770.5,13172.3,9813.75,0.229
65534.6,44210,97147.2,38801.5,28638,88794.4,9764.12,7245,0.233
79463.5,52260,99650.3,45880.3,36240,82969.4,10281.6,3290.25,0.24
85398.2,52701,106196,52259.4,39673,86327.5,10144.2,7197,0.24
73495.4,49165,97968,50156.8,41085,80006.7,22968.4,2982.75,0.244
113539,73779,100854,51041.5,38123,87743.7,21070.5,16514.2,0.244
75520.3,50744,97534.7,46763.6,36428,84130.3,10181.6,14847.8,0.245
57857.2,36200,104744,39620.9,30604,84844.9,9559.44,1410.75,0.247
70822.6,39547,117365,51369.9,36774,91547.8,19494.9,17025,0.248
81306.8,55595,95845.4,33358.8,26518,82442.1,8514.28,3948.75,0.248
65010.7,41163,103504,53287.5,42726,81736,11652.5,3731.25,0.249
88115.6,55435,104171,57041.1,44006,84948.6,17584.8,11403.8,0.25
71950.4,43699,107905,44965.7,32755,89967.1,11137.7,20581.5,0.25
68090.9,43967,101494,44334.6,33858,85814.7,15151.8,18114.8,0.25
130679,79178,108164,82494.9,61123,88450.9,11022.8,12339.8,0.252
84809.2,55651,99873.4,53266.4,42283,82559.6,14102.5,11478.8,0.252
99870.8,62251,105141,55269.7,41627,87014.6,17954.7,14646.8,0.254
70268.9,42342,108761,43897.4,34026,84548.9,8540.8,5028,0.254
98717,59826,108139,66971.2,48418,90648.6,21708.3,16777.5,0.256
131544,84799,101662,65361.6,48258,88763.3,25780.8,9909.75,0.257
142689,88790,105319,71616.9,54182,86624.5,12926.1,7449.75,0.257
75209.1,50482,97636.9,46482.1,36842,82684.2,12825.5,14556,0.258
85000.1,59676,93346.9,38692,30648,82736.9,10956.2,12817.5,0.258
125630,80076,102818,62173.1,47656,85499.7,20491.8,9141.75,0.258
59166,44939,86283.7,39298.6,29462,87416.7,15040.9,16215.8,0.259
72639.8,47202,100854,30740.1,23766,84767.4,13699.3,2356.5,0.26
84150.1,52826,104397,60885.2,45027,88617.3,13212.4,12448.5,0.26
90918,59709,99790.7,56370.6,42192,87559.4,14830.8,15404.2,0.261
93856.8,54507,112848,63770.4,47131,88673.2,20735.9,24953.2,0.265
73956.1,44831,108112,56106.8,43691,84159.6,13265.4,8798.25,0.268
106752,62782,111435,62219.3,44247,92155.5,16534.9,11751.8,0.269
104302,72006,94930.1,42159.3,33134,83387.3,10450.9,14489.2,0.269
87036.2,54570,104526,69445.7,52403,86849.8,11917,3682.5,0.269
68683.6,44787,100503,45150,35123,84245.3,5881.32,1928.25,0.271
87872,52360,109984,84759.3,65468,84847.3,23900.6,29394,0.271
141610,88192,105231,85077.5,63520,87777.7,22714.7,12711,0.272
77128.6,56943,88767.7,73703.2,58802,82143.6,17098.6,4990.5,0.273
71073.1,49267,94542.9,38262.2,31179,80424.5,13660.5,8298,0.274
85599.7,58896,95250.3,38275.8,29924,83827.2,19182.1,7769.25,0.274
85871.2,52284,107636,52804.7,38572,89718.2,10070.1,8679.75,0.276
113647,69571,107055,71638.7,53231,88198.8,20458.5,14205,0.277
76632,52539,95589.1,34423,27750,81295.2,6651.76,1347,0.277
111679,66744,109657,70046.1,50972,90060.1,19172.6,42063,0.278
104817,71803,95668.1,58310,46351,82444.9,13531.3,18848.2,0.28
110940,70602,102980,60452.7,43463,91154,10429.8,10041,0.281
128992,82827,102063,62152.7,46198,88169.1,9479.2,8918.25,0.282
81331,48241,110489,66731.1,49117,89038.2,8512.24,3461.25,0.283
96262.4,64531,97761.6,54752.2,43179,83101.6,14613.9,10228.5,0.284
70965.2,47675,97551.7,33347.2,27414,79719.9,13028.8,8142,0.286
78663.1,53015,97241.7,36666.3,27791,86465.5,14023.6,6653.25,0.293
123520,82212,98465.1,68577.3,52640,85377.7,22512.8,8954.25,0.304
74431,49457,98629.3,56197.9,41265,89252.1,18325.3,13452,0.307
79252.1,54561,95193.8,50235,38225,86126.9,13826.4,6237,0.308
103270,66618,101593,76398.7,58343,85817.7,21806.2,17016.8,0.322
74937.5,50600,97057.4,53338.5,40428,86464.7,16897.3,11444.2,0.325
117326,70314,109353,66694.4,50435,86663.7,16579.1,17628,0.329
105670,70339,98454.2,51575.3,40063,84368.1,6457.28,10671.8,0.331
115880,69506,109261,57796.6,41902,90395.6,15072.2,11610.8,0.343
134276,83038,105974,68633.8,49671,90555.5,9207.88,8537.25,0.35
90922.4,61642,96666.1,45620.5,34691,86183.3,9246.64,5490,0.355
89365.6,60575,96684.5,35785.7,28715,81673.3,12290.3,5578.5,0.357
72190.9,47767,99045.5,44783.4,34555,84935,12667,16529.2,0.359
74231.4,52091,93390.9,29191.7,22966,83301.8,12034.6,7830,0.362
78869.6,44844,115262,54435.4,40040,89097.8,12274.7,11216.2,0.367
87924.7,59095,97507.9,53800.9,44079,79990.4,12854,6839.25,0.368
87797.6,57989,99224,39841.9,31009,84203.9,6776.2,3792.75,0.368
67329.5,45515,96946.2,47662.6,33958,91984.6,32217,14244.8,0.368
77953.2,52539,97237.2,42587.7,32575,85680.1,14280.7,8190,0.37
74657.9,52975,92360.2,35854.4,29682,79164.2,10697.8,8880,0.37
67854.7,42583,104430,45401.6,35443,83949.9,8393.92,2628,0.371
137959,84067,107548,53286.2,39623,88134.7,20993,25206,0.373
70570.3,51338,90087.1,50011.3,41123,79700.9,7756.08,2616.75,0.373
90892.6,62139,95861.5,34142.8,25846,86573.7,7943.76,5450.25,0.374
104435,63587,107636,53539.1,40127,87440.9,18172.3,3840,0.375
139530,89222,102488,81226.7,61438,86644.6,27170.1,19359,0.376
78878.9,53611,96424.4,34443.4,27190,83018.8,11730,10581.8,0.377
124839,76119,107483,68250.2,50559,88467.9,21919.8,7579.5,0.379
99680.5,64039,102011,50180.6,39035,84248.4,12320.9,7399.5,0.385
63388.8,41917,99106.5,38840.2,31325,81258.9,8562.56,2397,0.385
65442.2,40741,105270,47558.5,35733,87224.6,15317.7,12809.2,0.388
122358,82658,97012.6,56506,44978,82333,21244.6,12977.2,0.391
87570.7,53906,106464,53777.1,41306,85322.7,8746.84,2616.75,0.391
90671.3,56643,104907,46765,35323,86764.7,7543.92,8383.5,0.391
65904.8,44800,96409.2,43973.6,34128,84442.4,6113.88,10779.8,0.395
106532,66795,104524,60932.8,46367,86123.5,12726.2,5803.5,0.397
89759.9,63350,92857.2,43645.8,34254,83504.7,22542,30258,0.398
115542,78331,96668.7,62312.5,49734,82111,7963.48,13765.5,0.4
56101.9,33939,108332,44827.6,33523,87636.1,11536.9,14331.8,0.4
129560,85435,99383.8,67573.6,51494,86000.4,30705.4,16983,0.401
62063.9,40792,99711.1,38692.7,28632,88564,8273.56,1263.75,0.403
