"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","530_30 Blue C-A","586_15 YG D-A","Time"
74661,43865,111546,52111.8,38141,89541.4,14243.3,24825.8,0.246
124354,77147,105638,60067.8,43919,89633.3,18084.6,43713,0.25
71085.5,47623,97823.7,50543.7,38955,85032.3,11783.7,42453,0.25
93147.6,54803,111390,67020.8,48411,90728.9,31254.8,12741.8,0.251
89988.7,56111,105104,70283.4,52066,88466.5,19176.7,60099.8,0.251
102730,68774,97893,55150.7,41818,86430.7,19560.9,64764.8,0.252
98276.2,60962,105650,62157.4,46254,88069.1,18494,65763,0.253
115539,72428,104545,51270,37144,90459.5,21592,79464,0.254
86113,61515,91741.9,33845,27087,81886.6,6232.88,12966.8,0.254
114617,79667,94286.7,59769.3,46667,83936,11806.8,11193,0.255
127625,88804,94185,57781,43524,87003.3,47106.3,76338,0.255
87429.3,60927,94043.1,46493.6,36818,82758.6,12257,30038.2,0.257
86013.8,50445,111746,56140.8,41369,88937.2,25935.2,59544.8,0.261
65983.5,45621,94787.4,45725.2,36549,81989.9,9252.08,29491.5,0.261
87593,56414,101757,38209.9,28931,86555,10639.3,28919.2,0.262
106514,72589,96164.3,45775.6,36137,83015.9,1923.04,2791.5,0.264
79754.3,49414,105775,47406.9,34469,90134.8,25254.5,77359.5,0.265
64271.1,42795,98424.3,42026,31638,87054.1,15369.4,45038.2,0.265
87056.1,61930,92125.1,32827,25370,84799,10270.7,21830.2,0.268
73078.8,45022,106377,54595.8,40659,88000,29986.6,88979.2,0.269
66080.2,43535,99474.8,61042.2,44415,90070.1,22287.7,49195.5,0.272
126261,80307,103037,84209.8,64595,85436.6,15357.8,43907.2,0.276
80268.3,53642,98066.1,52092.1,40922,83424.7,11018.7,12614.2,0.277
124329,79166,102923,68638.5,49818,90294.6,25154.6,45600,0.28
58692.3,33214,115808,49346.9,38035,85026.9,8252.48,20619.8,0.282
117789,81319,94927.5,59217.8,45599,85109.3,3241.56,4816.5,0.286
90105.2,60070,98304.2,52836.7,40638,85208.5,13947.5,30135.8,0.289
106672,66816,104629,67062.3,52324,83995.8,10391.1,27482.2,0.291
71188.4,49107,95004.8,42693.8,34907,80155.3,7786.68,15252,0.293
145795,91654,104249,64305.6,46946,89769.7,27858.9,98577,0.295
117072,70986,108083,72783.8,52023,91689.4,28622.6,71360.2,0.298
91698.6,61962,96987.8,57455.2,44382,84840.4,15833.1,14895,0.302
60495.9,40583,97692.6,45324.7,36443,81508.1,5331.2,17681.2,0.302
80735.8,53430,99028.6,61504.6,46786,86153.3,15353,37568.2,0.303
68576.3,45960,97785.5,38956.5,29304,87123.1,17554.2,42455.2,0.303
92777.4,61834,98332,63375.3,48327,85943,11392,21581.2,0.304
107480,69319,101614,67823.2,52591,84517.5,10701.2,18593.2,0.306
93745.2,57786,106318,54800.5,39178,91669,17195.2,6231,0.306
106542,69807,100023,61610,46770,86330.5,16208.5,19581.8,0.306
78072.3,51739,98891.4,52827.2,38118,90825.4,17682.7,35606.2,0.308
93795.5,58971,104237,60762.1,44822,88842.6,25498.6,36203.2,0.308
110833,64235,113078,88532.6,64214,90355.3,19983.2,70764,0.31
82227.5,55368,97328.1,44397.9,35480,82008.4,9313.28,15285.8,0.317
70859.8,39280,118225,67937.4,48820,91199.3,11956.4,17364.8,0.317
112536,68773,107239,67233,51149,86144,19680.6,43949.2,0.318
85813.6,55235,101817,53094.4,39403,88307.9,5578.04,36870.8,0.319
85601.5,50583,110906,51960.8,37967,89691.2,18622.5,55343.2,0.32
103132,64721,104431,64820.3,47537,89363.3,22182.3,77530.5,0.324
102614,59487,113048,74434.2,56626,86146.2,5338.68,7260,0.324
115543,70798,106955,90704.5,66355,89585,16636.2,56862,0.324
133578,84099,104093,65878.4,49183,87782.5,19165.1,44304,0.324
105051,64750,106326,76556.4,55146,90980.4,19776.4,74268.8,0.327
109469,73039,98223.8,58847.2,44770,86142.7,19435.1,57360.8,0.337
67277.4,42178,104535,40411.7,29358,90211.3,8008.36,25606.5,0.344
74122.2,47034,103280,45225.4,35674,83082.8,4785.16,3684,0.345
107817,67191,105161,63852,48471,86332.1,10469.3,17125.5,0.347
116859,75843,100978,58196.4,43743,87190.2,18100.9,28761.8,0.35
102208,65502,102261,64551,48979,86372.1,16926.6,45165,0.351
102350,69786,96116.5,54839.3,42135,85296,25233.4,40734,0.359
135412,82778,107207,77259.6,55582,91095.7,18514.4,48418.5,0.365
105001,75215,91489.3,51637.8,40476,83608.5,24318.2,80706,0.366
121475,78774,101061,69211.1,51934,87338.1,14239.2,56626.5,0.366
101096,63250,104750,55986.4,40326,90986.6,19677.2,50483.2,0.367
136617,84238,106286,96552.5,69495,91052.1,35784.3,65175,0.368
108919,67371,105952,71095.4,51707,90109.8,17950,30230.2,0.368
136144,86441,103219,79668.8,56585,92271.4,16614.4,45926.2,0.378
132000,79211,109212,73896.3,53190,91048.4,18173.7,50776.5,0.382
78724.5,51755,99686.8,53007.4,40214,86385.1,18901.3,40290,0.383
87278,54550,104855,53916.5,39690,89026.8,15271.4,44947.5,0.383
89193.2,57471,101710,44780.7,33263,88228.6,16369,8235,0.384
113737,70963,105039,73971.8,54907,88291.4,20900.5,32374.5,0.385
136838,81034,110668,91232.2,65495,91289.3,26590.7,111050,0.387
84911.5,51210,108665,60039.2,44583,88256.3,8638.04,23496.8,0.394
80011.6,52142,100565,42313.7,31790,87230.9,13564,49041,0.399
91407.2,64488,92892.7,65841,52812,81704.1,16243.8,90864,0.404
72424.7,45939,103320,39860.9,29875,87441.9,6704.8,17301,0.404
88661.9,57527,101005,52937.3,37803,91773.1,30314.4,46407,0.405
91339.6,56320,106286,48383.4,34867,90941.3,12227.1,16256.2,0.41
126589,79269,104658,62803.4,47189,87221.3,34230.5,41433,0.42
93741.5,59130,103897,50140.5,37767,87007.4,11997.2,26091,0.421
60983.2,38070,104980,43334.4,34206,83025.2,14530.2,51580.5,0.421
76597.9,45789,109632,53289.6,38841,89914.9,9032.44,18549.8,0.423
96487.5,60650,104261,58244.7,43107,88550,23646.3,69918,0.424
110989,72063,100937,61534.6,44882,89851.8,36135.2,27015,0.425
134205,82677,106381,88755,62837,92567.2,40368.9,87446.2,0.426
91254.7,57042,104843,55724,41098,88859,11229.5,23079.8,0.427
127763,76737,109114,65915.1,46853,92199.3,22030,56256.8,0.43
60765.6,37620,105857,41293.7,31324,86394.5,17391,50413.5,0.432
122080,71791,111444,77492.8,55746,91101.9,14080.1,31119.8,0.432
124269,78988,103106,68994.8,49992,90447.4,31008,114394,0.433
125072,80959,101245,76218.5,55163,90550.8,22423,62635.5,0.433
88129.9,59287,97419,64669.4,47687,88874.8,31913.1,98564.2,0.435
121090,81917,96875.8,50584.5,38720,85617.4,20672.7,40584.8,0.435
101761,65039,102539,56710.6,44386,83733.4,7877.12,14591.2,0.439
97506.2,61930,103184,67490,51859,85289.4,2116.16,456.75,0.44
87527.3,57459,99831,46474.6,35483,85837.1,10818.8,22703.2,0.442
80420.8,53352,98786.5,44158.5,34040,85016.8,15240.8,62808.8,0.442
130278,81939,104198,84670.2,61211,90652.8,39981.3,108338,0.444
105636,71507,96815.4,45088.8,35599,83006.2,12457.6,23084.2,0.445
92803.5,66988,90791.9,50364.9,41900,78776,13248.4,23197.5,0.446
77286.1,44544,113708,56557.6,42240,87750,14018.9,24904.5,0.447
116545,74510,102508,58896.8,44391,86951.5,1972.68,7051.5,0.454
96109.3,63068,99870.3,59455.8,45297,86021,19678.5,77135.2,0.456
113533,73481,101257,69356.6,51229,88726.2,17554.2,36447,0.456
70454.9,45373,101764,45376.4,34734,85616,8388.48,17117.2,0.458
116089,70807,107447,57919.7,41239,92044.5,10287,16454.2,0.458
84795.5,56283,98736,48572.4,37739,84348.8,14894.7,52686,0.462
92268.4,61258,98712,44101.4,33335,86702.5,3189.2,10991.2,0.465
84478.1,53095,104273,47060.8,36615,84232.5,15711.4,22281,0.47
62646.7,38866,105635,47406.9,36762,84512.7,24231.8,106217,0.471
76681,51018,98501.8,40800.7,32439,82429,6692.56,19995.8,0.471
62307.5,38296,106627,44579.4,35208,82980,13951.6,24480,0.472
65082,42602,100118,46932.2,37127,82844.1,7822.04,27326.2,0.477
108224,70501,100602,73901.7,55333,87528.7,13405.5,48672.8,0.48
97145.9,61847,102940,53670.4,40779,86253.7,16452.6,64983,0.485
98670.5,68233,94770.4,61907.2,47241,85882,25173.6,75537.8,0.493
128664,81812,103067,55535.6,39468,92216,29229.8,77277.8,0.495
106398,62915,110830,63435.8,45875,90623,18607.5,43731,0.499
82853.7,55138,98478.4,45596,34434,86780,10457,24799.5,0.502
137539,93983,95908.3,66224.5,50175,86499.1,21825.3,75591,0.503
74832.1,46131,106310,51547.4,38859,86935.1,14304.5,28271.2,0.503
106506,64718,107852,77050.8,58151,86836,27321,54781.5,0.505
117445,74684,103059,69191.4,50392,89985,52233.5,105175,0.506
81064.4,52033,102101,65180.7,49733,85892.3,25721.7,47874,0.507
101751,62726,106310,65423.5,49286,86994.1,16582.5,35049.8,0.509
107351,67598,104076,47706.8,35015,89290.6,11594.7,24819.8,0.517
78852.2,54546,94739.5,36152.2,28766,82363.6,11388,12411,0.518
110967,70566,103057,62971.4,47654,86601.2,14411.2,53180.2,0.518
126006,78194,105608,64000.2,49310,85060.2,9289.48,37574.2,0.52
73974.1,49063,98811,51325,39163,85888.2,12694.2,21023.2,0.52
89865.9,56593,104067,94785.9,71425,86970.8,13556.5,39882,0.531
77051.7,50215,100561,43304.4,33067,85825.7,8055.28,26589,0.532
73903.4,46755,103590,54998.4,38991,92441.2,17537.2,19546.5,0.534
