"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","530_30 Blue C-A","586_15 YG D-A","Time"
117370,66099,116371,73838.5,56959,84957.2,49799.1,5779.8,0.206
92929.3,63396,96066.2,58886,48752,79158.8,20186.5,251.56,0.208
125879,85835,96109.8,92926.8,69990,87013.1,11002.4,246.24,0.21
154896,109106,93040.3,81494.6,67866,78696.7,16542.4,260.68,0.211
98085.2,63782,100783,59216.4,47834,81130.8,7137.96,285,0.213
179217,122086,96204.1,87195,67594,84540.3,17155,938.6,0.213
183656,117523,102415,104322,81299,84095.3,13027.4,839.8,0.213
168590,109035,101332,74006.4,58182,83360.6,21831.4,190,0.214
98370.4,66243,97320.5,59514.3,47467,82169.3,15538,906.68,0.225
140511,99308,92727.1,70112.8,53532,85834.8,12271.3,1209.16,0.228
111742,74742,97978.7,89121.5,66830,87395.9,49986.1,1588.4,0.229
101138,76490,86654.3,45031,38442,76768.9,7642.52,868.68,0.236
116109,85314,89192.1,48510.5,41458,76684.5,23646.3,525.92,0.245
110216,76698,94175.7,70435.8,54979,83960.7,13564,573.04,0.249
132546,93375,93028.5,65887.9,52290,82578.5,23405.6,331.36,0.251
104092,68086,100194,82188.2,65298,82487.8,10131.3,457.52,0.254
96591,57813,109494,76790.4,56273,89430.7,16237.7,395.2,0.256
127776,82918,100991,75083.6,56126,87672,1998.52,335.92,0.264
135169,78803,112412,83223.2,62911,86695.7,13063.5,529.72,0.265
145994,97732,97898.9,96643.6,75584,83796,8457.84,326.8,0.265
78185.7,46726,109660,63257.7,48753,85033.8,28798.7,845.12,0.268
81424.6,55688,95823.9,53272.6,40904,85352.8,27054.5,845.88,0.268
92275.2,59417,101778,65618.6,52297,82230,20400.7,274.36,0.269
94766.4,67885,91487.2,48962,40745,78752.6,32225.9,2362.08,0.27
197275,126624,102103,99662.8,77252,84548,30168.2,442.32,0.274
81062.5,54480,97513.1,63199.9,50592,81868,13529.3,487.92,0.275
124328,87923,92671.5,57481.1,47823,78771.3,25863.8,597.36,0.287
81483.5,56454,94592.1,45155.4,36874,80254.5,17469.2,468.92,0.292
102876,69194,97437.4,39231.2,31923,80539.4,10300.6,240.92,0.295
132453,81830,106079,88500.6,64821,89476.8,25668,1149.88,0.303
122223,81152,98703.8,85831,67984,82740.3,13982.2,1285.92,0.307
158373,107802,96279.9,86684.4,70350,80752.6,8370.8,47.12,0.308
118606,85047,91396.1,55426.8,44415,81784.3,16320,724.28,0.31
121646,75736,105263,72222.8,55916,84648.3,20208.2,1293.52,0.311
126485,91436,90657,89595.4,66488,88312.6,29978.5,2011.72,0.312
131496,90493,95231.1,72205.1,57997,81591,2877.76,171.76,0.314
127444,90350,92442.5,66957.6,56627,77491.9,26536.3,528.96,0.315
111386,75005,97324.2,72071.2,58393,80887.4,13929.1,718.96,0.315
142021,90525,102817,76515,61133,82025.8,27354.4,871.72,0.315
108011,75855,93317.5,59204.2,48530,79950.7,19152.2,695.4,0.316
100364,63274,103952,73207.4,54067,88736.6,19487.4,703.76,0.318
109609,67087,107075,86789.1,63730,89248.5,15369.4,682.48,0.319
108488,64241,110675,78404,60961,84288.1,17121,1110.36,0.32
103545,73121,92804,54113,44773,79207.4,13509.6,482.6,0.322
143135,91835,102145,91729.3,73526,81761.1,8661.16,710.6,0.322
132536,86208,100755,92223.6,70736,85444,16710.3,202.92,0.323
115033,71958,104767,87486.8,64398,89032.8,13187.9,801.04,0.324
95550.1,71156,88003.4,53122.3,44452,78318.7,12436.5,506.92,0.325
