"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","530_30 Blue C-A","586_15 YG D-A","Time"
107065,68275,102770,82189.6,59963,89828.3,17506.6,7.6,0.216
106800,70611,99124,67643,51851,85496,16480.5,22.8,0.216
112333,74804,98415.1,84728,66084,84025.4,19752,-9.88,0.22
110689,72658,99838.8,56166,46126,79800.8,21456.7,22.8,0.225
156169,93941,108948,80258.4,61121,86055.7,20576.1,9.12,0.226
116894,86206,88865.5,69458.6,55495,82026.1,18360.7,-9.12,0.231
149083,101675,96093.7,62737.5,49782,82591.4,17839.8,10.64,0.233
108019,73730,96014.2,48718.6,41058,77763.7,16714.4,34.96,0.234
136068,89891,99201.6,101530,82443,80708.8,22684.8,2.28,0.235
154311,103850,97380.2,79183.3,63966,81126.8,14155.6,-15.2,0.236
122660,78611,102258,65214,51547,82912,11211.2,21.28,0.237
162554,116912,91121,71530.6,58224,80513.7,12189.7,-0.76,0.244
112976,77352,95718,37640,30872,79903.4,9052.84,27.36,0.248
102247,73461,91216.8,48380.6,41265,76836.9,5952.04,3.8,0.248
111978,73273,100154,63125.8,48925,84558.2,7495.64,0.76,0.249
115639,78875,96082.9,54046.4,46095,76841,21751.8,31.16,0.25
114188,80206,93302.5,62682.4,53098,77365.5,19154.9,21.28,0.252
154541,107295,94394.1,49099.4,38690,83168.2,8676.12,2.28,0.258
102943,70709,95411.7,85484.8,66613,84102.7,28049.3,24.32,0.261
131996,93354,92663.4,86224,69930,80806.2,29835,29.64,0.264
101882,66641,100193,67044.6,52673,83417.2,9306.48,41.8,0.266
119170,83391,93654.5,63040.8,53954,76573.4,15631.8,20.52,0.267
133118,90978,95891.8,65099.8,53306,80035.7,28054.1,34.96,0.307
148702,100257,97203.6,81077.1,65045,81689.1,12403.2,17.48,0.32
157544,98700,104608,66737.9,52280,83659.9,22821.5,6.84,0.323
92595.8,68265,88894.1,48264.4,42532,74368.8,2762.84,-2.28,0.336
78372.3,53237,96478.2,62796.6,50149,82064.3,29891.4,42.56,0.34
127882,86312,97100.1,61573.3,50597,79753.1,10805.2,25.84,0.344
88879.5,60233,96704.6,71542.1,60100,78013,636.48,-0.76,0.345
123689,83659,96894.6,49638,40486,80350.6,23289.3,-28.12,0.348
104397,71983,95047.3,63023.8,49947,82694.2,24111.4,-19.76,0.348
134766,91100,96948.5,55451.3,43656,83243,39108.8,18.24,0.353
94166.8,64324,95941.2,60775.7,48804,81612.1,26388.8,13.68,0.356
105118,69686,98857.8,76383,64122,78067.4,6236.28,22.04,0.359
201107,125382,105117,74825.2,55710,88022.7,18099.6,-17.48,0.372
111579,72983,100194,75692.2,57844,85757.6,13377,13.68,0.374
107716,74303,95006.4,66536.6,53202,81962.1,12731.6,9.88,0.375
102714,69989,96178.5,72692.7,57493,82862,15178.3,46.36,0.376
113516,80666,92224.9,65573.8,53274,80666.8,10151,6.08,0.376
151871,100534,99001.8,65511.2,52274,82131.5,26979,44.84,0.383
171678,112630,99894.2,89178.6,67718,86305.1,15881.4,7.6,0.39
123546,87228,92822,64973.3,50412,84465.8,9950.44,-32.68,0.391
177625,105930,109892,85356.3,64199,87133.9,25625.1,6.08,0.394
104409,69620,98283.9,72148.7,55996,84440.6,22235.3,40.28,0.4
100864,64690,102183,77210.6,57014,88751.4,21779.7,15.96,0.41
129305,77867,108829,82146.7,62411,86259.9,8959.68,24.32,0.411
157126,103866,99141.3,73767.8,60579,79804,11089.4,41.04,0.411
110955,75960,95728.3,67247.2,55452,79476.2,16818.4,24.32,0.417
131940,83702,103305,65664.9,50554,85125.1,10123.8,-7.6,0.422
112054,70610,104002,58547.3,43818,87565.8,18096.8,4.56,0.425
100778,67516,97822.4,76765.9,59580,84439.9,15075.6,6.84,0.425
145709,95687,99796.3,81564,64228,83225,8472.12,0.76,0.429
187926,116735,105503,89335,66603,87903.8,25940.6,7.6,0.432
112226,74321,98960.1,95243.5,70901,88036.6,56015,6.84,0.436
99410.8,66485,97991.8,83606.7,63497,86291.4,12259.7,29.64,0.441
167925,109708,100313,92524.2,72060,84147.5,23870,28.88,0.447
99910.5,67276,97326.5,51860.9,41665,81573.4,19786,15.2,0.448
139998,89811,102158,65593.5,50603,84950.2,28968.7,0.76,0.455
151326,97943,101256,76432,57987,86382.2,17154.4,42.56,0.465
96566.2,69031,91677.1,48618.6,39619,80422.8,11080.6,11.4,0.466
110327,76795,94152,66472.7,53903,80818.4,13507.5,45.6,0.468
123974,81948,99145.3,63644.6,51292,81319,13486.4,11.4,0.469
146060,89465,106994,92426.3,66729,90773.9,16111.2,37.24,0.471
155122,92918,109409,86339.6,62110,91102.1,15059.3,39.52,0.473
155701,100399,101634,98712.2,77439,83539.3,12852,34.96,0.474
118383,78766,98499,68443.4,56807,78960.4,8350.4,-8.36,0.475
90495.8,63334,93642.2,74681,57690,84837.8,13000.9,3.04,0.478
141525,89343,103813,71984.8,55474,85041.6,7306.6,58.52,0.48
113713,76734,97118.5,69582.4,53523,85199.8,11811.6,8.36,0.48
95287.8,59622,104740,62613,51590,79538.8,12293.7,16.72,0.481
176435,114115,101326,62889.8,50299,81940.9,34593,38.76,0.482
154998,103326,98309.8,78386.3,62174,82625,30352.5,38.76,0.483
175289,110586,103881,100854,76487,86413.9,20557.8,-2.28,0.483
92177.9,62554,96572.1,69054,55342,81773.8,17236,15.2,0.485
77183.2,49297,102608,59787,46173,84859.1,14269.8,12.16,0.488
157086,101678,101249,106494,83623,83460.3,34680,-6.84,0.492
160899,103674,101710,115232,87063,86740.1,20228,19,0.494
111126,69362,104996,65924.6,50798,85051.3,17322.3,40.28,0.497
110204,74250,97270.8,66963,52494,83599.8,15111,7.6,0.497
139406,85103,107353,104406,77051,88802.8,23214.5,10.64,0.498
99290.5,68765,94628.1,63707.2,52009,80276.7,12213.5,-6.08,0.516
77105.7,56315,89730.9,59640.1,45846,85254.4,24917.9,-10.64,0.522
77700.9,49741,102374,49542.8,38861,83549.9,11213.2,-19.76,0.527
117466,80100,96107.9,66703.9,53856,81170.3,10999.7,19.76,0.53
162303,106687,99699.9,88179,74194,77889,10951.4,12.92,0.531
81527.5,62188,85916.7,51746.6,40732,83258.1,1060.12,16.72,0.542
106528,65688,106282,71584.3,54236,86498.8,19050.2,30.4,0.546
92497.2,65377,92722.1,51208.1,40853,82147.5,16773.6,-23.56,0.557
161526,107703,98286.7,82473.1,63231,85479.6,11202.3,-1.52,0.559
114771,83186,90419.7,43303.1,36086,78643,11739.5,28.12,0.569
77435.5,51322,98881.9,46818.7,38442,79816.6,7080.16,7.6,0.574
101996,66941,99855.4,59928.4,46825,83875.4,19393.6,53.96,0.575
185961,118440,102897,109015,85896,83175,45251.3,48.64,0.579
152460,91875,108752,81245.7,62291,85478.2,34304.6,57,0.583
158396,101334,102440,85210.1,66254,84286.7,18423.9,15.96,0.587
134561,92085,95765.8,65568.3,52773,81425.8,13294,5.32,0.593
77998.5,54871,93158.7,42564.6,35659,78227.5,18141.7,5.32,0.599
124065,75152,108190,75802.3,55760,89092.2,10121.8,3.8,0.606
95872.5,56846,110528,77033.8,56494,89363.2,8267.44,42.56,0.606
134324,90298,97488.7,99552,80873,80672.7,3017.84,12.92,0.62
130065,78800,108172,77883.1,62052,82256,15330.6,-0.76,0.624
150124,89405,110044,98396.7,73309,87963.6,24881.2,22.04,0.627
128189,85111,98706.6,85463.8,69119,81033.5,17527.7,21.28,0.63
118551,79986,97134.3,58977.1,46282,83512.4,15470,9.12,0.642
175045,114074,100564,85171.4,65795,84836.1,14280.7,-9.88,0.648
115198,80138,94208.1,57872.8,49479,76653.7,14163,4.56,0.657
120364,74983,105199,71461.9,51355,91195.1,20400.7,31.92,0.66
184869,117005,103548,77117.4,60653,83325.9,17530.4,-12.92,0.664
163627,107357,99885.8,100250,79885,82242.8,17517.5,31.16,0.665
129444,88923,95400,74514.4,62763,77806.6,15430.6,19,0.668
86132.3,52793,106923,71364,56333,83022.5,11792.6,14.44,0.67
71174.8,50123,93061.2,47586.4,39686,78582.4,18817.6,46.36,0.67
77788.9,59966,85014.4,60447.9,49651,79787.2,17387.6,7.6,0.672
171987,116657,96619.4,75159,60581,81306.4,20995,-9.88,0.673
115427,73594,102789,54412.9,43363,82236.1,5673.24,2.28,0.68
89268.2,62717,93280.6,42191.3,36781,75176,5324.4,47.12,0.688
90887,60619,98259.2,80828.2,62198,85166,18084.6,19,0.695
130158,80211,106345,104098,74683,91348.7,28696,-28.88,0.699
191721,123569,101681,92837.7,69025,88145,22397.2,29.64,0.699
133859,85384,102743,61081,46920,85315.5,7940.36,9.12,0.704
130299,85519,99852.1,67800.1,53618,82870.4,5175.48,25.84,0.706
183143,110802,108324,98470.1,75542,85427.2,12463,14.44,0.707
115234,81394,92783.3,39456.3,33846,76399.2,13838.7,-12.92,0.709
142347,93259,100032,78289.8,60795,84395.1,6004.4,-3.8,0.711
82967.2,60867,89331.4,43246.6,36859,76893.4,8379.64,21.28,0.712
135658,87293,101847,74483.1,59005,82727.3,14638.4,34.2,0.732
