"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","530_30 Blue C-A","586_15 YG D-A","Time"
126159,82737,99930.9,70074.7,53969,85093.6,17531.1,22.8,0.2
145443,97026,98239,73891.5,56150,86243.2,17992.1,0,0.201
118880,81598,95479.3,59724.4,48202,81202,25868.6,26.6,0.202
121831,75526,105716,82881.1,62178,87357.2,27903.8,42.56,0.214
136587,94246,94978.9,74093.5,58226,83395.6,35981.5,19,0.226
83156.3,57327,95063.9,61457.7,48882,82396.2,17917.3,5.32,0.231
106802,77583,90218.3,43908.3,37394,76952.8,10144.9,19,0.232
107459,64854,108589,57916.3,46186,82180.8,13321.9,-13.68,0.239
132641,82138,105831,74426,54350,89743.9,17837.1,27.36,0.243
158693,110134,94431.2,111912,85086,86198,71638,104.88,0.244
110395,73008,99096.9,67422.7,53236,83000.5,13689.8,42.56,0.253
93021.1,61150,99693,63771.8,51459,81217,28225.4,9.88,0.253
85721.8,57390,97889.3,48382,39059,81178.8,32398.6,-3.8,0.261
87818.7,52274,110098,69970,52510,87327.2,18983.6,-0.76,0.273
187572,115687,106258,73716.8,55247,87445.5,24873,90.44,0.279
111411,75661,96501.8,60584.6,51305,77389.6,13668,17.48,0.354
134392,81675,107836,87924.7,67846,84931.1,23466.8,27.36,0.396
155738,101983,100080,82313.3,64831,83208.4,19399,50.92,0.402
92620.6,49496,122636,74163.5,55144,88139.8,13258.6,0,0.407
155095,106081,95816.8,82812.4,66949,81064.6,19692.8,-9.88,0.421
84757.7,60898,91212.9,50926.6,40814,81774,14220.2,11.4,0.422
170904,110491,101369,83198.7,61718,88345.5,32011.7,10.64,0.422
137223,93007,96692,79642.3,64690,80683.8,16643.7,10.64,0.44
148770,100187,97315.7,62866.7,49302,83567.2,9860,34.2,0.452
160746,107699,97815.8,76066.8,60903,81853.4,25235.5,-6.08,0.457
138913,100479,90604.4,107587,78162,90207.7,26388.1,27.36,0.465
93399.9,63782,95968.4,71721.6,53934,87150,23738.8,20.52,0.486
97668,66626,96070.1,45435.6,37886,78595.4,8801.92,9.12,0.49
140959,85539,107996,75805,56371,88129.7,4460.8,45.6,0.499
103228,75488,89618.5,46631.7,40100,76210.8,6511,4.56,0.512
127320,73443,113613,78163.3,59555,86013.1,20360.6,-9.12,0.514
108258,76862,92305.8,47383.1,39431,78752.7,12561,-17.48,0.526
113420,71530,103916,75650.7,57050,86903.5,27263.9,-14.44,0.529
107811,75614,93441.9,76669.3,55322,90824.6,16254,-5.32,0.53
144097,96541,97819.2,67103.1,53881,81618.1,31771,-27.36,0.566
110802,70180,103470,81941.4,62308,86186.5,42672,3.04,0.568
143279,93737,100173,95550.2,76701,81641.4,18898.6,33.44,0.572
134306,89435,98416.7,78868.4,60879,84901.6,26328.2,12.16,0.579
94264.8,58814,105039,60779.8,48243,82566.6,10691,0.76,0.58
99965.1,74619,87796.8,66209.6,50950,85164.1,10787.5,26.6,0.619
104871,76151,90252.7,50695.4,42187,78753.4,22058.5,26.6,0.647
149767,102170,96066.8,80112.8,61763,85006.8,21167,8.36,0.656
