"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","530_30 Blue C-A","586_15 YG D-A","Time"
124707,86275,94730,80926.1,61395,86384.5,16035.8,3704.24,0.16
147079,94995,101468,55109.2,41871,86256.3,12208.7,8650.32,0.16
77098.9,49260,102573,59766.6,47301,82807.2,29186.3,11991.3,0.183
95102.4,63042,98864.8,49995,38826,84388.6,2994.72,180.88,0.187
140899,101845,90666.6,63052.3,49841,82907.6,34570.5,11945.7,0.193
122675,79131,101599,87305.2,67243,85088.9,21938.2,8907.96,0.195
117025,73850,103850,76542.8,59002,85019.4,26045.4,12390.3,0.198
91349.6,67035,89306.9,43949.8,36639,78612.7,19095.8,3483.84,0.2
80799.6,58679,90241.6,66886.8,51947,84384,17568.5,12690.5,0.208
100948,74331,89003.4,52687.1,41318,83568.9,23127.5,4540.24,0.273
108915,70134,101774,63427.7,51310,81013.4,15191.2,2995.16,0.303
161171,99975,105651,92595.6,69219,87668.8,31022.3,5799.56,0.317
128445,82426,102126,74651.8,57754,84710.6,12116.9,9360.92,0.321
108822,59599,119662,80932.9,57983,91475.4,36841.7,18870.8,0.389
90952.8,58607,101706,67692,51359,86377.5,15482.2,5568.52,0.394
80986.3,60982,87034.1,39094.6,31186,82155.5,2293.64,2394,0.414
145830,101259,94382.6,95153.1,68363,91218.2,27305.4,11833.2,0.423
145326,89171,106807,100811,74763,88369,30145.8,28891.4,0.46
121031,83923,94513.7,74175.1,60039,80966.3,1180.48,596.6,0.46
132976,90466,96331.2,84668.2,63642,87187.9,13299.4,4290.2,0.461
134642,79730,110672,91771.4,68490,87813.3,7516.72,9380.68,0.467
100282,65602,100181,70132.5,55010,83552.1,17069.4,14128.4,0.472
147863,97285,99608,82690,62941,86099.3,19052.9,17041.5,0.473
92505.9,64969,93313.2,72505.7,54148,87754.5,22674.6,23588.9,0.479
113416,73836,100667,78646.8,58392,88268.8,20619.6,16359.8,0.48
132914,93894,92771.4,61362.5,45658,88077.8,16757.9,1762.44,0.494
119534,82862,94540.2,66786.9,52019,84141.3,10353,3165.4,0.495
74972.9,52823,93016.7,54565.2,44239,80833.4,36311.3,25037.4,0.496
106473,72332,96468.9,90676.6,65057,91344.3,34220.3,10690.2,0.501
165766,107195,101344,96982.3,72422,87761,29278.8,10783.6,0.502
136646,94032,95235.7,103465,76888,88188.9,18428,18123.7,0.503
107352,72119,97553.3,63979.2,50895,82384.1,23069,34629.4,0.511
81316.7,55438,96128.5,42895.1,35530,79121.1,17958.8,4313.76,0.549
164200,105563,101939,72515.9,57414,82774.3,23040.4,1344.44,0.549
92462.5,69246,87508.6,43401,36723,77453.6,16511.8,2214.64,0.564
93073.8,60659,100557,73741.2,58891,82061.9,30096.1,17014.1,0.567
88768.5,63179,92080.2,66670.6,54918,79560.9,31662.2,17452.6,0.567
77394,56132,90360.1,59614.9,48628,80343.1,9256.16,1273.76,0.618
112105,67554,108756,94535.6,68414,90558.8,36165.8,11707.8,0.645
104496,74661,91724.6,53900.2,44017,80250.9,17877.9,9793.36,0.646
155296,102184,99599.4,79902,63788,82091.6,31529.6,4109.32,0.648
81397.3,57742,92384.3,44946,36519,80658.8,3203.48,11768.6,0.687
178982,117373,99935.6,88883.5,68889,84557.3,33966,10871.8,0.741
101793,62615,106542,79195.5,58899,88119.6,35504.8,24575.4,0.746
122304,80957,99006.8,66105.5,51801,83633.4,30548.3,7653.2,0.758
