"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","530_30 Blue B-A","585_15 YG E-A","Time"
155980,133712,76450.4,52852.4,47254,73300.4,22865.5,57160.7,0.203
133331,115944,75363.5,59152.8,50750,76386.9,22342.4,34913.1,0.205
124059,111228,73096,59820.7,52778,74281.1,27500.2,41653,0.207
100147,89401,73413.1,54352.7,46171,77149.2,13365.9,117852,0.213
135125,117393,75435.4,47380.2,43715,71030.8,13268.6,29165,0.219
130801,113784,75337.3,47679.1,44442,70309.6,12544.3,31865.5,0.22
135892,121650,73208.4,50414.1,44780,73781.5,12252,34560.8,0.221
152688,118633,84349,82218,70091,76874.9,23930.5,118765,0.223
114973,106064,71041,32142.4,29078,72442.5,16218.3,38017.3,0.227
129161,115667,73181.7,41862.9,37293,73566.8,13116.3,26768.2,0.227
135366,119977,73941.8,40475.9,35995,73694.4,17135.3,24706.3,0.228
109620,101408,70843.3,33019.9,30482,70992.4,16135.1,28891,0.231
130091,115205,74004.2,49556.8,40935,79339.3,30174.5,56091.5,0.231
140588,122160,75422.2,65311.2,56422,75861.1,30082.8,53708.6,0.232
139792,123499,74181.9,56612,49764,74554.3,20756.6,33633.3,0.233
98555.9,88204,73227.5,33386.9,30746,71165.2,15125.5,33874.3,0.234
120192,109777,71754,61123,50631,79116.7,29267.4,50754.9,0.235
127734,110409,75819.8,84780,70795,78482.1,38008.9,62174.6,0.235
140519,124488,73975.4,46139.4,39914,75757.7,17390.9,35063.6,0.237
101937,89836,74364,44556.9,40122,72780.1,14547.4,41305,0.24
133739,118780,73789.3,56593.6,50366,73639.4,20462.4,43141.6,0.241
88257.4,77600,74536.6,26384.9,23826,72574.4,10754.5,14965.7,0.249
102153,89413,74873.6,44229.4,39187,73968.8,14802.2,20466.8,0.251
119071,100677,77509.3,72358.9,60531,78341.8,15049.4,24561,0.252
155328,138695,73395.5,61898.5,55805,72692.1,21207.3,35002.7,0.258
122436,109246,73448.8,36905.3,34101,70925.4,16902.1,27940.1,0.258
127989,107805,77806.4,75758.4,63711,77928.5,31337.2,54027.9,0.259
124727,110141,74214.8,59302.2,48347,80386.2,27190.4,52914.3,0.264
86038.9,76129,74067,29813,27607,70772.9,12832.9,22970.6,0.264
108423,95817,74158.1,52092,45903,74372,10714.1,27574.7,0.267
105775,90346,76727.8,68488.9,55909,80282,32605.8,50052.8,0.267
122447,108015,74292.6,52902.7,47248,73379.5,27795.8,45591.5,0.27
149175,128085,76327,69928.5,59635,76848,17346.8,22503.4,0.271
157783,128877,80235,77372.8,66543,76201.9,44852.1,88383.3,0.273
146888,117777,81734.4,78091,66051,77482.1,29454.9,48970.6,0.275
95187.3,86788,71878.6,42476.2,37750,73741,23456.8,52243.5,0.275
103157,91777,73662.1,39953.3,36771,71207.7,14785.3,41038.8,0.277
122678,112386,71537.5,42029.3,37420,73608.5,23023.9,33975.2,0.28
134042,118560,74094,52950.2,46678,74342.2,20034.2,35233.3,0.281
121938,108292,73794.4,55987.8,49346,74356.9,18192.3,39986.9,0.281
103379,94046,72040,38783.9,35829,70941,21335.2,32914.7,0.281
96282.1,85874,73479.1,55828.9,50504,72445.9,12567.3,51228.2,0.285
119063,103400,75463.2,46539.9,42334,72047,20786.2,32908.6,0.287
120828,105680,74929.7,50365.2,44146,74768.6,20771.2,42681.3,0.288
123002,107360,75084.2,54163.3,48370,73385.2,14649.4,27380.6,0.291
99402.8,89028,73173.2,48054.7,43654,72142.6,17013.1,34934,0.295
109571,91864,78168.3,48740.4,41246,77443.9,23836.1,40946.6,0.296
85973.5,75877,74256.5,38623.2,35316,71673.2,16879.6,34678.2,0.3
146051,125384,76338.5,52039.3,44398,76815.4,15305.1,27265.8,0.302
116141,103068,73848.4,42140.7,38414,71893.9,14281.4,22016.2,0.303
97001.1,87461,72684.6,31955.3,29687,70543.4,16537.4,31837.7,0.304
126590,108604,76389.3,65399.6,55034,77879.6,36527,59809,0.304
109189,96536,74126,41015,36330,73987.4,13669.5,32826.8,0.305
141111,124667,74180.4,57011,46708,79992.1,18532.1,41880.9,0.305
107496,96964,72654.4,35204.4,31766,72629.7,17811.6,32025.6,0.307
135990,123096,72400.9,82719.1,70042,77397.5,26281,72426.6,0.308
120280,104483,75444.5,55878.8,48477,75542.4,28411,31947.3,0.313
143256,128528,73045.7,58405.5,53266,71859.4,21648.2,41598.2,0.314
108023,96919,73044.6,45570.7,41369,72192.3,14349.1,18372.7,0.319
152763,136605,73287.7,63165.2,55627,74417,29806.9,68149.7,0.319
128370,112977,74465.2,49888.1,45255,72245.5,22781.4,35569.1,0.321
122529,112441,71415.7,56993.1,51147,73026.8,24780.8,44695.4,0.321
114504,102968,72878.4,38322.4,35198,71353.4,22787.9,40568.1,0.322
101328,90224,73601.5,49115,39554,81377.4,10129,28788.3,0.323
129100,110912,76282.9,60587.7,53170,74678.9,21289.6,36106.7,0.324
98260.6,80765,79732.6,55375.4,48443,74914.5,31440.7,38299.1,0.324
103450,94618,71653.6,29459.6,27573,70020.1,10754.1,20145.7,0.325
115595,102065,74223.5,42926,36583,76899.1,16286,23273.4,0.327
121407,105538,75390.4,65958.9,55084,78474.3,21804.2,44203,0.328
128923,110613,76384.5,48143.5,42279,74626.5,28174.2,61843.9,0.328
116469,104980,72708.4,33995.1,29730,74937.9,10348.9,22642.6,0.329
124669,104048,78524.5,70048.8,59654,76955.8,18472.4,35618.7,0.329
142196,125832,74058.8,56387.8,50222,73581.9,14095.8,43344.3,0.331
112835,102708,71998,44908,40626,72443.6,9010.37,22418.2,0.333
92557.1,82288,73714.5,37660.2,35010,70496.9,19421.8,37336.9,0.336
110983,91220,79734.7,80952.3,68162,77833.6,41305.9,57977.7,0.338
105656,93492,74062.4,32624.6,29318,72927.4,14231.1,26970.9,0.338
157059,131064,78534.4,75919.1,66430,74897.4,2689.34,3700.98,0.343
138566,114848,79070.1,90168.6,73478,80422.5,34621.6,56129.8,0.345
85345.2,79384,70457.3,58693.1,53550,71830.3,15553.2,37329.1,0.35
134053,123000,71425,34560,32170,70404.9,6924.04,13136.1,0.351
147253,135165,71396.9,74799.1,67407,72722.9,35805.1,53526.8,0.353
155118,132637,76643.9,87723.1,72543,79249.9,40337.3,89227.2,0.354
129358,113059,74983.6,42003.9,38185,72090.3,15354,34731.3,0.356
85727,75361,74550.5,32293.2,27603,76671.7,19145,21268.9,0.356
105869,92150,75292.8,42827.8,37372,75103.4,14665.9,23131.6,0.363
93750.8,85816,71595.6,44023.5,37914,76096.5,15338.9,32966.9,0.363
134590,118988,74129.2,40881.5,37534,71381,20961.1,34645.1,0.364
112747,92625,79773.4,83543.4,68599,79813.2,27887.4,67792.1,0.365
128274,113648,73970.1,65382.6,58146,73692.4,27732.8,44350.9,0.365
110830,100570,72222,27926.5,26163,69953.3,7599.43,21729.1,0.365
94672.6,85433,72623.7,37354.7,33839,72344.8,17065.2,41164.9,0.365
98626.8,89748,72019.5,33159.4,30966,70178.2,10194.3,29497.3,0.366
146590,130260,73751.9,63298.2,55750,74409.2,7886.13,15667,0.367
149299,133967,73036.3,50008.9,45104,72662.9,14702.5,23717.1,0.367
95009.8,81896,76030.1,38965.4,35066,72823.6,17480.7,27663.4,0.369
88480.1,77643,74683.2,33542.5,30772,71436.4,5140.86,14313.2,0.37
104644,89929,76259.3,53621.8,47915,73341.5,28224,41322.4,0.373
126437,111306,74445,38840.3,31349,81196.8,20040.3,31166,0.378
156889,136504,75322.9,59112.8,50618,76534.4,4776.61,8649.54,0.38
115176,99336,75986.4,82626,69226,78221.7,30683.5,54167.1,0.383
129157,114193,74123.9,65991.3,59907,72192,18891.2,39386.6,0.387
97250,83921,75944.9,51833.5,45427,74778.4,17163,34679.1,0.393
121077,110205,72001.1,49723.2,44751,72817.6,17597.3,29484.3,0.395
99457.1,87738,74289.6,37463.2,35079,69990.3,10218.3,24795.9,0.398
145668,128893,74065.2,67421,57663,76626.3,31568,48083.2,0.401
128258,114636,73323.6,62886.9,53486,77054.9,15891.2,33455.9,0.402
122787,99067,81227.8,57959.9,48852,77754.5,22975.9,50212.9,0.403
168157,143301,76903.5,62563.1,52499,78099.3,12827.2,21869.2,0.406
129318,114305,74143.3,49925.8,43891,74546.8,22264.8,35680.4,0.41
111134,98256,74125.6,40618.3,37766,70485.7,14679.5,42738.8,0.414
116378,104013,73327,42034.4,37243,73967.5,16387.5,28924,0.414
127708,116364,71924.9,45007.7,41466,71133.5,22326.9,34264.9,0.421
121197,97778,81232.7,49837.9,43532,75029.3,21525.5,42135.8,0.425
124903,110913,73802.6,45159.9,41955,70542.3,21611.5,30721.4,0.426
123435,110929,72924.5,42346.5,38471,72138,13811.4,26156.6,0.432
