"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","530_30 Blue B-A","585_15 YG E-A","Time"
136200,124302,71808.8,69904,57523,79641.7,46894.2,506.34,0.202
122625,106825,75229.4,60497.9,49819,79583.9,41028.6,320.16,0.205
85033.3,77768,71658.6,44106.7,39358,73443.1,14167.7,151.38,0.205
124684,112228,72809.7,68885.1,58294,77442.8,60418.5,341.91,0.208
162325,142740,74527.9,62825.4,54422,75655.5,16844.3,443.7,0.215
129599,113284,74974.2,50748.2,45026,73864.8,23983.2,25.23,0.215
104211,94764,72069.4,65816.5,55930,77120.5,27279.7,256.65,0.219
128889,117772,71722.4,77299.5,63134,80240.4,23507.5,68.73,0.23
117550,106565,72291.8,33540.1,30903,71128.6,10651.6,83.52,0.23
105826,92798,74736.8,41638.2,38293,71261.2,3798.54,180.96,0.231
132918,116573,74724.9,42522.8,37263,74786.6,14606.2,430.65,0.238
148448,127745,76157.3,57998.9,52839,71935.9,4681.2,249.69,0.242
83735.2,74472,73687.7,39052.8,34606,73957.2,29984.6,213.15,0.242
123801,110589,73365.4,73078,65083,73586.6,29031,301.89,0.244
80870.8,71209,74428,31670.9,27691,74955.3,14650.4,66.99,0.25
106316,96232,72403.2,38244.4,33530,74750.5,19871.6,234.9,0.25
117074,108875,70471.4,40533.3,37636,70581,15196,119.19,0.256
131340,118189,72828.3,45088,42043,70282.6,35141,207.06,0.258
112644,103816,71108.8,58975.6,50446,76617.1,58146.1,326.25,0.26
146649,132036,72789.3,55187.9,49814,72605.9,47863.4,358.44,0.267
120167,106824,73721.7,46858.1,42526,72212.1,16205.1,147.9,0.268
88651.2,76160,76284.7,65245.4,54086,79057.9,23862.8,182.7,0.271
91472.8,78964,75917.7,58252.7,50786,75171.3,37149.3,189.66,0.271
151848,130057,76516.5,82189.4,67419,79893.8,18359.6,719.49,0.274
104189,93250,73223.6,39378.5,34264,75318.4,20302.1,621.18,0.274
128258,110644,75968.8,63694.4,55318,75459.6,53560.3,255.78,0.277
111501,100905,72417.8,43802.6,38027,75489.7,30307.5,300.15,0.278
91775.1,84656,71047.2,54582.5,46722,76561.8,40507.9,269.7,0.278
130942,119075,72067.4,63867.8,54061,77424.4,52556.8,666.42,0.279
97733.4,83980,76268.9,48425.5,44414,71455.3,20139,207.06,0.279
108055,96353,73495.6,32313.9,29827,71000.3,3685.74,167.04,0.279
102276,86180,77776.6,57114.4,51350,72892.9,30101.6,206.19,0.284
138483,126752,71601.7,67133.9,58278,75494.8,46342,260.13,0.285
112262,99254,74124.8,45358.8,40312,73740.6,36577.8,264.48,0.287
102032,93463,71544.7,54987.2,48057,74986.8,5774.89,133.11,0.289
114678,103171,72845.4,35298.9,31929,72452.9,20173.3,527.22,0.29
113669,100371,74218.9,54664.8,48287,74192,35399.5,210.54,0.29
112512,103573,71192.1,44806,40327,72815,24088.9,782.13,0.292
111857,100945,72620.2,64612.8,54691,77425.2,25672.8,213.15,0.294
98705,86864,74469.6,50317.3,46225,71337.9,8907.44,273.18,0.294
106850,90929,77011,72411,59907,79214.9,49326,685.56,0.295
113386,101849,72959.8,46667.2,42379,72167.4,16975,113.97,0.296
111707,98253,74510.2,55899.9,48079,76196.6,23401.3,130.5,0.299
123429,112951,71615.3,85971,67833,83059.8,65991.8,1065.75,0.299
107059,91697,76515.6,30210.2,26899,73603.3,8129.59,350.61,0.3
81955,71988,74609.7,52369.3,43846,78275.6,30668.9,168.78,0.301
97988.3,78214,82105,55582.2,45672,79756.4,25299.2,217.5,0.302
84847,74001,75141.3,27481.4,24275,74192.3,6275.91,196.62,0.309
