"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","530_30 Blue C-A","586_15 YG D-A","Time"
134509,89847,98113.1,50159.5,39540,83137.4,25914.2,772.31,0.205
149581,107487,91201.1,74247.1,59042,82413.5,51106.3,754.6,0.205
158399,110937,93574.4,46115.3,37529,80530,52806.2,742.28,0.211
180647,125068,94659.6,39817.4,32325,80726.2,39202.6,743.82,0.211
160157,111187,94399.9,40118.4,33455,78589.1,57033.4,738.43,0.213
114287,66232,113086,60728.4,45736,87018.9,61355.5,735.35,0.213
163997,93264,115239,52259.8,42872,79886.5,33361.2,729.19,0.214
134424,90261,97601.3,35761,30629,76516.7,17815.7,728.42,0.214
119957,81427,96546.7,27882.7,23424,78010.7,7370.64,700.7,0.216
128436,83675,100594,43447,34006,83730.5,20132.6,730.73,0.217
159640,100965,103622,51320.2,43405,77486.9,11858.4,744.59,0.218
139187,91517,99672.5,32818.3,27008,79635,13262.4,700.7,0.219
153764,105871,95182.9,53107.2,38700,89933.7,41853.6,707.63,0.225
146100,91186,105003,40783,33310,80238.7,50418,690.69,0.225
192825,115851,109080,60189.8,46687,84490.4,49771.4,709.94,0.226
154026,89700,112533,74903.8,52380,93716.9,76616.6,699.93,0.226
175993,112885,102174,53257,41821,83456.8,55193,719.18,0.228
143656,80964,116282,64042.6,49852,84191.1,52196.4,720.72,0.229
137305,100789,89279.8,42238.8,35897,77114,14946.5,683.76,0.229
175849,112619,102331,45152.6,35862,82514.2,18146.2,700.7,0.233
107478,73341,96039.9,36891.4,30349,79663.7,24434.6,662.97,0.234
180826,109494,108231,62179.9,50458,80760.7,11923.9,712.25,0.236
146068,92957,102980,39916.8,31680,82575.4,17157.6,636.02,0.239
161556,96817,109359,44520.5,37089,78667.4,44859.6,676.83,0.239
189794,120752,103007,51721.9,41420,81836,50055.8,676.06,0.241
173102,102246,110952,64718.6,52014,81543.4,16528.3,721.49,0.242
141736,82914,112030,68184.7,47710,93660.8,30946.3,713.79,0.244
195174,116857,109458,74111.8,53993,89955.9,81296.6,706.09,0.245
153597,92733,108549,40025.5,31168,84160.4,27380.9,611.38,0.246
135471,93750,94701.4,47298.2,35134,88226.2,50878.8,632.94,0.246
138184,88268,102597,44101.4,34833,82974,52034.4,635.25,0.252
151978,100265,99337.2,39996,32020,81860.6,39856.3,634.48,0.252
121542,70859,112412,54193.7,43019,82559.7,41567,638.33,0.253
161610,96335,109942,61340.4,50786,79155.8,22449.6,629.86,0.254
159497,95007,110021,51768.7,39682,85497.6,90337,670.67,0.255
139438,93639,97589.8,38859.1,30911,82387.2,37734.5,619.85,0.256
178529,112969,103569,75131.3,58409,84298.7,19700.6,601.37,0.257
194586,114536,111340,64123.9,50652,82966.6,42418.8,620.62,0.258
169357,104628,106081,51298.6,41020,81957.6,23996.9,614.46,0.26
125807,84309,97794,29066.4,25081,75949.8,34819.9,572.11,0.26
124991,90661,90352.3,25897.7,22637,74976,23812.6,569.03,0.26
181267,115736,102643,45632.2,36584,81744.7,12735.4,619.08,0.26
145899,91789,104170,59314.3,45872,84740.7,72147.6,591.36,0.264
155310,106761,95338.2,43372.1,37049,76720.9,28062.7,588.28,0.264
217699,145692,97926.7,68294.9,56044,79861.8,4183.2,611.38,0.267
118355,71418,108607,42965.3,33255,84672.2,29083.7,605.99,0.267
133525,93871,93220.5,58431.6,46495,82361,32819,575.96,0.268
183764,109035,110452,59501.5,47832,81524.8,28883.5,602.91,0.27
167561,99660,110187,51025.7,41041,81480,4914,581.35,0.27
159442,95467,109453,58178.2,45766,83310,55652.4,575.96,0.272
191222,124603,100575,57314.9,42966,87422.3,76819.7,559.02,0.272
128664,78196,107833,39263,32280,79713.2,44408.9,541.31,0.275
124522,78711,103679,47558.2,39951,78014.9,20479,572.11,0.276
172582,101168,111797,51895.4,40184,84636.2,60205,555.17,0.276
127176,88385,94298.7,32052.2,28377,74023.9,23457.6,513.59,0.276
118127,75293,102820,32932.8,27997,77089.8,7465.68,529.76,0.277
184073,125327,96255.4,80144.6,62658,83825.8,73111,560.56,0.277
187898,100288,122787,87274.1,60488,94557.5,72591.8,598.29,0.278
183334,103256,116361,64756.1,48988,86630.5,45795.6,593.67,0.279
129562,82213,103280,34920,28585,80060.1,14434.6,524.37,0.279
184042,107377,112328,59742.7,46309,84547.3,67835.5,610.61,0.281
193204,121052,104598,76605.1,58869,85280.8,83878.6,557.48,0.281
196748,124308,103727,81984.2,59424,90416.7,56622.2,591.36,0.282
142351,90341,103265,46079.3,38221,79010.3,31788.7,548.24,0.283
210317,136669,100852,72537.8,53696,88532.5,93352.3,559.79,0.284
159046,102989,101207,45721.4,37705,79469.6,22839.8,537.46,0.285
156685,97708,105094,50936.4,37276,89552.8,68459.8,525.14,0.287
147160,79697,121012,58251.6,46089,82830.5,11051.3,565.95,0.288
116196,72598,104893,47191,39018,79263.6,37530,508.97,0.288
121926,88270,90523.7,40929.1,34313,78172.4,21500.6,498.96,0.289
203978,127740,104649,72946.8,56661,84372.7,92585.5,522.06,0.29
212577,118229,117835,76122.7,54761,91101,60685.2,572.11,0.291
142449,86196,108306,39119,32476,78941.5,18931.7,534.38,0.292
170068,112078,99444.7,36578.9,30211,79349.7,52379.3,512.82,0.293
206493,133282,101534,75123.4,60094,81926.4,56439.4,532.07,0.293
181576,114100,104293,56953.4,43640,85529.4,23866.6,505.89,0.294
139569,92324,99072.5,35159,30524,75487.6,32339.5,498.19,0.294
180180,118769,99422.1,57507.1,45289,83216.4,34151.8,506.66,0.294
151893,88345,112677,55577.5,45513,80028.3,21492,521.29,0.295
205098,130963,102634,55350.7,44347,81797.3,47414.2,521.29,0.296
181809,125823,94696.9,66429.4,52034,83666.7,53992.1,525.91,0.298
160556,105833,99422.3,46325.5,37748,80427.8,54131,486.64,0.298
129952,73804,115394,48582.7,37793,84246.2,9113.04,524.37,0.3
208591,127801,106965,62887,47236,87250.4,46347.8,487.41,0.3
152675,109268,91570.5,28895.8,25336,74744,27279.4,458.15,0.301
